individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,unpruned,true,null,null,3,true,true,2,9,true,true,null,false,5,null,false,null,false,true,null,weka.attributeSelection.BestFirst,null,true,5,false,null,rmse,MajorityVotingAggregator,false,true,7,7,2,null,true,null,null,true,8,null,null,0.7291021671826625
overall,true,unpruned,true,null,null,5,false,true,null,null,true,true,null,true,10,2,true,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,6,false,false,rmse,MajorityVotingAggregator,false,true,5,6,9,3,true,null,true,false,7,false,null,0.7063983488132095
gen_000_ind_000,true,confidenceFactor,true,true,null,6,false,true,0,5,true,true,0.35,true,2,9,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,4,false,false,acc,CompetenceBasedAggregator,false,false,5,9,3,2,true,null,null,true,3,null,0.7361337355455003,null
gen_000_ind_001,false,null,true,null,null,1,null,true,1,5,false,true,null,true,null,10,false,unpruned,true,false,true,weka.attributeSelection.BestFirst,true,true,4,false,true,auc,MajorityVotingAggregator,null,null,6,7,null,null,null,null,null,null,null,null,0.7234104239986594,null
gen_000_ind_002,false,unpruned,true,null,null,null,false,true,null,null,true,false,null,true,2,3,false,reducedErrorPruning,null,true,true,null,false,true,6,false,false,null,RuleExtractorAggregator,true,true,2,2,3,2,true,null,null,false,10,null,0.6624115971174795,null
gen_000_ind_003,true,confidenceFactor,true,true,null,8,false,true,1,7,true,true,0.15,false,null,null,false,null,true,false,null,weka.attributeSelection.BestFirst,null,true,8,true,null,auc,CompetenceBasedAggregator,true,true,6,6,null,null,true,null,null,false,10,null,0.7343003184179654,null
gen_000_ind_004,false,confidenceFactor,null,true,0.05,null,true,true,null,null,true,false,0.45,true,5,5,null,confidenceFactor,null,true,true,null,false,false,null,null,false,null,MajorityVotingAggregator,false,false,null,4,3,null,true,null,null,false,2,null,0.7276018099547512,null
gen_000_ind_005,true,unpruned,true,null,null,4,true,true,0,9,true,true,null,true,4,7,true,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,true,true,9,false,false,acc,MajorityVotingAggregator,false,true,4,10,10,3,true,null,null,true,2,null,0.741419473772415,null
gen_000_ind_006,null,confidenceFactor,null,true,null,null,true,false,null,null,true,false,0.35,true,null,7,null,unpruned,null,null,true,null,false,false,null,null,false,null,MajorityVotingAggregator,true,true,null,null,null,null,true,null,null,true,2,null,0.7156611362493714,null
gen_000_ind_007,false,reducedErrorPruning,null,true,0.05,null,true,true,null,null,true,false,null,true,null,4,null,confidenceFactor,null,false,true,null,true,false,null,null,true,null,MajorityVotingAggregator,true,false,null,9,null,null,true,2,null,true,6,null,0.7270353611530082,null
