gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.61357298,0.67177931,0.71361070,0.75219941,0.68125000,0023,0034,0035,0.00000000,"J48,JRip,J48_doNotMakeSplitPointActualValue,J48_binarySplits,J48_minNumObj,PART,J48_pruning,DecisionTable,J48_useMDLcorrection,J48_useLaplace,JRip_usePruning,JRip_checkErrorRate,PART_pruning,DecisionTable_evaluationMeasure,Aggregator,JRip_minNo,PART_doNotMakeSplitPointActualValue,SimpleCart,J48_collapseTree,PART_useMDLcorrection,DecisionTable_search,PART_binarySplits,DecisionTable_useIBk,SimpleCart_usePrune,DecisionTable_crossVal,JRip_optimizations,J48_confidenceFactorValue,PART_numFolds,SimpleCart_numFoldsPruning,J48_subtreeRaising,SimpleCart_useOneSE,PART_minNumObj,J48_numFolds,SimpleCart_heuristic,SimpleCart_minNumObj,PART_confidenceFactorValue,JRip_folds,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,GreedyStepwise_searchBackwards,BestFirst_direction"
1,90,0.56785863,0.68111498,0.72456485,0.76319648,0.70625000,0007,0034,0035,0.00000000,"DecisionTable,JRip,DecisionTable_useIBk,JRip_checkErrorRate,J48,JRip_usePruning,J48_doNotMakeSplitPointActualValue,DecisionTable_search,J48_binarySplits,SimpleCart,DecisionTable_crossVal,DecisionTable_evaluationMeasure,PART,Aggregator,SimpleCart_minNumObj,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,J48_minNumObj,BestFirst_direction,PART_doNotMakeSplitPointActualValue,JRip_minNo,SimpleCart_heuristic,JRip_optimizations,PART_useMDLcorrection,J48_useLaplace,SimpleCart_usePrune,J48_useMDLcorrection,SimpleCart_useOneSE,BestFirst_searchTermination,JRip_folds,J48_pruning,PART_minNumObj,J48_subtreeRaising,PART_binarySplits,PART_pruning,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,PART_numFolds,SimpleCart_numFoldsPruning,J48_numFolds"
2,90,0.57071191,0.68681597,0.73592391,0.61363636,0.68125000,0007,0034,0035,0.00000000,"J48,J48_pruning,J48_useLaplace,SimpleCart,PART,SimpleCart_minNumObj,SimpleCart_usePrune,DecisionTable,J48_useMDLcorrection,PART_minNumObj,JRip,J48_numFolds,J48_binarySplits,J48_collapseTree,J48_minNumObj,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,Aggregator,PART_pruning,J48_confidenceFactorValue,J48_subtreeRaising,PART_useMDLcorrection,JRip_checkErrorRate,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,DecisionTable_search,PART_confidenceFactorValue,DecisionTable_crossVal,DecisionTable_useIBk,JRip_usePruning,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,JRip_folds,JRip_minNo,PART_numFolds,BestFirst_searchTermination,GreedyStepwise_searchBackwards,JRip_optimizations,BestFirst_direction"
3,90,0.59339030,0.68155578,0.73592391,0.61363636,0.68125000,0007,0034,0035,0.00000000,"SimpleCart,Aggregator,JRip,JRip_checkErrorRate,J48,DecisionTable,J48_collapseTree,DecisionTable_crossVal,PART,JRip_minNo,DecisionTable_evaluationMeasure,J48_useLaplace,SimpleCart_heuristic,PART_minNumObj,J48_minNumObj,DecisionTable_useIBk,SimpleCart_minNumObj,PART_pruning,JRip_usePruning,PART_doNotMakeSplitPointActualValue,J48_binarySplits,J48_pruning,SimpleCart_usePrune,J48_useMDLcorrection,PART_useMDLcorrection,J48_numFolds,J48_doNotMakeSplitPointActualValue,PART_binarySplits,JRip_folds,DecisionTable_search,BestFirst_searchTermination,BestFirst_direction,JRip_optimizations,PART_numFolds,SimpleCart_useOneSE,J48_subtreeRaising,PART_confidenceFactorValue,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection"
4,90,0.62906449,0.69591971,0.74205691,0.72653959,0.73333333,0007,0034,0073,0.46358381,"PART,SimpleCart,SimpleCart_minNumObj,JRip,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,PART_pruning,PART_numFolds,PART_confidenceFactorValue,DecisionTable,PART_binarySplits,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_direction,DecisionTable_crossVal,Aggregator,JRip_minNo,JRip_usePruning,PART_minNumObj,PART_useMDLcorrection,DecisionTable_useIBk,JRip_folds,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,BestFirst_searchTermination,J48,J48_pruning,J48_useMDLcorrection,JRip_optimizations,J48_useLaplace,J48_binarySplits,J48_confidenceFactorValue,J48_collapseTree,J48_minNumObj,J48_subtreeRaising,J48_numFolds,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate"
5,90,0.61713221,0.69594789,0.74205691,0.72653959,0.73333333,0007,0052,0073,0.46358381,"SimpleCart,PART,SimpleCart_minNumObj,JRip,JRip_usePruning,JRip_optimizations,PART_doNotMakeSplitPointActualValue,JRip_minNo,SimpleCart_heuristic,PART_binarySplits,SimpleCart_usePrune,JRip_folds,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,PART_pruning,PART_numFolds,JRip_checkErrorRate,PART_confidenceFactorValue,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_crossVal,DecisionTable_search,PART_useMDLcorrection,PART_minNumObj,BestFirst_direction,Aggregator,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,J48_useMDLcorrection,J48_confidenceFactorValue,J48_pruning,J48_subtreeRaising,J48_minNumObj,GreedyStepwise_searchBackwards,J48_binarySplits,J48_useLaplace,BestFirst_searchTermination,J48,J48_numFolds,J48_doNotMakeSplitPointActualValue"
6,90,0.63115973,0.69878154,0.74205691,0.72653959,0.73333333,0007,0034,0073,0.46358381,"SimpleCart,PART,PART_binarySplits,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,JRip,PART_pruning,PART_numFolds,PART_confidenceFactorValue,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_search,DecisionTable_useIBk,GreedyStepwise_searchBackwards,JRip_minNo,DecisionTable_crossVal,JRip_usePruning,PART_useMDLcorrection,PART_minNumObj,Aggregator,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,JRip_folds,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,JRip_checkErrorRate,BestFirst_searchTermination,J48,J48_useMDLcorrection,J48_minNumObj,J48_binarySplits,JRip_optimizations,J48_useLaplace,J48_pruning,J48_collapseTree,J48_subtreeRaising,J48_confidenceFactorValue,J48_numFolds,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue"
7,90,0.58211953,0.69538054,0.74938386,0.72287390,0.71458333,0007,0034,0063,0.48976997,"DecisionTable,DecisionTable_search,BestFirst_direction,SimpleCart,PART,BestFirst_searchTermination,J48,DecisionTable_evaluationMeasure,J48_useLaplace,J48_useMDLcorrection,DecisionTable_crossVal,PART_minNumObj,Aggregator,J48_minNumObj,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,PART_binarySplits,PART_useMDLcorrection,J48_binarySplits,DecisionTable_useIBk,SimpleCart_minNumObj,PART_pruning,J48_pruning,SimpleCart_usePrune,PART_numFolds,J48_confidenceFactorValue,PART_confidenceFactorValue,J48_subtreeRaising,J48_numFolds,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,JRip,SimpleCart_numFoldsPruning,JRip_usePruning,PART_doNotMakeSplitPointActualValue,JRip_optimizations,JRip_minNo,JRip_checkErrorRate,JRip_folds"
8,90,0.59233993,0.70471369,0.74983046,0.68255132,0.81666667,0007,0034,0063,0.48976997,"DecisionTable,PART,DecisionTable_search,J48,SimpleCart,BestFirst_direction,BestFirst_searchTermination,J48_minNumObj,PART_minNumObj,Aggregator,SimpleCart_heuristic,DecisionTable_evaluationMeasure,J48_useMDLcorrection,DecisionTable_crossVal,J48_useLaplace,PART_binarySplits,J48_collapseTree,PART_pruning,PART_confidenceFactorValue,PART_numFolds,GreedyStepwise_conservativeForwardSelection,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_minNumObj,J48_numFolds,GreedyStepwise_searchBackwards,PART_useMDLcorrection,J48_binarySplits,J48_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,JRip,JRip_usePruning,JRip_checkErrorRate,JRip_optimizations,JRip_minNo,JRip_folds"
9,90,0.59735108,0.69245616,0.74983046,0.68255132,0.81666667,0006,0034,0063,0.48976997,"DecisionTable,PART,J48,DecisionTable_search,SimpleCart,BestFirst_searchTermination,BestFirst_direction,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_minNumObj,J48_pruning,PART_pruning,J48_numFolds,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,PART_numFolds,J48_subtreeRaising,J48_useMDLcorrection,SimpleCart_useOneSE,JRip,JRip_usePruning,JRip_folds,DecisionTable_useIBk,JRip_optimizations,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,PART_binarySplits,J48_collapseTree,J48_binarySplits,PART_useMDLcorrection,PART_minNumObj,Aggregator,J48_minNumObj,JRip_checkErrorRate,JRip_minNo,DecisionTable_crossVal,DecisionTable_evaluationMeasure,J48_useLaplace"
10,90,0.60576063,0.70038360,0.74983046,0.68255132,0.81666667,0006,0034,0055,0.54550495,"J48,PART,JRip,J48_pruning,SimpleCart,PART_binarySplits,J48_confidenceFactorValue,JRip_checkErrorRate,SimpleCart_heuristic,JRip_usePruning,JRip_folds,JRip_optimizations,JRip_minNo,J48_subtreeRaising,SimpleCart_minNumObj,J48_useMDLcorrection,Aggregator,PART_minNumObj,J48_numFolds,PART_doNotMakeSplitPointActualValue,J48_binarySplits,PART_useMDLcorrection,DecisionTable,DecisionTable_crossVal,DecisionTable_useIBk,J48_useLaplace,DecisionTable_search,J48_collapseTree,SimpleCart_usePrune,PART_pruning,BestFirst_direction,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,PART_numFolds,BestFirst_searchTermination,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj"
11,90,0.58977792,0.70211884,0.74983046,0.68255132,0.81666667,0006,0034,0055,0.54550495,"SimpleCart,J48,JRip,PART,SimpleCart_heuristic,JRip_checkErrorRate,JRip_usePruning,J48_pruning,J48_confidenceFactorValue,JRip_minNo,PART_binarySplits,J48_subtreeRaising,JRip_folds,JRip_optimizations,SimpleCart_minNumObj,J48_doNotMakeSplitPointActualValue,PART_minNumObj,J48_numFolds,PART_doNotMakeSplitPointActualValue,J48_minNumObj,J48_binarySplits,PART_useMDLcorrection,DecisionTable,DecisionTable_search,DecisionTable_evaluationMeasure,BestFirst_searchTermination,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,SimpleCart_usePrune,J48_collapseTree,J48_useLaplace,GreedyStepwise_searchBackwards,PART_pruning,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,PART_numFolds,DecisionTable_useIBk,PART_confidenceFactorValue,J48_useMDLcorrection,Aggregator"
12,90,0.57848683,0.70233856,0.74983046,0.68255132,0.81666667,0007,0034,0055,0.54550495,"J48,J48_pruning,JRip,SimpleCart,PART,JRip_minNo,JRip_checkErrorRate,PART_binarySplits,JRip_usePruning,J48_confidenceFactorValue,JRip_optimizations,JRip_folds,J48_subtreeRaising,SimpleCart_heuristic,PART_pruning,PART_numFolds,PART_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,PART_minNumObj,J48_numFolds,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,J48_collapseTree,PART_useMDLcorrection,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_useMDLcorrection,Aggregator,J48_binarySplits,DecisionTable,DecisionTable_crossVal,DecisionTable_search,DecisionTable_useIBk,BestFirst_searchTermination,J48_useLaplace,GreedyStepwise_searchBackwards,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,J48_minNumObj"
