gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.89271790,0.99720524,0.99844541,0.99800873,1.00000000,0365,0034,0035,0.00000000,"DecisionTable,Aggregator,JRip,DecisionTable_search,JRip_usePruning,BestFirst_searchTermination,JRip_checkErrorRate,GreedyStepwise_searchBackwards,JRip_minNo,SimpleCart,DecisionTable_crossVal,PART,DecisionTable_useIBk,DecisionTable_evaluationMeasure,BestFirst_direction,PART_pruning,J48,PART_confidenceFactorValue,J48_binarySplits,PART_minNumObj,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,PART_numFolds,SimpleCart_numFoldsPruning,JRip_folds,J48_minNumObj,SimpleCart_heuristic,PART_binarySplits,PART_doNotMakeSplitPointActualValue,J48_collapseTree,PART_useMDLcorrection,J48_pruning,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,J48_useMDLcorrection,J48_subtreeRaising,J48_numFolds,SimpleCart_useOneSE,J48_useLaplace,J48_confidenceFactorValue"
1,90,0.89435284,0.99747948,0.99847162,0.99604367,0.99984345,0283,0034,0035,0.00000000,"Aggregator,SimpleCart,PART,PART_doNotMakeSplitPointActualValue,JRip,J48,DecisionTable,DecisionTable_crossVal,SimpleCart_heuristic,PART_pruning,PART_useMDLcorrection,SimpleCart_usePrune,PART_numFolds,JRip_usePruning,SimpleCart_minNumObj,PART_minNumObj,DecisionTable_search,J48_minNumObj,J48_useMDLcorrection,J48_useLaplace,J48_pruning,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,PART_binarySplits,J48_confidenceFactorValue,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,JRip_minNo,SimpleCart_useOneSE,DecisionTable_useIBk,JRip_checkErrorRate,GreedyStepwise_searchBackwards,J48_subtreeRaising,J48_binarySplits,BestFirst_searchTermination,J48_numFolds,JRip_optimizations,JRip_folds,BestFirst_direction,SimpleCart_numFoldsPruning"
2,90,0.91407860,0.99745590,0.99868996,0.99947598,0.99992173,0255,0034,0035,0.00000000,"JRip,JRip_minNo,JRip_checkErrorRate,DecisionTable,DecisionTable_crossVal,PART,J48,J48_minNumObj,Aggregator,J48_useMDLcorrection,PART_useMDLcorrection,SimpleCart,DecisionTable_useIBk,PART_minNumObj,J48_useLaplace,JRip_usePruning,SimpleCart_usePrune,PART_binarySplits,J48_doNotMakeSplitPointActualValue,DecisionTable_search,PART_doNotMakeSplitPointActualValue,J48_binarySplits,BestFirst_searchTermination,J48_pruning,JRip_folds,BestFirst_direction,SimpleCart_numFoldsPruning,J48_collapseTree,DecisionTable_evaluationMeasure,J48_subtreeRaising,PART_pruning,SimpleCart_heuristic,SimpleCart_useOneSE,SimpleCart_minNumObj,JRip_optimizations,J48_confidenceFactorValue,PART_numFolds,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,J48_numFolds,PART_confidenceFactorValue"
3,90,0.90506725,0.99752140,0.99868996,0.99947598,0.99992173,0278,0034,0035,0.00000000,"PART,PART_useMDLcorrection,PART_minNumObj,JRip,J48,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,DecisionTable,J48_binarySplits,DecisionTable_useIBk,PART_binarySplits,Aggregator,SimpleCart,PART_doNotMakeSplitPointActualValue,DecisionTable_search,SimpleCart_heuristic,JRip_usePruning,PART_pruning,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,BestFirst_direction,J48_pruning,J48_minNumObj,JRip_minNo,BestFirst_searchTermination,DecisionTable_crossVal,J48_collapseTree,J48_useLaplace,JRip_checkErrorRate,SimpleCart_usePrune,J48_confidenceFactorValue,SimpleCart_minNumObj,J48_numFolds,J48_subtreeRaising,JRip_folds,PART_numFolds,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,JRip_optimizations,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
4,90,0.84167686,0.99777293,0.99876681,0.99622707,0.99996086,0258,0083,0074,0.45847047,"J48,SimpleCart,J48_useMDLcorrection,SimpleCart_minNumObj,J48_minNumObj,SimpleCart_heuristic,PART_numFolds,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,PART_binarySplits,PART_minNumObj,SimpleCart_usePrune,JRip,J48_useLaplace,SimpleCart_useOneSE,J48_binarySplits,SimpleCart_numFoldsPruning,Aggregator,J48_collapseTree,JRip_checkErrorRate,J48_pruning,J48_numFolds,J48_subtreeRaising,JRip_usePruning,JRip_folds,JRip_optimizations,JRip_minNo,PART,PART_pruning,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,DecisionTable,DecisionTable_search,DecisionTable_useIBk,DecisionTable_crossVal,BestFirst_direction,DecisionTable_evaluationMeasure,BestFirst_searchTermination,GreedyStepwise_searchBackwards"
5,90,0.93910568,0.99789170,0.99878777,0.99594760,0.99984345,0317,0034,0074,0.45847047,"SimpleCart,J48,SimpleCart_heuristic,J48_collapseTree,J48_pruning,J48_useLaplace,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_numFolds,J48_minNumObj,SimpleCart_minNumObj,J48_useMDLcorrection,J48_confidenceFactorValue,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,Aggregator,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,JRip,JRip_checkErrorRate,JRip_minNo,PART,PART_pruning,DecisionTable,DecisionTable_useIBk,PART_numFolds,PART_binarySplits,DecisionTable_search,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,BestFirst_searchTermination,DecisionTable_crossVal,JRip_usePruning,BestFirst_direction,JRip_folds,JRip_optimizations,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue"
6,90,0.91926114,0.99751703,0.99885939,0.99879476,1.00000000,0391,0034,0074,0.45847047,"J48,SimpleCart,SimpleCart_minNumObj,J48_minNumObj,SimpleCart_heuristic,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_useLaplace,J48_collapseTree,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,Aggregator,J48_pruning,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising,J48_binarySplits,JRip,JRip_minNo,PART,PART_minNumObj,PART_binarySplits,PART_pruning,PART_numFolds,DecisionTable,DecisionTable_search,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,DecisionTable_crossVal,BestFirst_searchTermination,JRip_checkErrorRate,JRip_usePruning,JRip_optimizations,JRip_folds,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue"
7,90,0.93978515,0.99729782,0.99885939,0.99879476,1.00000000,0320,0151,0059,0.48118165,"J48,J48_pruning,J48_binarySplits,J48_numFolds,SimpleCart,J48_useMDLcorrection,J48_subtreeRaising,J48_confidenceFactorValue,J48_useLaplace,SimpleCart_minNumObj,SimpleCart_heuristic,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_minNumObj,SimpleCart_usePrune,SimpleCart_useOneSE,PART_confidenceFactorValue,JRip_usePruning,JRip_folds,JRip_optimizations,SimpleCart_numFoldsPruning,DecisionTable,DecisionTable_useIBk,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,Aggregator,DecisionTable_crossVal,BestFirst_direction,PART_binarySplits,JRip_minNo,PART,PART_minNumObj,PART_pruning,PART_numFolds,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,JRip,JRip_checkErrorRate"
8,90,0.92537467,0.99773188,0.99885939,0.99879476,1.00000000,0322,0034,0059,0.48118165,"SimpleCart,J48,J48_pruning,J48_subtreeRaising,J48_binarySplits,J48_useMDLcorrection,J48_numFolds,J48_doNotMakeSplitPointActualValue,J48_collapseTree,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,DecisionTable,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,J48_minNumObj,SimpleCart_minNumObj,J48_useLaplace,SimpleCart_heuristic,BestFirst_searchTermination,Aggregator,J48_confidenceFactorValue,BestFirst_direction,JRip_minNo,PART,PART_minNumObj,PART_pruning,PART_confidenceFactorValue,PART_numFolds,PART_binarySplits,PART_useMDLcorrection,JRip,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,JRip_usePruning,JRip_optimizations,JRip_folds"
9,90,0.90037205,0.99780786,0.99885939,0.99879476,1.00000000,0282,0057,0059,0.48118165,"J48,J48_pruning,J48_useMDLcorrection,SimpleCart,J48_binarySplits,J48_subtreeRaising,J48_numFolds,PART_numFolds,DecisionTable_evaluationMeasure,JRip_folds,DecisionTable_useIBk,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,BestFirst_searchTermination,J48_minNumObj,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_heuristic,SimpleCart_usePrune,SimpleCart_numFoldsPruning,DecisionTable,DecisionTable_crossVal,SimpleCart_minNumObj,JRip_usePruning,JRip_minNo,PART,PART_binarySplits,PART_minNumObj,PART_pruning,PART_confidenceFactorValue,PART_useMDLcorrection,JRip,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate"
