gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.53807401,0.70630110,0.72713083,0.74126513,0.73967657,0070,0034,0035,0.00000000,"Aggregator,PART,PART_doNotMakeSplitPointActualValue,SimpleCart,JRip,SimpleCart_usePrune,JRip_checkErrorRate,PART_useMDLcorrection,JRip_minNo,PART_minNumObj,DecisionTable,PART_pruning,JRip_usePruning,JRip_folds,PART_binarySplits,PART_confidenceFactorValue,J48,DecisionTable_useIBk,J48_binarySplits,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,SimpleCart_minNumObj,PART_numFolds,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,DecisionTable_search,J48_useMDLcorrection,BestFirst_searchTermination,J48_collapseTree,JRip_optimizations,GreedyStepwise_searchBackwards,J48_minNumObj,J48_pruning,J48_confidenceFactorValue,J48_useLaplace,BestFirst_direction,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,J48_numFolds"
1,90,0.55480508,0.71154781,0.72713083,0.74126513,0.73967657,0060,0034,0035,0.00000000,"SimpleCart,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_numFoldsPruning,JRip,SimpleCart_useOneSE,PART,DecisionTable,JRip_minNo,Aggregator,J48,J48_minNumObj,SimpleCart_minNumObj,PART_minNumObj,J48_collapseTree,J48_pruning,DecisionTable_search,J48_subtreeRaising,PART_useMDLcorrection,DecisionTable_crossVal,JRip_usePruning,JRip_optimizations,J48_confidenceFactorValue,PART_binarySplits,J48_binarySplits,BestFirst_direction,PART_pruning,J48_useLaplace,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,BestFirst_searchTermination,JRip_folds,J48_numFolds,GreedyStepwise_searchBackwards,PART_numFolds,PART_confidenceFactorValue"
2,90,0.58814435,0.71420776,0.72879740,0.75467418,0.73592596,0067,0034,0035,0.00000000,"SimpleCart,PART,DecisionTable,DecisionTable_useIBk,SimpleCart_usePrune,PART_minNumObj,JRip,PART_doNotMakeSplitPointActualValue,JRip_usePruning,JRip_minNo,J48,JRip_checkErrorRate,PART_binarySplits,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,Aggregator,J48_minNumObj,PART_useMDLcorrection,J48_useMDLcorrection,SimpleCart_minNumObj,SimpleCart_useOneSE,DecisionTable_search,PART_pruning,SimpleCart_heuristic,DecisionTable_evaluationMeasure,JRip_folds,J48_pruning,GreedyStepwise_searchBackwards,BestFirst_searchTermination,JRip_optimizations,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,J48_collapseTree,PART_confidenceFactorValue,J48_binarySplits,J48_useLaplace,PART_numFolds,J48_confidenceFactorValue,J48_subtreeRaising,J48_numFolds"
3,90,0.59065618,0.71504953,0.72879740,0.75467418,0.73592596,0057,0034,0035,0.00000000,"JRip,DecisionTable,DecisionTable_useIBk,JRip_minNo,PART,PART_pruning,PART_minNumObj,DecisionTable_crossVal,DecisionTable_search,PART_useMDLcorrection,Aggregator,PART_doNotMakeSplitPointActualValue,PART_numFolds,J48,BestFirst_searchTermination,JRip_checkErrorRate,J48_binarySplits,J48_pruning,J48_minNumObj,J48_confidenceFactorValue,J48_useMDLcorrection,PART_binarySplits,JRip_usePruning,J48_collapseTree,JRip_folds,SimpleCart,DecisionTable_evaluationMeasure,BestFirst_direction,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,PART_confidenceFactorValue,J48_numFolds,SimpleCart_minNumObj,J48_doNotMakeSplitPointActualValue,J48_useLaplace,SimpleCart_heuristic,SimpleCart_usePrune,JRip_optimizations,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
4,90,0.59872749,0.71723140,0.73586121,0.73532668,0.73748032,0060,0059,0074,0.62319973,"SimpleCart,DecisionTable,SimpleCart_minNumObj,DecisionTable_crossVal,BestFirst_direction,J48_collapseTree,PART_minNumObj,J48_minNumObj,SimpleCart_useOneSE,PART_numFolds,JRip,DecisionTable_useIBk,J48,DecisionTable_evaluationMeasure,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_pruning,J48_numFolds,J48_subtreeRaising,JRip_checkErrorRate,J48_useLaplace,JRip_usePruning,JRip_optimizations,PART,PART_useMDLcorrection,J48_binarySplits,PART_pruning,PART_doNotMakeSplitPointActualValue,PART_binarySplits,PART_confidenceFactorValue,J48_confidenceFactorValue,SimpleCart_usePrune,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,Aggregator,DecisionTable_search,JRip_folds,JRip_minNo"
5,90,0.56238865,0.72009220,0.73586121,0.73532668,0.73748032,0057,0034,0074,0.62319973,"SimpleCart,DecisionTable,SimpleCart_usePrune,SimpleCart_useOneSE,DecisionTable_search,BestFirst_searchTermination,SimpleCart_numFoldsPruning,Aggregator,DecisionTable_useIBk,SimpleCart_minNumObj,DecisionTable_crossVal,BestFirst_direction,SimpleCart_heuristic,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,JRip,JRip_usePruning,JRip_optimizations,PART,PART_pruning,PART_minNumObj,PART_useMDLcorrection,PART_numFolds,JRip_checkErrorRate,PART_binarySplits,J48,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_pruning,J48_minNumObj,J48_binarySplits,J48_subtreeRaising,J48_numFolds,JRip_folds,JRip_minNo,J48_useMDLcorrection,PART_confidenceFactorValue,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,J48_useLaplace"
6,90,0.60593078,0.71843836,0.73586121,0.73532668,0.73748032,0064,0096,0074,0.62319973,"SimpleCart,DecisionTable,SimpleCart_heuristic,DecisionTable_crossVal,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,DecisionTable_search,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,Aggregator,DecisionTable_useIBk,SimpleCart_usePrune,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,PART_minNumObj,JRip_optimizations,PART,PART_useMDLcorrection,J48_binarySplits,J48_minNumObj,SimpleCart_useOneSE,J48_subtreeRaising,J48_numFolds,J48_pruning,PART_numFolds,PART_binarySplits,J48,JRip,J48_collapseTree,J48_confidenceFactorValue,JRip_checkErrorRate,PART_pruning,JRip_usePruning,JRip_folds,JRip_minNo,J48_useMDLcorrection,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,J48_useLaplace"
7,90,0.61956089,0.71369617,0.73586121,0.73532668,0.73748032,0055,0081,0058,0.45817117,"SimpleCart,DecisionTable,SimpleCart_heuristic,SimpleCart_usePrune,DecisionTable_useIBk,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,DecisionTable_search,GreedyStepwise_searchBackwards,JRip,BestFirst_direction,BestFirst_searchTermination,JRip_usePruning,JRip_folds,JRip_optimizations,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_minNumObj,J48_confidenceFactorValue,J48_collapseTree,J48_pruning,PART_minNumObj,PART_confidenceFactorValue,PART_numFolds,PART_binarySplits,JRip_minNo,J48,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,JRip_checkErrorRate,J48_subtreeRaising,J48_numFolds,PART,DecisionTable_evaluationMeasure,Aggregator,PART_pruning,DecisionTable_crossVal"
8,90,0.66549411,0.71415908,0.73586121,0.73532668,0.73748032,0052,0046,0058,0.45817117,"SimpleCart,SimpleCart_usePrune,DecisionTable,SimpleCart_heuristic,J48_pruning,J48_confidenceFactorValue,PART_numFolds,JRip_folds,BestFirst_searchTermination,GreedyStepwise_searchBackwards,J48_collapseTree,PART_confidenceFactorValue,JRip_optimizations,J48_minNumObj,BestFirst_direction,JRip_usePruning,PART_minNumObj,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,DecisionTable_search,SimpleCart_useOneSE,JRip,DecisionTable_useIBk,JRip_checkErrorRate,J48_subtreeRaising,PART,PART_useMDLcorrection,J48_numFolds,PART_doNotMakeSplitPointActualValue,JRip_minNo,GreedyStepwise_conservativeForwardSelection,J48,J48_doNotMakeSplitPointActualValue,J48_binarySplits,J48_useMDLcorrection,DecisionTable_crossVal,J48_useLaplace,PART_pruning"
9,90,0.65997066,0.71740912,0.73586121,0.73532668,0.73748032,0055,0045,0058,0.45817117,"DecisionTable,SimpleCart,SimpleCart_usePrune,SimpleCart_heuristic,PART_binarySplits,JRip_folds,J48_pruning,J48_confidenceFactorValue,JRip_usePruning,JRip_optimizations,J48_minNumObj,BestFirst_direction,PART_numFolds,PART_minNumObj,J48_collapseTree,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,BestFirst_searchTermination,DecisionTable_evaluationMeasure,Aggregator,J48_numFolds,J48_subtreeRaising,DecisionTable_useIBk,DecisionTable_crossVal,J48_useMDLcorrection,J48_useLaplace,PART_pruning,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,SimpleCart_useOneSE,DecisionTable_search,JRip,JRip_minNo,GreedyStepwise_conservativeForwardSelection,J48,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,J48_binarySplits,PART"
