individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,unpruned,null,null,null,9,false,true,null,null,true,true,null,true,8,3,null,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,true,false,null,null,false,rmse,MajorityVotingAggregator,false,true,null,3,6,6,true,null,true,false,4,false,null,0.0
overall,true,unpruned,false,null,null,7,false,true,null,null,true,true,null,true,null,6,null,reducedErrorPruning,false,false,false,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,auc,CompetenceBasedAggregator,false,true,7,9,null,3,true,null,true,true,8,true,null,0.8884615384615384
gen_000_ind_000,false,confidenceFactor,true,true,0.45,1,false,true,null,null,true,true,0.15,true,5,6,false,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,5,true,true,auc,CompetenceBasedAggregator,true,false,7,9,3,null,false,null,true,true,2,false,0.931998474446987,null
gen_000_ind_001,true,reducedErrorPruning,null,true,0.45,4,true,true,null,null,true,true,null,true,1,9,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,false,null,null,true,acc,RuleExtractorAggregator,false,false,null,10,5,null,false,3,false,false,9,false,0.9031655225019068,null
gen_000_ind_002,true,unpruned,true,null,null,6,true,true,1,9,true,true,null,true,null,9,false,unpruned,true,false,true,weka.attributeSelection.BestFirst,true,true,8,false,false,auc,CompetenceBasedAggregator,false,true,4,6,null,null,false,null,null,true,10,null,0.9319603356216628,null
gen_000_ind_003,null,unpruned,false,null,0.35,2,false,false,1,5,true,true,null,true,null,4,null,confidenceFactor,false,null,true,weka.attributeSelection.BestFirst,true,true,null,true,true,rmse,RuleExtractorAggregator,false,true,10,null,null,null,true,null,null,false,5,null,0.8570556826849733,null
gen_000_ind_004,null,confidenceFactor,true,true,0.25,2,true,false,2,9,true,true,0.05,true,null,8,false,confidenceFactor,true,null,true,weka.attributeSelection.BestFirst,true,true,8,true,false,rmse,RuleExtractorAggregator,true,true,2,null,null,null,true,null,null,false,9,null,0.8985507246376813,null
gen_000_ind_005,null,null,true,null,0.25,6,null,false,1,9,false,true,null,true,null,7,false,confidenceFactor,false,null,true,weka.attributeSelection.BestFirst,false,true,4,true,false,auc,MajorityVotingAggregator,null,null,2,null,null,null,null,null,null,null,null,null,0.9280701754385966,null
gen_000_ind_006,true,confidenceFactor,true,true,0.25,8,false,true,1,4,true,true,0.25,true,2,6,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,9,true,false,mae,MajorityVotingAggregator,false,true,3,4,9,null,true,null,null,true,2,null,0.9274790236460717,null
gen_000_ind_007,false,null,true,null,null,6,null,true,2,10,false,true,null,false,2,null,true,null,false,true,null,weka.attributeSelection.BestFirst,null,true,3,false,null,auc,RuleExtractorAggregator,null,null,2,4,8,null,null,null,null,null,null,null,0.904881769641495,null
gen_000_ind_008,true,confidenceFactor,false,true,null,9,false,true,2,1,true,true,0.35,true,8,3,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,MajorityVotingAggregator,true,true,6,7,2,null,true,null,null,true,6,null,0.9371853546910754,null
gen_000_ind_009,true,confidenceFactor,true,true,0.45,8,false,true,null,null,true,true,0.15,true,6,4,false,confidenceFactor,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,4,true,true,mae,MajorityVotingAggregator,false,true,9,3,3,null,true,null,false,false,4,false,0.9365751334858887,null
gen_000_ind_010,true,confidenceFactor,true,false,null,1,false,true,2,1,true,true,0.05,false,2,null,false,null,true,true,null,weka.attributeSelection.BestFirst,null,true,5,true,null,auc,RuleExtractorAggregator,false,true,2,2,2,null,true,null,null,false,4,null,0.8996948893974066,null
gen_000_ind_011,null,confidenceFactor,false,true,null,1,false,false,1,4,true,true,0.35,true,null,8,null,unpruned,false,null,true,weka.attributeSelection.BestFirst,true,true,null,true,true,auc,RuleExtractorAggregator,true,false,2,null,null,null,false,null,null,false,3,null,0.850190694126621,null
gen_000_ind_012,true,confidenceFactor,false,false,null,2,false,true,1,6,true,true,0.45,true,1,5,null,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,true,true,null,false,true,rmse,RuleExtractorAggregator,false,false,2,9,4,3,true,null,null,false,2,null,0.892601067887109,null
gen_000_ind_013,true,reducedErrorPruning,false,true,0.35,9,false,true,2,8,true,true,null,true,6,5,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,CompetenceBasedAggregator,true,false,2,6,4,null,false,6,null,true,6,null,0.9377192982456141,null
gen_000_ind_014,false,reducedErrorPruning,false,true,null,4,false,true,1,8,true,true,null,true,null,6,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,null,false,true,rmse,CompetenceBasedAggregator,true,true,4,4,null,null,true,8,null,false,4,null,0.9376048817696414,null
gen_000_ind_015,null,reducedErrorPruning,false,true,null,2,false,false,2,5,true,true,null,true,null,7,null,reducedErrorPruning,false,null,false,weka.attributeSelection.BestFirst,true,true,null,false,true,auc,RuleExtractorAggregator,false,true,10,null,null,3,true,3,null,false,8,null,0.8861556064073227,null
