individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,null,confidenceFactor,true,true,null,4,true,false,null,null,true,true,0.25,true,null,10,false,unpruned,false,null,true,weka.attributeSelection.GreedyStepwise,false,true,3,true,false,acc,MajorityVotingAggregator,true,false,5,null,null,null,true,null,true,false,2,false,null,0.9941868279569892
overall,true,confidenceFactor,true,false,0.05,10,false,true,1,9,true,true,0.15,true,10,5,true,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,4,true,false,auc,MajorityVotingAggregator,false,true,7,10,6,null,true,null,null,false,3,null,null,0.9941868279569892
gen_000_ind_000,true,reducedErrorPruning,true,true,null,1,true,true,null,null,true,true,null,true,null,4,true,unpruned,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,8,false,true,rmse,CompetenceBasedAggregator,false,false,2,10,null,null,false,9,true,true,5,true,0.9952152436941158,null
gen_000_ind_001,false,unpruned,true,null,0.45,null,false,true,null,null,true,false,null,true,null,4,false,confidenceFactor,null,false,true,null,false,true,5,false,false,null,RuleExtractorAggregator,false,true,6,2,null,null,true,null,null,false,5,null,0.9777471156139532,null
gen_000_ind_002,true,unpruned,true,null,null,8,false,true,null,null,true,true,null,true,6,7,false,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,5,false,false,mae,MajorityVotingAggregator,true,false,6,6,8,null,false,null,true,true,6,true,0.9940705433351603,null
gen_000_ind_003,null,reducedErrorPruning,true,false,0.25,10,true,false,0,2,true,true,null,true,null,3,true,confidenceFactor,true,null,true,weka.attributeSelection.BestFirst,false,true,2,true,false,auc,MajorityVotingAggregator,false,true,3,null,null,null,false,9,null,false,2,null,0.9969108294271694,null
gen_000_ind_004,false,null,true,null,null,6,null,true,1,1,false,true,null,false,null,null,true,null,true,false,null,weka.attributeSelection.BestFirst,null,true,9,false,null,mae,CompetenceBasedAggregator,null,null,2,5,null,null,null,null,null,null,null,null,0.9832015394849816,null
gen_000_ind_005,true,confidenceFactor,false,false,0.05,6,true,true,0,3,true,true,0.45,true,4,5,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,MajorityVotingAggregator,true,true,6,9,8,null,true,null,null,false,3,null,0.994684157198721,null
gen_000_ind_006,true,reducedErrorPruning,false,true,null,null,true,true,null,null,true,false,null,true,null,10,null,reducedErrorPruning,null,false,false,null,false,true,null,false,false,null,MajorityVotingAggregator,true,true,3,2,null,6,false,10,null,false,2,null,0.9888815176538713,null
gen_000_ind_007,false,reducedErrorPruning,false,false,null,5,false,true,null,null,true,true,null,true,null,5,null,reducedErrorPruning,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,rmse,CompetenceBasedAggregator,false,false,10,9,null,6,true,4,true,true,10,false,0.9936122948479087,null
gen_000_ind_008,true,null,false,null,0.25,null,null,true,null,null,false,false,null,true,2,2,null,confidenceFactor,null,true,true,null,false,true,null,true,false,null,MajorityVotingAggregator,null,null,6,5,7,null,null,null,null,null,null,null,0.9888279934645677,null
gen_000_ind_009,true,confidenceFactor,true,true,null,4,true,true,0,5,true,true,0.15,true,null,6,true,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,5,false,true,acc,RuleExtractorAggregator,true,false,4,10,null,null,false,null,null,true,5,null,0.9733010341438872,null
gen_000_ind_010,true,confidenceFactor,false,true,null,1,false,true,2,10,true,true,0.45,true,7,4,null,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,true,true,null,false,true,auc,MajorityVotingAggregator,true,false,2,5,5,8,true,null,null,true,2,null,0.991266642459453,null
gen_000_ind_011,false,reducedErrorPruning,true,true,null,5,false,true,null,null,true,true,null,true,4,3,true,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,10,true,true,auc,MajorityVotingAggregator,true,false,6,9,10,null,false,2,false,false,2,false,0.9958660746663375,null
gen_000_ind_012,true,confidenceFactor,true,true,0.25,5,true,true,null,null,true,true,0.45,true,3,2,false,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,10,true,false,auc,MajorityVotingAggregator,false,false,10,8,4,null,false,null,false,false,2,true,0.9954952850949583,null
gen_000_ind_013,true,reducedErrorPruning,false,false,0.15,9,false,true,null,null,true,true,null,true,null,9,null,confidenceFactor,false,false,false,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,auc,MajorityVotingAggregator,true,true,10,7,null,null,true,6,false,false,10,true,0.9924008919394869,null
gen_000_ind_014,false,confidenceFactor,true,true,null,7,true,true,null,null,true,true,0.45,true,2,2,false,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,10,false,false,mae,CompetenceBasedAggregator,true,true,7,9,6,null,true,null,true,true,8,true,0.9865369482590284,null
gen_000_ind_015,true,confidenceFactor,null,false,null,null,false,true,null,null,true,false,0.25,true,7,8,null,reducedErrorPruning,null,true,true,null,false,false,null,null,true,null,CompetenceBasedAggregator,false,false,null,4,3,3,true,null,null,false,10,null,0.9830542365578616,null
