gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.95595378,0.99118679,0.99790591,0.99560041,1.00000000,0058,0034,0035,0.00000000,"DecisionTable,DecisionTable_useIBk,DecisionTable_search,PART,PART_pruning,PART_binarySplits,JRip,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,PART_doNotMakeSplitPointActualValue,J48,JRip_minNo,DecisionTable_crossVal,PART_numFolds,PART_minNumObj,Aggregator,J48_minNumObj,SimpleCart,BestFirst_direction,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_binarySplits,SimpleCart_minNumObj,JRip_usePruning,DecisionTable_evaluationMeasure,SimpleCart_heuristic,PART_confidenceFactorValue,BestFirst_searchTermination,JRip_checkErrorRate,J48_collapseTree,JRip_optimizations,J48_useLaplace,J48_useMDLcorrection,J48_pruning,J48_numFolds,J48_confidenceFactorValue,SimpleCart_usePrune,JRip_folds,SimpleCart_numFoldsPruning,J48_subtreeRaising,SimpleCart_useOneSE"
1,90,0.95551398,0.99358987,0.99791680,0.99090320,1.00000000,0040,0034,0035,0.00000000,"DecisionTable,DecisionTable_useIBk,DecisionTable_crossVal,PART,PART_useMDLcorrection,J48,PART_binarySplits,SimpleCart,PART_minNumObj,J48_minNumObj,Aggregator,JRip,J48_binarySplits,DecisionTable_evaluationMeasure,J48_pruning,PART_doNotMakeSplitPointActualValue,J48_useMDLcorrection,SimpleCart_minNumObj,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,J48_numFolds,SimpleCart_usePrune,PART_pruning,BestFirst_direction,JRip_minNo,SimpleCart_heuristic,J48_collapseTree,JRip_usePruning,PART_numFolds,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,JRip_optimizations,SimpleCart_numFoldsPruning,JRip_checkErrorRate,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,JRip_folds,SimpleCart_useOneSE,BestFirst_searchTermination,PART_confidenceFactorValue"
2,90,0.96124246,0.99326886,0.99842224,0.98531386,1.00000000,0035,0034,0035,0.00000000,"JRip,JRip_checkErrorRate,PART,SimpleCart,SimpleCart_usePrune,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue,DecisionTable,Aggregator,J48,J48_pruning,JRip_usePruning,J48_subtreeRaising,PART_binarySplits,SimpleCart_numFoldsPruning,JRip_minNo,SimpleCart_heuristic,J48_minNumObj,PART_minNumObj,J48_doNotMakeSplitPointActualValue,PART_pruning,JRip_optimizations,PART_useMDLcorrection,DecisionTable_search,BestFirst_direction,PART_numFolds,PART_confidenceFactorValue,SimpleCart_minNumObj,J48_binarySplits,J48_confidenceFactorValue,J48_collapseTree,J48_useMDLcorrection,DecisionTable_useIBk,DecisionTable_evaluationMeasure,J48_useLaplace,DecisionTable_crossVal,J48_numFolds,JRip_folds,GreedyStepwise_searchBackwards,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection"
3,90,0.95769210,0.99236410,0.99842224,0.98531386,1.00000000,0040,0034,0035,0.00000000,"DecisionTable,DecisionTable_evaluationMeasure,PART,SimpleCart,SimpleCart_minNumObj,JRip,Aggregator,DecisionTable_crossVal,PART_binarySplits,JRip_checkErrorRate,JRip_usePruning,J48,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,SimpleCart_usePrune,PART_pruning,PART_numFolds,DecisionTable_search,PART_minNumObj,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_collapseTree,J48_useMDLcorrection,JRip_minNo,J48_useLaplace,SimpleCart_heuristic,JRip_folds,J48_binarySplits,J48_pruning,J48_minNumObj,PART_confidenceFactorValue,JRip_optimizations,BestFirst_direction,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising"
4,90,0.96268312,0.99452044,0.99851638,0.99460835,1.00000000,0046,0034,0073,0.53803121,"DecisionTable,J48,DecisionTable_crossVal,Aggregator,DecisionTable_evaluationMeasure,J48_minNumObj,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,GreedyStepwise_searchBackwards,JRip,JRip_minNo,PART,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,PART_minNumObj,PART_pruning,PART_useMDLcorrection,PART_confidenceFactorValue,PART_binarySplits,PART_numFolds,BestFirst_direction,JRip_usePruning,JRip_optimizations,JRip_folds,J48_collapseTree,SimpleCart,SimpleCart_usePrune,J48_pruning,DecisionTable_useIBk,J48_subtreeRaising,J48_useLaplace,SimpleCart_minNumObj,J48_useMDLcorrection,J48_confidenceFactorValue,SimpleCart_useOneSE,J48_binarySplits,SimpleCart_heuristic,J48_numFolds,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue"
5,90,0.97123813,0.99464281,0.99851638,0.99460835,1.00000000,0053,0034,0073,0.53803121,"J48,DecisionTable,DecisionTable_evaluationMeasure,J48_minNumObj,J48_pruning,J48_subtreeRaising,J48_useLaplace,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,JRip,JRip_checkErrorRate,J48_useMDLcorrection,J48_confidenceFactorValue,JRip_minNo,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,PART,PART_useMDLcorrection,Aggregator,PART_binarySplits,PART_minNumObj,PART_pruning,PART_confidenceFactorValue,PART_numFolds,J48_collapseTree,BestFirst_direction,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,J48_numFolds,JRip_usePruning,JRip_optimizations,JRip_folds,SimpleCart,SimpleCart_minNumObj,J48_binarySplits,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
6,90,0.97594073,0.99538279,0.99863916,0.99237980,0.99895833,0052,0034,0073,0.53803121,"J48,DecisionTable,J48_useMDLcorrection,DecisionTable_evaluationMeasure,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,JRip,JRip_minNo,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,PART,Aggregator,JRip_checkErrorRate,PART_minNumObj,PART_binarySplits,PART_pruning,PART_confidenceFactorValue,PART_useMDLcorrection,PART_numFolds,PART_doNotMakeSplitPointActualValue,JRip_usePruning,JRip_optimizations,J48_useLaplace,JRip_folds,J48_collapseTree,J48_pruning,SimpleCart,SimpleCart_usePrune,J48_subtreeRaising,J48_confidenceFactorValue,SimpleCart_heuristic,J48_numFolds,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,J48_binarySplits,SimpleCart_minNumObj,J48_minNumObj"
7,90,0.96945822,0.99502527,0.99863916,0.99237980,0.99895833,0048,0034,0053,0.45863735,"PART,DecisionTable,J48,J48_useMDLcorrection,SimpleCart,J48_pruning,PART_pruning,J48_collapseTree,DecisionTable_search,SimpleCart_heuristic,J48_subtreeRaising,J48_useLaplace,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,J48_binarySplits,J48_minNumObj,J48_numFolds,PART_numFolds,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,BestFirst_direction,DecisionTable_crossVal,PART_useMDLcorrection,JRip,PART_minNumObj,JRip_usePruning,JRip_optimizations,JRip_folds,PART_doNotMakeSplitPointActualValue,PART_binarySplits,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,JRip_checkErrorRate,SimpleCart_numFoldsPruning,Aggregator,DecisionTable_useIBk,JRip_minNo,SimpleCart_useOneSE,PART_confidenceFactorValue"
8,90,0.96433238,0.99456918,0.99868138,0.99498217,1.00000000,0040,0034,0053,0.45863735,"J48,J48_useLaplace,J48_useMDLcorrection,J48_binarySplits,J48_collapseTree,J48_minNumObj,DecisionTable,J48_pruning,SimpleCart,J48_subtreeRaising,J48_numFolds,PART,DecisionTable_search,SimpleCart_heuristic,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,PART_pruning,PART_numFolds,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,PART_binarySplits,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,PART_useMDLcorrection,PART_minNumObj,BestFirst_direction,BestFirst_searchTermination,JRip,JRip_usePruning,JRip_optimizations,JRip_folds,JRip_checkErrorRate,JRip_minNo,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,Aggregator"
9,90,0.95910702,0.99491167,0.99868138,0.99498217,1.00000000,0042,0034,0053,0.45863735,"SimpleCart,DecisionTable,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,J48,PART,J48_useLaplace,SimpleCart_heuristic,J48_useMDLcorrection,J48_minNumObj,J48_binarySplits,J48_collapseTree,PART_pruning,J48_pruning,PART_numFolds,J48_subtreeRaising,J48_confidenceFactorValue,J48_numFolds,JRip_usePruning,JRip_folds,JRip_optimizations,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,BestFirst_searchTermination,BestFirst_direction,JRip,PART_useMDLcorrection,PART_minNumObj,SimpleCart_usePrune,JRip_checkErrorRate,DecisionTable_useIBk,Aggregator,JRip_minNo,SimpleCart_minNumObj,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,PART_binarySplits,PART_confidenceFactorValue,SimpleCart_useOneSE"
