gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.61329033,0.73464119,0.75543980,0.66297638,0.77322404,0081,0034,0035,0.00000000,"Aggregator,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_search,SimpleCart,BestFirst_direction,PART,GreedyStepwise_searchBackwards,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,J48,J48_binarySplits,JRip,PART_minNumObj,JRip_checkErrorRate,SimpleCart_minNumObj,PART_pruning,SimpleCart_usePrune,SimpleCart_useOneSE,JRip_minNo,J48_collapseTree,PART_binarySplits,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_pruning,SimpleCart_numFoldsPruning,J48_useLaplace,J48_confidenceFactorValue,PART_numFolds,BestFirst_searchTermination,PART_confidenceFactorValue,J48_numFolds,JRip_usePruning,J48_minNumObj,J48_useMDLcorrection,J48_subtreeRaising,JRip_folds,JRip_optimizations"
1,90,0.56408236,0.73822803,0.75543980,0.66297638,0.77322404,0059,0034,0035,0.00000000,"DecisionTable,DecisionTable_search,PART,BestFirst_direction,PART_doNotMakeSplitPointActualValue,Aggregator,PART_pruning,BestFirst_searchTermination,JRip,SimpleCart,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,DecisionTable_crossVal,J48,PART_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,PART_minNumObj,J48_useLaplace,J48_binarySplits,J48_pruning,PART_binarySplits,J48_numFolds,PART_numFolds,J48_minNumObj,SimpleCart_usePrune,PART_confidenceFactorValue,J48_useMDLcorrection,JRip_checkErrorRate,SimpleCart_minNumObj,J48_confidenceFactorValue,SimpleCart_heuristic,JRip_usePruning,JRip_minNo,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,JRip_folds,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,JRip_optimizations"
2,90,0.65889576,0.73670067,0.75543980,0.66297638,0.77322404,0068,0034,0035,0.00000000,"SimpleCart,SimpleCart_minNumObj,JRip,DecisionTable,DecisionTable_evaluationMeasure,SimpleCart_usePrune,DecisionTable_crossVal,SimpleCart_heuristic,J48,PART,J48_useLaplace,DecisionTable_useIBk,JRip_checkErrorRate,Aggregator,JRip_usePruning,J48_pruning,JRip_folds,DecisionTable_search,JRip_minNo,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,PART_pruning,J48_confidenceFactorValue,PART_useMDLcorrection,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,JRip_optimizations,PART_doNotMakeSplitPointActualValue,J48_binarySplits,SimpleCart_useOneSE,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,J48_numFolds,J48_collapseTree,J48_minNumObj,J48_useMDLcorrection,PART_binarySplits,GreedyStepwise_searchBackwards,PART_numFolds,PART_minNumObj,BestFirst_searchTermination"
3,90,0.64786266,0.73734103,0.75692491,0.66196994,0.76745598,0065,0034,0035,0.00000000,"J48,J48_useMDLcorrection,DecisionTable,J48_binarySplits,DecisionTable_useIBk,J48_minNumObj,JRip,J48_doNotMakeSplitPointActualValue,JRip_minNo,Aggregator,JRip_checkErrorRate,J48_collapseTree,J48_pruning,J48_confidenceFactorValue,PART,J48_useLaplace,PART_pruning,DecisionTable_search,PART_useMDLcorrection,GreedyStepwise_searchBackwards,SimpleCart,SimpleCart_heuristic,J48_numFolds,DecisionTable_evaluationMeasure,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_subtreeRaising,BestFirst_direction,JRip_usePruning,PART_numFolds,PART_confidenceFactorValue,PART_minNumObj,SimpleCart_useOneSE,SimpleCart_minNumObj,PART_binarySplits,JRip_folds,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,JRip_optimizations"
4,90,0.62030770,0.73734184,0.75872131,0.63982823,0.78157256,0064,0034,0070,0.49382723,"SimpleCart,J48,PART,JRip,JRip_minNo,PART_minNumObj,SimpleCart_minNumObj,JRip_usePruning,JRip_optimizations,PART_pruning,J48_useMDLcorrection,J48_binarySplits,J48_collapseTree,PART_confidenceFactorValue,SimpleCart_usePrune,SimpleCart_numFoldsPruning,DecisionTable,DecisionTable_search,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,PART_binarySplits,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,GreedyStepwise_searchBackwards,PART_useMDLcorrection,J48_useLaplace,PART_numFolds,J48_pruning,J48_numFolds,J48_subtreeRaising,Aggregator,J48_confidenceFactorValue,SimpleCart_heuristic,JRip_folds,BestFirst_direction,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,DecisionTable_crossVal,J48_minNumObj,BestFirst_searchTermination"
5,90,0.62550315,0.74193041,0.75872131,0.63982823,0.78157256,0060,0034,0070,0.49382723,"JRip,PART,J48,SimpleCart,JRip_usePruning,SimpleCart_minNumObj,PART_binarySplits,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,PART_pruning,SimpleCart_heuristic,J48_useMDLcorrection,JRip_folds,JRip_minNo,PART_minNumObj,PART_confidenceFactorValue,JRip_optimizations,J48_binarySplits,SimpleCart_numFoldsPruning,J48_collapseTree,JRip_checkErrorRate,DecisionTable,DecisionTable_useIBk,DecisionTable_search,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,J48_useLaplace,PART_numFolds,DecisionTable_evaluationMeasure,DecisionTable_crossVal,J48_pruning,J48_minNumObj,J48_subtreeRaising,J48_confidenceFactorValue,J48_numFolds,PART_useMDLcorrection,Aggregator,BestFirst_direction,SimpleCart_useOneSE"
6,90,0.65382875,0.74407840,0.75872131,0.63982823,0.78157256,0058,0034,0070,0.49382723,"JRip,SimpleCart,J48,PART,JRip_checkErrorRate,SimpleCart_usePrune,J48_minNumObj,PART_minNumObj,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,DecisionTable,PART_binarySplits,DecisionTable_search,JRip_minNo,J48_useMDLcorrection,JRip_usePruning,JRip_optimizations,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,PART_pruning,SimpleCart_minNumObj,J48_collapseTree,PART_confidenceFactorValue,DecisionTable_useIBk,BestFirst_searchTermination,J48_useLaplace,PART_numFolds,PART_useMDLcorrection,SimpleCart_heuristic,J48_pruning,J48_numFolds,Aggregator,J48_confidenceFactorValue,J48_subtreeRaising,JRip_folds,DecisionTable_evaluationMeasure,DecisionTable_crossVal,BestFirst_direction,SimpleCart_useOneSE"
7,90,0.62734807,0.74128370,0.75872131,0.63982823,0.78157256,0065,0046,0061,0.59267026,"SimpleCart,JRip,J48,PART,SimpleCart_heuristic,Aggregator,PART_useMDLcorrection,JRip_minNo,SimpleCart_minNumObj,JRip_usePruning,J48_minNumObj,JRip_optimizations,SimpleCart_usePrune,JRip_folds,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,JRip_checkErrorRate,BestFirst_searchTermination,PART_pruning,PART_binarySplits,PART_doNotMakeSplitPointActualValue,BestFirst_direction,J48_collapseTree,PART_numFolds,PART_confidenceFactorValue,DecisionTable,J48_pruning,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,J48_numFolds,J48_useMDLcorrection,DecisionTable_crossVal,J48_subtreeRaising,PART_minNumObj,DecisionTable_useIBk,J48_binarySplits,J48_useLaplace,J48_doNotMakeSplitPointActualValue"
8,90,0.64222408,0.74616233,0.75949874,0.66196994,0.77170613,0056,0054,0061,0.59267026,"J48,JRip,PART,Aggregator,PART_useMDLcorrection,SimpleCart,SimpleCart_heuristic,PART_numFolds,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,JRip_folds,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,JRip_checkErrorRate,PART_pruning,SimpleCart_minNumObj,SimpleCart_usePrune,JRip_minNo,J48_minNumObj,JRip_usePruning,PART_doNotMakeSplitPointActualValue,J48_binarySplits,J48_useMDLcorrection,PART_binarySplits,PART_minNumObj,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_useLaplace,J48_pruning,PART_confidenceFactorValue,DecisionTable,DecisionTable_crossVal,J48_subtreeRaising,DecisionTable_evaluationMeasure,DecisionTable_search,BestFirst_searchTermination,DecisionTable_useIBk,J48_numFolds,BestFirst_direction"
9,90,0.64718890,0.74306639,0.76293509,0.66358025,0.79310868,0062,0034,0061,0.59267026,"PART,PART_useMDLcorrection,JRip,Aggregator,J48,SimpleCart,SimpleCart_heuristic,J48_pruning,J48_confidenceFactorValue,J48_collapseTree,PART_binarySplits,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_numFolds,PART_confidenceFactorValue,DecisionTable,DecisionTable_useIBk,J48_useLaplace,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_numFolds,DecisionTable_crossVal,PART_minNumObj,J48_subtreeRaising,DecisionTable_evaluationMeasure,J48_useMDLcorrection,J48_minNumObj,DecisionTable_search,JRip_minNo,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,JRip_optimizations,JRip_folds,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,BestFirst_searchTermination,BestFirst_direction,JRip_checkErrorRate"
