gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.77935463,0.92424494,0.93038888,0.90747591,0.93525677,0062,0034,0035,0.00000000,"SimpleCart,PART,DecisionTable,J48,SimpleCart_minNumObj,SimpleCart_heuristic,J48_useLaplace,DecisionTable_search,BestFirst_direction,SimpleCart_usePrune,J48_binarySplits,J48_pruning,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,PART_binarySplits,PART_pruning,J48_subtreeRaising,Aggregator,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,JRip,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,BestFirst_searchTermination,J48_minNumObj,JRip_usePruning,J48_collapseTree,DecisionTable_useIBk,J48_numFolds,PART_useMDLcorrection,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,PART_minNumObj,J48_confidenceFactorValue,JRip_checkErrorRate,JRip_folds,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,PART_confidenceFactorValue,PART_numFolds,JRip_minNo"
1,90,0.78278662,0.92606789,0.93169578,0.91114973,0.93704714,0035,0034,0035,0.00000000,"DecisionTable,Aggregator,DecisionTable_search,J48,JRip,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,SimpleCart,PART,DecisionTable_crossVal,J48_collapseTree,DecisionTable_useIBk,DecisionTable_evaluationMeasure,JRip_checkErrorRate,J48_useLaplace,GreedyStepwise_searchBackwards,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,J48_minNumObj,J48_pruning,JRip_usePruning,SimpleCart_minNumObj,BestFirst_searchTermination,J48_binarySplits,J48_numFolds,JRip_minNo,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,PART_useMDLcorrection,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,PART_binarySplits,JRip_folds,J48_subtreeRaising,PART_numFolds,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,JRip_optimizations,J48_confidenceFactorValue"
2,90,0.75531892,0.92582328,0.93169578,0.91114973,0.93704714,0036,0034,0035,0.00000000,"JRip,DecisionTable,DecisionTable_useIBk,JRip_usePruning,DecisionTable_evaluationMeasure,PART,PART_useMDLcorrection,JRip_optimizations,SimpleCart,DecisionTable_search,SimpleCart_heuristic,PART_binarySplits,J48,J48_useMDLcorrection,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,Aggregator,JRip_minNo,J48_collapseTree,PART_pruning,BestFirst_direction,J48_useLaplace,J48_minNumObj,PART_minNumObj,J48_pruning,JRip_checkErrorRate,SimpleCart_usePrune,GreedyStepwise_searchBackwards,JRip_folds,SimpleCart_minNumObj,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,J48_binarySplits,SimpleCart_numFoldsPruning,J48_numFolds,PART_numFolds,J48_subtreeRaising,SimpleCart_useOneSE"
3,90,0.79321372,0.92655495,0.93169578,0.91114973,0.93704714,0035,0034,0035,0.00000000,"Aggregator,DecisionTable,DecisionTable_evaluationMeasure,SimpleCart,J48,J48_useLaplace,PART,DecisionTable_useIBk,JRip,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,JRip_minNo,J48_minNumObj,JRip_usePruning,J48_pruning,J48_useMDLcorrection,PART_pruning,SimpleCart_heuristic,PART_minNumObj,SimpleCart_minNumObj,PART_binarySplits,SimpleCart_usePrune,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,DecisionTable_search,J48_binarySplits,J48_collapseTree,J48_subtreeRaising,JRip_checkErrorRate,SimpleCart_useOneSE,PART_numFolds,BestFirst_direction,SimpleCart_numFoldsPruning,JRip_folds,PART_useMDLcorrection,GreedyStepwise_searchBackwards,JRip_optimizations,J48_numFolds,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination"
4,90,0.78605530,0.92699665,0.93169578,0.91114973,0.93704714,0040,0057,0075,0.49688936,"PART,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_pruning,PART_numFolds,PART_confidenceFactorValue,PART_binarySplits,JRip,DecisionTable,DecisionTable_search,BestFirst_searchTermination,Aggregator,JRip_usePruning,BestFirst_direction,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,JRip_checkErrorRate,DecisionTable_crossVal,JRip_optimizations,JRip_folds,J48_pruning,SimpleCart_numFoldsPruning,DecisionTable_useIBk,J48,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_useLaplace,J48_confidenceFactorValue,J48_useMDLcorrection,J48_numFolds,SimpleCart,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_heuristic,JRip_minNo,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,J48_binarySplits,PART_minNumObj,SimpleCart_minNumObj,J48_minNumObj"
5,90,0.77140991,0.92751154,0.93255955,0.91109335,0.93896676,0045,0041,0075,0.49688936,"PART,PART_minNumObj,PART_binarySplits,PART_useMDLcorrection,PART_pruning,PART_numFolds,PART_confidenceFactorValue,DecisionTable,JRip,DecisionTable_crossVal,JRip_usePruning,JRip_optimizations,PART_doNotMakeSplitPointActualValue,DecisionTable_search,BestFirst_searchTermination,Aggregator,GreedyStepwise_searchBackwards,BestFirst_direction,JRip_minNo,JRip_checkErrorRate,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,JRip_folds,DecisionTable_useIBk,J48_subtreeRaising,SimpleCart_useOneSE,J48_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,J48,J48_collapseTree,J48_useLaplace,J48_pruning,J48_confidenceFactorValue,J48_binarySplits,J48_useMDLcorrection,J48_numFolds,SimpleCart,SimpleCart_usePrune,SimpleCart_heuristic,J48_minNumObj,SimpleCart_minNumObj"
6,90,0.79975781,0.92806647,0.93255955,0.91109335,0.93896676,0051,0045,0075,0.49688936,"PART,PART_doNotMakeSplitPointActualValue,PART_binarySplits,PART_pruning,PART_useMDLcorrection,PART_numFolds,PART_minNumObj,PART_confidenceFactorValue,JRip,DecisionTable,J48_collapseTree,J48_subtreeRaising,BestFirst_searchTermination,Aggregator,JRip_usePruning,DecisionTable_useIBk,JRip_optimizations,DecisionTable_crossVal,JRip_checkErrorRate,DecisionTable_evaluationMeasure,JRip_minNo,DecisionTable_search,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,JRip_folds,SimpleCart_numFoldsPruning,J48,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_useLaplace,J48_confidenceFactorValue,SimpleCart_useOneSE,J48_binarySplits,J48_useMDLcorrection,J48_minNumObj,J48_numFolds,SimpleCart,SimpleCart_minNumObj,SimpleCart_heuristic,SimpleCart_usePrune"
7,90,0.78366695,0.92826916,0.93255955,0.91109335,0.93896676,0042,0034,0067,0.37262897,"J48,PART,DecisionTable,DecisionTable_crossVal,DecisionTable_evaluationMeasure,J48_minNumObj,J48_pruning,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue,PART_binarySplits,SimpleCart_minNumObj,J48_binarySplits,SimpleCart_useOneSE,SimpleCart_usePrune,JRip_minNo,J48_collapseTree,J48_useLaplace,PART_pruning,PART_confidenceFactorValue,PART_numFolds,DecisionTable_search,BestFirst_searchTermination,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_useMDLcorrection,SimpleCart,JRip,JRip_usePruning,JRip_optimizations,Aggregator,JRip_folds,SimpleCart_heuristic,JRip_checkErrorRate"
8,90,0.81639107,0.92812994,0.93328963,0.91099719,0.93863209,0041,0071,0067,0.37262897,"DecisionTable,J48,PART,PART_numFolds,PART_confidenceFactorValue,BestFirst_direction,BestFirst_searchTermination,J48_numFolds,J48_confidenceFactorValue,PART_useMDLcorrection,J48_pruning,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising,DecisionTable_search,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,J48_useLaplace,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,J48_minNumObj,PART_binarySplits,PART_pruning,DecisionTable_crossVal,J48_binarySplits,J48_useMDLcorrection,SimpleCart,JRip,SimpleCart_minNumObj,SimpleCart_usePrune,JRip_minNo,SimpleCart_useOneSE,JRip_usePruning,JRip_optimizations,SimpleCart_heuristic,Aggregator,SimpleCart_numFoldsPruning,JRip_folds,JRip_checkErrorRate"
9,90,0.77651775,0.92804891,0.93328963,0.91099719,0.93863209,0042,0058,0067,0.37262897,"J48,DecisionTable,PART,J48_useLaplace,DecisionTable_crossVal,DecisionTable_evaluationMeasure,J48_minNumObj,J48_pruning,PART_binarySplits,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue,PART_useMDLcorrection,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_minNumObj,J48_binarySplits,JRip_minNo,JRip_optimizations,Aggregator,SimpleCart_heuristic,JRip_usePruning,SimpleCart_numFoldsPruning,JRip_folds,JRip_checkErrorRate,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,PART_confidenceFactorValue,PART_numFolds,J48_collapseTree,DecisionTable_search,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,PART_pruning,JRip,SimpleCart"
