individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,unpruned,false,null,null,1,true,true,null,null,true,true,null,true,null,7,null,reducedErrorPruning,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,acc,CompetenceBasedAggregator,false,true,7,7,null,6,false,null,false,true,5,true,null,0.8097826086956522
overall,true,unpruned,false,null,0.35,4,true,true,2,8,true,true,null,true,1,6,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,CompetenceBasedAggregator,false,false,7,7,9,null,false,null,null,false,9,null,null,0.8097826086956522
gen_000_ind_000,null,unpruned,true,null,null,3,true,false,null,null,true,true,null,true,null,9,false,unpruned,false,null,true,weka.attributeSelection.GreedyStepwise,false,true,8,false,true,rmse,MajorityVotingAggregator,false,false,6,null,null,null,true,null,true,true,9,false,0.6244403880433292,null
gen_000_ind_001,null,null,false,null,0.15,10,null,false,1,4,false,true,null,true,null,10,null,confidenceFactor,true,null,false,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,MajorityVotingAggregator,null,null,5,null,null,null,null,null,null,null,null,null,0.67720116892911,null
gen_000_ind_002,false,confidenceFactor,null,true,0.35,10,false,true,1,1,true,true,0.05,true,null,9,null,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,true,false,null,null,true,acc,RuleExtractorAggregator,false,true,null,9,null,null,false,null,null,true,10,null,0.5563134169751816,null
gen_000_ind_003,false,unpruned,null,null,null,8,false,true,null,null,true,true,null,true,3,5,null,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,false,false,null,null,true,auc,RuleExtractorAggregator,false,true,null,5,2,null,true,null,false,false,7,true,0.6127823769367887,null
gen_000_ind_004,true,null,true,null,null,8,null,true,null,null,false,true,null,true,2,10,false,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,9,true,false,auc,MajorityVotingAggregator,null,null,6,6,3,null,null,null,false,null,null,true,0.6515340052104758,null
gen_000_ind_005,true,reducedErrorPruning,true,false,0.45,4,false,true,2,7,true,true,null,true,null,7,false,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,5,true,true,mae,RuleExtractorAggregator,false,true,5,10,null,null,true,2,null,true,2,null,0.637974341834636,null
gen_000_ind_006,true,reducedErrorPruning,false,false,null,7,true,true,2,7,true,true,null,true,4,3,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,CompetenceBasedAggregator,false,false,3,7,8,null,true,4,null,false,5,null,0.6612852221308103,null
gen_000_ind_007,false,unpruned,true,null,0.35,8,false,true,null,null,true,true,null,true,2,5,true,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,4,true,false,mae,MajorityVotingAggregator,false,false,2,10,10,null,false,null,false,false,9,true,0.6893172391334156,null
