gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.53924868,0.65511214,0.71521493,0.69362745,0.74728261,0005,0034,0035,0.00000000,"PART,Aggregator,PART_minNumObj,JRip,DecisionTable,J48,SimpleCart,PART_pruning,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,DecisionTable_search,PART_binarySplits,SimpleCart_heuristic,BestFirst_direction,SimpleCart_minNumObj,JRip_minNo,JRip_usePruning,SimpleCart_usePrune,PART_confidenceFactorValue,BestFirst_searchTermination,J48_pruning,J48_useMDLcorrection,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,PART_numFolds,J48_collapseTree,J48_useLaplace,J48_minNumObj,GreedyStepwise_searchBackwards,J48_binarySplits,DecisionTable_crossVal,JRip_checkErrorRate,DecisionTable_useIBk,JRip_optimizations,J48_subtreeRaising,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,SimpleCart_useOneSE,J48_numFolds,JRip_folds"
1,90,0.55017011,0.66895311,0.71914250,0.62990196,0.77173913,0005,0034,0035,0.00000000,"J48,J48_useLaplace,SimpleCart,J48_pruning,SimpleCart_heuristic,J48_useMDLcorrection,SimpleCart_usePrune,J48_minNumObj,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,DecisionTable,DecisionTable_useIBk,JRip,J48_binarySplits,PART,Aggregator,J48_subtreeRaising,J48_numFolds,J48_collapseTree,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,DecisionTable_search,DecisionTable_evaluationMeasure,JRip_checkErrorRate,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,PART_minNumObj,JRip_optimizations,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_pruning,JRip_minNo,DecisionTable_crossVal,PART_numFolds,PART_binarySplits,BestFirst_direction,JRip_folds,PART_confidenceFactorValue"
2,90,0.52272727,0.66781803,0.71914250,0.62990196,0.77173913,0005,0034,0035,0.00000000,"JRip,DecisionTable,SimpleCart,SimpleCart_minNumObj,DecisionTable_search,BestFirst_direction,JRip_usePruning,BestFirst_searchTermination,JRip_minNo,PART,PART_binarySplits,PART_doNotMakeSplitPointActualValue,J48,JRip_folds,PART_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,Aggregator,PART_minNumObj,DecisionTable_crossVal,JRip_optimizations,J48_useLaplace,JRip_checkErrorRate,J48_minNumObj,DecisionTable_evaluationMeasure,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_useOneSE,J48_useMDLcorrection,DecisionTable_useIBk,J48_pruning,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,PART_pruning,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_binarySplits,J48_numFolds,PART_confidenceFactorValue,PART_numFolds,J48_subtreeRaising,J48_confidenceFactorValue"
3,90,0.58444184,0.67344843,0.71914250,0.62990196,0.77173913,0005,0034,0035,0.00000000,"JRip,DecisionTable,SimpleCart,J48,J48_useLaplace,SimpleCart_usePrune,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,J48_collapseTree,SimpleCart_heuristic,DecisionTable_useIBk,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,J48_binarySplits,PART,PART_binarySplits,JRip_usePruning,DecisionTable_search,Aggregator,JRip_minNo,BestFirst_direction,SimpleCart_useOneSE,J48_minNumObj,PART_doNotMakeSplitPointActualValue,J48_pruning,PART_minNumObj,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,J48_numFolds,JRip_optimizations,PART_useMDLcorrection,DecisionTable_crossVal,JRip_folds,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,BestFirst_searchTermination,J48_confidenceFactorValue,PART_pruning,PART_confidenceFactorValue,PART_numFolds"
4,90,0.57943447,0.68218733,0.73270773,0.63970588,0.77717391,0006,0034,0073,0.55825408,"SimpleCart,JRip,PART,JRip_usePruning,PART_pruning,JRip_minNo,SimpleCart_heuristic,JRip_optimizations,PART_useMDLcorrection,JRip_folds,Aggregator,SimpleCart_minNumObj,PART_confidenceFactorValue,PART_binarySplits,PART_numFolds,DecisionTable,DecisionTable_search,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,DecisionTable_crossVal,PART_minNumObj,JRip_checkErrorRate,BestFirst_searchTermination,SimpleCart_usePrune,J48,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_pruning,SimpleCart_numFoldsPruning,J48_binarySplits,J48_numFolds,J48_useMDLcorrection,J48_minNumObj,J48_subtreeRaising,J48_useLaplace,J48_confidenceFactorValue,DecisionTable_useIBk,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue"
5,90,0.57039284,0.69190662,0.74431475,0.64093137,0.78260870,0004,0034,0073,0.55825408,"PART,SimpleCart,JRip,PART_pruning,PART_confidenceFactorValue,PART_useMDLcorrection,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue,J48_useLaplace,DecisionTable_useIBk,PART_numFolds,DecisionTable,DecisionTable_evaluationMeasure,JRip_usePruning,JRip_optimizations,SimpleCart_heuristic,JRip_folds,Aggregator,PART_minNumObj,JRip_checkErrorRate,JRip_minNo,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,PART_binarySplits,BestFirst_searchTermination,J48,J48_collapseTree,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_pruning,J48_confidenceFactorValue,J48_subtreeRaising,J48_minNumObj,J48_numFolds,DecisionTable_crossVal"
6,90,0.59884135,0.69331851,0.74431475,0.64093137,0.78260870,0005,0057,0073,0.55825408,"SimpleCart,PART,JRip,JRip_minNo,PART_pruning,SimpleCart_usePrune,SimpleCart_numFoldsPruning,PART_binarySplits,JRip_usePruning,JRip_optimizations,PART_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,PART_useMDLcorrection,PART_numFolds,DecisionTable,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,JRip_folds,Aggregator,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,DecisionTable_crossVal,PART_minNumObj,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_numFolds,BestFirst_searchTermination,J48,SimpleCart_heuristic,JRip_checkErrorRate,J48_minNumObj,J48_confidenceFactorValue,J48_useLaplace,J48_binarySplits,J48_useMDLcorrection,J48_subtreeRaising,SimpleCart_minNumObj,PART_confidenceFactorValue,BestFirst_direction"
7,90,0.53225996,0.68863015,0.74431475,0.64093137,0.78260870,0005,0119,0063,0.49985676,"JRip,SimpleCart,JRip_usePruning,JRip_folds,JRip_optimizations,J48_numFolds,SimpleCart_numFoldsPruning,BestFirst_direction,J48_confidenceFactorValue,J48_subtreeRaising,SimpleCart_useOneSE,J48_collapseTree,J48_useMDLcorrection,SimpleCart_heuristic,JRip_minNo,SimpleCart_usePrune,SimpleCart_minNumObj,JRip_checkErrorRate,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,PART_binarySplits,PART_useMDLcorrection,DecisionTable_search,GreedyStepwise_searchBackwards,DecisionTable_crossVal,J48_minNumObj,J48_useLaplace,PART,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_numFolds,PART_minNumObj,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_useIBk,Aggregator,PART_confidenceFactorValue,J48,J48_doNotMakeSplitPointActualValue,J48_binarySplits,J48_pruning"
8,90,0.57139423,0.69187749,0.74431475,0.64093137,0.78260870,0003,0047,0063,0.49985676,"JRip,SimpleCart,JRip_usePruning,JRip_optimizations,JRip_folds,SimpleCart_heuristic,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,JRip_checkErrorRate,GreedyStepwise_conservativeForwardSelection,JRip_minNo,BestFirst_searchTermination,SimpleCart_minNumObj,PART_pruning,PART_numFolds,PART_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable,DecisionTable_useIBk,Aggregator,DecisionTable_crossVal,DecisionTable_evaluationMeasure,DecisionTable_search,BestFirst_direction,GreedyStepwise_searchBackwards,J48_pruning,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue,J48_useLaplace,PART,PART_useMDLcorrection,J48_binarySplits,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_useMDLcorrection,PART_binarySplits,PART_confidenceFactorValue,J48"
9,90,0.62133681,0.70078307,0.74431475,0.64093137,0.78260870,0004,0058,0063,0.49985676,"JRip,SimpleCart,JRip_usePruning,JRip_optimizations,JRip_folds,JRip_checkErrorRate,SimpleCart_minNumObj,JRip_minNo,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,SimpleCart_heuristic,GreedyStepwise_searchBackwards,DecisionTable_useIBk,PART_numFolds,PART_useMDLcorrection,PART_minNumObj,DecisionTable,Aggregator,DecisionTable_crossVal,DecisionTable_evaluationMeasure,DecisionTable_search,BestFirst_direction,J48,J48_pruning,J48_collapseTree,J48_minNumObj,J48_useLaplace,J48_numFolds,J48_binarySplits,J48_subtreeRaising,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,PART,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_confidenceFactorValue,PART_binarySplits"
