gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.81081527,0.93703791,0.96729435,0.96904025,0.96195652,0039,0034,0035,0.00000000,"J48,Aggregator,J48_useLaplace,SimpleCart,J48_collapseTree,PART,J48_binarySplits,PART_doNotMakeSplitPointActualValue,JRip,SimpleCart_heuristic,PART_useMDLcorrection,J48_minNumObj,J48_useMDLcorrection,JRip_checkErrorRate,J48_pruning,DecisionTable,PART_binarySplits,JRip_usePruning,PART_minNumObj,SimpleCart_minNumObj,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,DecisionTable_evaluationMeasure,SimpleCart_usePrune,J48_subtreeRaising,PART_pruning,PART_numFolds,JRip_minNo,JRip_folds,J48_numFolds,DecisionTable_useIBk,DecisionTable_search,PART_confidenceFactorValue,SimpleCart_useOneSE,JRip_optimizations,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination"
1,90,0.84565048,0.94124479,0.96729435,0.96904025,0.96195652,0039,0034,0035,0.00000000,"PART,PART_pruning,PART_useMDLcorrection,JRip,JRip_usePruning,SimpleCart,J48,J48_useLaplace,PART_confidenceFactorValue,PART_numFolds,J48_pruning,J48_confidenceFactorValue,PART_binarySplits,SimpleCart_minNumObj,J48_collapseTree,PART_minNumObj,SimpleCart_heuristic,DecisionTable,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,DecisionTable_search,GreedyStepwise_searchBackwards,SimpleCart_usePrune,Aggregator,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,J48_minNumObj,J48_subtreeRaising,JRip_folds,J48_binarySplits,SimpleCart_numFoldsPruning,J48_useMDLcorrection,JRip_optimizations,JRip_minNo,DecisionTable_crossVal,BestFirst_searchTermination,DecisionTable_evaluationMeasure,J48_numFolds,DecisionTable_useIBk,SimpleCart_useOneSE,BestFirst_direction"
2,90,0.86298606,0.94437884,0.96729435,0.96904025,0.96195652,0035,0034,0035,0.00000000,"JRip,JRip_minNo,DecisionTable,SimpleCart,JRip_usePruning,DecisionTable_crossVal,J48,J48_binarySplits,Aggregator,JRip_optimizations,PART,J48_pruning,SimpleCart_usePrune,DecisionTable_useIBk,J48_useMDLcorrection,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,JRip_checkErrorRate,JRip_folds,SimpleCart_heuristic,J48_minNumObj,PART_binarySplits,J48_subtreeRaising,J48_numFolds,PART_doNotMakeSplitPointActualValue,BestFirst_direction,J48_collapseTree,PART_useMDLcorrection,SimpleCart_minNumObj,SimpleCart_useOneSE,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,PART_pruning,BestFirst_searchTermination,PART_confidenceFactorValue,PART_numFolds"
3,90,0.86657250,0.94181684,0.96729435,0.96904025,0.96195652,0038,0034,0035,0.00000000,"Aggregator,JRip,SimpleCart,JRip_minNo,DecisionTable,DecisionTable_evaluationMeasure,J48,SimpleCart_minNumObj,DecisionTable_crossVal,J48_pruning,PART,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,J48_collapseTree,JRip_usePruning,SimpleCart_heuristic,J48_minNumObj,J48_confidenceFactorValue,PART_minNumObj,J48_binarySplits,PART_binarySplits,SimpleCart_usePrune,PART_useMDLcorrection,DecisionTable_search,J48_numFolds,J48_useLaplace,DecisionTable_useIBk,JRip_optimizations,J48_useMDLcorrection,J48_subtreeRaising,PART_pruning,SimpleCart_numFoldsPruning,JRip_folds,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,SimpleCart_useOneSE,BestFirst_direction,PART_confidenceFactorValue,PART_numFolds"
4,90,0.84285190,0.94212327,0.96729435,0.96904025,0.96195652,0060,0045,0074,0.46699003,"J48,DecisionTable,J48_pruning,PART_numFolds,J48_doNotMakeSplitPointActualValue,JRip_optimizations,PART,SimpleCart,J48_confidenceFactorValue,DecisionTable_useIBk,SimpleCart_heuristic,DecisionTable_search,PART_useMDLcorrection,J48_collapseTree,PART_pruning,PART_binarySplits,J48_minNumObj,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,Aggregator,SimpleCart_usePrune,J48_useLaplace,J48_useMDLcorrection,SimpleCart_numFoldsPruning,BestFirst_searchTermination,SimpleCart_minNumObj,PART_minNumObj,J48_numFolds,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,J48_binarySplits,JRip,BestFirst_direction,PART_doNotMakeSplitPointActualValue,JRip_minNo,J48_subtreeRaising,JRip_checkErrorRate,JRip_usePruning,JRip_folds"
5,90,0.85553825,0.94235496,0.97055652,0.95743034,0.96195652,0055,0034,0074,0.46699003,"J48,DecisionTable,J48_pruning,JRip_optimizations,PART,SimpleCart,DecisionTable_search,J48_useLaplace,J48_subtreeRaising,PART_binarySplits,DecisionTable_useIBk,BestFirst_searchTermination,BestFirst_direction,J48_useMDLcorrection,SimpleCart_heuristic,J48_collapseTree,J48_numFolds,J48_binarySplits,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,J48_minNumObj,PART_minNumObj,PART_useMDLcorrection,PART_pruning,GreedyStepwise_searchBackwards,JRip,JRip_usePruning,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue,PART_numFolds,JRip_folds,DecisionTable_crossVal,JRip_checkErrorRate,GreedyStepwise_conservativeForwardSelection,JRip_minNo,Aggregator,PART_confidenceFactorValue"
6,90,0.79698820,0.94520801,0.97055652,0.95743034,0.96195652,0076,0153,0074,0.46699003,"J48,DecisionTable,DecisionTable_search,BestFirst_searchTermination,BestFirst_direction,DecisionTable_crossVal,Aggregator,PART_confidenceFactorValue,J48_useMDLcorrection,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,J48_minNumObj,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,J48_collapseTree,J48_pruning,J48_confidenceFactorValue,J48_numFolds,J48_binarySplits,SimpleCart_numFoldsPruning,DecisionTable_evaluationMeasure,JRip,JRip_minNo,J48_subtreeRaising,JRip_usePruning,JRip_optimizations,JRip_folds,PART,PART_useMDLcorrection,SimpleCart,PART_pruning,PART_numFolds,SimpleCart_heuristic,PART_minNumObj,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,PART_binarySplits,JRip_checkErrorRate"
7,90,0.81891168,0.94266697,0.97076013,0.95820433,0.93478261,0048,0066,0066,0.52550279,"DecisionTable,PART,DecisionTable_search,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,PART_pruning,PART_numFolds,DecisionTable_useIBk,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable_crossVal,PART_binarySplits,PART_confidenceFactorValue,BestFirst_searchTermination,Aggregator,DecisionTable_evaluationMeasure,JRip_usePruning,JRip_optimizations,JRip_folds,J48_minNumObj,SimpleCart_numFoldsPruning,J48_numFolds,SimpleCart,JRip,JRip_checkErrorRate,SimpleCart_heuristic,J48,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_useLaplace,J48_useMDLcorrection,J48_pruning,J48_confidenceFactorValue,JRip_minNo,J48_collapseTree,J48_subtreeRaising,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_useOneSE"
8,90,0.84618830,0.94335529,0.97091181,0.95743034,0.92753623,0047,0056,0066,0.52550279,"DecisionTable,PART,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,Aggregator,PART_minNumObj,DecisionTable_crossVal,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_numFolds,PART_confidenceFactorValue,PART_useMDLcorrection,PART_binarySplits,DecisionTable_useIBk,JRip_usePruning,JRip_folds,JRip_optimizations,J48_minNumObj,SimpleCart_numFoldsPruning,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_numFolds,SimpleCart,SimpleCart_heuristic,JRip,JRip_checkErrorRate,J48,J48_useLaplace,J48_useMDLcorrection,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_useOneSE,J48_collapseTree,JRip_minNo,J48_pruning,J48_confidenceFactorValue,J48_subtreeRaising"
9,90,0.84765727,0.94416978,0.97091181,0.95743034,0.92753623,0059,0049,0066,0.52550279,"DecisionTable,PART,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,PART_minNumObj,DecisionTable_search,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,Aggregator,DecisionTable_useIBk,PART_binarySplits,PART_pruning,PART_numFolds,PART_confidenceFactorValue,PART_useMDLcorrection,J48_minNumObj,JRip_usePruning,JRip_folds,JRip_optimizations,J48_numFolds,JRip,SimpleCart,JRip_checkErrorRate,SimpleCart_heuristic,J48,J48_useMDLcorrection,J48_useLaplace,JRip_minNo,J48_collapseTree,J48_pruning,J48_confidenceFactorValue,J48_subtreeRaising,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_binarySplits,J48_doNotMakeSplitPointActualValue"
