individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,reducedErrorPruning,false,true,null,null,true,true,null,null,true,false,null,false,null,null,null,null,null,false,null,null,null,true,null,false,null,null,MajorityVotingAggregator,false,false,2,null,null,null,false,3,null,true,6,null,null,0.9939168438459721
overall,null,reducedErrorPruning,false,false,0.45,null,true,false,null,null,true,false,null,true,null,3,null,confidenceFactor,null,null,true,null,true,true,null,false,false,null,MajorityVotingAggregator,false,true,2,null,null,null,false,5,null,true,5,null,null,0.9939168438459721
gen_000_ind_000,null,confidenceFactor,false,false,0.15,2,false,false,0,5,true,true,0.35,true,null,9,null,confidenceFactor,false,null,true,weka.attributeSelection.BestFirst,false,true,null,false,false,mae,MajorityVotingAggregator,false,true,7,null,null,null,true,null,null,false,6,null,0.9990288209606988,null
gen_000_ind_001,true,confidenceFactor,true,true,0.25,1,true,true,null,null,true,true,0.25,true,null,4,false,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,2,false,false,auc,RuleExtractorAggregator,true,true,2,2,null,null,false,null,true,false,3,false,0.9444314410480349,null
gen_000_ind_002,false,confidenceFactor,false,false,0.05,1,true,true,1,3,true,true,0.05,true,10,6,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,true,true,null,false,true,mae,CompetenceBasedAggregator,false,true,10,2,8,null,false,null,null,true,8,null,0.9991982532751091,null
gen_000_ind_003,true,reducedErrorPruning,false,true,null,4,false,true,1,3,true,true,null,true,2,8,null,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,CompetenceBasedAggregator,true,false,10,7,4,null,false,4,null,true,9,null,0.9990410480349345,null
gen_000_ind_004,null,unpruned,true,null,0.05,8,true,false,0,10,true,true,null,true,null,7,false,confidenceFactor,false,null,false,weka.attributeSelection.BestFirst,false,true,5,true,false,rmse,RuleExtractorAggregator,false,false,6,null,null,null,true,null,null,false,7,null,0.9253903930131004,null
gen_000_ind_005,true,reducedErrorPruning,true,true,null,3,false,true,null,null,true,true,null,true,8,4,true,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,6,true,false,mae,RuleExtractorAggregator,false,false,3,5,3,null,true,3,false,false,6,false,0.959250655021834,null
gen_000_ind_006,true,confidenceFactor,true,false,0.15,10,false,true,1,4,true,true,0.35,true,2,2,false,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,true,true,2,false,false,mae,RuleExtractorAggregator,false,false,8,3,5,null,false,null,null,false,7,null,0.9355668122270743,null
gen_000_ind_007,false,confidenceFactor,null,true,0.25,10,true,true,null,null,true,true,0.35,true,2,3,null,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,true,false,null,null,false,auc,RuleExtractorAggregator,true,true,null,5,7,null,false,null,false,false,8,true,0.9687004366812229,null
gen_000_ind_008,null,confidenceFactor,true,true,null,6,false,false,1,3,true,true,0.35,true,null,3,false,reducedErrorPruning,false,null,true,weka.attributeSelection.BestFirst,false,true,7,false,false,acc,CompetenceBasedAggregator,false,true,2,null,null,10,true,null,null,false,6,null,0.998840174672489,null
gen_000_ind_009,null,confidenceFactor,true,false,null,2,true,false,0,6,true,true,0.25,true,null,3,false,reducedErrorPruning,false,null,true,weka.attributeSelection.BestFirst,false,true,3,true,true,auc,RuleExtractorAggregator,false,true,2,null,null,2,true,null,null,false,5,null,0.9197921397379913,null
gen_000_ind_010,false,confidenceFactor,true,true,null,9,true,true,null,null,true,true,0.35,true,4,3,false,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,3,true,true,rmse,RuleExtractorAggregator,false,true,9,2,2,null,true,null,true,true,10,false,0.9071266375545852,null
gen_000_ind_011,true,null,true,null,null,7,null,true,0,3,false,true,null,true,1,6,false,unpruned,true,true,true,weka.attributeSelection.BestFirst,true,true,5,false,false,acc,RuleExtractorAggregator,null,null,6,4,7,null,null,null,null,null,null,null,0.924604366812227,null
gen_000_ind_012,false,reducedErrorPruning,true,true,0.05,5,true,true,1,10,true,true,null,true,2,6,true,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,true,true,9,true,false,mae,RuleExtractorAggregator,true,true,2,7,3,null,true,4,null,false,2,null,0.9442707423580785,null
gen_000_ind_013,true,unpruned,true,null,null,4,false,true,0,2,true,true,null,true,null,7,true,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,true,true,7,true,true,auc,MajorityVotingAggregator,true,true,7,5,null,5,false,null,null,false,9,null,0.9980122270742358,null
gen_000_ind_014,null,confidenceFactor,true,true,null,6,true,false,1,5,true,true,0.25,true,null,2,false,unpruned,true,null,true,weka.attributeSelection.BestFirst,true,true,10,true,false,auc,RuleExtractorAggregator,false,true,2,null,null,null,false,null,null,false,5,null,0.8938078602620086,null
gen_000_ind_015,null,confidenceFactor,true,false,null,8,false,false,0,3,true,true,0.05,true,null,10,true,unpruned,false,null,true,weka.attributeSelection.BestFirst,false,true,4,true,false,auc,RuleExtractorAggregator,false,false,2,null,null,null,false,null,null,false,7,null,0.9436576419213972,null
gen_000_ind_016,null,reducedErrorPruning,false,true,0.35,4,false,false,null,null,true,true,null,true,null,5,null,confidenceFactor,true,null,false,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,acc,RuleExtractorAggregator,false,false,8,null,null,null,true,5,false,true,4,true,0.9274934497816594,null
gen_000_ind_017,true,reducedErrorPruning,true,true,null,8,true,true,null,null,true,true,null,false,null,null,false,null,false,false,null,weka.attributeSelection.GreedyStepwise,null,true,2,true,null,auc,RuleExtractorAggregator,true,false,5,7,null,null,true,4,false,true,10,true,0.993261135371179,null
gen_000_ind_018,true,confidenceFactor,true,true,null,1,false,true,null,null,true,true,0.15,true,null,2,false,reducedErrorPruning,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,10,false,false,auc,RuleExtractorAggregator,false,false,6,5,null,7,false,null,false,false,5,true,0.9450096069868996,null
gen_000_ind_019,false,reducedErrorPruning,true,true,0.15,1,false,true,null,null,true,true,null,true,2,9,true,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,8,true,true,auc,CompetenceBasedAggregator,false,true,4,5,7,null,true,6,true,false,6,true,0.9984017467248908,null
gen_000_ind_020,true,reducedErrorPruning,false,true,null,7,false,true,null,null,true,true,null,true,null,5,null,unpruned,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,rmse,MajorityVotingAggregator,false,true,4,2,null,null,true,9,true,false,2,true,0.9996786026200872,null
gen_000_ind_021,true,unpruned,true,null,null,9,false,true,2,4,true,true,null,true,null,7,false,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,false,true,4,true,true,auc,RuleExtractorAggregator,true,false,10,2,null,4,true,null,null,true,3,null,0.9701275109170305,null
gen_000_ind_022,true,reducedErrorPruning,true,false,null,9,false,true,null,null,true,true,null,true,9,3,true,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,8,false,true,auc,RuleExtractorAggregator,false,false,8,5,2,null,true,2,false,true,7,false,0.9117956331877728,null
gen_000_ind_023,false,reducedErrorPruning,false,true,null,8,false,true,0,3,true,true,null,false,6,null,null,null,false,true,null,weka.attributeSelection.BestFirst,null,true,null,true,null,auc,MajorityVotingAggregator,true,true,5,9,8,null,true,7,null,false,9,null,0.9982480349344979,null
gen_000_ind_024,false,confidenceFactor,null,true,null,3,false,true,null,null,true,true,0.05,true,5,2,null,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,true,false,null,null,false,auc,MajorityVotingAggregator,false,true,null,9,2,5,true,null,false,false,3,true,0.998709170305677,null
gen_000_ind_025,true,confidenceFactor,false,false,0.15,null,true,true,null,null,true,false,0.05,true,null,8,null,confidenceFactor,null,false,true,null,true,true,null,true,true,null,CompetenceBasedAggregator,false,false,6,3,null,null,false,null,null,false,6,null,0.9995423580786026,null
gen_000_ind_026,true,confidenceFactor,false,true,null,3,false,true,1,6,true,true,0.35,false,3,null,null,null,false,true,null,weka.attributeSelection.BestFirst,null,true,null,true,null,mae,CompetenceBasedAggregator,true,true,5,3,7,null,true,null,null,true,5,null,0.99882096069869,null
gen_000_ind_027,true,confidenceFactor,true,false,0.15,1,true,true,2,5,true,true,0.15,true,null,6,true,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,true,true,5,true,false,auc,RuleExtractorAggregator,false,true,8,9,null,null,false,null,null,false,2,null,0.9379912663755459,null
gen_000_ind_028,false,confidenceFactor,true,true,0.05,10,false,true,null,null,true,true,0.45,true,10,7,false,confidenceFactor,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,7,false,false,auc,MajorityVotingAggregator,false,true,6,6,2,null,true,null,true,true,4,false,0.9988384279475981,null
gen_000_ind_029,false,reducedErrorPruning,true,false,0.05,2,false,true,0,4,true,true,null,true,7,10,true,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,10,true,false,auc,CompetenceBasedAggregator,false,true,7,10,6,null,true,7,null,false,8,null,0.998080349344978,null
gen_000_ind_030,false,confidenceFactor,false,true,null,5,false,true,null,null,true,true,0.45,true,6,2,null,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,auc,RuleExtractorAggregator,true,false,2,3,8,4,true,null,false,false,4,false,0.938461135371179,null
gen_000_ind_031,false,unpruned,false,null,null,null,false,true,null,null,true,false,null,true,null,8,null,reducedErrorPruning,null,false,true,null,false,true,null,true,true,null,MajorityVotingAggregator,true,true,9,6,null,3,true,null,null,true,5,null,0.9991807860262009,null
gen_000_ind_032,null,unpruned,false,null,null,1,false,false,null,null,true,true,null,true,null,8,null,reducedErrorPruning,false,null,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,true,auc,RuleExtractorAggregator,false,false,7,null,null,3,true,null,false,false,10,true,0.9267004366812227,null
gen_000_ind_033,true,reducedErrorPruning,null,false,null,5,false,true,1,2,true,true,null,true,null,4,null,unpruned,false,false,false,weka.attributeSelection.BestFirst,true,false,null,null,false,auc,CompetenceBasedAggregator,false,false,null,3,null,null,true,7,null,true,9,null,0.9994375545851527,null
gen_000_ind_034,true,reducedErrorPruning,true,true,null,10,false,true,1,10,true,true,null,true,null,6,false,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,true,true,2,true,false,acc,CompetenceBasedAggregator,false,true,8,3,null,3,true,8,null,false,7,null,0.9985344978165939,null
gen_000_ind_035,true,confidenceFactor,true,true,null,1,false,true,null,null,true,true,0.25,true,7,9,false,reducedErrorPruning,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,3,true,false,acc,CompetenceBasedAggregator,true,true,2,7,5,3,true,null,true,false,6,true,0.9990026200873363,null
gen_000_ind_036,false,unpruned,false,null,null,7,false,true,1,10,true,true,null,true,null,2,null,unpruned,true,false,false,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,CompetenceBasedAggregator,false,true,8,4,null,null,false,null,null,false,2,null,0.9995650655021834,null
gen_000_ind_037,false,unpruned,true,null,0.35,3,true,true,0,10,true,true,null,true,null,5,true,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,true,true,9,false,false,auc,MajorityVotingAggregator,false,true,6,10,null,null,false,null,null,true,4,null,0.9989589519650656,null
gen_000_ind_038,false,unpruned,false,null,0.05,null,false,true,null,null,true,false,null,true,7,6,null,confidenceFactor,null,true,true,null,true,true,null,true,false,null,MajorityVotingAggregator,true,false,3,4,8,null,false,null,null,false,2,null,0.9995213973799126,null
gen_000_ind_039,true,confidenceFactor,false,true,null,1,true,true,null,null,true,true,0.15,true,null,9,null,reducedErrorPruning,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,mae,RuleExtractorAggregator,true,false,2,2,null,9,true,null,false,false,2,false,0.9545292576419214,null
gen_000_ind_040,true,null,false,null,null,2,null,true,2,7,false,true,null,true,2,7,null,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,false,true,null,true,true,mae,MajorityVotingAggregator,null,null,7,6,10,3,null,null,null,null,null,null,0.9979161572052402,null
