gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.84066355,0.89741664,0.90659099,0.88069393,0.84923747,0032,0034,0035,0.00000000,"DecisionTable,Aggregator,J48,DecisionTable_evaluationMeasure,J48_binarySplits,JRip,J48_minNumObj,J48_collapseTree,JRip_minNo,SimpleCart,DecisionTable_crossVal,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,DecisionTable_search,JRip_usePruning,PART,PART_doNotMakeSplitPointActualValue,BestFirst_searchTermination,PART_binarySplits,PART_useMDLcorrection,GreedyStepwise_searchBackwards,PART_minNumObj,SimpleCart_heuristic,BestFirst_direction,SimpleCart_usePrune,J48_pruning,J48_useLaplace,J48_numFolds,J48_useMDLcorrection,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,JRip_checkErrorRate,GreedyStepwise_conservativeForwardSelection,JRip_folds,J48_confidenceFactorValue,JRip_optimizations,PART_pruning,SimpleCart_useOneSE,J48_subtreeRaising,PART_confidenceFactorValue,PART_numFolds"
1,90,0.83469183,0.89901161,0.90815762,0.87672029,0.89433551,0024,0034,0035,0.00000000,"DecisionTable,PART,DecisionTable_useIBk,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,DecisionTable_search,Aggregator,SimpleCart,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,PART_useMDLcorrection,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,J48,PART_pruning,J48_binarySplits,J48_useMDLcorrection,JRip,PART_minNumObj,PART_binarySplits,J48_pruning,J48_doNotMakeSplitPointActualValue,JRip_minNo,SimpleCart_heuristic,BestFirst_direction,JRip_checkErrorRate,J48_collapseTree,J48_subtreeRaising,SimpleCart_usePrune,J48_confidenceFactorValue,PART_confidenceFactorValue,JRip_usePruning,SimpleCart_useOneSE,J48_minNumObj,PART_numFolds,JRip_folds,J48_useLaplace,J48_numFolds,SimpleCart_numFoldsPruning,JRip_optimizations"
2,90,0.83220790,0.89852405,0.90832374,0.86741617,0.88496732,0023,0034,0035,0.00000000,"JRip,SimpleCart,JRip_checkErrorRate,JRip_usePruning,JRip_minNo,PART,PART_useMDLcorrection,SimpleCart_minNumObj,PART_binarySplits,SimpleCart_heuristic,DecisionTable,DecisionTable_useIBk,PART_pruning,Aggregator,J48,PART_confidenceFactorValue,PART_minNumObj,JRip_folds,J48_useMDLcorrection,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,JRip_optimizations,DecisionTable_evaluationMeasure,J48_collapseTree,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,J48_minNumObj,SimpleCart_useOneSE,DecisionTable_search,J48_pruning,SimpleCart_numFoldsPruning,PART_numFolds,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,J48_useLaplace,BestFirst_searchTermination,BestFirst_direction,J48_numFolds,GreedyStepwise_searchBackwards,J48_confidenceFactorValue"
3,90,0.85579231,0.89945548,0.90832374,0.86741617,0.88496732,0021,0034,0035,0.00000000,"SimpleCart,PART,PART_doNotMakeSplitPointActualValue,JRip,DecisionTable,JRip_usePruning,PART_pruning,SimpleCart_minNumObj,JRip_optimizations,PART_minNumObj,SimpleCart_heuristic,JRip_folds,DecisionTable_useIBk,SimpleCart_usePrune,DecisionTable_crossVal,Aggregator,PART_confidenceFactorValue,J48,DecisionTable_search,PART_binarySplits,PART_numFolds,PART_useMDLcorrection,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,JRip_minNo,J48_minNumObj,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,BestFirst_searchTermination,BestFirst_direction,SimpleCart_numFoldsPruning,J48_collapseTree,J48_binarySplits,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,J48_pruning,J48_useMDLcorrection,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue"
4,90,0.83847259,0.90225607,0.90881896,0.87604187,0.88736383,0026,0034,0073,0.51938330,"PART,DecisionTable,J48,DecisionTable_search,DecisionTable_evaluationMeasure,BestFirst_direction,J48_pruning,DecisionTable_crossVal,J48_binarySplits,J48_numFolds,JRip,PART_pruning,JRip_usePruning,JRip_folds,Aggregator,J48_minNumObj,BestFirst_searchTermination,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_binarySplits,PART_confidenceFactorValue,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,PART_minNumObj,JRip_minNo,JRip_optimizations,PART_numFolds,J48_useLaplace,JRip_checkErrorRate,J48_confidenceFactorValue,SimpleCart,SimpleCart_minNumObj,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,DecisionTable_useIBk,SimpleCart_heuristic,J48_collapseTree"
5,90,0.85932202,0.90307578,0.91024757,0.88205079,0.88976035,0029,0034,0073,0.51938330,"PART,J48,DecisionTable,PART_binarySplits,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_minNumObj,J48_binarySplits,J48_collapseTree,DecisionTable_search,BestFirst_searchTermination,PART_useMDLcorrection,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,PART_pruning,PART_numFolds,J48_useLaplace,DecisionTable_crossVal,PART_minNumObj,DecisionTable_evaluationMeasure,DecisionTable_useIBk,PART_confidenceFactorValue,J48_pruning,J48_subtreeRaising,J48_numFolds,JRip,JRip_minNo,JRip_usePruning,JRip_checkErrorRate,JRip_optimizations,JRip_folds,Aggregator,J48_confidenceFactorValue,SimpleCart,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue"
6,90,0.84155109,0.90336104,0.91024757,0.88205079,0.88976035,0023,0034,0073,0.51938330,"PART,J48,DecisionTable,PART_useMDLcorrection,J48_useMDLcorrection,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,SimpleCart,DecisionTable_search,SimpleCart_minNumObj,J48_numFolds,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,JRip,PART_pruning,SimpleCart_heuristic,DecisionTable_useIBk,PART_confidenceFactorValue,SimpleCart_useOneSE,JRip_usePruning,JRip_folds,Aggregator,DecisionTable_crossVal,J48_binarySplits,BestFirst_direction,JRip_minNo,JRip_optimizations,BestFirst_searchTermination,PART_binarySplits,PART_doNotMakeSplitPointActualValue,J48_minNumObj,PART_minNumObj,PART_numFolds,DecisionTable_evaluationMeasure,JRip_checkErrorRate,J48_useLaplace"
7,90,0.86293252,0.89916003,0.91029662,0.88224462,0.87930283,0025,0189,0055,0.58869401,"DecisionTable,PART,PART_binarySplits,SimpleCart,PART_useMDLcorrection,DecisionTable_evaluationMeasure,SimpleCart_heuristic,J48_collapseTree,JRip_checkErrorRate,J48_subtreeRaising,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,JRip_usePruning,PART_confidenceFactorValue,BestFirst_searchTermination,J48_binarySplits,BestFirst_direction,PART_numFolds,J48_confidenceFactorValue,J48_useLaplace,J48_numFolds,DecisionTable_crossVal,JRip_folds,PART_pruning,SimpleCart_minNumObj,J48,J48_pruning,J48_minNumObj,J48_useMDLcorrection,PART_minNumObj,JRip_minNo,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,SimpleCart_numFoldsPruning,JRip_optimizations,Aggregator,J48_doNotMakeSplitPointActualValue,JRip,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune"
8,90,0.82445478,0.89695970,0.91091705,0.88224462,0.88976035,0028,0034,0055,0.58869401,"DecisionTable,SimpleCart,PART,PART_useMDLcorrection,DecisionTable_evaluationMeasure,SimpleCart_heuristic,PART_binarySplits,SimpleCart_minNumObj,PART_pruning,J48,J48_binarySplits,J48_minNumObj,J48_useLaplace,PART_numFolds,PART_confidenceFactorValue,PART_minNumObj,J48_pruning,J48_collapseTree,J48_useMDLcorrection,J48_numFolds,J48_confidenceFactorValue,J48_subtreeRaising,DecisionTable_crossVal,DecisionTable_useIBk,DecisionTable_search,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,JRip,Aggregator,JRip_checkErrorRate,JRip_usePruning,JRip_minNo,JRip_folds,JRip_optimizations"
9,90,0.81068023,0.90140338,0.91091705,0.88224462,0.88976035,0030,0162,0055,0.58869401,"SimpleCart,SimpleCart_heuristic,DecisionTable,DecisionTable_evaluationMeasure,PART,PART_binarySplits,PART_useMDLcorrection,JRip_usePruning,JRip_checkErrorRate,BestFirst_direction,J48_confidenceFactorValue,J48_subtreeRaising,J48_numFolds,J48_useLaplace,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,BestFirst_searchTermination,PART_numFolds,J48_binarySplits,J48_collapseTree,PART_confidenceFactorValue,SimpleCart_usePrune,DecisionTable_useIBk,SimpleCart_numFoldsPruning,Aggregator,JRip_optimizations,PART_pruning,SimpleCart_minNumObj,J48,J48_pruning,J48_minNumObj,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,JRip,PART_minNumObj,PART_doNotMakeSplitPointActualValue,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,JRip_minNo,DecisionTable_crossVal,JRip_folds"
10,90,0.83805813,0.89841693,0.91091705,0.88224462,0.88976035,0024,0049,0047,0.62719529,"SimpleCart,DecisionTable,DecisionTable_useIBk,DecisionTable_evaluationMeasure,PART,DecisionTable_crossVal,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,PART_binarySplits,PART_useMDLcorrection,PART_minNumObj,SimpleCart_heuristic,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,SimpleCart_useOneSE,PART_pruning,PART_confidenceFactorValue,PART_numFolds,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_searchTermination,BestFirst_direction,JRip_checkErrorRate,GreedyStepwise_conservativeForwardSelection,JRip_minNo,Aggregator,J48_useMDLcorrection,J48_numFolds,J48_minNumObj,J48_useLaplace,J48_collapseTree,J48_confidenceFactorValue,J48_pruning,J48_subtreeRaising,JRip,J48,JRip_usePruning,J48_doNotMakeSplitPointActualValue,J48_binarySplits,JRip_folds,JRip_optimizations"
11,90,0.72601464,0.90011353,0.91091705,0.88224462,0.88976035,0022,0308,0047,0.62719529,"DecisionTable,PART,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,PART_useMDLcorrection,PART_minNumObj,SimpleCart,DecisionTable_crossVal,PART_binarySplits,SimpleCart_usePrune,J48_subtreeRaising,GreedyStepwise_searchBackwards,J48_numFolds,J48_collapseTree,JRip_optimizations,JRip_usePruning,JRip_folds,J48_useLaplace,J48_pruning,J48_confidenceFactorValue,PART_numFolds,J48_doNotMakeSplitPointActualValue,J48_minNumObj,J48_binarySplits,PART_confidenceFactorValue,J48_useMDLcorrection,BestFirst_searchTermination,BestFirst_direction,SimpleCart_minNumObj,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,SimpleCart_heuristic,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,PART_pruning,JRip_checkErrorRate,JRip_minNo,Aggregator,J48,JRip"
12,90,0.84992305,0.90055246,0.91091705,0.88224462,0.88976035,0023,0365,0047,0.62719529,"PART,PART_binarySplits,DecisionTable,DecisionTable_useIBk,SimpleCart,SimpleCart_usePrune,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,PART_minNumObj,DecisionTable_evaluationMeasure,JRip_folds,BestFirst_direction,PART_confidenceFactorValue,J48_collapseTree,J48_confidenceFactorValue,J48_numFolds,JRip_optimizations,J48_useMDLcorrection,J48_pruning,J48_subtreeRaising,BestFirst_searchTermination,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_minNumObj,JRip_usePruning,PART_numFolds,J48_useLaplace,GreedyStepwise_searchBackwards,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,SimpleCart_heuristic,SimpleCart_minNumObj,PART_pruning,JRip,JRip_checkErrorRate,J48,JRip_minNo,Aggregator"
13,90,0.85280756,0.89850063,0.91091705,0.88224462,0.88976035,0024,0034,0035,0.00000000,"J48,J48_useLaplace,J48_collapseTree,J48_useMDLcorrection,JRip,PART,JRip_checkErrorRate,J48_pruning,J48_subtreeRaising,SimpleCart,J48_confidenceFactorValue,J48_minNumObj,PART_useMDLcorrection,PART_minNumObj,Aggregator,JRip_usePruning,DecisionTable,J48_numFolds,J48_binarySplits,JRip_optimizations,JRip_minNo,SimpleCart_usePrune,DecisionTable_useIBk,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,PART_pruning,JRip_folds,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,DecisionTable_search,PART_binarySplits,DecisionTable_evaluationMeasure,PART_numFolds,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,PART_confidenceFactorValue,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_conservativeForwardSelection"
14,90,0.86480748,0.89708528,0.91091705,0.88224462,0.88976035,0021,0034,0035,0.00000000,"SimpleCart,Aggregator,J48,PART,PART_pruning,J48_binarySplits,SimpleCart_minNumObj,SimpleCart_heuristic,J48_useLaplace,J48_minNumObj,PART_confidenceFactorValue,J48_useMDLcorrection,JRip,DecisionTable,DecisionTable_evaluationMeasure,JRip_minNo,J48_collapseTree,PART_doNotMakeSplitPointActualValue,PART_minNumObj,PART_numFolds,SimpleCart_usePrune,JRip_usePruning,J48_doNotMakeSplitPointActualValue,PART_binarySplits,J48_pruning,J48_numFolds,PART_useMDLcorrection,JRip_folds,SimpleCart_numFoldsPruning,DecisionTable_search,DecisionTable_useIBk,J48_confidenceFactorValue,DecisionTable_crossVal,JRip_checkErrorRate,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,SimpleCart_useOneSE,J48_subtreeRaising,BestFirst_direction,GreedyStepwise_searchBackwards,JRip_optimizations"
15,90,0.86174030,0.89739252,0.91091705,0.88224462,0.88976035,0021,0034,0035,0.00000000,"PART,J48,J48_binarySplits,J48_useMDLcorrection,J48_useLaplace,PART_pruning,DecisionTable,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,SimpleCart,JRip,PART_confidenceFactorValue,J48_collapseTree,DecisionTable_crossVal,PART_useMDLcorrection,SimpleCart_usePrune,JRip_minNo,PART_binarySplits,J48_pruning,DecisionTable_search,Aggregator,DecisionTable_evaluationMeasure,PART_minNumObj,SimpleCart_heuristic,J48_minNumObj,SimpleCart_minNumObj,J48_doNotMakeSplitPointActualValue,PART_numFolds,JRip_usePruning,GreedyStepwise_conservativeForwardSelection,J48_numFolds,J48_subtreeRaising,JRip_optimizations,BestFirst_searchTermination,GreedyStepwise_searchBackwards,BestFirst_direction,SimpleCart_numFoldsPruning,JRip_checkErrorRate,SimpleCart_useOneSE,J48_confidenceFactorValue,JRip_folds"
16,90,0.85662542,0.89813625,0.91091705,0.88224462,0.88976035,0028,0034,0035,0.00000000,"PART,PART_pruning,PART_doNotMakeSplitPointActualValue,DecisionTable,PART_useMDLcorrection,DecisionTable_search,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,J48,Aggregator,BestFirst_searchTermination,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,J48_pruning,SimpleCart,JRip,BestFirst_direction,PART_numFolds,PART_binarySplits,J48_binarySplits,JRip_usePruning,DecisionTable_useIBk,JRip_minNo,J48_useLaplace,J48_numFolds,J48_collapseTree,J48_minNumObj,JRip_folds,GreedyStepwise_searchBackwards,J48_useMDLcorrection,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,JRip_optimizations,J48_subtreeRaising,SimpleCart_minNumObj,SimpleCart_heuristic,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
17,90,0.83226269,0.89868018,0.91091705,0.88224462,0.88976035,0031,0034,0035,0.00000000,"DecisionTable,J48,DecisionTable_search,J48_doNotMakeSplitPointActualValue,BestFirst_direction,J48_useMDLcorrection,SimpleCart,SimpleCart_usePrune,BestFirst_searchTermination,J48_binarySplits,DecisionTable_crossVal,JRip,SimpleCart_numFoldsPruning,DecisionTable_useIBk,J48_useLaplace,GreedyStepwise_conservativeForwardSelection,J48_pruning,DecisionTable_evaluationMeasure,JRip_checkErrorRate,JRip_minNo,J48_confidenceFactorValue,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,PART,Aggregator,PART_pruning,J48_minNumObj,J48_collapseTree,J48_subtreeRaising,SimpleCart_useOneSE,PART_binarySplits,PART_numFolds,PART_confidenceFactorValue,SimpleCart_heuristic,J48_numFolds,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,JRip_usePruning,PART_minNumObj,JRip_folds,JRip_optimizations"
18,90,0.85428594,0.89769695,0.91091705,0.88224462,0.88976035,0022,0034,0035,0.00000000,"SimpleCart,DecisionTable,DecisionTable_evaluationMeasure,J48,DecisionTable_useIBk,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,J48_minNumObj,SimpleCart_minNumObj,J48_collapseTree,PART,DecisionTable_search,JRip,SimpleCart_usePrune,JRip_checkErrorRate,PART_binarySplits,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,PART_minNumObj,DecisionTable_crossVal,J48_useLaplace,J48_useMDLcorrection,BestFirst_searchTermination,JRip_usePruning,J48_binarySplits,PART_doNotMakeSplitPointActualValue,Aggregator,JRip_folds,J48_pruning,PART_useMDLcorrection,BestFirst_direction,J48_numFolds,JRip_minNo,GreedyStepwise_conservativeForwardSelection,PART_pruning,SimpleCart_useOneSE,J48_subtreeRaising,PART_confidenceFactorValue,PART_numFolds,JRip_optimizations,J48_confidenceFactorValue"
19,90,0.84686485,0.89768650,0.91091705,0.88224462,0.88976035,0022,0034,0035,0.00000000,"DecisionTable,DecisionTable_crossVal,PART,PART_minNumObj,Aggregator,PART_pruning,DecisionTable_search,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,DecisionTable_useIBk,SimpleCart,SimpleCart_minNumObj,GreedyStepwise_conservativeForwardSelection,SimpleCart_heuristic,J48,JRip,JRip_minNo,J48_useMDLcorrection,BestFirst_direction,BestFirst_searchTermination,PART_binarySplits,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,JRip_usePruning,JRip_folds,J48_pruning,J48_collapseTree,J48_binarySplits,JRip_optimizations,J48_subtreeRaising,PART_numFolds,GreedyStepwise_searchBackwards,J48_minNumObj,JRip_checkErrorRate,J48_useLaplace,J48_numFolds,SimpleCart_usePrune,J48_confidenceFactorValue,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
20,90,0.83500483,0.89648362,0.91091705,0.88224462,0.88976035,0022,0034,0035,0.00000000,"J48,JRip,J48_binarySplits,DecisionTable,DecisionTable_search,J48_useLaplace,BestFirst_direction,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,SimpleCart,DecisionTable_evaluationMeasure,J48_collapseTree,Aggregator,J48_pruning,J48_minNumObj,JRip_minNo,PART,J48_doNotMakeSplitPointActualValue,PART_minNumObj,JRip_checkErrorRate,PART_pruning,BestFirst_searchTermination,GreedyStepwise_searchBackwards,JRip_usePruning,SimpleCart_usePrune,J48_subtreeRaising,J48_numFolds,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,JRip_folds,PART_confidenceFactorValue,SimpleCart_heuristic,JRip_optimizations,SimpleCart_minNumObj,J48_confidenceFactorValue,SimpleCart_useOneSE,PART_binarySplits,SimpleCart_numFoldsPruning,PART_numFolds"
21,90,0.83603615,0.89699942,0.91091705,0.88224462,0.88976035,0022,0034,0035,0.00000000,"SimpleCart,SimpleCart_heuristic,PART,PART_useMDLcorrection,SimpleCart_minNumObj,PART_pruning,SimpleCart_usePrune,DecisionTable,J48,Aggregator,PART_minNumObj,JRip,J48_minNumObj,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,J48_useMDLcorrection,DecisionTable_evaluationMeasure,JRip_minNo,J48_useLaplace,DecisionTable_search,DecisionTable_crossVal,SimpleCart_useOneSE,PART_binarySplits,PART_confidenceFactorValue,JRip_usePruning,SimpleCart_numFoldsPruning,J48_binarySplits,JRip_optimizations,JRip_checkErrorRate,PART_numFolds,BestFirst_direction,J48_pruning,J48_doNotMakeSplitPointActualValue,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,J48_subtreeRaising,JRip_folds,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,J48_numFolds"
22,90,0.87380930,0.89689538,0.91091705,0.88224462,0.88976035,0022,0034,0035,0.00000000,"JRip,J48,DecisionTable,J48_useMDLcorrection,SimpleCart,J48_collapseTree,J48_binarySplits,SimpleCart_minNumObj,DecisionTable_useIBk,J48_pruning,SimpleCart_usePrune,J48_useLaplace,PART,JRip_checkErrorRate,PART_minNumObj,DecisionTable_evaluationMeasure,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,Aggregator,PART_doNotMakeSplitPointActualValue,PART_binarySplits,J48_subtreeRaising,JRip_usePruning,SimpleCart_heuristic,DecisionTable_search,JRip_minNo,J48_minNumObj,JRip_optimizations,J48_confidenceFactorValue,J48_numFolds,BestFirst_direction,PART_pruning,SimpleCart_numFoldsPruning,PART_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,BestFirst_searchTermination,GreedyStepwise_searchBackwards,JRip_folds,PART_numFolds"
23,90,0.84536693,0.89861754,0.91091705,0.88224462,0.88976035,0022,0034,0035,0.00000000,"DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_crossVal,SimpleCart,DecisionTable_useIBk,Aggregator,DecisionTable_search,PART,JRip,JRip_usePruning,JRip_folds,J48,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,BestFirst_searchTermination,SimpleCart_heuristic,J48_collapseTree,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,J48_minNumObj,J48_useMDLcorrection,JRip_minNo,PART_pruning,GreedyStepwise_searchBackwards,JRip_optimizations,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,J48_binarySplits,JRip_checkErrorRate,PART_minNumObj,PART_numFolds,PART_binarySplits,J48_useLaplace,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,J48_pruning,PART_confidenceFactorValue,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising"
