gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.90399681,0.96726388,0.99045239,1.00000000,0.98024691,0019,0034,0035,0.00000000,"J48,J48_doNotMakeSplitPointActualValue,Aggregator,J48_useMDLcorrection,J48_pruning,J48_subtreeRaising,SimpleCart,J48_minNumObj,SimpleCart_minNumObj,J48_binarySplits,PART,JRip,DecisionTable,DecisionTable_crossVal,JRip_usePruning,J48_confidenceFactorValue,JRip_minNo,J48_useLaplace,J48_collapseTree,SimpleCart_usePrune,J48_numFolds,PART_doNotMakeSplitPointActualValue,JRip_optimizations,DecisionTable_useIBk,PART_binarySplits,SimpleCart_heuristic,PART_useMDLcorrection,DecisionTable_search,DecisionTable_evaluationMeasure,BestFirst_direction,SimpleCart_useOneSE,PART_minNumObj,PART_pruning,GreedyStepwise_searchBackwards,JRip_checkErrorRate,SimpleCart_numFoldsPruning,JRip_folds,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,PART_numFolds"
1,90,0.88218855,0.96981956,0.99045239,1.00000000,0.98024691,0005,0034,0035,0.00000000,"JRip,SimpleCart,J48,JRip_usePruning,JRip_minNo,JRip_folds,J48_useMDLcorrection,J48_minNumObj,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,Aggregator,SimpleCart_numFoldsPruning,J48_pruning,J48_binarySplits,DecisionTable,J48_collapseTree,JRip_checkErrorRate,PART,JRip_optimizations,DecisionTable_search,PART_binarySplits,J48_subtreeRaising,SimpleCart_minNumObj,PART_pruning,J48_useLaplace,J48_confidenceFactorValue,DecisionTable_crossVal,DecisionTable_useIBk,SimpleCart_useOneSE,PART_minNumObj,PART_confidenceFactorValue,PART_numFolds,J48_numFolds,PART_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,BestFirst_searchTermination,PART_useMDLcorrection,DecisionTable_evaluationMeasure,BestFirst_direction,GreedyStepwise_conservativeForwardSelection"
2,90,0.89718251,0.96979431,0.99128853,1.00000000,0.98024691,0004,0034,0035,0.00000000,"Aggregator,DecisionTable,JRip,SimpleCart,PART,JRip_checkErrorRate,DecisionTable_search,DecisionTable_useIBk,PART_useMDLcorrection,SimpleCart_usePrune,J48,BestFirst_direction,J48_minNumObj,GreedyStepwise_searchBackwards,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,J48_collapseTree,JRip_usePruning,BestFirst_searchTermination,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,SimpleCart_minNumObj,PART_pruning,JRip_minNo,PART_minNumObj,PART_binarySplits,J48_useLaplace,PART_confidenceFactorValue,SimpleCart_useOneSE,JRip_optimizations,J48_binarySplits,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,J48_useMDLcorrection,PART_numFolds,J48_pruning,JRip_folds,J48_subtreeRaising,J48_confidenceFactorValue,J48_numFolds"
3,90,0.90355348,0.97115234,0.99297980,0.99838969,0.98024691,0004,0034,0035,0.00000000,"Aggregator,DecisionTable,DecisionTable_crossVal,DecisionTable_evaluationMeasure,SimpleCart,DecisionTable_useIBk,SimpleCart_heuristic,DecisionTable_search,PART,PART_useMDLcorrection,J48,J48_collapseTree,JRip,SimpleCart_usePrune,PART_pruning,BestFirst_direction,SimpleCart_minNumObj,J48_useLaplace,PART_confidenceFactorValue,J48_binarySplits,PART_minNumObj,J48_minNumObj,SimpleCart_useOneSE,JRip_usePruning,JRip_checkErrorRate,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,JRip_minNo,J48_doNotMakeSplitPointActualValue,PART_numFolds,PART_doNotMakeSplitPointActualValue,BestFirst_searchTermination,JRip_optimizations,J48_pruning,JRip_folds,GreedyStepwise_conservativeForwardSelection,J48_useMDLcorrection,PART_binarySplits,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising"
4,90,0.92464517,0.98164703,0.99297980,0.99838969,0.98024691,0006,0034,0074,0.55016236,"PART,PART_useMDLcorrection,PART_pruning,PART_numFolds,J48,J48_useMDLcorrection,J48_minNumObj,PART_doNotMakeSplitPointActualValue,J48_binarySplits,J48_collapseTree,PART_minNumObj,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_numFolds,J48_confidenceFactorValue,J48_subtreeRaising,PART_confidenceFactorValue,SimpleCart,SimpleCart_usePrune,SimpleCart_useOneSE,JRip,JRip_checkErrorRate,JRip_minNo,SimpleCart_minNumObj,JRip_usePruning,JRip_folds,JRip_optimizations,PART_binarySplits,J48_useLaplace,SimpleCart_heuristic,BestFirst_direction,DecisionTable_evaluationMeasure,BestFirst_searchTermination,DecisionTable_search,DecisionTable_crossVal,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,DecisionTable,Aggregator,DecisionTable_useIBk"
5,90,0.90334456,0.98247820,0.99571268,1.00000000,1.00000000,0005,0034,0074,0.55016236,"PART,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_minNumObj,PART_binarySplits,PART_pruning,PART_confidenceFactorValue,SimpleCart,SimpleCart_heuristic,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_useOneSE,JRip,JRip_usePruning,JRip_checkErrorRate,JRip_minNo,JRip_folds,JRip_optimizations,SimpleCart_numFoldsPruning,DecisionTable,Aggregator,DecisionTable_crossVal,DecisionTable_useIBk,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,BestFirst_direction,PART_numFolds,J48,J48_useLaplace,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,J48_binarySplits,J48_collapseTree,J48_useMDLcorrection,J48_numFolds,J48_doNotMakeSplitPointActualValue,J48_minNumObj"
6,90,0.90754381,0.98440883,0.99571268,1.00000000,1.00000000,0006,0034,0074,0.55016236,"PART,PART_binarySplits,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_confidenceFactorValue,SimpleCart,SimpleCart_minNumObj,PART_numFolds,J48,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_minNumObj,J48_useLaplace,PART_useMDLcorrection,J48_collapseTree,SimpleCart_heuristic,J48_pruning,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising,J48_useMDLcorrection,SimpleCart_usePrune,SimpleCart_useOneSE,JRip,JRip_usePruning,JRip_checkErrorRate,JRip_minNo,JRip_folds,JRip_optimizations,SimpleCart_numFoldsPruning,Aggregator,DecisionTable,DecisionTable_crossVal,DecisionTable_evaluationMeasure,DecisionTable_search,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_direction,DecisionTable_useIBk"
7,90,0.92234050,0.98172753,0.99571268,1.00000000,1.00000000,0005,0034,0058,0.60263824,"DecisionTable,PART,SimpleCart,SimpleCart_usePrune,PART_binarySplits,JRip,PART_useMDLcorrection,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,JRip_usePruning,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,PART_minNumObj,J48,J48_minNumObj,J48_collapseTree,JRip_minNo,J48_binarySplits,SimpleCart_minNumObj,SimpleCart_heuristic,J48_pruning,PART_pruning,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,PART_confidenceFactorValue,J48_subtreeRaising,PART_numFolds,J48_useMDLcorrection,DecisionTable_crossVal,J48_numFolds,DecisionTable_useIBk,JRip_checkErrorRate,BestFirst_direction,JRip_optimizations,BestFirst_searchTermination,JRip_folds,Aggregator,PART_doNotMakeSplitPointActualValue"
8,90,0.89628291,0.98339010,0.99571268,1.00000000,1.00000000,0004,0034,0058,0.60263824,"PART,PART_useMDLcorrection,DecisionTable,PART_binarySplits,JRip,SimpleCart,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,JRip_checkErrorRate,Aggregator,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,JRip_minNo,PART_minNumObj,SimpleCart_minNumObj,PART_pruning,PART_confidenceFactorValue,J48,J48_useMDLcorrection,PART_numFolds,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_useLaplace,J48_minNumObj,J48_binarySplits,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,DecisionTable_useIBk,JRip_usePruning,DecisionTable_search,JRip_folds,GreedyStepwise_searchBackwards,JRip_optimizations,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,DecisionTable_crossVal,J48_numFolds,DecisionTable_evaluationMeasure"
9,90,0.93349046,0.98337305,0.99571268,1.00000000,1.00000000,0005,0034,0058,0.60263824,"DecisionTable,PART,SimpleCart,JRip,SimpleCart_usePrune,SimpleCart_useOneSE,PART_binarySplits,PART_useMDLcorrection,SimpleCart_numFoldsPruning,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,JRip_usePruning,BestFirst_searchTermination,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,JRip_folds,DecisionTable_useIBk,BestFirst_direction,JRip_checkErrorRate,Aggregator,JRip_optimizations,DecisionTable_crossVal,PART_minNumObj,J48,J48_minNumObj,JRip_minNo,J48_pruning,J48_subtreeRaising,SimpleCart_minNumObj,J48_collapseTree,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,J48_numFolds,J48_useMDLcorrection,J48_binarySplits,DecisionTable_evaluationMeasure,PART_pruning,PART_confidenceFactorValue,J48_useLaplace,PART_numFolds"
