individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,unpruned,false,null,0.45,6,true,true,null,null,true,true,null,true,null,7,null,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,true,acc,MajorityVotingAggregator,true,true,9,5,null,null,true,null,true,true,7,true,null,0.9658163061818591
overall,false,confidenceFactor,true,false,null,2,true,true,null,null,true,true,0.45,true,6,3,false,reducedErrorPruning,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,5,true,false,auc,MajorityVotingAggregator,true,true,4,9,5,3,true,null,false,false,5,false,null,0.9960966336619432
gen_000_ind_000,true,unpruned,true,null,0.35,null,false,true,null,null,true,false,null,true,9,3,false,confidenceFactor,null,true,false,null,true,true,7,true,false,null,MajorityVotingAggregator,true,true,3,4,10,null,false,null,null,true,5,null,0.9791099750523875,null
gen_000_ind_001,true,null,false,null,0.05,10,null,true,2,7,false,true,null,true,5,2,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,true,true,null,false,false,rmse,CompetenceBasedAggregator,null,null,8,7,4,null,null,null,null,null,null,null,0.9802912511978977,null
gen_000_ind_002,true,confidenceFactor,false,true,null,3,false,true,2,8,true,true,0.45,true,9,9,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,null,false,false,auc,CompetenceBasedAggregator,false,false,3,5,8,9,true,null,null,true,5,null,0.9898511240571068,null
gen_000_ind_003,true,confidenceFactor,true,true,0.35,9,true,true,0,2,true,true,0.45,true,2,6,false,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,true,9,true,true,auc,RuleExtractorAggregator,true,true,3,2,5,null,false,null,null,true,6,null,0.9397461815687974,null
gen_000_ind_004,true,confidenceFactor,null,false,null,2,true,true,2,8,true,true,0.05,true,null,7,null,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,true,false,null,null,false,mae,MajorityVotingAggregator,false,true,null,7,null,9,true,null,null,true,3,null,0.9738331342478282,null
gen_000_ind_005,true,confidenceFactor,true,true,null,6,false,true,1,3,true,true,0.25,true,9,7,false,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,2,false,true,auc,MajorityVotingAggregator,false,false,6,7,10,null,true,null,null,true,4,null,0.989493904134395,null
gen_000_ind_006,false,null,false,null,0.25,8,null,true,null,null,false,true,null,true,9,5,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,true,auc,CompetenceBasedAggregator,null,null,2,4,3,null,null,null,false,null,null,true,0.9892100668046023,null
gen_000_ind_007,false,unpruned,true,null,null,6,false,true,1,4,true,true,null,false,1,null,false,null,true,true,null,weka.attributeSelection.BestFirst,null,true,6,true,null,rmse,MajorityVotingAggregator,true,true,7,6,6,null,false,null,null,false,9,null,0.9820629082537703,null
gen_000_ind_008,false,unpruned,true,null,null,6,true,true,null,null,true,true,null,true,2,2,false,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,9,true,true,auc,RuleExtractorAggregator,true,true,2,2,7,null,true,null,false,false,2,true,0.9141061448914751,null
gen_000_ind_009,false,confidenceFactor,true,true,0.25,3,false,true,0,4,true,true,0.05,true,null,2,false,confidenceFactor,true,false,false,weka.attributeSelection.BestFirst,false,true,6,true,true,auc,RuleExtractorAggregator,true,false,4,7,null,null,true,null,null,true,10,null,0.9489844975771238,null
gen_000_ind_010,true,confidenceFactor,true,false,0.35,1,false,true,null,null,true,true,0.35,true,9,8,true,confidenceFactor,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,9,true,true,auc,RuleExtractorAggregator,true,true,10,2,10,null,false,null,true,false,10,false,0.9362019835028608,null
gen_000_ind_011,false,confidenceFactor,true,true,0.15,6,false,true,null,null,true,true,0.05,true,6,2,false,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,10,true,false,auc,MajorityVotingAggregator,true,true,3,2,5,null,false,null,false,false,9,false,0.9883927058115084,null
gen_000_ind_012,null,confidenceFactor,true,true,null,8,false,false,null,null,true,true,0.15,true,null,2,false,unpruned,false,null,true,weka.attributeSelection.GreedyStepwise,false,true,2,true,true,auc,RuleExtractorAggregator,true,false,3,null,null,null,true,null,false,true,2,true,0.9151222030844908,null
gen_000_ind_013,true,unpruned,true,null,null,6,true,true,0,1,true,true,null,true,9,2,false,unpruned,false,true,false,weka.attributeSelection.BestFirst,true,true,8,true,true,rmse,RuleExtractorAggregator,false,true,8,2,7,null,true,null,null,false,5,null,0.863063343362444,null
gen_000_ind_014,false,reducedErrorPruning,null,false,null,9,false,true,null,null,true,true,null,true,3,6,null,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,false,false,null,null,true,rmse,MajorityVotingAggregator,true,true,null,2,4,null,false,9,false,true,4,false,0.9800958981457486,null
