gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.86306334,0.98204096,0.99072635,0.99620624,0.99720151,0206,0034,0035,0.00000000,"Aggregator,DecisionTable,DecisionTable_useIBk,DecisionTable_search,PART,JRip,BestFirst_direction,J48,GreedyStepwise_searchBackwards,J48_collapseTree,PART_binarySplits,JRip_minNo,SimpleCart,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_confidenceFactorValue,DecisionTable_crossVal,BestFirst_searchTermination,JRip_usePruning,PART_useMDLcorrection,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,SimpleCart_numFoldsPruning,DecisionTable_evaluationMeasure,J48_minNumObj,JRip_folds,J48_numFolds,SimpleCart_minNumObj,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_minNumObj,J48_useMDLcorrection,J48_useLaplace,JRip_optimizations,PART_confidenceFactorValue,SimpleCart_useOneSE,SimpleCart_heuristic,PART_numFolds"
1,90,0.85818931,0.98410917,0.99088887,0.98699288,0.99762154,0165,0034,0035,0.00000000,"DecisionTable,SimpleCart,JRip,SimpleCart_heuristic,JRip_checkErrorRate,JRip_minNo,DecisionTable_useIBk,PART,JRip_usePruning,J48,J48_pruning,JRip_folds,J48_confidenceFactorValue,J48_subtreeRaising,DecisionTable_crossVal,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,DecisionTable_search,Aggregator,GreedyStepwise_searchBackwards,J48_useLaplace,DecisionTable_evaluationMeasure,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_minNumObj,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,J48_numFolds,SimpleCart_minNumObj,JRip_optimizations,J48_collapseTree,PART_binarySplits,J48_minNumObj,BestFirst_direction,BestFirst_searchTermination,PART_pruning,J48_binarySplits,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,J48_useMDLcorrection,PART_numFolds"
2,90,0.89590366,0.98475906,0.99185322,0.98182500,0.99683663,0169,0034,0035,0.00000000,"SimpleCart,Aggregator,PART,J48,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_binarySplits,SimpleCart_minNumObj,PART_pruning,J48_minNumObj,SimpleCart_heuristic,DecisionTable,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,J48_pruning,J48_useLaplace,J48_numFolds,SimpleCart_usePrune,SimpleCart_useOneSE,PART_minNumObj,DecisionTable_search,BestFirst_direction,J48_useMDLcorrection,JRip,PART_useMDLcorrection,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,PART_numFolds,PART_binarySplits,J48_subtreeRaising,DecisionTable_evaluationMeasure,JRip_checkErrorRate,J48_confidenceFactorValue,BestFirst_searchTermination,DecisionTable_crossVal,SimpleCart_numFoldsPruning,JRip_minNo,JRip_usePruning,JRip_folds,GreedyStepwise_searchBackwards,JRip_optimizations"
3,90,0.91297352,0.98588592,0.99185322,0.98182500,0.99683663,0181,0034,0035,0.00000000,"PART,JRip,DecisionTable,PART_useMDLcorrection,J48,JRip_usePruning,JRip_checkErrorRate,DecisionTable_evaluationMeasure,SimpleCart,J48_useMDLcorrection,PART_pruning,Aggregator,DecisionTable_crossVal,J48_minNumObj,PART_minNumObj,PART_binarySplits,J48_doNotMakeSplitPointActualValue,J48_collapseTree,PART_confidenceFactorValue,JRip_folds,PART_doNotMakeSplitPointActualValue,PART_numFolds,JRip_minNo,SimpleCart_minNumObj,J48_pruning,DecisionTable_useIBk,SimpleCart_heuristic,DecisionTable_search,J48_binarySplits,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,J48_confidenceFactorValue,JRip_optimizations,GreedyStepwise_searchBackwards,J48_subtreeRaising,J48_numFolds,SimpleCart_numFoldsPruning,BestFirst_searchTermination,BestFirst_direction,SimpleCart_useOneSE"
4,90,0.85749628,0.98860707,0.99185322,0.98182500,0.99683663,0177,0034,0070,0.53213644,"SimpleCart,JRip,J48,PART,DecisionTable,DecisionTable_useIBk,JRip_checkErrorRate,PART_pruning,PART_numFolds,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,Aggregator,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_numFolds,J48_subtreeRaising,J48_useLaplace,J48_minNumObj,JRip_minNo,PART_confidenceFactorValue,PART_useMDLcorrection,PART_minNumObj,SimpleCart_minNumObj,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,DecisionTable_crossVal,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,JRip_usePruning,SimpleCart_useOneSE,J48_useMDLcorrection,BestFirst_searchTermination,J48_binarySplits,BestFirst_direction,JRip_optimizations,J48_collapseTree,JRip_folds,PART_binarySplits,SimpleCart_numFoldsPruning"
5,90,0.91588171,0.98830120,0.99185322,0.98182500,0.99683663,0159,0034,0070,0.53213644,"J48,PART,DecisionTable,JRip,SimpleCart,SimpleCart_minNumObj,DecisionTable_crossVal,J48_minNumObj,PART_pruning,DecisionTable_evaluationMeasure,PART_minNumObj,J48_pruning,DecisionTable_search,PART_numFolds,GreedyStepwise_searchBackwards,JRip_checkErrorRate,J48_confidenceFactorValue,JRip_minNo,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,J48_numFolds,J48_subtreeRaising,Aggregator,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,JRip_usePruning,SimpleCart_useOneSE,PART_useMDLcorrection,J48_useMDLcorrection,J48_useLaplace,DecisionTable_useIBk,BestFirst_direction,BestFirst_searchTermination,SimpleCart_heuristic,J48_binarySplits,SimpleCart_numFoldsPruning,PART_binarySplits,JRip_folds,JRip_optimizations,J48_collapseTree"
6,90,0.91287250,0.98855703,0.99185322,0.98182500,0.99683663,0148,0034,0070,0.53213644,"PART,J48,JRip,SimpleCart,DecisionTable,J48_minNumObj,SimpleCart_minNumObj,DecisionTable_search,JRip_minNo,PART_pruning,GreedyStepwise_conservativeForwardSelection,J48_pruning,DecisionTable_crossVal,DecisionTable_evaluationMeasure,J48_numFolds,J48_subtreeRaising,PART_numFolds,PART_minNumObj,J48_confidenceFactorValue,JRip_usePruning,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,JRip_checkErrorRate,Aggregator,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,SimpleCart_useOneSE,J48_useMDLcorrection,JRip_folds,JRip_optimizations,J48_useLaplace,J48_collapseTree,PART_binarySplits,SimpleCart_numFoldsPruning,J48_binarySplits,DecisionTable_useIBk,BestFirst_searchTermination,SimpleCart_heuristic,BestFirst_direction"
7,90,0.90676606,0.98796523,0.99216020,0.97773559,0.99496202,0154,0057,0058,0.22241296,"JRip,J48,DecisionTable,DecisionTable_useIBk,SimpleCart,PART,SimpleCart_usePrune,DecisionTable_search,SimpleCart_numFoldsPruning,BestFirst_direction,BestFirst_searchTermination,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,PART_useMDLcorrection,J48_minNumObj,PART_binarySplits,J48_collapseTree,SimpleCart_heuristic,PART_pruning,DecisionTable_crossVal,J48_useMDLcorrection,J48_binarySplits,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,SimpleCart_minNumObj,JRip_checkErrorRate,PART_numFolds,J48_numFolds,J48_confidenceFactorValue,JRip_optimizations,JRip_folds,J48_subtreeRaising,PART_minNumObj,JRip_usePruning,JRip_minNo,J48_useLaplace,PART_doNotMakeSplitPointActualValue,Aggregator,GreedyStepwise_conservativeForwardSelection,J48_pruning"
8,90,0.90558101,0.98767909,0.99216020,0.97773559,0.99496202,0148,0034,0058,0.22241296,"DecisionTable,PART,JRip,DecisionTable_search,J48,DecisionTable_useIBk,SimpleCart,BestFirst_direction,SimpleCart_usePrune,BestFirst_searchTermination,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,J48_pruning,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,J48_numFolds,J48_confidenceFactorValue,PART_pruning,J48_binarySplits,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,DecisionTable_crossVal,SimpleCart_heuristic,PART_numFolds,PART_binarySplits,PART_minNumObj,J48_useLaplace,JRip_usePruning,JRip_minNo,JRip_folds,Aggregator,JRip_optimizations,J48_minNumObj,J48_collapseTree,PART_useMDLcorrection,JRip_checkErrorRate,PART_confidenceFactorValue,SimpleCart_minNumObj"
9,90,0.92071089,0.98837579,0.99216020,0.97773559,0.99496202,0166,0034,0058,0.22241296,"J48,JRip,SimpleCart,DecisionTable,DecisionTable_search,BestFirst_searchTermination,DecisionTable_useIBk,GreedyStepwise_searchBackwards,PART,SimpleCart_usePrune,BestFirst_direction,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,J48_useMDLcorrection,DecisionTable_evaluationMeasure,PART_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_usePruning,JRip_minNo,JRip_optimizations,Aggregator,J48_useLaplace,JRip_folds,SimpleCart_heuristic,PART_pruning,J48_binarySplits,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,PART_confidenceFactorValue,JRip_checkErrorRate,SimpleCart_minNumObj,PART_numFolds,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,J48_pruning,J48_numFolds,J48_confidenceFactorValue,J48_subtreeRaising,J48_minNumObj,PART_binarySplits,PART_useMDLcorrection"
