individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,confidenceFactor,false,true,null,8,false,true,null,null,true,true,0.05,true,null,3,null,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,acc,MajorityVotingAggregator,false,true,4,2,null,null,false,null,true,false,6,false,null,0.9890657593470926
overall,false,confidenceFactor,false,true,null,8,false,true,null,null,true,true,0.05,true,null,3,null,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,acc,MajorityVotingAggregator,false,true,4,2,null,null,false,null,true,false,6,false,null,0.9890657593470926
gen_000_ind_000,true,null,null,null,0.45,1,null,true,1,2,false,true,null,true,10,2,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,RuleExtractorAggregator,null,null,null,6,3,null,null,null,null,null,null,null,0.977702817060526,null
gen_000_ind_001,true,unpruned,null,null,0.15,null,false,true,null,null,true,false,null,true,2,10,null,confidenceFactor,null,true,true,null,true,false,null,null,false,null,MajorityVotingAggregator,false,true,null,2,3,null,false,null,null,false,5,null,0.9984476466303894,null
gen_000_ind_002,true,reducedErrorPruning,true,false,null,9,true,true,null,null,true,true,null,false,3,null,true,null,false,true,null,weka.attributeSelection.GreedyStepwise,null,true,4,false,null,auc,CompetenceBasedAggregator,true,true,9,9,6,null,true,8,false,false,10,false,0.9979597630094779,null
gen_000_ind_003,true,unpruned,true,null,null,6,true,true,null,null,true,true,null,true,5,6,true,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,5,false,false,mae,CompetenceBasedAggregator,true,false,5,5,6,null,true,null,false,false,4,false,0.9987437710822074,null
gen_000_ind_004,true,confidenceFactor,false,true,null,7,false,true,null,null,true,true,0.25,true,null,7,null,unpruned,false,false,false,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,auc,CompetenceBasedAggregator,true,false,8,2,null,null,true,null,false,false,10,false,0.9987346319835659,null
gen_000_ind_005,false,unpruned,null,null,null,9,false,true,null,null,true,true,null,true,null,9,null,reducedErrorPruning,false,false,true,weka.attributeSelection.GreedyStepwise,true,false,null,null,true,auc,MajorityVotingAggregator,true,true,null,3,null,3,true,null,true,true,2,false,0.9986013958256164,null
gen_000_ind_006,true,confidenceFactor,true,false,null,3,false,true,null,null,true,true,0.25,true,null,4,true,reducedErrorPruning,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,9,true,false,auc,RuleExtractorAggregator,false,false,8,7,null,8,false,null,false,true,2,false,0.9880731797405333,null
gen_000_ind_007,false,unpruned,true,null,null,1,true,true,0,6,true,true,null,true,1,4,false,unpruned,false,true,true,weka.attributeSelection.BestFirst,true,true,7,true,false,acc,MajorityVotingAggregator,true,false,3,2,3,null,true,null,null,false,3,null,0.9990426637172577,null
gen_000_ind_008,true,unpruned,false,null,null,7,true,true,1,3,true,true,null,true,5,5,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,null,true,true,auc,RuleExtractorAggregator,false,false,2,10,6,null,true,null,null,false,6,null,0.9874821761999698,null
gen_000_ind_009,null,confidenceFactor,false,true,null,null,false,false,null,null,true,false,0.25,true,null,5,null,unpruned,null,null,true,null,false,true,null,true,false,null,RuleExtractorAggregator,true,true,6,null,null,null,false,null,null,true,10,null,0.988431622897972,null
gen_000_ind_010,false,null,null,null,null,4,null,true,2,5,false,true,null,false,null,null,null,null,false,false,null,weka.attributeSelection.BestFirst,null,false,null,null,null,auc,RuleExtractorAggregator,null,null,null,7,null,null,null,null,null,null,null,null,0.9812138626578186,null
gen_000_ind_011,true,confidenceFactor,false,true,null,4,true,true,1,7,true,true,0.05,true,8,9,null,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,MajorityVotingAggregator,true,false,3,6,8,null,true,null,null,false,7,null,0.9987297200448924,null
gen_000_ind_012,true,reducedErrorPruning,true,true,0.25,6,true,true,1,9,true,true,null,true,10,10,false,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,true,8,true,true,mae,CompetenceBasedAggregator,true,true,5,2,10,null,false,5,null,false,2,null,0.9988015103028433,null
gen_000_ind_013,true,unpruned,false,null,0.35,1,true,true,null,null,true,true,null,true,4,9,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,true,acc,CompetenceBasedAggregator,true,false,3,2,7,null,false,null,false,false,10,false,0.9989014473946172,null
gen_000_ind_014,true,reducedErrorPruning,true,true,null,5,false,true,0,5,true,true,null,true,3,5,true,unpruned,true,true,false,weka.attributeSelection.BestFirst,true,true,7,false,false,auc,CompetenceBasedAggregator,true,false,6,10,10,null,true,8,null,false,6,null,0.9985671189123556,null
gen_000_ind_015,true,unpruned,true,null,0.25,1,false,true,1,2,true,true,null,true,null,6,false,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,true,true,8,true,true,auc,CompetenceBasedAggregator,false,false,4,2,null,null,false,null,null,false,2,null,0.9989028446695704,null
gen_000_ind_016,false,unpruned,true,null,null,6,true,true,2,2,true,true,null,true,6,5,false,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,true,2,false,true,auc,RuleExtractorAggregator,true,true,7,5,5,null,true,null,null,false,3,null,0.9879492623059847,null
gen_000_ind_017,true,unpruned,true,null,0.05,2,true,true,0,1,true,true,null,true,null,2,false,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,true,true,6,true,true,mae,MajorityVotingAggregator,false,false,6,10,null,null,true,null,null,false,8,null,0.9986289084572262,null
gen_000_ind_018,true,reducedErrorPruning,true,false,null,10,false,true,2,7,true,true,null,false,null,null,true,null,false,false,null,weka.attributeSelection.BestFirst,null,true,2,true,null,mae,MajorityVotingAggregator,true,true,9,8,null,null,false,4,null,false,10,null,0.9976692437876451,null
gen_000_ind_019,true,reducedErrorPruning,true,false,null,9,false,true,null,null,true,true,null,true,4,6,false,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,3,false,false,auc,RuleExtractorAggregator,false,true,4,4,8,null,false,9,true,false,4,false,0.9892984033705993,null
gen_000_ind_020,true,confidenceFactor,false,true,null,10,false,true,null,null,true,true,0.25,true,7,6,null,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,true,auc,RuleExtractorAggregator,true,true,9,4,10,8,true,null,false,true,5,false,0.9835184735189115,null
gen_000_ind_021,false,confidenceFactor,false,true,0.35,2,false,true,1,2,true,true,0.15,true,null,6,null,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,null,false,true,auc,RuleExtractorAggregator,false,true,8,6,null,null,true,null,null,true,2,null,0.9863141436111593,null
gen_000_ind_022,true,unpruned,true,null,0.45,2,false,true,1,4,true,true,null,true,null,5,true,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,9,true,true,acc,CompetenceBasedAggregator,true,true,2,5,null,null,false,null,null,false,9,null,0.9987935389072431,null
gen_000_ind_023,false,reducedErrorPruning,false,false,null,3,true,true,1,5,true,true,null,true,6,9,null,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,false,true,null,true,false,mae,RuleExtractorAggregator,true,true,4,4,8,9,true,7,null,true,3,null,0.9845700175509121,null
