individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,reducedErrorPruning,null,false,null,10,false,true,2,3,true,true,null,true,7,3,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,false,null,null,true,auc,CompetenceBasedAggregator,false,true,null,5,2,2,false,2,null,true,9,null,null,0.0
overall,true,reducedErrorPruning,true,false,0.35,1,true,true,0,10,true,true,null,true,null,3,false,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,6,false,true,auc,CompetenceBasedAggregator,false,true,6,3,null,null,true,4,null,false,5,null,null,0.7567857142857143
gen_000_ind_000,false,confidenceFactor,true,true,null,3,true,true,null,null,true,true,0.15,true,10,2,true,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,7,true,true,acc,RuleExtractorAggregator,true,false,7,2,8,7,false,null,true,true,8,true,0.6639,null
gen_000_ind_001,false,reducedErrorPruning,true,true,0.05,4,false,true,1,1,true,true,null,true,8,3,false,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,true,true,2,true,false,auc,RuleExtractorAggregator,false,false,4,3,4,null,true,6,null,false,4,null,0.7539666666666667,null
gen_000_ind_002,false,reducedErrorPruning,false,false,null,1,false,true,null,null,true,true,null,true,8,8,null,unpruned,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,auc,CompetenceBasedAggregator,true,false,8,6,6,null,true,9,false,true,6,false,0.8258333333333333,null
gen_000_ind_003,true,unpruned,false,null,0.25,4,false,true,2,7,true,true,null,true,6,10,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,true,true,null,true,false,auc,RuleExtractorAggregator,true,true,10,2,5,null,true,null,null,true,10,null,0.8021333333333333,null
gen_000_ind_004,true,confidenceFactor,true,false,0.05,4,true,true,null,null,true,true,0.05,true,2,4,true,confidenceFactor,true,true,false,weka.attributeSelection.GreedyStepwise,true,true,8,true,false,mae,RuleExtractorAggregator,false,false,6,7,7,null,true,null,false,false,2,false,0.7076,null
gen_000_ind_005,false,unpruned,false,null,null,2,false,true,null,null,true,true,null,true,3,10,null,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,rmse,MajorityVotingAggregator,true,true,9,3,6,4,true,null,false,true,8,false,0.8092,null
gen_000_ind_006,true,confidenceFactor,true,true,0.05,7,true,true,null,null,true,true,0.45,true,null,7,false,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,8,true,false,acc,CompetenceBasedAggregator,false,true,4,6,null,null,true,null,false,false,4,true,0.8183666666666667,null
gen_000_ind_007,true,unpruned,false,null,null,1,true,true,0,5,true,true,null,true,null,7,null,unpruned,true,false,false,weka.attributeSelection.BestFirst,false,true,null,true,true,auc,MajorityVotingAggregator,false,false,8,8,null,null,true,null,null,false,3,null,0.8121666666666666,null
