gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.60486667,0.80563333,0.82583333,0.81750000,0.82928571,0034,0034,0035,0.00000000,"SimpleCart,SimpleCart_usePrune,SimpleCart_useOneSE,DecisionTable,Aggregator,PART,JRip,DecisionTable_search,BestFirst_searchTermination,J48,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,DecisionTable_evaluationMeasure,J48_collapseTree,J48_useMDLcorrection,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,PART_minNumObj,J48_pruning,DecisionTable_crossVal,J48_subtreeRaising,JRip_minNo,SimpleCart_minNumObj,PART_pruning,BestFirst_direction,J48_numFolds,GreedyStepwise_searchBackwards,SimpleCart_heuristic,SimpleCart_numFoldsPruning,PART_binarySplits,DecisionTable_useIBk,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,JRip_usePruning,J48_minNumObj,JRip_checkErrorRate,JRip_folds,JRip_optimizations,J48_useLaplace,J48_confidenceFactorValue,PART_numFolds"
1,90,0.66280000,0.80578333,0.82583333,0.81750000,0.82928571,0019,0034,0035,0.00000000,"DecisionTable,PART,JRip,Aggregator,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,JRip_minNo,SimpleCart,J48,J48_collapseTree,J48_useMDLcorrection,PART_binarySplits,DecisionTable_evaluationMeasure,JRip_usePruning,SimpleCart_usePrune,PART_minNumObj,J48_useLaplace,DecisionTable_crossVal,DecisionTable_search,DecisionTable_useIBk,PART_pruning,SimpleCart_minNumObj,JRip_checkErrorRate,J48_pruning,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,BestFirst_searchTermination,J48_binarySplits,J48_minNumObj,J48_numFolds,J48_subtreeRaising,JRip_optimizations,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,JRip_folds,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,PART_numFolds"
2,90,0.66183333,0.81105000,0.82696667,0.82883333,0.84678571,0017,0034,0035,0.00000000,"JRip,JRip_minNo,JRip_checkErrorRate,JRip_usePruning,SimpleCart,Aggregator,SimpleCart_usePrune,SimpleCart_minNumObj,PART,J48,DecisionTable,DecisionTable_crossVal,J48_collapseTree,J48_doNotMakeSplitPointActualValue,PART_binarySplits,JRip_optimizations,SimpleCart_useOneSE,JRip_folds,J48_binarySplits,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,J48_minNumObj,J48_pruning,PART_useMDLcorrection,SimpleCart_heuristic,DecisionTable_search,PART_pruning,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_useLaplace,DecisionTable_useIBk,PART_confidenceFactorValue,J48_subtreeRaising,GreedyStepwise_searchBackwards,J48_numFolds,PART_numFolds,BestFirst_direction,J48_confidenceFactorValue,BestFirst_searchTermination"
3,90,0.71146667,0.80858333,0.83370000,0.81950000,0.80035714,0017,0034,0035,0.00000000,"DecisionTable,DecisionTable_useIBk,DecisionTable_search,JRip,SimpleCart,JRip_usePruning,BestFirst_direction,SimpleCart_heuristic,GreedyStepwise_conservativeForwardSelection,J48,JRip_minNo,DecisionTable_evaluationMeasure,J48_minNumObj,J48_collapseTree,JRip_checkErrorRate,BestFirst_searchTermination,PART,Aggregator,DecisionTable_crossVal,SimpleCart_minNumObj,J48_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,JRip_folds,SimpleCart_numFoldsPruning,JRip_optimizations,J48_binarySplits,PART_pruning,J48_useMDLcorrection,J48_useLaplace,J48_pruning,J48_numFolds,J48_subtreeRaising,PART_useMDLcorrection,PART_minNumObj,PART_binarySplits,J48_confidenceFactorValue,SimpleCart_useOneSE,PART_numFolds,PART_confidenceFactorValue"
4,90,0.69760000,0.81411667,0.83370000,0.81950000,0.80035714,0017,0034,0072,0.55876443,"PART,J48,JRip,DecisionTable,JRip_usePruning,J48_collapseTree,PART_pruning,PART_confidenceFactorValue,Aggregator,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_useLaplace,JRip_checkErrorRate,PART_minNumObj,DecisionTable_crossVal,JRip_optimizations,SimpleCart,SimpleCart_minNumObj,SimpleCart_usePrune,DecisionTable_evaluationMeasure,DecisionTable_useIBk,J48_pruning,JRip_folds,JRip_minNo,DecisionTable_search,BestFirst_searchTermination,J48_subtreeRaising,J48_useMDLcorrection,J48_confidenceFactorValue,PART_binarySplits,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,PART_numFolds,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,SimpleCart_heuristic,J48_minNumObj,SimpleCart_numFoldsPruning,J48_numFolds,J48_doNotMakeSplitPointActualValue,J48_binarySplits"
5,90,0.68826667,0.81356667,0.83370000,0.81950000,0.80035714,0018,0034,0072,0.55876443,"J48,DecisionTable,PART,JRip,PART_minNumObj,DecisionTable_crossVal,SimpleCart,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,SimpleCart_usePrune,DecisionTable_search,JRip_minNo,DecisionTable_useIBk,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,PART_binarySplits,JRip_checkErrorRate,J48_collapseTree,SimpleCart_useOneSE,J48_minNumObj,SimpleCart_numFoldsPruning,J48_numFolds,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,J48_binarySplits,PART_doNotMakeSplitPointActualValue,BestFirst_direction,JRip_usePruning,JRip_optimizations,JRip_folds,J48_useLaplace,PART_pruning,PART_numFolds,GreedyStepwise_searchBackwards,PART_useMDLcorrection,BestFirst_searchTermination,PART_confidenceFactorValue,J48_useMDLcorrection,Aggregator"
6,90,0.74106667,0.81453333,0.83370000,0.81950000,0.80035714,0017,0034,0072,0.55876443,"DecisionTable,PART,JRip,J48,J48_useLaplace,DecisionTable_useIBk,DecisionTable_crossVal,SimpleCart,SimpleCart_usePrune,J48_useMDLcorrection,SimpleCart_heuristic,PART_useMDLcorrection,JRip_checkErrorRate,JRip_usePruning,JRip_folds,PART_pruning,PART_confidenceFactorValue,Aggregator,PART_doNotMakeSplitPointActualValue,PART_binarySplits,DecisionTable_evaluationMeasure,PART_numFolds,SimpleCart_useOneSE,JRip_optimizations,PART_minNumObj,SimpleCart_minNumObj,DecisionTable_search,J48_pruning,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_direction,JRip_minNo,J48_subtreeRaising,J48_confidenceFactorValue,J48_numFolds,J48_doNotMakeSplitPointActualValue,J48_binarySplits,J48_collapseTree,J48_minNumObj,SimpleCart_numFoldsPruning"
7,90,0.69143333,0.81520000,0.83370000,0.81950000,0.80035714,0018,0034,0068,0.57410007,"DecisionTable,JRip,J48,J48_minNumObj,J48_pruning,J48_confidenceFactorValue,J48_useMDLcorrection,J48_binarySplits,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,J48_subtreeRaising,J48_numFolds,DecisionTable_useIBk,DecisionTable_crossVal,Aggregator,SimpleCart_useOneSE,JRip_folds,DecisionTable_evaluationMeasure,J48_collapseTree,J48_useLaplace,JRip_minNo,JRip_usePruning,JRip_optimizations,DecisionTable_search,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,PART_binarySplits,SimpleCart_numFoldsPruning,PART,PART_minNumObj,PART_pruning,PART_numFolds,PART_confidenceFactorValue,SimpleCart_minNumObj,SimpleCart_heuristic,PART_useMDLcorrection,BestFirst_direction,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_usePrune"
8,90,0.74566667,0.81428333,0.83370000,0.81950000,0.80035714,0018,0034,0068,0.57410007,"J48,DecisionTable,JRip,J48_useMDLcorrection,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,JRip_checkErrorRate,J48_useLaplace,DecisionTable_crossVal,DecisionTable_evaluationMeasure,J48_binarySplits,J48_doNotMakeSplitPointActualValue,JRip_usePruning,JRip_optimizations,JRip_folds,J48_minNumObj,J48_pruning,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising,Aggregator,DecisionTable_useIBk,BestFirst_direction,SimpleCart,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,PART,PART_binarySplits,PART_doNotMakeSplitPointActualValue,PART_pruning,SimpleCart_heuristic,PART_confidenceFactorValue,PART_useMDLcorrection,PART_minNumObj,SimpleCart_minNumObj,J48_collapseTree,PART_numFolds,JRip_minNo"
9,90,0.74596667,0.81416667,0.83370000,0.81950000,0.80035714,0020,0034,0068,0.57410007,"DecisionTable,JRip,J48,J48_useMDLcorrection,JRip_minNo,JRip_usePruning,JRip_optimizations,J48_useLaplace,JRip_folds,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_binarySplits,J48_pruning,J48_confidenceFactorValue,J48_subtreeRaising,J48_numFolds,DecisionTable_crossVal,DecisionTable_useIBk,J48_minNumObj,Aggregator,BestFirst_direction,SimpleCart,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,PART,PART_binarySplits,PART_doNotMakeSplitPointActualValue,PART_pruning,SimpleCart_heuristic,PART_confidenceFactorValue,PART_numFolds,PART_minNumObj,PART_useMDLcorrection,SimpleCart_minNumObj"
