individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,confidenceFactor,null,false,0.25,3,false,true,null,null,true,true,0.25,true,4,2,null,confidenceFactor,true,true,false,weka.attributeSelection.GreedyStepwise,false,false,null,null,true,rmse,CompetenceBasedAggregator,true,false,null,2,10,null,true,null,true,false,9,true,null,0.0
overall,false,confidenceFactor,null,false,0.25,3,false,true,null,null,true,true,0.25,true,4,2,null,confidenceFactor,true,true,false,weka.attributeSelection.GreedyStepwise,false,false,null,null,true,rmse,CompetenceBasedAggregator,true,false,null,2,10,null,true,null,true,false,9,true,null,0.0
gen_000_ind_000,true,reducedErrorPruning,true,false,0.45,null,false,true,null,null,true,false,null,true,2,10,false,confidenceFactor,null,true,false,null,true,true,8,true,false,null,RuleExtractorAggregator,false,true,6,3,6,null,false,4,null,false,8,null,0.9461961918398755,null
gen_000_ind_001,false,confidenceFactor,true,true,0.15,1,true,true,null,null,true,true,0.15,true,null,8,false,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,10,false,true,auc,RuleExtractorAggregator,false,false,6,2,null,null,true,null,false,false,4,false,0.925684349000405,null
gen_000_ind_002,false,reducedErrorPruning,false,true,null,2,false,true,1,8,true,true,null,true,null,7,null,reducedErrorPruning,true,false,false,weka.attributeSelection.BestFirst,true,true,null,true,true,rmse,MajorityVotingAggregator,false,true,9,7,null,2,true,4,null,false,4,null,0.9803063142793134,null
gen_000_ind_003,true,unpruned,false,null,0.35,4,false,true,0,1,true,true,null,true,null,2,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,null,false,true,mae,CompetenceBasedAggregator,false,true,2,6,null,null,false,null,null,false,2,null,0.9826031976791378,null
gen_000_ind_004,true,confidenceFactor,true,true,0.35,8,false,true,1,5,true,true,0.05,true,2,5,false,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,9,true,true,acc,MajorityVotingAggregator,false,true,9,7,10,null,false,null,null,true,10,null,0.9803374505954064,null
gen_000_ind_005,null,reducedErrorPruning,true,true,0.25,4,true,false,null,null,true,true,null,true,null,10,false,confidenceFactor,false,null,true,weka.attributeSelection.GreedyStepwise,true,true,9,false,false,acc,MajorityVotingAggregator,false,true,8,null,null,null,false,10,false,true,7,false,0.9758043735792048,null
gen_000_ind_006,true,confidenceFactor,true,false,0.45,5,false,true,1,6,true,true,0.25,true,null,8,false,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,7,false,true,mae,MajorityVotingAggregator,false,false,7,3,null,null,false,null,null,true,5,null,0.9814554056429659,null
gen_000_ind_007,true,null,true,null,0.45,3,null,true,1,1,false,true,null,true,10,6,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,true,true,6,true,false,mae,RuleExtractorAggregator,null,null,9,9,3,null,null,null,null,null,null,null,0.8702255744987182,null
gen_000_ind_008,true,null,true,null,null,2,null,true,1,5,false,true,null,true,null,2,true,unpruned,true,false,true,weka.attributeSelection.BestFirst,true,true,2,false,false,auc,RuleExtractorAggregator,null,null,6,9,null,null,null,null,null,null,null,null,0.9349094268440942,null
