gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.95685846,0.99608666,0.99796414,0.99928812,0.99916918,0203,0034,0035,0.00000000,"J48,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,DecisionTable,DecisionTable_search,SimpleCart,PART,GreedyStepwise_conservativeForwardSelection,SimpleCart_minNumObj,PART_pruning,JRip,PART_confidenceFactorValue,JRip_usePruning,JRip_checkErrorRate,GreedyStepwise_searchBackwards,J48_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_optimizations,Aggregator,J48_useLaplace,J48_collapseTree,BestFirst_direction,BestFirst_searchTermination,J48_binarySplits,J48_pruning,JRip_folds,PART_numFolds,PART_minNumObj,DecisionTable_evaluationMeasure,PART_useMDLcorrection,SimpleCart_heuristic,DecisionTable_useIBk,DecisionTable_crossVal,SimpleCart_usePrune,PART_binarySplits,JRip_minNo,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
1,90,0.94299475,0.99658579,0.99796414,0.99928812,0.99916918,0161,0034,0035,0.00000000,"Aggregator,SimpleCart,J48,J48_useMDLcorrection,JRip,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_numFolds,J48_minNumObj,SimpleCart_heuristic,JRip_usePruning,J48_binarySplits,J48_confidenceFactorValue,J48_useLaplace,J48_collapseTree,PART,PART_binarySplits,SimpleCart_usePrune,SimpleCart_minNumObj,PART_minNumObj,DecisionTable,JRip_minNo,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,DecisionTable_crossVal,SimpleCart_useOneSE,PART_pruning,JRip_folds,DecisionTable_search,PART_useMDLcorrection,JRip_optimizations,GreedyStepwise_searchBackwards,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,PART_numFolds,PART_confidenceFactorValue,BestFirst_direction,BestFirst_searchTermination"
2,90,0.95659884,0.99659536,0.99800171,0.99963444,0.99949714,0176,0034,0035,0.00000000,"J48,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_binarySplits,J48_collapseTree,Aggregator,DecisionTable,DecisionTable_crossVal,J48_pruning,SimpleCart,J48_confidenceFactorValue,DecisionTable_useIBk,SimpleCart_heuristic,J48_numFolds,J48_minNumObj,JRip,JRip_usePruning,J48_useMDLcorrection,DecisionTable_evaluationMeasure,PART,DecisionTable_search,PART_pruning,JRip_folds,PART_useMDLcorrection,GreedyStepwise_searchBackwards,JRip_minNo,SimpleCart_usePrune,JRip_checkErrorRate,BestFirst_direction,J48_subtreeRaising,SimpleCart_minNumObj,SimpleCart_useOneSE,PART_confidenceFactorValue,PART_numFolds,PART_doNotMakeSplitPointActualValue,JRip_optimizations,PART_minNumObj,PART_binarySplits,BestFirst_searchTermination,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection"
3,90,0.97328886,0.99669933,0.99816682,0.99903800,0.99936595,0164,0034,0035,0.00000000,"Aggregator,SimpleCart,JRip,SimpleCart_heuristic,DecisionTable,J48,JRip_checkErrorRate,SimpleCart_usePrune,DecisionTable_useIBk,J48_collapseTree,DecisionTable_evaluationMeasure,J48_useMDLcorrection,PART,PART_useMDLcorrection,J48_useLaplace,DecisionTable_crossVal,J48_binarySplits,PART_pruning,DecisionTable_search,JRip_minNo,JRip_usePruning,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,J48_doNotMakeSplitPointActualValue,PART_minNumObj,PART_doNotMakeSplitPointActualValue,J48_pruning,SimpleCart_numFoldsPruning,PART_binarySplits,J48_minNumObj,SimpleCart_useOneSE,PART_numFolds,JRip_folds,J48_subtreeRaising,BestFirst_searchTermination,JRip_optimizations,BestFirst_direction,J48_numFolds,J48_confidenceFactorValue"
4,90,0.95317310,0.99728931,0.99821159,0.99838384,0.99895054,0182,0034,0071,0.55363939,"J48,JRip,PART,SimpleCart,JRip_usePruning,J48_collapseTree,SimpleCart_heuristic,SimpleCart_minNumObj,JRip_checkErrorRate,JRip_folds,Aggregator,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_minNumObj,PART_pruning,PART_numFolds,JRip_minNo,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,J48_numFolds,PART_confidenceFactorValue,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_useIBk,DecisionTable_search,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,DecisionTable_crossVal,JRip_optimizations,J48_useLaplace,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_binarySplits,PART_binarySplits,J48_minNumObj,BestFirst_searchTermination"
5,90,0.96733584,0.99739784,0.99836353,0.99955748,0.99634877,0178,0034,0071,0.55363939,"PART,JRip,J48,SimpleCart,JRip_checkErrorRate,PART_minNumObj,J48_useLaplace,PART_doNotMakeSplitPointActualValue,J48_collapseTree,JRip_minNo,PART_binarySplits,J48_pruning,J48_confidenceFactorValue,J48_subtreeRaising,JRip_usePruning,PART_useMDLcorrection,JRip_folds,Aggregator,SimpleCart_minNumObj,J48_doNotMakeSplitPointActualValue,JRip_optimizations,PART_pruning,PART_numFolds,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_heuristic,SimpleCart_useOneSE,J48_binarySplits,J48_minNumObj,J48_numFolds,PART_confidenceFactorValue,DecisionTable,DecisionTable_useIBk,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,J48_useMDLcorrection,BestFirst_searchTermination,BestFirst_direction"
6,90,0.94902887,0.99729181,0.99836353,0.99955748,0.99634877,0167,0034,0071,0.55363939,"PART,JRip,SimpleCart,J48,J48_useMDLcorrection,J48_pruning,J48_collapseTree,JRip_minNo,J48_useLaplace,J48_binarySplits,JRip_usePruning,JRip_optimizations,PART_pruning,PART_numFolds,JRip_folds,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,JRip_checkErrorRate,Aggregator,PART_useMDLcorrection,PART_confidenceFactorValue,DecisionTable,J48_numFolds,DecisionTable_crossVal,DecisionTable_search,BestFirst_direction,BestFirst_searchTermination,SimpleCart_usePrune,PART_binarySplits,PART_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,DecisionTable_useIBk,PART_minNumObj,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,J48_confidenceFactorValue,J48_subtreeRaising,SimpleCart_heuristic"
7,90,0.94817621,0.99703561,0.99836353,0.99955748,0.99634877,0184,0034,0058,0.63592997,"J48,J48_binarySplits,PART,JRip,PART_useMDLcorrection,SimpleCart,DecisionTable,J48_useLaplace,PART_pruning,SimpleCart_heuristic,PART_confidenceFactorValue,PART_numFolds,DecisionTable_useIBk,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,J48_minNumObj,SimpleCart_usePrune,J48_useMDLcorrection,SimpleCart_useOneSE,J48_collapseTree,DecisionTable_evaluationMeasure,JRip_minNo,J48_pruning,J48_numFolds,J48_confidenceFactorValue,J48_subtreeRaising,SimpleCart_numFoldsPruning,PART_binarySplits,JRip_checkErrorRate,DecisionTable_search,JRip_usePruning,GreedyStepwise_conservativeForwardSelection,Aggregator,BestFirst_direction,GreedyStepwise_searchBackwards,BestFirst_searchTermination,JRip_optimizations,JRip_folds,PART_minNumObj,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue"
8,90,0.96814950,0.99686925,0.99836353,0.99955748,0.99634877,0222,0034,0058,0.63592997,"JRip,J48,PART,J48_useLaplace,SimpleCart,SimpleCart_heuristic,DecisionTable,J48_binarySplits,PART_pruning,PART_numFolds,PART_useMDLcorrection,PART_confidenceFactorValue,DecisionTable_useIBk,PART_minNumObj,JRip_minNo,DecisionTable_evaluationMeasure,PART_binarySplits,DecisionTable_search,BestFirst_direction,JRip_usePruning,Aggregator,GreedyStepwise_searchBackwards,JRip_optimizations,JRip_checkErrorRate,BestFirst_searchTermination,J48_useMDLcorrection,SimpleCart_usePrune,SimpleCart_useOneSE,J48_minNumObj,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,J48_collapseTree,SimpleCart_minNumObj,JRip_folds,PART_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,J48_pruning,J48_confidenceFactorValue,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising"
9,90,0.96913347,0.99696269,0.99836353,0.99955748,0.99634877,0189,0034,0058,0.63592997,"JRip,J48,PART,DecisionTable,SimpleCart,PART_useMDLcorrection,PART_pruning,PART_numFolds,J48_binarySplits,SimpleCart_heuristic,J48_useLaplace,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,JRip_minNo,DecisionTable_crossVal,J48_doNotMakeSplitPointActualValue,J48_minNumObj,PART_minNumObj,DecisionTable_search,BestFirst_direction,GreedyStepwise_searchBackwards,JRip_usePruning,BestFirst_searchTermination,Aggregator,JRip_optimizations,JRip_checkErrorRate,J48_useMDLcorrection,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_minNumObj,JRip_folds,PART_doNotMakeSplitPointActualValue,PART_binarySplits,J48_pruning,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,SimpleCart_numFoldsPruning,J48_numFolds,J48_confidenceFactorValue,DecisionTable_useIBk"
