individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,null,unpruned,true,null,0.25,7,true,false,null,null,true,true,null,true,9,6,null,confidenceFactor,false,null,true,weka.attributeSelection.GreedyStepwise,true,true,10,false,true,mae,CompetenceBasedAggregator,true,true,7,null,9,null,true,null,false,true,4,true,null,0.5
overall,false,confidenceFactor,false,true,null,1,false,true,null,null,true,true,0.45,true,null,10,null,reducedErrorPruning,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,false,auc,CompetenceBasedAggregator,true,false,9,7,null,8,true,null,true,true,2,true,null,0.6832766164316967
gen_000_ind_000,true,confidenceFactor,true,false,null,9,false,true,1,9,true,true,0.45,false,1,null,false,null,false,true,null,weka.attributeSelection.BestFirst,null,true,3,true,null,mae,RuleExtractorAggregator,true,false,5,2,7,null,true,null,null,true,5,null,0.5817348066298342,null
gen_000_ind_001,true,confidenceFactor,true,false,null,8,false,true,0,5,true,true,0.45,false,null,null,false,null,true,false,null,weka.attributeSelection.BestFirst,null,true,4,true,null,auc,RuleExtractorAggregator,false,true,5,2,null,null,false,null,null,true,9,null,0.5450939226519338,null
gen_000_ind_002,true,confidenceFactor,false,false,0.45,1,false,true,1,3,true,true,0.15,true,null,10,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,true,true,null,true,true,mae,CompetenceBasedAggregator,false,false,7,6,null,null,true,null,null,false,7,null,0.7956022099447514,null
gen_000_ind_003,true,confidenceFactor,false,true,0.05,9,true,true,null,null,true,true,0.45,true,null,4,null,confidenceFactor,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,null,false,true,auc,CompetenceBasedAggregator,true,true,8,2,null,null,true,null,false,true,3,false,0.7887071823204421,null
gen_000_ind_004,null,unpruned,false,null,0.25,3,false,false,0,7,true,true,null,true,null,6,null,confidenceFactor,false,null,false,weka.attributeSelection.BestFirst,true,true,null,false,true,acc,CompetenceBasedAggregator,false,false,3,null,null,null,false,null,null,false,5,null,0.7701878453038674,null
gen_000_ind_005,null,unpruned,true,null,0.35,9,true,false,null,null,true,true,null,true,null,9,false,confidenceFactor,false,null,true,weka.attributeSelection.GreedyStepwise,false,true,2,false,false,auc,RuleExtractorAggregator,true,false,2,null,null,null,false,null,false,false,9,true,0.6334143646408841,null
gen_000_ind_006,true,unpruned,false,null,null,null,false,true,null,null,true,false,null,true,null,7,null,reducedErrorPruning,null,false,true,null,false,true,null,false,true,null,MajorityVotingAggregator,true,true,6,8,null,6,false,null,null,false,5,null,0.7810276243093923,null
gen_000_ind_007,true,reducedErrorPruning,false,false,0.05,8,false,true,null,null,true,true,null,true,null,7,null,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,true,auc,MajorityVotingAggregator,true,false,5,4,null,null,true,9,true,false,7,true,0.7757016574585636,null
