gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.50814365,0.76455801,0.79560221,0.70590735,0.66784152,0121,0034,0035,0.00000000,"Aggregator,PART,SimpleCart,DecisionTable,J48,J48_minNumObj,PART_doNotMakeSplitPointActualValue,JRip,SimpleCart_heuristic,DecisionTable_crossVal,J48_useLaplace,PART_useMDLcorrection,J48_binarySplits,SimpleCart_usePrune,PART_pruning,PART_binarySplits,DecisionTable_search,JRip_checkErrorRate,J48_collapseTree,J48_useMDLcorrection,J48_pruning,J48_confidenceFactorValue,PART_minNumObj,PART_confidenceFactorValue,JRip_minNo,SimpleCart_numFoldsPruning,JRip_usePruning,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,BestFirst_direction,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,DecisionTable_useIBk,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,JRip_optimizations,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,PART_numFolds,JRip_folds,J48_numFolds"
1,90,0.53823204,0.77560221,0.79649724,0.71180408,0.68595041,0082,0034,0035,0.00000000,"Aggregator,JRip,JRip_usePruning,JRip_folds,JRip_optimizations,JRip_checkErrorRate,DecisionTable,DecisionTable_search,J48,SimpleCart,PART,JRip_minNo,J48_collapseTree,SimpleCart_heuristic,BestFirst_direction,PART_doNotMakeSplitPointActualValue,J48_binarySplits,PART_minNumObj,GreedyStepwise_searchBackwards,DecisionTable_crossVal,PART_useMDLcorrection,DecisionTable_evaluationMeasure,SimpleCart_usePrune,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,J48_useMDLcorrection,SimpleCart_minNumObj,PART_pruning,J48_useLaplace,J48_pruning,J48_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,J48_minNumObj,SimpleCart_numFoldsPruning,PART_binarySplits,J48_confidenceFactorValue,J48_numFolds,SimpleCart_useOneSE,J48_subtreeRaising,PART_numFolds"
2,90,0.50992265,0.77900000,0.80169061,0.66903952,0.65714633,0081,0034,0035,0.00000000,"DecisionTable,SimpleCart,SimpleCart_minNumObj,SimpleCart_usePrune,DecisionTable_evaluationMeasure,DecisionTable_crossVal,Aggregator,DecisionTable_search,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,J48,SimpleCart_numFoldsPruning,DecisionTable_useIBk,SimpleCart_heuristic,JRip,PART,J48_doNotMakeSplitPointActualValue,J48_useLaplace,PART_binarySplits,JRip_checkErrorRate,J48_useMDLcorrection,GreedyStepwise_searchBackwards,BestFirst_direction,PART_useMDLcorrection,PART_minNumObj,JRip_usePruning,JRip_minNo,BestFirst_searchTermination,J48_binarySplits,J48_collapseTree,J48_pruning,J48_confidenceFactorValue,J48_minNumObj,PART_doNotMakeSplitPointActualValue,PART_pruning,JRip_folds,JRip_optimizations,J48_numFolds,PART_confidenceFactorValue,PART_numFolds,J48_subtreeRaising"
3,90,0.49917127,0.77790608,0.80169061,0.66903952,0.65714633,0085,0034,0035,0.00000000,"J48,PART,J48_useLaplace,PART_binarySplits,J48_pruning,PART_pruning,PART_numFolds,SimpleCart,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,PART_useMDLcorrection,J48_minNumObj,J48_useMDLcorrection,JRip,DecisionTable,Aggregator,J48_subtreeRaising,PART_confidenceFactorValue,JRip_usePruning,J48_numFolds,J48_collapseTree,J48_binarySplits,PART_minNumObj,SimpleCart_heuristic,DecisionTable_useIBk,JRip_minNo,JRip_optimizations,SimpleCart_usePrune,SimpleCart_minNumObj,DecisionTable_crossVal,JRip_checkErrorRate,DecisionTable_search,JRip_folds,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,BestFirst_searchTermination,BestFirst_direction"
4,90,0.50965746,0.78261326,0.80592265,0.71175096,0.68048128,0072,0034,0073,0.51332164,"JRip,SimpleCart,DecisionTable,JRip_usePruning,SimpleCart_heuristic,DecisionTable_evaluationMeasure,JRip_checkErrorRate,DecisionTable_crossVal,JRip_optimizations,DecisionTable_useIBk,JRip_minNo,SimpleCart_minNumObj,DecisionTable_search,BestFirst_direction,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,JRip_folds,BestFirst_searchTermination,SimpleCart_usePrune,SimpleCart_numFoldsPruning,PART,PART_useMDLcorrection,J48,PART_binarySplits,PART_pruning,J48_pruning,PART_confidenceFactorValue,PART_minNumObj,J48_collapseTree,J48_binarySplits,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising,SimpleCart_useOneSE,J48_numFolds,J48_doNotMakeSplitPointActualValue,Aggregator,J48_confidenceFactorValue,J48_minNumObj,J48_useLaplace,PART_numFolds,J48_useMDLcorrection"
5,90,0.51340331,0.78322652,0.80592265,0.71175096,0.68048128,0072,0145,0073,0.51332164,"DecisionTable,JRip,SimpleCart,SimpleCart_minNumObj,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,JRip_minNo,DecisionTable_evaluationMeasure,BestFirst_direction,JRip_usePruning,JRip_optimizations,BestFirst_searchTermination,DecisionTable_useIBk,PART_confidenceFactorValue,JRip_folds,SimpleCart_numFoldsPruning,PART,SimpleCart_heuristic,DecisionTable_crossVal,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,PART_binarySplits,J48,PART_useMDLcorrection,J48_binarySplits,PART_minNumObj,PART_pruning,J48_pruning,J48_subtreeRaising,J48_collapseTree,J48_numFolds,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,Aggregator,J48_useLaplace,J48_useMDLcorrection,PART_numFolds,J48_minNumObj,SimpleCart_usePrune,SimpleCart_useOneSE"
6,90,0.59135912,0.78629282,0.80592265,0.71175096,0.68048128,0068,0034,0073,0.51332164,"SimpleCart,DecisionTable,JRip,SimpleCart_heuristic,JRip_usePruning,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_minNumObj,DecisionTable_crossVal,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,DecisionTable_useIBk,JRip_minNo,SimpleCart_numFoldsPruning,PART,PART_useMDLcorrection,PART_binarySplits,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,DecisionTable_evaluationMeasure,J48,J48_pruning,J48_subtreeRaising,J48_collapseTree,J48_confidenceFactorValue,J48_binarySplits,BestFirst_searchTermination,PART_pruning,J48_minNumObj,J48_useLaplace,PART_numFolds,J48_useMDLcorrection,JRip_folds,J48_numFolds,J48_doNotMakeSplitPointActualValue,Aggregator,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,JRip_optimizations"
7,90,0.61770166,0.78233702,0.80975691,0.64784318,0.65410792,0090,0187,0061,0.62093781,"PART,SimpleCart,PART_useMDLcorrection,DecisionTable,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_searchTermination,BestFirst_direction,JRip_folds,J48_numFolds,J48_useMDLcorrection,JRip_optimizations,SimpleCart_useOneSE,PART_numFolds,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,PART_binarySplits,PART_pruning,DecisionTable_crossVal,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,PART_minNumObj,SimpleCart_heuristic,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,J48_subtreeRaising,Aggregator,JRip,JRip_checkErrorRate,J48_confidenceFactorValue,J48_binarySplits,J48_useLaplace,J48_collapseTree,J48_minNumObj,J48_pruning,JRip_minNo,J48,JRip_usePruning"
8,90,0.50992265,0.78837569,0.80975691,0.64784318,0.65410792,0086,0061,0061,0.62093781,"SimpleCart,PART,DecisionTable,PART_useMDLcorrection,DecisionTable_search,BestFirst_direction,GreedyStepwise_searchBackwards,BestFirst_searchTermination,J48_useMDLcorrection,J48_numFolds,SimpleCart_useOneSE,PART_numFolds,J48_doNotMakeSplitPointActualValue,JRip_folds,JRip_optimizations,PART_pruning,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,PART_binarySplits,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,DecisionTable_crossVal,PART_minNumObj,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,SimpleCart_heuristic,Aggregator,J48,J48_binarySplits,J48_useLaplace,J48_pruning,J48_confidenceFactorValue,J48_subtreeRaising,JRip,JRip_checkErrorRate,JRip_usePruning,JRip_minNo,J48_collapseTree,J48_minNumObj"
9,90,0.52618785,0.78481768,0.80975691,0.64784318,0.65410792,0091,0120,0061,0.62093781,"PART,DecisionTable,PART_useMDLcorrection,SimpleCart,DecisionTable_search,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_searchBackwards,JRip_folds,J48_numFolds,JRip_optimizations,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,SimpleCart_useOneSE,PART_numFolds,GreedyStepwise_conservativeForwardSelection,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,SimpleCart_heuristic,PART_binarySplits,PART_minNumObj,PART_pruning,DecisionTable_useIBk,DecisionTable_evaluationMeasure,DecisionTable_crossVal,PART_confidenceFactorValue,SimpleCart_usePrune,SimpleCart_numFoldsPruning,J48_binarySplits,J48_confidenceFactorValue,J48_subtreeRaising,JRip,Aggregator,JRip_usePruning,JRip_minNo,J48,J48_collapseTree,J48_pruning,JRip_checkErrorRate,J48_minNumObj,J48_useLaplace"
