individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,null,false,null,0.25,null,null,true,null,null,false,false,null,true,1,10,null,confidenceFactor,null,true,false,null,false,true,null,false,false,null,RuleExtractorAggregator,null,null,4,5,5,null,null,null,null,null,null,null,null,0.6990740740740741
overall,false,null,true,null,0.45,2,null,true,2,5,false,true,null,true,3,9,false,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,2,false,false,mae,RuleExtractorAggregator,null,null,6,9,9,null,null,null,null,null,null,null,null,0.6666666666666666
gen_000_ind_000,false,confidenceFactor,false,true,0.25,7,false,true,null,null,true,true,0.05,true,null,9,null,confidenceFactor,false,false,false,weka.attributeSelection.GreedyStepwise,true,true,null,false,true,mae,RuleExtractorAggregator,true,true,3,7,null,null,true,null,false,true,10,false,0.8119281045751633,null
gen_000_ind_001,true,unpruned,false,null,null,1,false,true,2,5,true,true,null,true,null,3,null,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,RuleExtractorAggregator,false,false,6,6,null,2,true,null,null,false,8,null,0.8297373051784817,null
gen_000_ind_002,null,confidenceFactor,false,true,0.45,2,false,false,2,4,true,true,0.05,true,null,6,null,confidenceFactor,true,null,true,weka.attributeSelection.BestFirst,false,true,null,false,true,auc,MajorityVotingAggregator,true,true,10,null,null,null,true,null,null,false,5,null,0.8128437657114128,null
gen_000_ind_003,true,confidenceFactor,true,true,null,7,true,true,null,null,true,true,0.25,true,null,2,false,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,6,true,false,auc,RuleExtractorAggregator,true,false,7,10,null,null,true,null,false,false,2,true,0.7598567119155355,null
gen_000_ind_004,false,reducedErrorPruning,null,true,null,3,false,true,0,3,true,true,null,true,5,10,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,RuleExtractorAggregator,false,true,null,4,3,null,true,6,null,false,7,null,0.7733565862242333,null
gen_000_ind_005,true,unpruned,true,null,null,2,false,true,0,2,true,true,null,true,null,2,false,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,true,true,4,true,false,acc,MajorityVotingAggregator,false,false,2,4,null,6,true,null,null,false,2,null,0.7966528406234288,null
gen_000_ind_006,false,unpruned,true,null,0.35,9,true,true,null,null,true,true,null,true,6,5,false,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,3,true,false,rmse,RuleExtractorAggregator,false,true,10,10,10,null,true,null,false,false,2,false,0.7416101055806938,null
gen_000_ind_007,true,unpruned,false,null,null,8,true,true,null,null,true,true,null,false,5,null,null,null,false,true,null,weka.attributeSelection.GreedyStepwise,null,true,null,false,null,mae,MajorityVotingAggregator,false,false,10,6,5,null,false,null,true,false,4,false,0.7975974107591755,null
gen_000_ind_008,true,reducedErrorPruning,true,false,0.25,3,true,true,null,null,true,true,null,true,4,7,false,confidenceFactor,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,8,true,true,acc,CompetenceBasedAggregator,false,true,10,7,3,null,false,7,false,false,10,false,0.8168124685771744,null
gen_000_ind_009,true,reducedErrorPruning,null,true,null,3,true,true,null,null,true,true,null,true,8,2,null,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,true,false,null,null,false,mae,CompetenceBasedAggregator,false,false,null,2,6,3,true,8,false,false,2,true,0.79914592760181,null
gen_000_ind_010,false,unpruned,true,null,null,3,false,true,null,null,true,true,null,true,6,2,false,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,3,true,false,auc,RuleExtractorAggregator,false,true,2,8,6,4,true,null,true,false,2,false,0.827677853192559,null
