gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.69361928,0.78754965,0.85244093,0.75625000,0.76851852,0095,0034,0035,0.00000000,"J48,J48_doNotMakeSplitPointActualValue,J48_pruning,JRip,DecisionTable,Aggregator,DecisionTable_evaluationMeasure,J48_subtreeRaising,SimpleCart,DecisionTable_search,BestFirst_direction,PART,BestFirst_searchTermination,PART_binarySplits,J48_collapseTree,J48_useMDLcorrection,SimpleCart_heuristic,J48_confidenceFactorValue,JRip_checkErrorRate,SimpleCart_minNumObj,JRip_minNo,GreedyStepwise_searchBackwards,J48_binarySplits,J48_minNumObj,PART_pruning,DecisionTable_crossVal,PART_minNumObj,SimpleCart_usePrune,J48_useLaplace,J48_numFolds,JRip_usePruning,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,PART_useMDLcorrection,PART_numFolds,JRip_optimizations,JRip_folds,SimpleCart_useOneSE"
1,90,0.69436463,0.79107592,0.85244093,0.75625000,0.76851852,0089,0034,0035,0.00000000,"PART,Aggregator,PART_binarySplits,PART_minNumObj,J48,J48_collapseTree,PART_pruning,PART_useMDLcorrection,JRip,JRip_checkErrorRate,DecisionTable,J48_doNotMakeSplitPointActualValue,J48_useLaplace,SimpleCart,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,JRip_minNo,J48_pruning,J48_confidenceFactorValue,J48_useMDLcorrection,J48_binarySplits,DecisionTable_evaluationMeasure,J48_minNumObj,DecisionTable_useIBk,SimpleCart_minNumObj,J48_numFolds,JRip_usePruning,DecisionTable_search,PART_numFolds,DecisionTable_crossVal,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,SimpleCart_usePrune,SimpleCart_heuristic,J48_subtreeRaising,BestFirst_searchTermination,JRip_optimizations,SimpleCart_numFoldsPruning,JRip_folds,SimpleCart_useOneSE,BestFirst_direction"
2,90,0.70387506,0.78448089,0.85244093,0.75625000,0.76851852,0069,0034,0035,0.00000000,"JRip,J48,PART,DecisionTable,PART_minNumObj,DecisionTable_evaluationMeasure,J48_binarySplits,JRip_usePruning,J48_minNumObj,J48_collapseTree,PART_useMDLcorrection,DecisionTable_search,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,PART_binarySplits,DecisionTable_useIBk,PART_pruning,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,JRip_minNo,Aggregator,SimpleCart,JRip_checkErrorRate,J48_pruning,JRip_optimizations,J48_useLaplace,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_useOneSE,J48_numFolds,JRip_folds,BestFirst_searchTermination,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,BestFirst_direction,PART_numFolds,J48_confidenceFactorValue,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,J48_subtreeRaising"
3,90,0.68671631,0.78583773,0.85244093,0.75625000,0.76851852,0067,0034,0035,0.00000000,"J48,J48_minNumObj,JRip,SimpleCart,DecisionTable,J48_collapseTree,JRip_usePruning,Aggregator,JRip_checkErrorRate,DecisionTable_evaluationMeasure,PART,DecisionTable_search,JRip_optimizations,DecisionTable_useIBk,J48_useLaplace,J48_pruning,SimpleCart_heuristic,J48_useMDLcorrection,JRip_minNo,DecisionTable_crossVal,J48_binarySplits,PART_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,PART_binarySplits,SimpleCart_usePrune,PART_pruning,J48_subtreeRaising,JRip_folds,SimpleCart_minNumObj,BestFirst_searchTermination,J48_confidenceFactorValue,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,PART_minNumObj,PART_useMDLcorrection,BestFirst_direction,J48_numFolds,PART_numFolds,PART_confidenceFactorValue,SimpleCart_numFoldsPruning"
4,90,0.72331511,0.79427885,0.85244093,0.75625000,0.76851852,0068,0061,0075,0.56320677,"PART,PART_pruning,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_numFolds,SimpleCart,J48_minNumObj,JRip_checkErrorRate,J48_useLaplace,J48_collapseTree,JRip_usePruning,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,SimpleCart_usePrune,PART_confidenceFactorValue,PART_useMDLcorrection,SimpleCart_useOneSE,PART_binarySplits,SimpleCart_minNumObj,JRip_optimizations,J48_binarySplits,J48_pruning,J48_confidenceFactorValue,J48_numFolds,SimpleCart_numFoldsPruning,JRip,BestFirst_searchTermination,BestFirst_direction,DecisionTable_useIBk,DecisionTable_crossVal,J48_subtreeRaising,JRip_minNo,JRip_folds,DecisionTable,J48,Aggregator,DecisionTable_search,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,J48_useMDLcorrection,GreedyStepwise_searchBackwards"
5,90,0.72683824,0.79828808,0.85244093,0.75625000,0.76851852,0055,0036,0075,0.56320677,"PART,PART_minNumObj,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_confidenceFactorValue,PART_numFolds,SimpleCart,J48_minNumObj,J48_doNotMakeSplitPointActualValue,JRip_usePruning,JRip_checkErrorRate,J48_pruning,J48_useLaplace,J48_collapseTree,SimpleCart_heuristic,JRip_folds,J48,DecisionTable,Aggregator,SimpleCart_minNumObj,J48_numFolds,JRip_optimizations,SimpleCart_usePrune,DecisionTable_crossVal,SimpleCart_numFoldsPruning,DecisionTable_search,BestFirst_direction,DecisionTable_useIBk,PART_binarySplits,J48_binarySplits,J48_useMDLcorrection,J48_confidenceFactorValue,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,JRip,JRip_minNo,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,J48_subtreeRaising,SimpleCart_useOneSE"
6,90,0.73985483,0.80355172,0.85896430,0.69375000,0.86111111,0044,0052,0075,0.56320677,"PART,PART_pruning,PART_numFolds,SimpleCart,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,SimpleCart_useOneSE,PART_useMDLcorrection,PART_binarySplits,SimpleCart_numFoldsPruning,PART_minNumObj,SimpleCart_heuristic,PART_confidenceFactorValue,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_useLaplace,JRip_usePruning,JRip_checkErrorRate,J48_pruning,J48_numFolds,JRip_optimizations,BestFirst_searchTermination,J48_binarySplits,J48_confidenceFactorValue,JRip,DecisionTable_crossVal,J48_useMDLcorrection,DecisionTable_search,BestFirst_direction,J48_collapseTree,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,JRip_minNo,J48_subtreeRaising,JRip_folds,DecisionTable,Aggregator,J48,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards"
7,90,0.71553419,0.80335407,0.85896430,0.69375000,0.86111111,0025,0072,0052,0.29545604,"SimpleCart,JRip,PART,JRip_usePruning,JRip_checkErrorRate,DecisionTable_crossVal,J48_subtreeRaising,J48_binarySplits,J48_useMDLcorrection,BestFirst_direction,J48_numFolds,J48_pruning,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,DecisionTable_useIBk,J48_minNumObj,SimpleCart_useOneSE,BestFirst_searchTermination,PART_numFolds,GreedyStepwise_searchBackwards,J48_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,J48_useLaplace,JRip_optimizations,PART_minNumObj,JRip_folds,Aggregator,J48,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,JRip_minNo,PART_pruning,SimpleCart_minNumObj,PART_binarySplits,DecisionTable,PART_confidenceFactorValue,DecisionTable_search,DecisionTable_evaluationMeasure,PART_useMDLcorrection,SimpleCart_usePrune"
8,90,0.71263386,0.80255593,0.85896430,0.69375000,0.86111111,0030,0034,0052,0.29545604,"JRip,JRip_usePruning,SimpleCart,PART,JRip_checkErrorRate,JRip_minNo,SimpleCart_minNumObj,JRip_optimizations,PART_pruning,PART_numFolds,DecisionTable,DecisionTable_crossVal,PART_binarySplits,PART_confidenceFactorValue,DecisionTable_useIBk,SimpleCart_usePrune,PART_useMDLcorrection,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,PART_minNumObj,JRip_folds,Aggregator,J48,J48_binarySplits,J48_useLaplace,J48_collapseTree,J48_useMDLcorrection,J48_pruning,DecisionTable_search,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,BestFirst_direction,J48_subtreeRaising,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,J48_numFolds,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic"
9,90,0.68274761,0.80075698,0.85896430,0.69375000,0.86111111,0021,0034,0052,0.29545604,"JRip,PART,JRip_usePruning,SimpleCart,JRip_checkErrorRate,JRip_minNo,DecisionTable,SimpleCart_minNumObj,PART_pruning,DecisionTable_useIBk,DecisionTable_crossVal,JRip_optimizations,PART_numFolds,PART_binarySplits,PART_confidenceFactorValue,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,J48_pruning,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising,J48_collapseTree,J48_useLaplace,SimpleCart_useOneSE,BestFirst_direction,BestFirst_searchTermination,J48_binarySplits,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,J48_minNumObj,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,J48_useMDLcorrection,PART_minNumObj,JRip_folds,Aggregator,J48,DecisionTable_search,DecisionTable_evaluationMeasure,SimpleCart_usePrune,PART_useMDLcorrection"
