individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,null,null,null,true,0.45,null,null,false,null,null,true,false,null,true,null,6,null,confidenceFactor,null,null,true,null,false,true,null,null,true,null,RuleExtractorAggregator,null,null,null,null,null,null,null,null,null,null,null,null,null,0.0
overall,null,null,null,true,0.45,null,null,false,null,null,true,false,null,true,null,6,null,confidenceFactor,null,null,true,null,false,true,null,null,true,null,RuleExtractorAggregator,null,null,null,null,null,null,null,null,null,null,null,null,null,0.0
gen_000_ind_000,true,reducedErrorPruning,true,false,null,null,false,true,null,null,true,false,null,true,2,5,false,unpruned,null,true,true,null,true,true,8,true,false,null,MajorityVotingAggregator,true,false,7,7,8,null,true,10,null,false,6,null,1.0,null
gen_000_ind_001,false,reducedErrorPruning,false,true,null,1,true,true,2,5,true,true,null,true,null,2,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,false,true,null,false,true,auc,CompetenceBasedAggregator,true,false,5,7,null,null,true,3,null,true,5,null,1.0,null
gen_000_ind_002,true,reducedErrorPruning,true,true,null,null,false,true,null,null,true,false,null,true,10,2,true,reducedErrorPruning,null,true,false,null,false,true,6,true,true,null,CompetenceBasedAggregator,false,false,6,10,5,2,false,2,null,true,4,null,1.0,null
gen_000_ind_003,false,reducedErrorPruning,false,true,0.35,1,false,true,null,null,true,true,null,true,null,5,null,confidenceFactor,false,false,false,weka.attributeSelection.GreedyStepwise,false,true,null,false,true,mae,MajorityVotingAggregator,false,true,6,6,null,null,false,2,false,true,5,false,1.0,null
gen_000_ind_004,true,confidenceFactor,false,false,null,9,false,true,0,7,true,true,0.45,true,2,9,null,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,true,true,null,false,false,mae,RuleExtractorAggregator,false,true,8,2,10,3,false,null,null,false,8,null,1.0,null
gen_000_ind_005,true,confidenceFactor,null,true,null,8,false,true,null,null,true,true,0.45,true,5,9,null,unpruned,true,true,false,weka.attributeSelection.GreedyStepwise,false,false,null,null,false,rmse,MajorityVotingAggregator,false,true,null,9,9,null,false,null,false,true,2,false,1.0,null
gen_000_ind_006,true,unpruned,true,null,0.35,4,false,true,null,null,true,true,null,true,4,9,false,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,9,true,false,auc,MajorityVotingAggregator,false,false,3,3,3,null,true,null,false,false,4,true,1.0,null
gen_000_ind_007,true,unpruned,false,null,null,1,false,true,null,null,true,true,null,true,9,7,null,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,rmse,CompetenceBasedAggregator,false,true,10,9,5,3,false,null,false,false,9,false,1.0,null
gen_000_ind_008,true,unpruned,false,null,0.05,1,false,true,1,5,true,true,null,true,null,4,null,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,true,true,null,false,true,mae,RuleExtractorAggregator,false,false,9,2,null,null,false,null,null,true,6,null,1.0,null
gen_000_ind_009,null,confidenceFactor,true,true,0.35,1,false,false,1,3,true,true,0.05,true,null,4,true,confidenceFactor,false,null,false,weka.attributeSelection.BestFirst,false,true,2,true,false,auc,MajorityVotingAggregator,false,true,8,null,null,null,false,null,null,false,5,null,1.0,null
gen_000_ind_010,true,confidenceFactor,false,true,null,6,true,true,0,4,true,true,0.45,true,null,9,null,unpruned,true,false,true,weka.attributeSelection.BestFirst,false,true,null,true,false,mae,MajorityVotingAggregator,false,true,10,3,null,null,true,null,null,false,4,null,1.0,null
gen_000_ind_011,false,confidenceFactor,true,true,0.35,1,true,true,0,5,true,true,0.35,true,null,6,true,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,true,true,7,true,true,mae,RuleExtractorAggregator,true,true,7,8,null,null,false,null,null,false,5,null,1.0,null
gen_000_ind_012,true,unpruned,null,null,null,2,true,true,0,10,true,true,null,true,null,2,null,unpruned,false,false,false,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,MajorityVotingAggregator,false,true,null,2,null,null,false,null,null,false,8,null,1.0,null
gen_000_ind_013,true,confidenceFactor,null,false,null,10,false,true,0,1,true,true,0.05,true,2,10,null,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,false,false,null,null,true,mae,CompetenceBasedAggregator,false,false,null,4,5,10,true,null,null,false,5,null,1.0,null
