gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0246,0034,0035,0.00000000,"SimpleCart,J48,PART,PART_binarySplits,J48_minNumObj,PART_useMDLcorrection,SimpleCart_minNumObj,Aggregator,SimpleCart_heuristic,J48_pruning,J48_doNotMakeSplitPointActualValue,DecisionTable,J48_useMDLcorrection,PART_pruning,PART_confidenceFactorValue,PART_numFolds,PART_minNumObj,J48_binarySplits,J48_subtreeRaising,JRip,J48_collapseTree,SimpleCart_usePrune,J48_useLaplace,JRip_minNo,DecisionTable_search,J48_confidenceFactorValue,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,DecisionTable_useIBk,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,J48_numFolds,BestFirst_direction,DecisionTable_evaluationMeasure,BestFirst_searchTermination,JRip_usePruning,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,JRip_optimizations,JRip_folds"
1,90,0.99900990,1.00000000,1.00000000,1.00000000,1.00000000,0191,0034,0035,0.00000000,"JRip,SimpleCart,Aggregator,PART,JRip_usePruning,PART_minNumObj,PART_useMDLcorrection,JRip_optimizations,SimpleCart_heuristic,JRip_checkErrorRate,J48,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,DecisionTable,J48_useMDLcorrection,DecisionTable_crossVal,JRip_folds,J48_doNotMakeSplitPointActualValue,JRip_minNo,PART_pruning,PART_binarySplits,DecisionTable_search,SimpleCart_useOneSE,J48_binarySplits,BestFirst_searchTermination,SimpleCart_numFoldsPruning,J48_pruning,J48_collapseTree,BestFirst_direction,J48_useLaplace,J48_minNumObj,PART_numFolds,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,J48_subtreeRaising,GreedyStepwise_searchBackwards,J48_numFolds,J48_confidenceFactorValue"
2,90,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0219,0034,0035,0.00000000,"SimpleCart,DecisionTable,DecisionTable_search,Aggregator,PART,DecisionTable_evaluationMeasure,SimpleCart_heuristic,JRip,J48,PART_binarySplits,J48_useLaplace,JRip_usePruning,SimpleCart_usePrune,BestFirst_direction,J48_collapseTree,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,PART_minNumObj,BestFirst_searchTermination,PART_useMDLcorrection,GreedyStepwise_searchBackwards,PART_pruning,JRip_minNo,JRip_checkErrorRate,DecisionTable_useIBk,DecisionTable_crossVal,J48_minNumObj,GreedyStepwise_conservativeForwardSelection,J48_pruning,SimpleCart_useOneSE,J48_confidenceFactorValue,JRip_folds,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,JRip_optimizations,J48_binarySplits,J48_numFolds,PART_numFolds,PART_confidenceFactorValue,J48_subtreeRaising"
3,90,0.50000000,1.00000000,1.00000000,1.00000000,1.00000000,0179,0034,0035,0.00000000,"PART,JRip,PART_pruning,Aggregator,J48,J48_collapseTree,J48_useMDLcorrection,DecisionTable,SimpleCart,PART_binarySplits,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,JRip_usePruning,J48_minNumObj,JRip_optimizations,J48_pruning,DecisionTable_crossVal,J48_numFolds,J48_useLaplace,PART_numFolds,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,JRip_minNo,PART_minNumObj,JRip_folds,PART_confidenceFactorValue,DecisionTable_useIBk,J48_subtreeRaising,J48_binarySplits,SimpleCart_heuristic,DecisionTable_search,SimpleCart_usePrune,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,J48_confidenceFactorValue,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,SimpleCart_numFoldsPruning"
4,90,0.50000000,1.00000000,1.00000000,1.00000000,1.00000000,0144,0184,0072,0.46165919,"Aggregator,DecisionTable_evaluationMeasure,J48_minNumObj,SimpleCart_usePrune,PART_binarySplits,J48_binarySplits,J48_useLaplace,BestFirst_direction,SimpleCart_minNumObj,J48_confidenceFactorValue,DecisionTable,DecisionTable_useIBk,DecisionTable_crossVal,J48_pruning,J48_subtreeRaising,J48_numFolds,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,J48_useMDLcorrection,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,JRip,JRip_checkErrorRate,JRip_minNo,BestFirst_searchTermination,SimpleCart,SimpleCart_heuristic,JRip_usePruning,JRip_folds,JRip_optimizations,PART,PART_pruning,PART_useMDLcorrection,PART_numFolds,PART_confidenceFactorValue,PART_minNumObj,J48,J48_collapseTree"
5,90,0.50000000,1.00000000,1.00000000,1.00000000,1.00000000,0133,0180,0072,0.46165919,"Aggregator,SimpleCart_minNumObj,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,J48_numFolds,J48_confidenceFactorValue,DecisionTable,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,DecisionTable_evaluationMeasure,DecisionTable_useIBk,DecisionTable_crossVal,BestFirst_direction,J48_useMDLcorrection,J48_useLaplace,J48_pruning,J48_binarySplits,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip,JRip_checkErrorRate,BestFirst_searchTermination,SimpleCart,SimpleCart_heuristic,SimpleCart_useOneSE,JRip_minNo,JRip_usePruning,JRip_optimizations,JRip_folds,PART,PART_pruning,PART_numFolds,PART_useMDLcorrection,PART_confidenceFactorValue,PART_minNumObj,PART_binarySplits,J48,J48_collapseTree"
6,90,0.50000000,1.00000000,1.00000000,1.00000000,1.00000000,0116,0034,0072,0.46165919,"Aggregator,JRip_minNo,PART_useMDLcorrection,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,BestFirst_searchTermination,SimpleCart,SimpleCart_minNumObj,J48_minNumObj,SimpleCart_usePrune,DecisionTable_evaluationMeasure,JRip_optimizations,PART,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,PART_binarySplits,J48_binarySplits,DecisionTable_crossVal,J48_pruning,J48_confidenceFactorValue,J48_subtreeRaising,J48_numFolds,DecisionTable,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,JRip_folds,J48_useLaplace,JRip_checkErrorRate,J48_useMDLcorrection,SimpleCart_useOneSE,PART_pruning,PART_confidenceFactorValue,PART_minNumObj,J48,PART_numFolds,J48_collapseTree,SimpleCart_numFoldsPruning,JRip,JRip_usePruning"
7,90,0.50000000,1.00000000,1.00000000,1.00000000,1.00000000,0128,0060,0057,0.59049840,"JRip,PART,PART_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_usePruning,PART_useMDLcorrection,PART_pruning,JRip_checkErrorRate,Aggregator,PART_binarySplits,JRip_minNo,PART_numFolds,PART_confidenceFactorValue,JRip_folds,JRip_optimizations,SimpleCart_useOneSE,J48_useMDLcorrection,DecisionTable_useIBk,DecisionTable_evaluationMeasure,SimpleCart_heuristic,J48_useLaplace,SimpleCart_minNumObj,J48_binarySplits,J48_minNumObj,SimpleCart_numFoldsPruning,J48_collapseTree,J48_subtreeRaising,J48_pruning,J48_numFolds,J48_confidenceFactorValue,DecisionTable,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,DecisionTable_crossVal,BestFirst_searchTermination,J48,SimpleCart,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue"
8,90,0.50000000,1.00000000,1.00000000,1.00000000,1.00000000,0119,0082,0057,0.59049840,"PART,PART_minNumObj,JRip,Aggregator,JRip_minNo,JRip_usePruning,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_pruning,PART_confidenceFactorValue,PART_binarySplits,JRip_checkErrorRate,PART_numFolds,JRip_folds,JRip_optimizations,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,DecisionTable_search,J48_numFolds,BestFirst_searchTermination,SimpleCart,J48,J48_useLaplace,J48_minNumObj,SimpleCart_minNumObj,J48_binarySplits,SimpleCart_usePrune,SimpleCart_numFoldsPruning,J48_collapseTree,SimpleCart_heuristic,SimpleCart_useOneSE,J48_useMDLcorrection,BestFirst_direction,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,DecisionTable,DecisionTable_crossVal,DecisionTable_useIBk,DecisionTable_evaluationMeasure"
9,90,0.50000000,1.00000000,1.00000000,1.00000000,1.00000000,0114,0056,0057,0.59049840,"JRip,JRip_checkErrorRate,JRip_usePruning,JRip_folds,JRip_minNo,PART,Aggregator,PART_useMDLcorrection,PART_binarySplits,PART_pruning,JRip_optimizations,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_numFolds,PART_confidenceFactorValue,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,BestFirst_searchTermination,J48,SimpleCart,J48_useMDLcorrection,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_collapseTree,SimpleCart_heuristic,J48_minNumObj,SimpleCart_minNumObj,J48_binarySplits,J48_pruning,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue,J48_useLaplace,J48_doNotMakeSplitPointActualValue,DecisionTable,DecisionTable_crossVal,DecisionTable_useIBk,DecisionTable_evaluationMeasure"
