individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,confidenceFactor,null,false,null,5,true,true,1,8,true,true,0.35,true,null,3,null,unpruned,false,false,false,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,CompetenceBasedAggregator,false,false,null,2,null,null,true,null,null,false,2,null,null,0.0
overall,false,confidenceFactor,null,false,null,5,true,true,1,8,true,true,0.35,true,null,3,null,unpruned,false,false,false,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,CompetenceBasedAggregator,false,false,null,2,null,null,true,null,null,false,2,null,null,0.0
gen_000_ind_000,true,null,null,null,null,1,null,true,0,6,false,true,null,true,8,4,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,false,null,null,true,acc,MajorityVotingAggregator,null,null,null,3,3,5,null,null,null,null,null,null,0.9886666666666667,null
gen_000_ind_001,true,reducedErrorPruning,true,true,0.05,5,false,true,1,1,true,true,null,true,2,8,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,4,true,false,rmse,MajorityVotingAggregator,true,true,7,2,8,null,true,10,null,true,8,null,0.9905333333333333,null
gen_000_ind_002,false,reducedErrorPruning,false,true,0.25,5,false,true,null,null,true,true,null,true,7,10,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,true,mae,CompetenceBasedAggregator,false,false,8,5,6,null,false,7,false,false,8,false,0.9891703703703705,null
gen_000_ind_003,true,confidenceFactor,false,true,null,null,true,true,null,null,true,false,0.05,true,8,2,null,unpruned,null,true,true,null,false,true,null,true,false,null,RuleExtractorAggregator,true,true,9,10,8,null,true,null,null,false,9,null,0.9698222222222223,null
gen_000_ind_004,false,null,true,null,0.05,4,null,true,null,null,false,true,null,true,6,3,true,confidenceFactor,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,4,true,false,rmse,MajorityVotingAggregator,null,null,9,10,5,null,null,null,true,null,null,false,0.9902518518518517,null
gen_000_ind_005,false,reducedErrorPruning,false,true,null,7,true,true,1,6,true,true,null,true,2,5,null,unpruned,false,true,false,weka.attributeSelection.BestFirst,true,true,null,true,true,rmse,RuleExtractorAggregator,true,true,2,7,10,null,true,6,null,false,5,null,0.9736148148148148,null
gen_000_ind_006,true,unpruned,false,null,null,3,false,true,null,null,true,true,null,true,8,5,null,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,true,auc,CompetenceBasedAggregator,false,true,6,6,4,2,true,null,false,true,2,false,0.9940444444444445,null
gen_000_ind_007,false,unpruned,null,null,null,6,false,true,null,null,true,true,null,false,null,null,null,null,true,false,null,weka.attributeSelection.GreedyStepwise,null,false,null,null,null,rmse,RuleExtractorAggregator,true,true,null,3,null,null,true,null,true,true,2,true,0.9777925925925925,null
gen_000_ind_008,true,reducedErrorPruning,true,false,null,9,false,true,0,10,true,true,null,true,null,2,true,reducedErrorPruning,true,false,false,weka.attributeSelection.BestFirst,true,true,3,true,false,rmse,CompetenceBasedAggregator,false,true,3,7,null,9,true,8,null,false,5,null,0.9929777777777777,null
gen_000_ind_009,false,unpruned,true,null,null,5,false,true,null,null,true,true,null,true,null,2,false,reducedErrorPruning,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,4,false,true,auc,MajorityVotingAggregator,false,false,6,9,null,3,false,null,false,false,4,false,0.9946814814814815,null
