gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.58103458,0.67458475,0.74111395,0.71031746,0.59333333,0005,0034,0035,0.00000000,"PART,PART_minNumObj,PART_binarySplits,JRip,Aggregator,JRip_minNo,DecisionTable,PART_useMDLcorrection,PART_pruning,PART_numFolds,DecisionTable_evaluationMeasure,SimpleCart,JRip_usePruning,J48,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,DecisionTable_useIBk,J48_useMDLcorrection,JRip_checkErrorRate,DecisionTable_crossVal,JRip_optimizations,SimpleCart_heuristic,PART_confidenceFactorValue,J48_useLaplace,J48_pruning,J48_confidenceFactorValue,DecisionTable_search,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_numFolds,SimpleCart_usePrune,J48_minNumObj,J48_collapseTree,JRip_folds,GreedyStepwise_searchBackwards,BestFirst_direction,J48_subtreeRaising,BestFirst_searchTermination,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning"
1,90,0.59687358,0.67958759,0.74111395,0.71031746,0.59333333,0003,0034,0035,0.00000000,"SimpleCart,Aggregator,SimpleCart_minNumObj,J48,JRip,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,J48_collapseTree,DecisionTable,SimpleCart_heuristic,JRip_minNo,SimpleCart_usePrune,PART,DecisionTable_crossVal,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,DecisionTable_useIBk,PART_useMDLcorrection,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,J48_pruning,J48_useLaplace,J48_confidenceFactorValue,JRip_usePruning,J48_binarySplits,PART_binarySplits,J48_minNumObj,DecisionTable_search,J48_useMDLcorrection,J48_subtreeRaising,BestFirst_direction,J48_numFolds,PART_minNumObj,PART_pruning,BestFirst_searchTermination,PART_numFolds,GreedyStepwise_searchBackwards,JRip_folds,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,JRip_optimizations"
2,90,0.57751984,0.67788265,0.74111395,0.71031746,0.59333333,0003,0034,0035,0.00000000,"JRip,SimpleCart,JRip_checkErrorRate,Aggregator,J48,DecisionTable,PART,J48_collapseTree,DecisionTable_useIBk,J48_binarySplits,J48_useMDLcorrection,SimpleCart_minNumObj,DecisionTable_crossVal,SimpleCart_heuristic,PART_useMDLcorrection,JRip_usePruning,PART_minNumObj,JRip_minNo,PART_binarySplits,J48_pruning,PART_pruning,PART_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,J48_useLaplace,PART_doNotMakeSplitPointActualValue,J48_minNumObj,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,DecisionTable_search,J48_numFolds,BestFirst_direction,SimpleCart_numFoldsPruning,J48_subtreeRaising,JRip_folds,JRip_optimizations,PART_numFolds,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,GreedyStepwise_searchBackwards"
3,90,0.59016723,0.68820720,0.74111395,0.71031746,0.59333333,0004,0034,0035,0.00000000,"Aggregator,SimpleCart,DecisionTable,JRip,PART,DecisionTable_evaluationMeasure,J48,JRip_checkErrorRate,PART_minNumObj,J48_pruning,J48_minNumObj,PART_binarySplits,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,J48_collapseTree,DecisionTable_useIBk,J48_subtreeRaising,SimpleCart_minNumObj,J48_useLaplace,JRip_usePruning,J48_numFolds,SimpleCart_usePrune,J48_confidenceFactorValue,PART_useMDLcorrection,DecisionTable_search,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_binarySplits,DecisionTable_crossVal,JRip_minNo,BestFirst_direction,PART_pruning,SimpleCart_numFoldsPruning,PART_numFolds,SimpleCart_useOneSE,JRip_optimizations,GreedyStepwise_conservativeForwardSelection,JRip_folds,BestFirst_searchTermination,GreedyStepwise_searchBackwards,PART_confidenceFactorValue"
4,90,0.58955499,0.69554422,0.74937642,0.76269841,0.68000000,0004,0034,0071,0.58548691,"PART,J48,DecisionTable,DecisionTable_evaluationMeasure,PART_binarySplits,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_binarySplits,PART_pruning,PART_numFolds,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,PART_useMDLcorrection,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,DecisionTable_useIBk,PART_minNumObj,BestFirst_searchTermination,SimpleCart,J48_minNumObj,J48_useLaplace,PART_confidenceFactorValue,SimpleCart_heuristic,Aggregator,SimpleCart_minNumObj,J48_pruning,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_numFolds,JRip_folds,JRip_optimizations,JRip_checkErrorRate,JRip_minNo,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,JRip,JRip_usePruning,J48_subtreeRaising"
5,90,0.60364229,0.70227041,0.74937642,0.76269841,0.68000000,0004,0034,0071,0.58548691,"J48,PART,DecisionTable,DecisionTable_useIBk,DecisionTable_crossVal,SimpleCart_heuristic,JRip_folds,PART_binarySplits,SimpleCart_minNumObj,DecisionTable_search,J48_pruning,J48_numFolds,PART_pruning,PART_numFolds,BestFirst_searchTermination,SimpleCart,PART_minNumObj,J48_useLaplace,PART_confidenceFactorValue,J48_minNumObj,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,BestFirst_direction,Aggregator,SimpleCart_useOneSE,J48_useMDLcorrection,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,SimpleCart_numFoldsPruning,J48_binarySplits,PART_useMDLcorrection,J48_collapseTree,GreedyStepwise_searchBackwards,JRip,JRip_checkErrorRate,JRip_usePruning,JRip_minNo,JRip_optimizations,DecisionTable_evaluationMeasure"
6,90,0.56946712,0.70482851,0.74937642,0.76269841,0.68000000,0004,0034,0071,0.58548691,"DecisionTable,J48,PART,J48_useLaplace,PART_pruning,PART_numFolds,PART_confidenceFactorValue,Aggregator,J48_minNumObj,J48_useMDLcorrection,PART_minNumObj,J48_doNotMakeSplitPointActualValue,J48_binarySplits,PART_useMDLcorrection,J48_pruning,J48_numFolds,J48_subtreeRaising,DecisionTable_evaluationMeasure,PART_binarySplits,DecisionTable_useIBk,DecisionTable_crossVal,DecisionTable_search,BestFirst_searchTermination,BestFirst_direction,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_heuristic,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,JRip,JRip_usePruning,JRip_checkErrorRate,JRip_minNo,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,JRip_folds,JRip_optimizations,J48_confidenceFactorValue"
7,90,0.56787698,0.68880952,0.75529478,0.75168651,0.60000000,0003,0034,0054,0.33959018,"DecisionTable,J48,J48_pruning,PART,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,PART_useMDLcorrection,J48_numFolds,J48_doNotMakeSplitPointActualValue,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,J48_minNumObj,DecisionTable_useIBk,PART_minNumObj,BestFirst_direction,JRip,JRip_usePruning,JRip_minNo,JRip_checkErrorRate,JRip_folds,PART_pruning,JRip_optimizations,PART_numFolds,PART_binarySplits,J48_binarySplits,J48_useLaplace,J48_collapseTree,DecisionTable_evaluationMeasure,J48_useMDLcorrection,PART_confidenceFactorValue,Aggregator,DecisionTable_crossVal,SimpleCart,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_minNumObj,SimpleCart_heuristic,SimpleCart_numFoldsPruning"
8,90,0.58793651,0.68524235,0.75529478,0.75168651,0.60000000,0004,0034,0054,0.33959018,"PART,PART_doNotMakeSplitPointActualValue,J48,DecisionTable,PART_useMDLcorrection,J48_pruning,J48_confidenceFactorValue,J48_subtreeRaising,J48_numFolds,PART_binarySplits,J48_useLaplace,J48_binarySplits,J48_collapseTree,PART_minNumObj,DecisionTable_useIBk,J48_useMDLcorrection,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_direction,PART_pruning,JRip,JRip_usePruning,JRip_folds,PART_numFolds,JRip_minNo,JRip_checkErrorRate,JRip_optimizations,PART_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_heuristic,DecisionTable_crossVal,Aggregator,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,BestFirst_searchTermination,J48_minNumObj"
9,90,0.56787698,0.68733702,0.75529478,0.75168651,0.60000000,0003,0040,0054,0.33959018,"J48,J48_pruning,DecisionTable,J48_subtreeRaising,J48_numFolds,J48_confidenceFactorValue,PART,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,JRip_optimizations,SimpleCart_numFoldsPruning,JRip_usePruning,JRip_folds,SimpleCart_minNumObj,SimpleCart_heuristic,SimpleCart_useOneSE,JRip_minNo,GreedyStepwise_searchBackwards,JRip_checkErrorRate,PART_numFolds,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,PART_pruning,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,PART_minNumObj,J48_minNumObj,BestFirst_searchTermination,J48_useLaplace,J48_binarySplits,DecisionTable_crossVal,PART_confidenceFactorValue,J48_collapseTree,PART_binarySplits,SimpleCart,Aggregator,DecisionTable_evaluationMeasure,DecisionTable_search,J48_useMDLcorrection,BestFirst_direction,JRip"
