gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.62955233,0.98843877,0.99547681,0.99329787,0.99470899,0034,0034,0035,0.00000000,"SimpleCart,SimpleCart_minNumObj,SimpleCart_usePrune,PART,PART_doNotMakeSplitPointActualValue,DecisionTable,JRip,J48,J48_collapseTree,J48_minNumObj,SimpleCart_numFoldsPruning,PART_useMDLcorrection,SimpleCart_useOneSE,Aggregator,PART_minNumObj,SimpleCart_heuristic,PART_binarySplits,J48_useMDLcorrection,DecisionTable_search,JRip_minNo,PART_pruning,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,JRip_checkErrorRate,PART_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,BestFirst_direction,BestFirst_searchTermination,DecisionTable_crossVal,J48_useLaplace,DecisionTable_useIBk,J48_pruning,JRip_usePruning,J48_binarySplits,JRip_optimizations,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,J48_subtreeRaising,J48_numFolds,JRip_folds"
1,90,0.64048512,0.99041528,0.99594177,0.99382979,0.99182299,0030,0034,0035,0.00000000,"SimpleCart,JRip,PART,DecisionTable,DecisionTable_useIBk,PART_pruning,J48,SimpleCart_minNumObj,JRip_minNo,Aggregator,PART_binarySplits,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,DecisionTable_crossVal,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,PART_minNumObj,J48_useLaplace,PART_confidenceFactorValue,JRip_usePruning,JRip_optimizations,SimpleCart_usePrune,DecisionTable_search,J48_collapseTree,JRip_folds,J48_pruning,PART_useMDLcorrection,BestFirst_searchTermination,J48_binarySplits,PART_numFolds,DecisionTable_evaluationMeasure,J48_minNumObj,J48_numFolds,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_subtreeRaising,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue"
2,90,0.70188993,0.99013394,0.99594177,0.99382979,0.99182299,0027,0034,0035,0.00000000,"PART,JRip,PART_minNumObj,Aggregator,SimpleCart,PART_doNotMakeSplitPointActualValue,J48,J48_pruning,J48_binarySplits,J48_subtreeRaising,PART_binarySplits,PART_useMDLcorrection,DecisionTable,PART_pruning,J48_useLaplace,J48_numFolds,SimpleCart_heuristic,J48_minNumObj,SimpleCart_usePrune,JRip_usePruning,J48_collapseTree,SimpleCart_minNumObj,J48_confidenceFactorValue,JRip_checkErrorRate,PART_numFolds,SimpleCart_useOneSE,DecisionTable_crossVal,JRip_minNo,J48_useMDLcorrection,JRip_optimizations,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,JRip_folds,PART_confidenceFactorValue,DecisionTable_search,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,BestFirst_direction"
3,90,0.63937035,0.99015987,0.99660392,0.99191489,0.99519000,0025,0034,0035,0.00000000,"DecisionTable,JRip,DecisionTable_search,Aggregator,DecisionTable_evaluationMeasure,JRip_checkErrorRate,JRip_minNo,SimpleCart,BestFirst_direction,GreedyStepwise_searchBackwards,J48,J48_minNumObj,DecisionTable_useIBk,PART,PART_useMDLcorrection,SimpleCart_heuristic,J48_useLaplace,SimpleCart_usePrune,JRip_usePruning,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,SimpleCart_minNumObj,PART_binarySplits,BestFirst_searchTermination,JRip_folds,J48_pruning,J48_useMDLcorrection,J48_numFolds,PART_doNotMakeSplitPointActualValue,J48_binarySplits,SimpleCart_useOneSE,PART_pruning,PART_minNumObj,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,J48_collapseTree,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,JRip_optimizations,J48_subtreeRaising,PART_numFolds"
4,90,0.74047952,0.99167392,0.99744283,0.99617021,0.99615200,0029,0034,0073,0.47359236,"JRip,PART,PART_minNumObj,DecisionTable,GreedyStepwise_conservativeForwardSelection,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip_usePruning,JRip_checkErrorRate,SimpleCart_useOneSE,DecisionTable_search,GreedyStepwise_searchBackwards,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,JRip_optimizations,JRip_folds,PART_pruning,PART_numFolds,J48,J48_binarySplits,J48_pruning,J48_useMDLcorrection,J48_subtreeRaising,J48_confidenceFactorValue,PART_binarySplits,J48_useLaplace,J48_minNumObj,JRip_minNo,DecisionTable_evaluationMeasure,J48_numFolds,J48_doNotMakeSplitPointActualValue,BestFirst_direction,SimpleCart_minNumObj,PART_useMDLcorrection,J48_collapseTree,PART_confidenceFactorValue,BestFirst_searchTermination,Aggregator,SimpleCart,SimpleCart_heuristic"
5,90,0.74394276,0.99234369,0.99746239,0.99393617,0.99711400,0025,0034,0073,0.47359236,"PART,JRip,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,JRip_usePruning,JRip_folds,J48,J48_useMDLcorrection,PART_pruning,PART_numFolds,PART_confidenceFactorValue,PART_binarySplits,J48_pruning,J48_confidenceFactorValue,J48_numFolds,J48_useLaplace,J48_subtreeRaising,J48_binarySplits,J48_collapseTree,J48_minNumObj,JRip_minNo,J48_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable,DecisionTable_crossVal,DecisionTable_search,DecisionTable_useIBk,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,JRip_optimizations,GreedyStepwise_searchBackwards,BestFirst_searchTermination,Aggregator,SimpleCart,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,SimpleCart_heuristic,JRip_checkErrorRate"
6,90,0.82754244,0.99387864,0.99778673,0.99574468,0.99663300,0024,0034,0073,0.47359236,"JRip,PART,JRip_usePruning,PART_useMDLcorrection,JRip_optimizations,PART_minNumObj,DecisionTable,PART_pruning,PART_numFolds,PART_binarySplits,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,JRip_minNo,DecisionTable_crossVal,DecisionTable_evaluationMeasure,DecisionTable_useIBk,GreedyStepwise_searchBackwards,BestFirst_direction,JRip_checkErrorRate,JRip_folds,J48,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_minNumObj,J48_binarySplits,J48_useLaplace,J48_collapseTree,J48_pruning,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue,BestFirst_searchTermination,SimpleCart,Aggregator,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
7,90,0.69521542,0.99111996,0.99778673,0.99574468,0.99663300,0023,0034,0067,0.48196584,"PART,PART_pruning,PART_confidenceFactorValue,PART_numFolds,PART_binarySplits,JRip,JRip_minNo,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,PART_minNumObj,JRip_folds,DecisionTable,J48,J48_doNotMakeSplitPointActualValue,J48_binarySplits,DecisionTable_useIBk,J48_collapseTree,PART_doNotMakeSplitPointActualValue,J48_pruning,JRip_checkErrorRate,DecisionTable_search,J48_numFolds,BestFirst_searchTermination,BestFirst_direction,J48_confidenceFactorValue,SimpleCart,SimpleCart_usePrune,SimpleCart_minNumObj,J48_subtreeRaising,SimpleCart_heuristic,GreedyStepwise_searchBackwards,PART_useMDLcorrection,J48_minNumObj,DecisionTable_crossVal,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,JRip_usePruning,J48_useLaplace,J48_useMDLcorrection,Aggregator"
8,90,0.67232942,0.99186303,0.99778673,0.99574468,0.99663300,0024,0034,0067,0.48196584,"JRip,PART,PART_pruning,PART_binarySplits,PART_confidenceFactorValue,PART_numFolds,JRip_usePruning,JRip_checkErrorRate,JRip_minNo,JRip_optimizations,JRip_folds,PART_minNumObj,DecisionTable,J48,J48_useMDLcorrection,J48_useLaplace,Aggregator,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,DecisionTable_crossVal,J48_binarySplits,DecisionTable_useIBk,PART_useMDLcorrection,J48_minNumObj,J48_collapseTree,PART_doNotMakeSplitPointActualValue,DecisionTable_search,J48_pruning,BestFirst_searchTermination,J48_confidenceFactorValue,J48_numFolds,BestFirst_direction,SimpleCart,SimpleCart_usePrune,SimpleCart_numFoldsPruning,J48_subtreeRaising,SimpleCart_minNumObj,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,SimpleCart_heuristic"
9,90,0.65409049,0.99247644,0.99804036,0.99574468,0.99182299,0027,0044,0067,0.48196584,"PART,PART_pruning,JRip,PART_binarySplits,PART_confidenceFactorValue,PART_numFolds,PART_useMDLcorrection,J48_minNumObj,PART_minNumObj,JRip_minNo,JRip_folds,DecisionTable,J48,J48_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,J48_numFolds,JRip_optimizations,DecisionTable_useIBk,DecisionTable_search,J48_binarySplits,J48_pruning,BestFirst_searchTermination,J48_confidenceFactorValue,BestFirst_direction,JRip_checkErrorRate,SimpleCart,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,DecisionTable_crossVal,SimpleCart_usePrune,SimpleCart_useOneSE,J48_subtreeRaising,J48_collapseTree,PART_doNotMakeSplitPointActualValue,J48_useLaplace,Aggregator,JRip_usePruning,J48_useMDLcorrection,GreedyStepwise_searchBackwards,SimpleCart_heuristic"
