gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.69179742,0.75994101,0.77037089,0.73972372,0.79435674,0017,0034,0035,0.00000000,"DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_crossVal,J48,SimpleCart,PART,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,Aggregator,JRip,PART_doNotMakeSplitPointActualValue,DecisionTable_search,JRip_checkErrorRate,PART_binarySplits,SimpleCart_heuristic,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,PART_minNumObj,J48_useMDLcorrection,J48_pruning,J48_binarySplits,PART_pruning,J48_useLaplace,J48_collapseTree,SimpleCart_usePrune,J48_confidenceFactorValue,BestFirst_direction,J48_minNumObj,J48_numFolds,PART_useMDLcorrection,BestFirst_searchTermination,J48_subtreeRaising,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,JRip_usePruning,JRip_minNo,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,PART_numFolds,JRip_folds,JRip_optimizations"
1,90,0.67372012,0.76930485,0.77059815,0.74006065,0.79464033,0015,0034,0035,0.00000000,"PART,PART_doNotMakeSplitPointActualValue,J48,SimpleCart,PART_minNumObj,DecisionTable,SimpleCart_usePrune,J48_pruning,PART_pruning,J48_useMDLcorrection,J48_collapseTree,DecisionTable_useIBk,J48_confidenceFactorValue,JRip,J48_useLaplace,J48_doNotMakeSplitPointActualValue,JRip_minNo,Aggregator,SimpleCart_numFoldsPruning,DecisionTable_evaluationMeasure,J48_binarySplits,JRip_checkErrorRate,DecisionTable_search,SimpleCart_useOneSE,J48_minNumObj,PART_confidenceFactorValue,DecisionTable_crossVal,J48_subtreeRaising,PART_numFolds,SimpleCart_heuristic,PART_useMDLcorrection,PART_binarySplits,SimpleCart_minNumObj,J48_numFolds,JRip_usePruning,BestFirst_direction,JRip_folds,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,JRip_optimizations"
2,90,0.70232747,0.76937139,0.77059815,0.73744946,0.79378958,0014,0034,0035,0.00000000,"J48,PART,J48_minNumObj,J48_collapseTree,JRip,PART_binarySplits,J48_binarySplits,JRip_usePruning,JRip_checkErrorRate,DecisionTable,J48_useLaplace,J48_pruning,PART_pruning,PART_minNumObj,J48_useMDLcorrection,DecisionTable_useIBk,J48_numFolds,PART_useMDLcorrection,SimpleCart,DecisionTable_crossVal,Aggregator,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,JRip_optimizations,SimpleCart_usePrune,JRip_folds,SimpleCart_heuristic,DecisionTable_search,JRip_minNo,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,BestFirst_searchTermination,PART_numFolds,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,BestFirst_direction"
3,90,0.67833443,0.76889556,0.77059815,0.73972372,0.79435674,0012,0034,0035,0.00000000,"DecisionTable,DecisionTable_search,Aggregator,GreedyStepwise_searchBackwards,J48,J48_doNotMakeSplitPointActualValue,JRip,GreedyStepwise_conservativeForwardSelection,SimpleCart,PART,BestFirst_direction,SimpleCart_usePrune,BestFirst_searchTermination,SimpleCart_minNumObj,J48_useLaplace,DecisionTable_useIBk,DecisionTable_evaluationMeasure,DecisionTable_crossVal,SimpleCart_heuristic,J48_collapseTree,J48_pruning,PART_minNumObj,PART_binarySplits,SimpleCart_numFoldsPruning,J48_minNumObj,PART_doNotMakeSplitPointActualValue,PART_pruning,J48_subtreeRaising,J48_numFolds,SimpleCart_useOneSE,JRip_minNo,J48_useMDLcorrection,J48_confidenceFactorValue,JRip_usePruning,PART_numFolds,J48_binarySplits,PART_useMDLcorrection,JRip_checkErrorRate,JRip_folds,PART_confidenceFactorValue,JRip_optimizations"
4,90,0.67732014,0.76968124,0.77068244,0.74035546,0.79464033,0018,0034,0074,0.54610359,"DecisionTable,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,BestFirst_searchTermination,PART,PART_minNumObj,PART_binarySplits,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_numFolds,PART_confidenceFactorValue,SimpleCart,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_minNumObj,DecisionTable_crossVal,SimpleCart_numFoldsPruning,DecisionTable_evaluationMeasure,SimpleCart_heuristic,JRip,JRip_usePruning,JRip_optimizations,JRip_checkErrorRate,JRip_folds,J48,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_collapseTree,J48_binarySplits,J48_subtreeRaising,J48_confidenceFactorValue,Aggregator,J48_useMDLcorrection,JRip_minNo,J48_numFolds,J48_minNumObj"
5,90,0.67646108,0.76976423,0.77068244,0.74035546,0.79464033,0016,0078,0074,0.54610359,"PART_numFolds,DecisionTable_useIBk,PART_confidenceFactorValue,SimpleCart,SimpleCart_minNumObj,SimpleCart_heuristic,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,PART_binarySplits,J48_collapseTree,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,PART,J48_doNotMakeSplitPointActualValue,JRip_usePruning,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_minNumObj,PART_pruning,JRip_optimizations,JRip_folds,J48,J48_binarySplits,J48_pruning,J48_useLaplace,J48_subtreeRaising,J48_confidenceFactorValue,Aggregator,J48_numFolds,J48_useMDLcorrection,JRip,JRip_checkErrorRate,J48_minNumObj,JRip_minNo,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_crossVal"
6,90,0.69508601,0.76978258,0.77068244,0.74035546,0.79464033,0014,0057,0074,0.54610359,"JRip_optimizations,J48_subtreeRaising,J48_pruning,SimpleCart_heuristic,DecisionTable_search,GreedyStepwise_searchBackwards,J48_numFolds,JRip,JRip_checkErrorRate,BestFirst_searchTermination,J48_confidenceFactorValue,PART,Aggregator,JRip_usePruning,JRip_folds,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48,J48_binarySplits,J48_useMDLcorrection,JRip_minNo,J48_minNumObj,PART_pruning,PART_numFolds,PART_confidenceFactorValue,DecisionTable,DecisionTable_crossVal,PART_minNumObj,DecisionTable_evaluationMeasure,SimpleCart,DecisionTable_useIBk,SimpleCart_usePrune,SimpleCart_useOneSE,BestFirst_direction,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,J48_collapseTree,PART_binarySplits,J48_doNotMakeSplitPointActualValue,J48_useLaplace,GreedyStepwise_conservativeForwardSelection"
7,90,0.70120849,0.76981595,0.77069245,0.74048181,0.79492391,0011,0082,0057,0.51682724,"SimpleCart,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_minNumObj,J48_useMDLcorrection,JRip_usePruning,J48_useLaplace,J48_pruning,J48_confidenceFactorValue,J48_subtreeRaising,J48_numFolds,PART_confidenceFactorValue,BestFirst_direction,PART_numFolds,J48_binarySplits,J48_doNotMakeSplitPointActualValue,BestFirst_searchTermination,J48_collapseTree,JRip_optimizations,DecisionTable_crossVal,JRip_folds,PART_useMDLcorrection,PART_pruning,J48,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,SimpleCart_minNumObj,Aggregator,JRip,JRip_minNo,PART,PART_binarySplits,PART_minNumObj,DecisionTable,DecisionTable_useIBk,DecisionTable_search,JRip_checkErrorRate,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection"
8,90,0.50000000,0.76972434,0.77069245,0.74048181,0.79492391,0011,0034,0057,0.51682724,"SimpleCart,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,SimpleCart_minNumObj,SimpleCart_heuristic,JRip_minNo,PART,PART_doNotMakeSplitPointActualValue,PART_binarySplits,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,PART_useMDLcorrection,PART_pruning,PART_numFolds,PART_confidenceFactorValue,J48,J48_doNotMakeSplitPointActualValue,J48_minNumObj,J48_binarySplits,J48_collapseTree,J48_useLaplace,J48_useMDLcorrection,J48_pruning,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising,PART_minNumObj,Aggregator,DecisionTable,DecisionTable_crossVal,DecisionTable_evaluationMeasure,JRip_folds,JRip_optimizations,BestFirst_direction,BestFirst_searchTermination,JRip_usePruning,DecisionTable_search,DecisionTable_useIBk,JRip,JRip_checkErrorRate"
9,90,0.67243141,0.76926336,0.77069245,0.74048181,0.79492391,0010,0062,0057,0.51682724,"SimpleCart,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,PART_confidenceFactorValue,PART_numFolds,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,BestFirst_direction,J48_pruning,J48_numFolds,J48_confidenceFactorValue,J48_useMDLcorrection,J48_collapseTree,J48_minNumObj,J48_useLaplace,BestFirst_searchTermination,JRip_usePruning,J48_binarySplits,SimpleCart_minNumObj,JRip_folds,JRip_optimizations,SimpleCart_heuristic,PART,PART_doNotMakeSplitPointActualValue,PART_binarySplits,PART_useMDLcorrection,PART_pruning,J48,DecisionTable_crossVal,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,JRip_minNo,PART_minNumObj,DecisionTable,Aggregator,DecisionTable_useIBk,JRip,DecisionTable_search,JRip_checkErrorRate"
