individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,unpruned,false,null,0.35,3,false,true,1,8,true,true,null,true,10,3,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,MajorityVotingAggregator,true,true,8,2,6,null,false,null,null,false,7,null,null,0.8659339011682762
overall,true,confidenceFactor,true,true,0.25,1,true,true,null,null,true,true,0.15,true,6,6,false,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,4,true,false,auc,MajorityVotingAggregator,true,true,2,2,6,null,true,null,false,false,2,true,null,0.8204439570845821
gen_000_ind_000,true,confidenceFactor,true,false,null,2,false,true,null,null,true,true,0.15,true,1,10,false,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,4,true,false,mae,CompetenceBasedAggregator,true,true,4,10,7,null,true,null,false,false,10,false,0.9151697649458244,null
gen_000_ind_001,false,reducedErrorPruning,true,true,null,null,false,true,null,null,true,false,null,false,2,null,true,null,null,true,null,null,null,true,8,false,null,null,CompetenceBasedAggregator,false,true,10,2,4,null,true,7,null,true,3,null,0.900221378889575,null
gen_000_ind_002,false,unpruned,true,null,0.25,5,false,true,null,null,true,true,null,true,null,9,true,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,4,false,false,auc,MajorityVotingAggregator,false,true,6,10,null,null,false,null,true,false,3,false,0.9100301997859326,null
gen_000_ind_003,false,null,null,null,null,6,null,true,1,6,false,true,null,true,null,9,null,unpruned,false,false,false,weka.attributeSelection.BestFirst,true,false,null,null,false,acc,CompetenceBasedAggregator,null,null,null,10,null,null,null,null,null,null,null,null,0.9028677017525679,null
gen_000_ind_004,true,reducedErrorPruning,false,true,null,8,false,true,null,null,true,true,null,false,1,null,null,null,true,true,null,weka.attributeSelection.GreedyStepwise,null,true,null,true,null,mae,CompetenceBasedAggregator,true,false,7,2,3,null,false,3,true,false,4,true,0.906620146443936,null
gen_000_ind_005,false,confidenceFactor,false,false,null,7,false,true,2,6,true,true,0.15,false,2,null,null,null,false,true,null,weka.attributeSelection.BestFirst,null,true,null,false,null,auc,MajorityVotingAggregator,false,true,4,5,3,null,true,null,null,false,8,null,0.9093623543918795,null
gen_000_ind_006,true,confidenceFactor,true,true,0.25,1,true,true,null,null,true,true,0.15,true,6,6,false,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,4,true,false,auc,MajorityVotingAggregator,true,true,2,2,6,null,true,null,false,false,2,true,0.9184448634185991,null
gen_000_ind_007,true,reducedErrorPruning,false,true,null,1,true,true,null,null,true,true,null,true,10,10,null,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,rmse,CompetenceBasedAggregator,false,true,4,5,3,7,false,5,true,false,2,true,0.904233904939266,null
