gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.76592114,0.90559275,0.91844486,0.91917698,0.90374323,0069,0034,0035,0.00000000,"J48,J48_useMDLcorrection,PART,J48_collapseTree,J48_doNotMakeSplitPointActualValue,DecisionTable,PART_pruning,PART_useMDLcorrection,DecisionTable_useIBk,DecisionTable_evaluationMeasure,SimpleCart,JRip,J48_useLaplace,PART_minNumObj,SimpleCart_minNumObj,PART_doNotMakeSplitPointActualValue,Aggregator,PART_binarySplits,J48_binarySplits,J48_minNumObj,J48_pruning,SimpleCart_heuristic,PART_numFolds,DecisionTable_crossVal,J48_confidenceFactorValue,DecisionTable_search,PART_confidenceFactorValue,JRip_minNo,SimpleCart_usePrune,J48_subtreeRaising,JRip_checkErrorRate,JRip_usePruning,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,BestFirst_direction,JRip_optimizations,J48_numFolds,BestFirst_searchTermination,JRip_folds,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE"
1,90,0.78442875,0.90775308,0.91900946,0.90609681,0.90539212,0066,0034,0035,0.00000000,"DecisionTable,Aggregator,DecisionTable_evaluationMeasure,SimpleCart,J48,DecisionTable_crossVal,PART,JRip,SimpleCart_usePrune,DecisionTable_search,J48_useLaplace,PART_useMDLcorrection,DecisionTable_useIBk,SimpleCart_heuristic,JRip_checkErrorRate,J48_useMDLcorrection,SimpleCart_minNumObj,JRip_usePruning,SimpleCart_numFoldsPruning,J48_binarySplits,GreedyStepwise_searchBackwards,J48_pruning,GreedyStepwise_conservativeForwardSelection,J48_subtreeRaising,BestFirst_direction,J48_minNumObj,BestFirst_searchTermination,PART_binarySplits,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,JRip_minNo,J48_confidenceFactorValue,J48_collapseTree,PART_pruning,PART_minNumObj,J48_numFolds,PART_confidenceFactorValue,JRip_optimizations,JRip_folds,PART_numFolds"
2,90,0.78296717,0.90904972,0.91900946,0.90609681,0.90539212,0068,0034,0035,0.00000000,"Aggregator,PART,SimpleCart,PART_doNotMakeSplitPointActualValue,J48,J48_collapseTree,DecisionTable,PART_useMDLcorrection,DecisionTable_search,DecisionTable_evaluationMeasure,J48_pruning,J48_useLaplace,PART_binarySplits,BestFirst_searchTermination,SimpleCart_heuristic,J48_minNumObj,J48_subtreeRaising,PART_minNumObj,J48_binarySplits,JRip,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,SimpleCart_usePrune,PART_pruning,GreedyStepwise_searchBackwards,J48_useMDLcorrection,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,PART_confidenceFactorValue,BestFirst_direction,PART_numFolds,JRip_checkErrorRate,DecisionTable_useIBk,J48_numFolds,JRip_usePruning,DecisionTable_crossVal,JRip_minNo,SimpleCart_useOneSE,JRip_folds,JRip_optimizations"
3,90,0.79250376,0.91035376,0.91993596,0.89814640,0.89557268,0063,0034,0035,0.00000000,"JRip,DecisionTable,DecisionTable_crossVal,DecisionTable_evaluationMeasure,Aggregator,JRip_checkErrorRate,JRip_usePruning,SimpleCart,J48,PART,JRip_optimizations,SimpleCart_usePrune,DecisionTable_search,JRip_minNo,PART_minNumObj,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,J48_minNumObj,BestFirst_searchTermination,PART_pruning,J48_useLaplace,J48_binarySplits,SimpleCart_heuristic,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,BestFirst_direction,J48_collapseTree,J48_useMDLcorrection,PART_confidenceFactorValue,PART_numFolds,JRip_folds,SimpleCart_minNumObj,J48_pruning,PART_useMDLcorrection,PART_binarySplits,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,J48_numFolds,J48_confidenceFactorValue"
4,90,0.78210106,0.91174782,0.92310050,0.91264904,0.90380853,0064,0309,0071,0.52424481,"PART,SimpleCart,DecisionTable,J48,J48_collapseTree,SimpleCart_usePrune,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue,J48_minNumObj,DecisionTable_evaluationMeasure,SimpleCart_heuristic,DecisionTable_crossVal,DecisionTable_search,SimpleCart_numFoldsPruning,DecisionTable_useIBk,J48_useMDLcorrection,PART_useMDLcorrection,JRip,Aggregator,JRip_usePruning,JRip_checkErrorRate,JRip_folds,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,J48_numFolds,J48_doNotMakeSplitPointActualValue,J48_useLaplace,PART_pruning,PART_confidenceFactorValue,PART_numFolds,J48_subtreeRaising,JRip_minNo,BestFirst_searchTermination,PART_binarySplits,JRip_optimizations,SimpleCart_minNumObj,J48_binarySplits,J48_pruning,GreedyStepwise_searchBackwards,BestFirst_direction,PART_minNumObj"
5,90,0.77955018,0.91531418,0.92310050,0.91264904,0.90380853,0061,0034,0071,0.52424481,"DecisionTable,PART,SimpleCart,J48,J48_pruning,J48_numFolds,PART_pruning,PART_numFolds,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_binarySplits,PART_minNumObj,PART_binarySplits,J48_confidenceFactorValue,SimpleCart_usePrune,SimpleCart_numFoldsPruning,Aggregator,JRip,PART_useMDLcorrection,DecisionTable_useIBk,J48_useMDLcorrection,JRip_checkErrorRate,J48_collapseTree,JRip_usePruning,JRip_folds,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,JRip_optimizations,GreedyStepwise_searchBackwards,J48_minNumObj,DecisionTable_crossVal,SimpleCart_heuristic,JRip_minNo,BestFirst_searchTermination"
6,90,0.79206638,0.91479167,0.92310050,0.91264904,0.90380853,0056,0034,0071,0.52424481,"SimpleCart,DecisionTable,PART,J48,DecisionTable_crossVal,J48_minNumObj,SimpleCart_heuristic,DecisionTable_evaluationMeasure,DecisionTable_search,PART_minNumObj,BestFirst_direction,SimpleCart_usePrune,PART_pruning,PART_confidenceFactorValue,PART_numFolds,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue,J48_useLaplace,SimpleCart_numFoldsPruning,J48_useMDLcorrection,PART_useMDLcorrection,DecisionTable_useIBk,JRip,J48_collapseTree,Aggregator,JRip_checkErrorRate,JRip_usePruning,JRip_minNo,BestFirst_searchTermination,PART_binarySplits,JRip_optimizations,GreedyStepwise_searchBackwards,JRip_folds,SimpleCart_minNumObj,J48_pruning,J48_binarySplits,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue"
7,90,0.82199252,0.91072645,0.92310050,0.91264904,0.90380853,0059,0039,0058,0.55990593,"PART,PART_doNotMakeSplitPointActualValue,Aggregator,J48,JRip,PART_useMDLcorrection,PART_pruning,PART_numFolds,J48_collapseTree,JRip_usePruning,PART_binarySplits,JRip_folds,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,J48_numFolds,J48_useMDLcorrection,J48_minNumObj,JRip_minNo,J48_binarySplits,JRip_checkErrorRate,DecisionTable_useIBk,DecisionTable_crossVal,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,PART_minNumObj,PART_confidenceFactorValue,DecisionTable,J48_useLaplace,DecisionTable_evaluationMeasure,BestFirst_direction,SimpleCart,JRip_optimizations,SimpleCart_heuristic"
8,90,0.80482594,0.90958199,0.92310050,0.91264904,0.90380853,0047,0072,0058,0.55990593,"JRip,J48,Aggregator,J48_collapseTree,PART,JRip_usePruning,PART_pruning,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_numFolds,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,J48_numFolds,SimpleCart_heuristic,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,J48_subtreeRaising,SimpleCart_useOneSE,JRip_folds,J48_doNotMakeSplitPointActualValue,PART_binarySplits,J48_minNumObj,JRip_minNo,JRip_optimizations,J48_binarySplits,J48_useLaplace,J48_pruning,J48_useMDLcorrection,PART_minNumObj,PART_confidenceFactorValue,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_useIBk,DecisionTable_crossVal,SimpleCart,SimpleCart_minNumObj,SimpleCart_usePrune,DecisionTable_search,JRip_checkErrorRate,BestFirst_direction,BestFirst_searchTermination"
9,90,0.77192229,0.91126308,0.92310050,0.91264904,0.90380853,0036,0034,0058,0.55990593,"Aggregator,J48,J48_collapseTree,JRip,PART,JRip_usePruning,PART_pruning,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_numFolds,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,J48_numFolds,JRip_minNo,J48_useMDLcorrection,JRip_folds,J48_doNotMakeSplitPointActualValue,J48_binarySplits,PART_minNumObj,J48_useLaplace,PART_confidenceFactorValue,DecisionTable,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,BestFirst_direction,JRip_optimizations,DecisionTable_evaluationMeasure,BestFirst_searchTermination,SimpleCart,SimpleCart_minNumObj,SimpleCart_heuristic,PART_binarySplits,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_minNumObj,DecisionTable_crossVal"
