individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,confidenceFactor,true,false,null,7,true,true,2,2,true,true,0.35,true,9,2,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,true,true,null,true,false,mae,CompetenceBasedAggregator,false,true,2,5,7,null,true,null,null,false,2,null,null,0.9277777777777778
overall,false,unpruned,false,null,null,7,true,true,null,null,true,true,null,true,9,5,null,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,mae,CompetenceBasedAggregator,true,false,2,2,8,null,true,null,false,false,7,true,null,0.9231762065095399
gen_000_ind_000,null,unpruned,false,null,0.15,6,false,false,null,null,true,true,null,true,null,2,null,confidenceFactor,false,null,false,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,mae,CompetenceBasedAggregator,false,false,9,null,null,null,true,null,true,false,7,false,0.9612018897133401,null
gen_000_ind_001,false,unpruned,true,null,0.05,null,false,true,null,null,true,false,null,true,null,8,false,confidenceFactor,null,false,true,null,true,true,4,false,true,null,CompetenceBasedAggregator,false,true,7,2,null,null,true,null,null,true,5,null,0.9606283029947151,null
gen_000_ind_002,false,confidenceFactor,true,true,0.05,5,true,true,1,10,true,true,0.05,true,1,7,true,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,true,true,2,true,false,mae,RuleExtractorAggregator,true,false,2,4,3,null,true,null,null,true,8,null,0.8780322349406319,null
gen_000_ind_003,true,reducedErrorPruning,false,true,0.45,3,true,true,1,3,true,true,null,true,null,7,null,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,true,true,null,false,false,auc,RuleExtractorAggregator,false,false,5,10,null,null,false,3,null,false,3,null,0.8935763091869964,null
gen_000_ind_004,false,reducedErrorPruning,true,true,0.25,2,false,true,null,null,true,true,null,true,null,3,false,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,4,true,false,mae,CompetenceBasedAggregator,false,true,6,4,null,null,true,5,false,true,10,true,0.9628651119872493,null
gen_000_ind_005,false,reducedErrorPruning,null,true,0.35,null,false,true,null,null,true,false,null,true,null,10,null,confidenceFactor,null,false,true,null,false,false,null,null,false,null,MajorityVotingAggregator,true,true,null,7,null,null,true,3,null,false,6,null,0.9428275922550732,null
gen_000_ind_006,false,confidenceFactor,true,true,null,3,true,true,1,5,true,true,0.35,true,8,2,false,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,false,true,6,true,true,auc,MajorityVotingAggregator,false,false,5,8,4,7,false,null,null,false,5,null,0.9628416621546393,null
gen_000_ind_007,true,reducedErrorPruning,true,true,null,6,false,true,1,9,true,true,null,true,9,2,false,unpruned,false,true,false,weka.attributeSelection.BestFirst,false,true,10,false,true,acc,RuleExtractorAggregator,false,false,5,2,3,null,true,6,null,true,9,null,0.8854416194492531,null
gen_000_ind_008,true,confidenceFactor,null,false,null,6,false,true,0,5,true,true,0.25,true,2,2,null,unpruned,false,true,false,weka.attributeSelection.BestFirst,false,false,null,null,true,auc,CompetenceBasedAggregator,true,true,null,2,6,null,false,null,null,true,4,null,0.9624411466396199,null
gen_000_ind_009,null,unpruned,true,null,0.45,10,false,false,null,null,true,true,null,true,null,9,true,confidenceFactor,false,null,false,weka.attributeSelection.GreedyStepwise,false,true,4,true,true,rmse,RuleExtractorAggregator,true,true,5,null,null,null,true,null,true,false,4,true,0.8584001113390427,null
gen_000_ind_010,true,confidenceFactor,true,false,0.45,7,false,true,null,null,true,true,0.05,true,7,2,true,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,7,true,true,acc,MajorityVotingAggregator,false,true,2,2,3,null,true,null,true,false,7,false,0.9695287536890591,null
gen_000_ind_011,true,unpruned,true,null,0.15,9,false,true,1,10,true,true,null,true,8,10,false,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,true,10,false,false,acc,CompetenceBasedAggregator,false,false,3,3,8,null,true,null,null,false,6,null,0.9703124737857562,null
gen_000_ind_012,false,confidenceFactor,false,false,null,7,false,true,null,null,true,true,0.45,true,5,3,null,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,auc,RuleExtractorAggregator,true,true,3,2,10,6,false,null,true,false,2,true,0.8878376203948722,null
gen_000_ind_013,true,unpruned,true,null,null,4,false,true,0,4,true,true,null,true,7,2,false,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,8,true,true,rmse,RuleExtractorAggregator,true,false,7,5,9,null,true,null,null,false,7,null,0.8747954335740596,null
gen_000_ind_014,true,reducedErrorPruning,true,true,null,null,true,true,null,null,true,false,null,false,null,null,true,null,null,false,null,null,null,true,5,false,null,null,MajorityVotingAggregator,false,true,3,2,null,null,false,3,null,false,5,null,0.9515558868612304,null
gen_000_ind_015,false,unpruned,true,null,null,1,false,true,2,5,true,true,null,true,7,2,false,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,false,true,7,false,false,mae,MajorityVotingAggregator,false,true,5,6,6,7,true,null,null,false,4,null,0.9693823352220299,null
gen_000_ind_016,true,null,true,null,null,8,null,true,2,5,false,true,null,true,1,3,true,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,true,true,5,false,true,auc,RuleExtractorAggregator,null,null,4,2,9,5,null,null,null,null,null,null,0.8909488984298145,null
gen_000_ind_017,true,unpruned,false,null,null,5,false,true,1,6,true,true,null,true,null,2,null,unpruned,true,false,true,weka.attributeSelection.BestFirst,false,true,null,false,true,auc,CompetenceBasedAggregator,true,true,8,8,null,null,true,null,null,false,4,null,0.9667508827050811,null
gen_000_ind_018,true,unpruned,false,null,null,1,true,true,null,null,true,true,null,false,6,null,null,null,false,true,null,weka.attributeSelection.GreedyStepwise,null,true,null,true,null,auc,CompetenceBasedAggregator,true,false,10,3,4,null,true,null,false,false,3,true,0.9544338485941539,null
gen_000_ind_019,false,reducedErrorPruning,false,false,null,3,false,true,2,3,true,true,null,true,2,2,null,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,false,true,null,true,true,acc,MajorityVotingAggregator,false,true,5,6,6,8,false,3,null,false,4,null,0.9622096224386301,null
gen_000_ind_020,true,reducedErrorPruning,true,false,null,null,false,true,null,null,true,false,null,true,3,2,true,reducedErrorPruning,null,true,false,null,false,true,7,true,false,null,MajorityVotingAggregator,false,true,8,7,9,4,true,4,null,true,6,null,0.9573788806613235,null
gen_000_ind_021,true,reducedErrorPruning,true,true,0.45,4,false,true,0,7,true,true,null,true,9,2,true,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,true,4,true,false,auc,CompetenceBasedAggregator,true,false,4,2,4,null,true,3,null,false,6,null,0.9643904568713729,null
gen_000_ind_022,false,confidenceFactor,true,true,0.25,1,false,true,2,2,true,true,0.35,true,null,6,true,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,true,true,5,true,true,acc,MajorityVotingAggregator,false,false,2,2,null,null,false,null,null,true,6,null,0.9700576522713927,null
gen_000_ind_023,true,confidenceFactor,null,true,0.45,1,false,true,null,null,true,true,0.25,true,2,5,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,true,false,null,null,true,auc,CompetenceBasedAggregator,false,true,null,9,5,null,true,null,false,false,2,false,0.9706536974475906,null
gen_000_ind_024,true,confidenceFactor,true,true,null,10,false,true,0,4,true,true,0.25,true,null,6,false,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,8,true,false,auc,MajorityVotingAggregator,false,true,3,9,null,null,true,null,null,false,2,null,0.9718876924602116,null
gen_000_ind_025,true,reducedErrorPruning,false,true,null,1,true,true,1,10,true,true,null,true,null,2,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,null,true,true,acc,RuleExtractorAggregator,true,false,3,6,null,null,true,3,null,false,2,null,0.8721566982635686,null
gen_000_ind_026,false,reducedErrorPruning,true,false,null,2,true,true,2,5,true,true,null,false,null,null,false,null,false,false,null,weka.attributeSelection.BestFirst,null,true,10,true,null,auc,RuleExtractorAggregator,true,false,5,6,null,null,true,3,null,false,5,null,0.8924218148263952,null
gen_000_ind_027,true,confidenceFactor,true,false,null,7,true,true,0,6,true,true,0.35,true,3,6,true,unpruned,false,true,true,weka.attributeSelection.BestFirst,true,true,9,true,true,auc,RuleExtractorAggregator,false,true,3,9,3,null,false,null,null,false,6,null,0.8758711517490141,null
gen_000_ind_028,true,unpruned,true,null,0.45,4,true,true,null,null,true,true,null,true,9,3,false,confidenceFactor,true,true,false,weka.attributeSelection.GreedyStepwise,true,true,3,true,false,auc,MajorityVotingAggregator,false,true,4,4,5,null,true,null,false,false,8,true,0.9669609398235351,null
gen_000_ind_029,true,confidenceFactor,false,false,0.45,4,true,true,null,null,true,true,0.35,true,null,8,null,confidenceFactor,false,false,false,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,acc,MajorityVotingAggregator,false,true,9,5,null,null,true,null,true,true,8,false,0.9615894792230669,null
gen_000_ind_030,true,unpruned,true,null,null,null,true,true,null,null,true,false,null,true,null,9,true,reducedErrorPruning,null,false,false,null,true,true,4,false,true,null,RuleExtractorAggregator,false,true,9,8,null,9,true,null,null,false,8,null,0.8857235893877113,null
gen_000_ind_031,false,confidenceFactor,true,true,null,6,true,true,0,7,true,true,0.35,true,3,3,true,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,10,false,false,auc,RuleExtractorAggregator,false,true,6,6,5,3,true,null,null,true,10,null,0.8826294316370653,null
gen_000_ind_032,false,confidenceFactor,false,true,null,6,false,true,1,2,true,true,0.45,true,7,8,null,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,RuleExtractorAggregator,true,false,2,6,8,6,false,null,null,true,7,null,0.9016256262821148,null
gen_000_ind_033,true,unpruned,null,null,0.15,10,false,true,null,null,true,true,null,true,null,7,null,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,true,false,null,null,false,mae,RuleExtractorAggregator,false,true,null,4,null,null,true,null,true,false,6,true,0.8895483524109478,null
gen_000_ind_034,true,reducedErrorPruning,true,true,0.25,7,false,true,1,10,true,true,null,true,null,7,false,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,4,true,false,mae,CompetenceBasedAggregator,true,true,2,8,null,null,true,10,null,true,10,null,0.964098382533497,null
gen_000_ind_035,true,reducedErrorPruning,false,true,null,1,false,true,0,2,true,true,null,true,2,3,null,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,true,true,null,true,false,rmse,MajorityVotingAggregator,false,true,4,2,2,3,true,2,null,false,2,null,0.9630254478346082,null
gen_000_ind_036,true,reducedErrorPruning,true,false,0.45,8,false,true,null,null,true,true,null,true,7,8,true,confidenceFactor,true,true,false,weka.attributeSelection.GreedyStepwise,true,true,7,true,false,auc,RuleExtractorAggregator,false,true,10,2,3,null,true,4,true,true,8,false,0.8873943232340178,null
gen_000_ind_037,true,unpruned,false,null,0.35,8,true,true,null,null,true,true,null,true,6,4,null,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,auc,MajorityVotingAggregator,true,true,2,4,6,null,true,null,false,true,6,false,0.9742708436601568,null
gen_000_ind_038,false,reducedErrorPruning,true,true,0.05,10,false,true,null,null,true,true,null,true,null,5,true,confidenceFactor,false,false,false,weka.attributeSelection.GreedyStepwise,false,true,5,false,true,auc,MajorityVotingAggregator,false,false,2,6,null,null,false,3,true,false,8,true,0.9677849249986654,null
gen_000_ind_039,true,reducedErrorPruning,true,false,null,5,true,true,1,5,true,true,null,false,null,null,false,null,true,false,null,weka.attributeSelection.BestFirst,null,true,8,true,null,auc,MajorityVotingAggregator,false,true,5,4,null,null,true,5,null,false,2,null,0.9574516704669376,null
