gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.85840011,0.95999335,0.97613459,0.98127706,0.98709315,0107,0034,0035,0.00000000,"Aggregator,J48,SimpleCart,J48_useLaplace,J48_pruning,J48_subtreeRaising,DecisionTable,J48_binarySplits,JRip,PART,SimpleCart_usePrune,J48_confidenceFactorValue,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable_crossVal,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,PART_useMDLcorrection,J48_numFolds,JRip_checkErrorRate,J48_collapseTree,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,J48_minNumObj,JRip_usePruning,J48_useMDLcorrection,JRip_optimizations,PART_binarySplits,DecisionTable_evaluationMeasure,JRip_minNo,PART_pruning,DecisionTable_search,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,JRip_folds,BestFirst_searchTermination,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,BestFirst_direction,PART_numFolds"
1,90,0.83383845,0.95861501,0.97613459,0.98127706,0.98709315,0093,0034,0035,0.00000000,"J48,J48_collapseTree,J48_minNumObj,J48_binarySplits,J48_useLaplace,SimpleCart,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,J48_useMDLcorrection,PART,SimpleCart_minNumObj,J48_pruning,DecisionTable,Aggregator,JRip,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,JRip_checkErrorRate,PART_minNumObj,J48_confidenceFactorValue,DecisionTable_crossVal,JRip_minNo,SimpleCart_usePrune,PART_pruning,DecisionTable_evaluationMeasure,JRip_usePruning,PART_confidenceFactorValue,PART_binarySplits,DecisionTable_useIBk,J48_numFolds,J48_subtreeRaising,SimpleCart_numFoldsPruning,DecisionTable_search,BestFirst_searchTermination,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,JRip_folds,BestFirst_direction,PART_numFolds,JRip_optimizations,GreedyStepwise_conservativeForwardSelection"
2,90,0.86395913,0.96246603,0.97613459,0.98127706,0.98709315,0085,0034,0035,0.00000000,"JRip,DecisionTable,DecisionTable_search,Aggregator,BestFirst_direction,DecisionTable_evaluationMeasure,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,PART,SimpleCart,DecisionTable_crossVal,PART_minNumObj,J48,SimpleCart_usePrune,J48_minNumObj,GreedyStepwise_searchBackwards,JRip_minNo,SimpleCart_useOneSE,PART_binarySplits,JRip_usePruning,JRip_checkErrorRate,DecisionTable_useIBk,J48_useLaplace,J48_pruning,SimpleCart_minNumObj,SimpleCart_heuristic,PART_pruning,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_binarySplits,PART_numFolds,J48_useMDLcorrection,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,J48_collapseTree,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,JRip_folds,J48_numFolds,J48_subtreeRaising,JRip_optimizations"
3,90,0.86533478,0.96076872,0.97613459,0.98127706,0.98709315,0082,0034,0035,0.00000000,"JRip,PART,PART_doNotMakeSplitPointActualValue,PART_binarySplits,Aggregator,SimpleCart,JRip_checkErrorRate,JRip_usePruning,PART_pruning,J48,DecisionTable,DecisionTable_useIBk,SimpleCart_heuristic,DecisionTable_crossVal,J48_useLaplace,PART_useMDLcorrection,JRip_folds,PART_numFolds,J48_collapseTree,JRip_minNo,J48_binarySplits,SimpleCart_minNumObj,JRip_optimizations,J48_pruning,PART_minNumObj,J48_useMDLcorrection,PART_confidenceFactorValue,SimpleCart_usePrune,SimpleCart_numFoldsPruning,J48_numFolds,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,DecisionTable_evaluationMeasure,DecisionTable_search,SimpleCart_useOneSE,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,GreedyStepwise_searchBackwards,BestFirst_direction"
4,90,0.86272743,0.96638261,0.97613459,0.98127706,0.98709315,0088,0034,0070,0.59931950,"JRip,DecisionTable,J48,SimpleCart,PART,SimpleCart_minNumObj,JRip_minNo,JRip_checkErrorRate,DecisionTable_evaluationMeasure,J48_minNumObj,SimpleCart_usePrune,PART_minNumObj,DecisionTable_crossVal,J48_pruning,J48_doNotMakeSplitPointActualValue,J48_numFolds,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,PART_pruning,Aggregator,PART_numFolds,PART_binarySplits,J48_subtreeRaising,J48_useLaplace,J48_useMDLcorrection,J48_binarySplits,PART_confidenceFactorValue,J48_collapseTree,SimpleCart_heuristic,DecisionTable_useIBk,PART_useMDLcorrection,JRip_usePruning,JRip_folds,JRip_optimizations,SimpleCart_numFoldsPruning,DecisionTable_search,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection"
5,90,0.84030649,0.96942241,0.97779492,0.98265993,0.98686869,0084,0034,0070,0.59931950,"PART,SimpleCart,J48,JRip,DecisionTable,J48_doNotMakeSplitPointActualValue,JRip_minNo,JRip_checkErrorRate,SimpleCart_usePrune,J48_minNumObj,DecisionTable_evaluationMeasure,DecisionTable_crossVal,J48_pruning,PART_pruning,Aggregator,PART_minNumObj,SimpleCart_useOneSE,J48_numFolds,PART_numFolds,J48_confidenceFactorValue,J48_subtreeRaising,J48_useLaplace,PART_binarySplits,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,JRip_usePruning,J48_collapseTree,SimpleCart_heuristic,SimpleCart_minNumObj,J48_useMDLcorrection,JRip_folds,JRip_optimizations,SimpleCart_numFoldsPruning,DecisionTable_search,BestFirst_direction,GreedyStepwise_searchBackwards,PART_useMDLcorrection,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,PART_confidenceFactorValue"
6,90,0.88715540,0.96929956,0.97779492,0.98265993,0.98686869,0089,0034,0070,0.59931950,"J48,JRip,SimpleCart,DecisionTable,PART,DecisionTable_useIBk,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,PART_pruning,PART_numFolds,JRip_checkErrorRate,J48_pruning,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,PART_binarySplits,SimpleCart_usePrune,SimpleCart_numFoldsPruning,PART_useMDLcorrection,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,J48_doNotMakeSplitPointActualValue,J48_useLaplace,J48_minNumObj,DecisionTable_crossVal,SimpleCart_useOneSE,BestFirst_searchTermination,JRip_minNo,BestFirst_direction,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue,PART_minNumObj,Aggregator,JRip_usePruning,JRip_folds,JRip_optimizations,J48_collapseTree,J48_binarySplits,PART_confidenceFactorValue"
7,90,0.85481987,0.96689707,0.97779492,0.98265993,0.98686869,0087,0034,0066,0.49431253,"SimpleCart,J48,JRip,J48_useMDLcorrection,PART,DecisionTable,SimpleCart_minNumObj,J48_collapseTree,JRip_usePruning,DecisionTable_crossVal,DecisionTable_evaluationMeasure,JRip_folds,J48_useLaplace,PART_minNumObj,J48_pruning,J48_numFolds,J48_confidenceFactorValue,J48_subtreeRaising,J48_minNumObj,SimpleCart_heuristic,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,SimpleCart_usePrune,PART_pruning,PART_binarySplits,JRip_minNo,PART_numFolds,PART_confidenceFactorValue,SimpleCart_useOneSE,J48_binarySplits,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,SimpleCart_numFoldsPruning,JRip_optimizations,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,Aggregator,JRip_checkErrorRate,DecisionTable_useIBk"
8,90,0.85446801,0.96857801,0.97779492,0.98265993,0.98686869,0087,0034,0066,0.49431253,"J48,SimpleCart,DecisionTable,PART,JRip,SimpleCart_minNumObj,J48_useMDLcorrection,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,J48_useLaplace,JRip_minNo,DecisionTable_search,GreedyStepwise_searchBackwards,PART_binarySplits,J48_collapseTree,J48_binarySplits,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,JRip_checkErrorRate,DecisionTable_crossVal,BestFirst_searchTermination,PART_pruning,JRip_usePruning,PART_numFolds,JRip_folds,PART_minNumObj,BestFirst_direction,JRip_optimizations,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_pruning,J48_numFolds,SimpleCart_numFoldsPruning,Aggregator,PART_confidenceFactorValue,J48_confidenceFactorValue,J48_subtreeRaising,SimpleCart_useOneSE,J48_minNumObj"
9,90,0.86104022,0.96744210,0.97777791,0.98371813,0.98821549,0095,0034,0066,0.49431253,"PART,J48,JRip,J48_useMDLcorrection,SimpleCart,DecisionTable,SimpleCart_minNumObj,JRip_checkErrorRate,PART_useMDLcorrection,DecisionTable_crossVal,DecisionTable_evaluationMeasure,J48_pruning,J48_numFolds,J48_binarySplits,PART_minNumObj,J48_doNotMakeSplitPointActualValue,J48_useLaplace,SimpleCart_heuristic,J48_confidenceFactorValue,J48_minNumObj,J48_subtreeRaising,SimpleCart_usePrune,SimpleCart_useOneSE,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_searchTermination,PART_pruning,PART_confidenceFactorValue,JRip_usePruning,JRip_minNo,PART_binarySplits,PART_numFolds,JRip_folds,J48_collapseTree,BestFirst_direction,JRip_optimizations,Aggregator,GreedyStepwise_conservativeForwardSelection,PART_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,DecisionTable_useIBk"
10,90,0.85421872,0.96604495,0.97777791,0.98371813,0.98821549,0080,0034,0055,0.44202600,"J48,SimpleCart,DecisionTable,JRip,JRip_checkErrorRate,JRip_minNo,J48_minNumObj,PART,PART_pruning,J48_pruning,DecisionTable_useIBk,PART_confidenceFactorValue,SimpleCart_usePrune,J48_confidenceFactorValue,J48_numFolds,PART_numFolds,J48_subtreeRaising,PART_useMDLcorrection,J48_collapseTree,JRip_usePruning,DecisionTable_crossVal,SimpleCart_useOneSE,PART_binarySplits,SimpleCart_numFoldsPruning,PART_minNumObj,J48_useLaplace,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,J48_binarySplits,JRip_optimizations,JRip_folds,J48_useMDLcorrection,Aggregator,J48_doNotMakeSplitPointActualValue,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination"
11,90,0.87242509,0.96436592,0.97777791,0.98371813,0.98821549,0088,0034,0055,0.44202600,"SimpleCart,JRip,SimpleCart_usePrune,DecisionTable,J48,PART,JRip_checkErrorRate,DecisionTable_useIBk,J48_minNumObj,J48_pruning,J48_numFolds,JRip_minNo,PART_pruning,PART_numFolds,J48_subtreeRaising,J48_confidenceFactorValue,PART_confidenceFactorValue,PART_useMDLcorrection,SimpleCart_numFoldsPruning,PART_minNumObj,J48_useLaplace,SimpleCart_useOneSE,SimpleCart_minNumObj,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,J48_useMDLcorrection,PART_binarySplits,J48_collapseTree,J48_binarySplits,J48_doNotMakeSplitPointActualValue,JRip_folds,JRip_optimizations,DecisionTable_search,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,Aggregator,BestFirst_searchTermination,GreedyStepwise_searchBackwards,JRip_usePruning,DecisionTable_crossVal"
12,90,0.88501018,0.96605236,0.97777791,0.98371813,0.98821549,0093,0034,0055,0.44202600,"SimpleCart,PART,J48,DecisionTable,PART_pruning,JRip,JRip_checkErrorRate,JRip_minNo,SimpleCart_usePrune,J48_minNumObj,J48_pruning,PART_numFolds,J48_numFolds,J48_confidenceFactorValue,DecisionTable_useIBk,PART_confidenceFactorValue,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,J48_useMDLcorrection,DecisionTable_crossVal,JRip_usePruning,JRip_optimizations,PART_useMDLcorrection,Aggregator,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,BestFirst_searchTermination,PART_binarySplits,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_minNumObj,SimpleCart_useOneSE,J48_collapseTree,JRip_folds,J48_useLaplace,J48_binarySplits,DecisionTable_evaluationMeasure"
13,90,0.84084412,0.96061929,0.97777791,0.98371813,0.98821549,0085,0034,0035,0.00000000,"J48,Aggregator,PART,DecisionTable,J48_binarySplits,DecisionTable_search,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,PART_pruning,BestFirst_searchTermination,PART_confidenceFactorValue,SimpleCart,DecisionTable_useIBk,J48_minNumObj,J48_pruning,J48_useMDLcorrection,J48_useLaplace,SimpleCart_usePrune,SimpleCart_heuristic,JRip,DecisionTable_evaluationMeasure,PART_binarySplits,J48_confidenceFactorValue,SimpleCart_minNumObj,PART_minNumObj,PART_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,PART_numFolds,JRip_checkErrorRate,JRip_minNo,BestFirst_direction,J48_numFolds,JRip_usePruning,SimpleCart_numFoldsPruning,J48_subtreeRaising,JRip_folds,JRip_optimizations"
14,90,0.87324527,0.96144905,0.97777791,0.98371813,0.98821549,0088,0034,0035,0.00000000,"Aggregator,SimpleCart,J48,J48_useMDLcorrection,J48_pruning,J48_minNumObj,DecisionTable,J48_binarySplits,SimpleCart_usePrune,SimpleCart_useOneSE,JRip,J48_collapseTree,PART,DecisionTable_useIBk,SimpleCart_heuristic,PART_pruning,PART_numFolds,J48_useLaplace,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_numFolds,J48_subtreeRaising,DecisionTable_search,J48_confidenceFactorValue,JRip_usePruning,PART_minNumObj,JRip_folds,DecisionTable_evaluationMeasure,BestFirst_searchTermination,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,DecisionTable_crossVal,SimpleCart_numFoldsPruning,PART_binarySplits,JRip_minNo,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,JRip_optimizations"
15,90,0.87446698,0.96022945,0.97777791,0.98371813,0.98821549,0083,0034,0035,0.00000000,"Aggregator,DecisionTable,DecisionTable_crossVal,J48,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,DecisionTable_useIBk,DecisionTable_search,JRip,GreedyStepwise_conservativeForwardSelection,PART,PART_doNotMakeSplitPointActualValue,SimpleCart,J48_collapseTree,SimpleCart_minNumObj,J48_pruning,PART_useMDLcorrection,J48_useMDLcorrection,J48_binarySplits,J48_useLaplace,J48_minNumObj,JRip_minNo,PART_minNumObj,J48_confidenceFactorValue,BestFirst_searchTermination,GreedyStepwise_searchBackwards,J48_numFolds,SimpleCart_usePrune,PART_binarySplits,JRip_usePruning,BestFirst_direction,JRip_checkErrorRate,PART_pruning,SimpleCart_useOneSE,SimpleCart_heuristic,JRip_folds,SimpleCart_numFoldsPruning,J48_subtreeRaising,JRip_optimizations,PART_confidenceFactorValue,PART_numFolds"
16,90,0.87831680,0.96024853,0.97777791,0.98371813,0.98821549,0082,0034,0035,0.00000000,"DecisionTable,DecisionTable_crossVal,PART,J48,J48_minNumObj,DecisionTable_useIBk,J48_useLaplace,JRip,J48_collapseTree,JRip_checkErrorRate,J48_pruning,Aggregator,SimpleCart,J48_doNotMakeSplitPointActualValue,PART_binarySplits,DecisionTable_search,DecisionTable_evaluationMeasure,PART_pruning,JRip_usePruning,GreedyStepwise_searchBackwards,PART_useMDLcorrection,JRip_minNo,J48_confidenceFactorValue,PART_minNumObj,PART_numFolds,BestFirst_direction,J48_useMDLcorrection,JRip_folds,PART_doNotMakeSplitPointActualValue,J48_numFolds,BestFirst_searchTermination,J48_binarySplits,J48_subtreeRaising,SimpleCart_usePrune,JRip_optimizations,SimpleCart_minNumObj,PART_confidenceFactorValue,SimpleCart_heuristic,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection"
17,90,0.87128360,0.96254974,0.97777791,0.98371813,0.98821549,0083,0034,0035,0.00000000,"JRip,SimpleCart,JRip_minNo,Aggregator,JRip_checkErrorRate,PART,J48,PART_binarySplits,J48_binarySplits,PART_minNumObj,J48_collapseTree,PART_pruning,SimpleCart_heuristic,J48_minNumObj,DecisionTable,SimpleCart_usePrune,PART_useMDLcorrection,SimpleCart_minNumObj,PART_confidenceFactorValue,DecisionTable_search,J48_useMDLcorrection,JRip_usePruning,BestFirst_direction,DecisionTable_crossVal,PART_numFolds,J48_doNotMakeSplitPointActualValue,J48_useLaplace,PART_doNotMakeSplitPointActualValue,J48_pruning,JRip_optimizations,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,DecisionTable_useIBk,JRip_folds,GreedyStepwise_conservativeForwardSelection,J48_numFolds,SimpleCart_numFoldsPruning,BestFirst_searchTermination,GreedyStepwise_searchBackwards,J48_subtreeRaising,J48_confidenceFactorValue"
18,90,0.87148653,0.96357751,0.97856826,0.98833574,0.98804714,0085,0034,0035,0.00000000,"SimpleCart,Aggregator,JRip,PART,JRip_usePruning,JRip_checkErrorRate,JRip_optimizations,PART_binarySplits,SimpleCart_usePrune,DecisionTable,SimpleCart_minNumObj,DecisionTable_useIBk,JRip_folds,PART_pruning,J48,DecisionTable_evaluationMeasure,J48_useLaplace,J48_pruning,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,JRip_minNo,SimpleCart_useOneSE,SimpleCart_heuristic,J48_subtreeRaising,SimpleCart_numFoldsPruning,J48_useMDLcorrection,J48_binarySplits,PART_confidenceFactorValue,PART_minNumObj,DecisionTable_crossVal,PART_numFolds,DecisionTable_search,J48_numFolds,J48_minNumObj,J48_doNotMakeSplitPointActualValue,BestFirst_searchTermination,GreedyStepwise_searchBackwards,J48_collapseTree,BestFirst_direction,GreedyStepwise_conservativeForwardSelection"
