individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,reducedErrorPruning,false,false,null,10,false,true,null,null,true,true,null,true,null,3,null,unpruned,false,false,false,weka.attributeSelection.BestFirst,true,true,null,true,true,auc,CompetenceBasedAggregator,true,false,6,6,null,null,false,2,null,true,3,null,null,0.8756613756613757
overall,true,reducedErrorPruning,true,true,0.45,2,false,true,2,3,true,true,null,true,null,3,true,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,9,false,true,auc,CompetenceBasedAggregator,true,false,6,7,null,null,false,2,null,true,6,null,null,0.8597883597883598
gen_000_ind_000,true,confidenceFactor,true,true,0.15,5,false,true,null,null,true,true,0.45,true,5,3,false,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,5,true,true,auc,MajorityVotingAggregator,false,false,2,10,3,null,true,null,true,true,7,true,0.9723866402921484,null
gen_000_ind_001,null,unpruned,false,null,null,6,false,false,0,4,true,true,null,true,null,6,null,unpruned,true,null,false,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,RuleExtractorAggregator,true,false,3,null,null,null,false,null,null,false,6,null,0.975138846622033,null
gen_000_ind_002,true,reducedErrorPruning,true,true,null,7,true,true,null,null,true,true,null,true,null,5,false,reducedErrorPruning,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,6,false,false,auc,CompetenceBasedAggregator,false,true,3,3,null,3,true,3,false,false,2,true,0.9715117163724895,null
gen_000_ind_003,true,unpruned,true,null,null,9,true,true,null,null,true,true,null,false,7,null,true,null,true,true,null,weka.attributeSelection.GreedyStepwise,null,true,7,true,null,mae,MajorityVotingAggregator,false,true,2,10,2,null,true,null,false,false,2,true,0.9761640292148508,null
gen_000_ind_004,false,null,true,null,null,10,null,true,0,1,false,true,null,true,7,10,false,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,false,true,8,false,false,auc,MajorityVotingAggregator,null,null,9,2,4,2,null,null,null,null,null,null,0.9818681527693244,null
gen_000_ind_005,false,confidenceFactor,true,false,0.15,4,false,true,2,7,true,true,0.05,true,2,9,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,4,true,false,auc,CompetenceBasedAggregator,true,true,4,8,4,null,true,null,null,false,9,null,0.9797417072428484,null
gen_000_ind_006,false,null,false,null,0.25,7,null,true,2,4,false,true,null,true,5,3,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,true,true,null,true,false,mae,MajorityVotingAggregator,null,null,4,4,3,null,null,null,null,null,null,null,0.9747755629945221,null
gen_000_ind_007,false,unpruned,false,null,null,7,false,true,0,9,true,true,null,true,null,7,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,null,true,false,acc,MajorityVotingAggregator,false,false,8,4,null,null,true,null,null,false,9,null,0.9810921332927572,null
