gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.94756923,0.97696097,0.98359708,0.95659722,0.97949735,0059,0034,0035,0.00000000,"SimpleCart,Aggregator,JRip,PART,JRip_checkErrorRate,SimpleCart_heuristic,J48,J48_doNotMakeSplitPointActualValue,J48_minNumObj,SimpleCart_usePrune,J48_binarySplits,J48_useLaplace,PART_minNumObj,PART_doNotMakeSplitPointActualValue,SimpleCart_numFoldsPruning,J48_useMDLcorrection,PART_useMDLcorrection,JRip_usePruning,SimpleCart_minNumObj,DecisionTable,J48_pruning,PART_binarySplits,SimpleCart_useOneSE,JRip_minNo,PART_pruning,DecisionTable_crossVal,PART_numFolds,J48_collapseTree,JRip_optimizations,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,JRip_folds,PART_confidenceFactorValue,J48_numFolds,J48_subtreeRaising,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,BestFirst_direction"
1,90,0.93906726,0.97706748,0.98449863,0.97511574,0.96164021,0049,0034,0035,0.00000000,"JRip,J48,J48_collapseTree,J48_useLaplace,PART,DecisionTable,DecisionTable_crossVal,Aggregator,J48_minNumObj,JRip_checkErrorRate,DecisionTable_evaluationMeasure,PART_minNumObj,PART_useMDLcorrection,JRip_minNo,JRip_usePruning,J48_binarySplits,SimpleCart,J48_pruning,DecisionTable_search,SimpleCart_usePrune,BestFirst_direction,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,PART_binarySplits,GreedyStepwise_searchBackwards,JRip_folds,DecisionTable_useIBk,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,J48_numFolds,BestFirst_searchTermination,PART_pruning,JRip_optimizations,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,J48_confidenceFactorValue,J48_subtreeRaising,PART_numFolds,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue"
2,90,0.95497375,0.97795857,0.98488854,0.98061343,0.99007937,0045,0034,0035,0.00000000,"Aggregator,SimpleCart,JRip,SimpleCart_usePrune,J48,J48_minNumObj,DecisionTable,DecisionTable_search,JRip_minNo,JRip_usePruning,SimpleCart_numFoldsPruning,PART,JRip_folds,DecisionTable_evaluationMeasure,BestFirst_direction,PART_doNotMakeSplitPointActualValue,J48_pruning,JRip_optimizations,SimpleCart_minNumObj,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,JRip_checkErrorRate,SimpleCart_heuristic,DecisionTable_useIBk,J48_useMDLcorrection,SimpleCart_useOneSE,BestFirst_searchTermination,J48_doNotMakeSplitPointActualValue,J48_numFolds,J48_binarySplits,PART_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,PART_binarySplits,J48_collapseTree,J48_subtreeRaising,PART_minNumObj,DecisionTable_crossVal,PART_pruning,PART_numFolds,PART_confidenceFactorValue"
3,90,0.94990490,0.97803085,0.98488854,0.98061343,0.99007937,0050,0034,0035,0.00000000,"SimpleCart,PART,SimpleCart_heuristic,PART_minNumObj,SimpleCart_usePrune,JRip,JRip_minNo,DecisionTable,PART_pruning,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,DecisionTable_useIBk,JRip_usePruning,J48,Aggregator,J48_minNumObj,SimpleCart_useOneSE,J48_collapseTree,DecisionTable_crossVal,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,PART_numFolds,J48_useLaplace,JRip_checkErrorRate,PART_binarySplits,J48_pruning,DecisionTable_search,JRip_optimizations,J48_doNotMakeSplitPointActualValue,BestFirst_searchTermination,BestFirst_direction,JRip_folds,J48_useMDLcorrection,J48_subtreeRaising,J48_binarySplits,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,J48_numFolds,GreedyStepwise_searchBackwards"
4,90,0.96005021,0.97876978,0.98828743,0.97424769,0.98743386,0051,0034,0072,0.53879172,"JRip,DecisionTable,SimpleCart,DecisionTable_crossVal,JRip_minNo,DecisionTable_useIBk,BestFirst_searchTermination,J48,Aggregator,J48_collapseTree,J48_doNotMakeSplitPointActualValue,BestFirst_direction,J48_useLaplace,J48_binarySplits,J48_useMDLcorrection,J48_pruning,J48_confidenceFactorValue,J48_numFolds,JRip_checkErrorRate,JRip_usePruning,SimpleCart_heuristic,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,JRip_folds,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,J48_minNumObj,PART,PART_minNumObj,SimpleCart_minNumObj,PART_binarySplits,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising,JRip_optimizations,PART_pruning,PART_numFolds,PART_confidenceFactorValue"
5,90,0.95615300,0.97911024,0.98828743,0.97424769,0.98743386,0050,0034,0072,0.53879172,"JRip,SimpleCart,DecisionTable,DecisionTable_search,GreedyStepwise_searchBackwards,SimpleCart_heuristic,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,BestFirst_direction,DecisionTable_evaluationMeasure,DecisionTable_useIBk,JRip_minNo,DecisionTable_crossVal,BestFirst_searchTermination,Aggregator,J48,J48_doNotMakeSplitPointActualValue,J48_binarySplits,J48_pruning,J48_useLaplace,J48_collapseTree,J48_confidenceFactorValue,J48_minNumObj,SimpleCart_minNumObj,PART,PART_doNotMakeSplitPointActualValue,PART_minNumObj,JRip_optimizations,J48_subtreeRaising,PART_pruning,J48_numFolds,PART_binarySplits,JRip_checkErrorRate,PART_numFolds,J48_useMDLcorrection,PART_confidenceFactorValue,JRip_folds,PART_useMDLcorrection"
6,90,0.95170040,0.97852442,0.98828743,0.97424769,0.98743386,0045,0034,0072,0.53879172,"DecisionTable,SimpleCart,JRip,SimpleCart_heuristic,SimpleCart_usePrune,SimpleCart_useOneSE,JRip_usePruning,JRip_optimizations,DecisionTable_useIBk,JRip_checkErrorRate,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,BestFirst_searchTermination,Aggregator,J48,J48_binarySplits,J48_useLaplace,J48_collapseTree,J48_minNumObj,PART,SimpleCart_minNumObj,DecisionTable_evaluationMeasure,PART_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_folds,PART_useMDLcorrection,J48_pruning,J48_confidenceFactorValue,J48_subtreeRaising,GreedyStepwise_searchBackwards,J48_numFolds,J48_useMDLcorrection,SimpleCart_numFoldsPruning,PART_pruning,PART_binarySplits,PART_numFolds,PART_confidenceFactorValue,DecisionTable_crossVal,JRip_minNo,J48_doNotMakeSplitPointActualValue"
7,90,0.95877397,0.97978926,0.98828743,0.97424769,0.98743386,0040,0034,0062,0.59469479,"JRip,PART,DecisionTable,SimpleCart,JRip_usePruning,JRip_folds,JRip_optimizations,PART_useMDLcorrection,PART_minNumObj,J48_useLaplace,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,PART_pruning,PART_numFolds,DecisionTable_crossVal,SimpleCart_heuristic,SimpleCart_minNumObj,PART_confidenceFactorValue,J48,J48_pruning,J48_doNotMakeSplitPointActualValue,J48_binarySplits,J48_confidenceFactorValue,J48_collapseTree,J48_numFolds,J48_subtreeRaising,SimpleCart_usePrune,J48_minNumObj,DecisionTable_useIBk,PART_binarySplits,BestFirst_searchTermination,Aggregator,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,JRip_minNo,J48_useMDLcorrection,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue"
8,90,0.96512287,0.97960381,0.98828743,0.97424769,0.98743386,0048,0034,0062,0.59469479,"PART,SimpleCart,DecisionTable,JRip,DecisionTable_crossVal,PART_minNumObj,JRip_usePruning,JRip_folds,JRip_optimizations,PART_pruning,PART_numFolds,SimpleCart_heuristic,SimpleCart_minNumObj,PART_confidenceFactorValue,J48,J48_doNotMakeSplitPointActualValue,J48_useLaplace,J48_pruning,DecisionTable_search,J48_binarySplits,GreedyStepwise_searchBackwards,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,J48_useMDLcorrection,JRip_checkErrorRate,BestFirst_searchTermination,PART_doNotMakeSplitPointActualValue,Aggregator,J48_numFolds,J48_subtreeRaising,PART_useMDLcorrection,SimpleCart_usePrune,SimpleCart_useOneSE,PART_binarySplits,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,J48_minNumObj,JRip_minNo,J48_collapseTree,DecisionTable_useIBk"
9,90,0.95559951,0.97970937,0.98828743,0.97424769,0.98743386,0050,0066,0062,0.59469479,"SimpleCart,PART,JRip,DecisionTable,DecisionTable_useIBk,PART_minNumObj,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,JRip_usePruning,JRip_folds,JRip_optimizations,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_direction,DecisionTable_crossVal,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_useOneSE,PART_binarySplits,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,BestFirst_searchTermination,Aggregator,JRip_minNo,SimpleCart_numFoldsPruning,PART_pruning,PART_numFolds,J48_subtreeRaising,PART_useMDLcorrection,J48_numFolds,J48_useMDLcorrection,J48_useLaplace,J48_minNumObj,J48_collapseTree,PART_confidenceFactorValue,J48,J48_pruning,J48_confidenceFactorValue,J48_binarySplits,J48_doNotMakeSplitPointActualValue"
