gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.91870446,0.96353257,0.98871796,0.95545735,1.00000000,0010,0034,0035,0.00000000,"DecisionTable,Aggregator,PART,PART_pruning,DecisionTable_crossVal,J48,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,PART_useMDLcorrection,J48_pruning,J48_numFolds,JRip,J48_subtreeRaising,PART_minNumObj,DecisionTable_evaluationMeasure,J48_useLaplace,DecisionTable_search,J48_minNumObj,J48_confidenceFactorValue,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,JRip_usePruning,SimpleCart,PART_binarySplits,J48_binarySplits,JRip_optimizations,PART_confidenceFactorValue,PART_numFolds,SimpleCart_minNumObj,JRip_minNo,SimpleCart_usePrune,JRip_checkErrorRate,JRip_folds,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,SimpleCart_heuristic,SimpleCart_useOneSE"
1,90,0.90671604,0.96104446,0.98871796,0.95545735,1.00000000,0009,0034,0035,0.00000000,"JRip,Aggregator,PART,JRip_usePruning,SimpleCart,DecisionTable,DecisionTable_evaluationMeasure,JRip_optimizations,PART_minNumObj,SimpleCart_usePrune,SimpleCart_numFoldsPruning,PART_pruning,JRip_minNo,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,DecisionTable_useIBk,J48,SimpleCart_useOneSE,J48_useLaplace,J48_pruning,PART_binarySplits,SimpleCart_minNumObj,J48_useMDLcorrection,PART_numFolds,JRip_folds,J48_confidenceFactorValue,DecisionTable_crossVal,J48_numFolds,J48_binarySplits,PART_confidenceFactorValue,SimpleCart_heuristic,DecisionTable_search,J48_minNumObj,J48_collapseTree,BestFirst_direction,J48_subtreeRaising,GreedyStepwise_searchBackwards,J48_doNotMakeSplitPointActualValue,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection"
2,90,0.91021480,0.96299600,0.99118920,0.98040591,1.00000000,0010,0034,0035,0.00000000,"Aggregator,JRip,JRip_usePruning,PART,JRip_optimizations,SimpleCart,PART_pruning,SimpleCart_minNumObj,DecisionTable,PART_doNotMakeSplitPointActualValue,JRip_minNo,SimpleCart_heuristic,PART_confidenceFactorValue,DecisionTable_search,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,J48,BestFirst_direction,DecisionTable_useIBk,SimpleCart_usePrune,SimpleCart_useOneSE,BestFirst_searchTermination,J48_binarySplits,J48_useLaplace,JRip_checkErrorRate,PART_binarySplits,J48_minNumObj,J48_collapseTree,PART_numFolds,JRip_folds,GreedyStepwise_searchBackwards,PART_useMDLcorrection,DecisionTable_evaluationMeasure,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,J48_subtreeRaising,J48_numFolds"
3,90,0.92353443,0.96425933,0.99165998,0.97044920,1.00000000,0009,0034,0035,0.00000000,"JRip,JRip_checkErrorRate,JRip_usePruning,J48,DecisionTable,J48_doNotMakeSplitPointActualValue,SimpleCart,Aggregator,J48_useLaplace,JRip_minNo,DecisionTable_search,PART,J48_minNumObj,J48_useMDLcorrection,PART_binarySplits,PART_doNotMakeSplitPointActualValue,J48_collapseTree,BestFirst_direction,SimpleCart_usePrune,SimpleCart_heuristic,JRip_optimizations,SimpleCart_minNumObj,SimpleCart_useOneSE,J48_binarySplits,BestFirst_searchTermination,JRip_folds,DecisionTable_useIBk,DecisionTable_evaluationMeasure,J48_pruning,J48_subtreeRaising,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,PART_useMDLcorrection,PART_minNumObj,PART_pruning,PART_numFolds,J48_numFolds,J48_confidenceFactorValue,PART_confidenceFactorValue"
4,90,0.91895593,0.97538342,0.99290369,0.92780049,0.99567100,0012,0164,0073,0.55047336,"DecisionTable,PART,PART_useMDLcorrection,DecisionTable_crossVal,PART_minNumObj,SimpleCart_minNumObj,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,JRip_optimizations,J48_useLaplace,J48_useMDLcorrection,J48_pruning,J48_subtreeRaising,PART_numFolds,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,JRip_checkErrorRate,SimpleCart_useOneSE,SimpleCart_heuristic,JRip_folds,SimpleCart_usePrune,PART_confidenceFactorValue,JRip,J48,PART_doNotMakeSplitPointActualValue,SimpleCart,J48_binarySplits,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,JRip_usePruning,J48_numFolds,DecisionTable_evaluationMeasure,Aggregator,J48_collapseTree,JRip_minNo,J48_minNumObj,PART_binarySplits,BestFirst_searchTermination,PART_pruning"
5,90,0.92227874,0.97835321,0.99537493,0.97802496,1.00000000,0009,0034,0073,0.55047336,"DecisionTable,PART,PART_binarySplits,PART_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_searchTermination,PART_pruning,BestFirst_direction,DecisionTable_crossVal,JRip_folds,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,DecisionTable_useIBk,SimpleCart_usePrune,PART_confidenceFactorValue,J48,PART_useMDLcorrection,JRip,SimpleCart,J48_useLaplace,J48_useMDLcorrection,J48_collapseTree,J48_binarySplits,JRip_usePruning,JRip_optimizations,PART_numFolds,JRip_checkErrorRate,J48_pruning,SimpleCart_useOneSE,J48_confidenceFactorValue,J48_subtreeRaising,SimpleCart_numFoldsPruning,JRip_minNo,J48_minNumObj,J48_numFolds,Aggregator,PART_minNumObj,GreedyStepwise_conservativeForwardSelection"
6,90,0.91753997,0.97396967,0.99751238,0.98830902,1.00000000,0009,0034,0073,0.55047336,"PART,DecisionTable,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_searchBackwards,PART_binarySplits,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,BestFirst_direction,DecisionTable_useIBk,DecisionTable_crossVal,PART_pruning,BestFirst_searchTermination,PART_confidenceFactorValue,JRip,SimpleCart,J48,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,SimpleCart_heuristic,SimpleCart_usePrune,JRip_minNo,J48_minNumObj,SimpleCart_numFoldsPruning,JRip_usePruning,JRip_optimizations,JRip_folds,J48_useLaplace,PART_numFolds,J48_binarySplits,J48_useMDLcorrection,J48_pruning,SimpleCart_useOneSE,JRip_checkErrorRate,J48_numFolds,J48_confidenceFactorValue,J48_collapseTree,Aggregator,J48_subtreeRaising"
7,90,0.92511901,0.97995171,0.99751238,0.98830902,1.00000000,0009,0089,0065,0.49064551,"DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_direction,JRip,JRip_usePruning,JRip_optimizations,JRip_checkErrorRate,JRip_minNo,J48,J48_useLaplace,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_collapseTree,PART_pruning,J48_subtreeRaising,JRip_folds,PART,Aggregator,PART_binarySplits,PART_doNotMakeSplitPointActualValue,PART_minNumObj,PART_numFolds,J48_pruning,PART_confidenceFactorValue,SimpleCart,J48_minNumObj,SimpleCart_heuristic,DecisionTable_crossVal,BestFirst_searchTermination,SimpleCart_usePrune,J48_numFolds,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,SimpleCart_useOneSE,PART_useMDLcorrection,DecisionTable_useIBk,J48_binarySplits,J48_confidenceFactorValue"
8,90,0.91134004,0.97499408,0.99751238,0.98830902,1.00000000,0008,0034,0065,0.49064551,"DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,JRip,JRip_usePruning,JRip_optimizations,JRip_folds,PART,PART_binarySplits,PART_pruning,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_minNumObj,PART_numFolds,JRip_minNo,PART_confidenceFactorValue,J48,SimpleCart,J48_useMDLcorrection,J48_useLaplace,J48_pruning,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_heuristic,J48_minNumObj,SimpleCart_minNumObj,SimpleCart_useOneSE,DecisionTable_crossVal,J48_numFolds,BestFirst_searchTermination,J48_binarySplits,J48_confidenceFactorValue,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,JRip_checkErrorRate,Aggregator"
9,90,0.90705169,0.97400893,0.99751238,0.98830902,1.00000000,0007,0034,0065,0.49064551,"DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,DecisionTable_useIBk,DecisionTable_crossVal,BestFirst_direction,JRip,JRip_usePruning,JRip_minNo,J48,J48_useLaplace,J48_useMDLcorrection,J48_minNumObj,J48_pruning,J48_numFolds,J48_confidenceFactorValue,J48_binarySplits,J48_subtreeRaising,JRip_folds,JRip_checkErrorRate,Aggregator,PART,PART_doNotMakeSplitPointActualValue,PART_minNumObj,JRip_optimizations,PART_useMDLcorrection,PART_binarySplits,PART_pruning,PART_numFolds,PART_confidenceFactorValue,SimpleCart,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,SimpleCart_minNumObj,J48_collapseTree,J48_doNotMakeSplitPointActualValue"
