individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,null,true,null,0.25,4,null,true,1,7,false,true,null,true,null,6,true,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,10,true,false,acc,MajorityVotingAggregator,null,null,5,10,null,null,null,null,null,null,null,null,null,0.9078947368421053
overall,true,reducedErrorPruning,true,false,null,4,true,true,1,6,true,true,null,true,null,6,false,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,4,true,true,auc,MajorityVotingAggregator,true,false,10,9,null,null,true,2,null,true,10,null,null,0.9579796264855688
gen_000_ind_000,true,confidenceFactor,false,true,null,9,false,true,0,2,true,true,0.25,true,null,5,null,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,CompetenceBasedAggregator,true,true,2,2,null,4,true,null,null,false,3,null,0.9161327231121282,null
gen_000_ind_001,null,unpruned,true,null,null,8,false,false,0,10,true,true,null,true,null,7,false,reducedErrorPruning,false,null,true,weka.attributeSelection.BestFirst,true,true,4,true,false,mae,CompetenceBasedAggregator,false,true,9,null,null,6,false,null,null,true,2,null,0.913119755911518,null
gen_000_ind_002,true,null,true,null,0.05,1,null,true,1,3,false,true,null,true,8,8,false,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,true,true,5,true,true,acc,RuleExtractorAggregator,null,null,6,10,10,null,null,null,null,null,null,null,0.8660183066361554,null
gen_000_ind_003,true,reducedErrorPruning,true,true,null,1,false,true,null,null,true,true,null,true,null,6,false,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,4,true,true,auc,MajorityVotingAggregator,false,false,2,6,null,null,true,3,false,false,2,false,0.921815408085431,null
gen_000_ind_004,false,reducedErrorPruning,false,true,0.15,5,false,true,null,null,true,true,null,true,5,9,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,auc,MajorityVotingAggregator,false,false,5,8,8,null,true,9,false,true,4,false,0.9081617086193745,null
gen_000_ind_005,false,confidenceFactor,false,true,null,1,false,true,1,9,true,true,0.45,false,1,null,null,null,true,true,null,weka.attributeSelection.BestFirst,null,true,null,true,null,acc,RuleExtractorAggregator,true,true,6,2,6,null,true,null,null,true,7,null,0.9041952707856599,null
gen_000_ind_006,null,unpruned,true,null,0.15,4,false,false,2,5,true,true,null,true,null,6,false,confidenceFactor,false,null,true,weka.attributeSelection.BestFirst,false,true,7,true,false,auc,MajorityVotingAggregator,false,true,6,null,null,null,true,null,null,false,10,null,0.9131960335621663,null
gen_000_ind_007,false,reducedErrorPruning,false,true,0.25,8,false,true,null,null,true,true,null,true,2,2,null,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,acc,CompetenceBasedAggregator,true,true,3,7,3,null,true,5,true,false,10,true,0.9123188405797101,null
gen_000_ind_008,false,confidenceFactor,false,false,null,2,false,true,1,5,true,true,0.45,true,4,2,null,unpruned,true,true,false,weka.attributeSelection.BestFirst,false,true,null,true,false,mae,RuleExtractorAggregator,false,true,2,3,5,null,false,null,null,false,7,null,0.8301296720061021,null
gen_000_ind_009,true,confidenceFactor,false,true,null,1,false,true,1,6,true,true,0.45,true,9,4,null,unpruned,false,true,false,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,RuleExtractorAggregator,true,true,6,2,6,null,true,null,null,false,5,null,0.8610983981693364,null
gen_000_ind_010,true,unpruned,true,null,0.35,6,false,true,null,null,true,true,null,true,4,5,true,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,2,false,false,mae,MajorityVotingAggregator,false,false,8,5,7,null,true,null,false,true,4,true,0.9081235697940503,null
gen_000_ind_011,false,reducedErrorPruning,false,true,null,10,false,true,1,4,true,true,null,true,null,4,null,unpruned,false,false,false,weka.attributeSelection.BestFirst,true,true,null,false,false,auc,MajorityVotingAggregator,false,true,8,6,null,null,false,3,null,true,7,null,0.9135011441647597,null
gen_000_ind_012,true,confidenceFactor,false,false,0.05,2,true,true,1,8,true,true,0.45,true,null,5,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,CompetenceBasedAggregator,false,true,2,7,null,null,true,null,null,true,2,null,0.903813882532418,null
gen_000_ind_013,null,null,false,null,null,null,null,false,null,null,false,false,null,true,null,4,null,unpruned,null,null,true,null,false,true,null,true,true,null,MajorityVotingAggregator,null,null,2,null,null,null,null,null,null,null,null,null,0.884744469870328,null
gen_000_ind_014,false,reducedErrorPruning,true,true,null,1,false,true,1,7,true,true,null,true,null,9,false,reducedErrorPruning,true,false,false,weka.attributeSelection.BestFirst,false,true,3,true,false,auc,MajorityVotingAggregator,false,true,4,2,null,6,true,2,null,true,10,null,0.9137299771167049,null
gen_000_ind_015,false,confidenceFactor,null,false,null,1,false,true,2,5,true,true,0.35,true,8,8,null,unpruned,true,true,false,weka.attributeSelection.BestFirst,true,false,null,null,false,auc,MajorityVotingAggregator,true,false,null,10,5,null,true,null,null,false,2,null,0.9052250190694127,null
gen_000_ind_016,true,unpruned,false,null,0.45,null,false,true,null,null,true,false,null,true,1,8,null,confidenceFactor,null,true,false,null,false,true,null,true,false,null,MajorityVotingAggregator,true,false,6,6,10,null,true,null,null,false,7,null,0.909954233409611,null
gen_000_ind_017,true,confidenceFactor,false,true,0.35,4,true,true,null,null,true,true,0.25,true,3,4,null,confidenceFactor,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,mae,MajorityVotingAggregator,true,false,8,5,2,null,true,null,false,false,10,true,0.9083142639206712,null
