gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.79282990,0.90764683,0.92501907,0.91716642,0.93123939,0033,0034,0035,0.00000000,"SimpleCart,SimpleCart_minNumObj,JRip,JRip_minNo,SimpleCart_heuristic,Aggregator,DecisionTable,SimpleCart_usePrune,J48,PART,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,J48_useLaplace,PART_minNumObj,PART_useMDLcorrection,JRip_usePruning,J48_collapseTree,JRip_checkErrorRate,DecisionTable_crossVal,J48_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_folds,PART_pruning,PART_binarySplits,DecisionTable_evaluationMeasure,DecisionTable_useIBk,J48_binarySplits,JRip_optimizations,J48_useMDLcorrection,DecisionTable_search,PART_numFolds,J48_pruning,J48_confidenceFactorValue,J48_numFolds,BestFirst_direction,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,J48_subtreeRaising"
1,90,0.81136537,0.91125095,0.92597254,0.89917541,0.95713073,0032,0034,0035,0.00000000,"PART,JRip,JRip_minNo,SimpleCart,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,Aggregator,PART_useMDLcorrection,PART_minNumObj,J48,SimpleCart_heuristic,SimpleCart_minNumObj,J48_useLaplace,SimpleCart_numFoldsPruning,DecisionTable,PART_binarySplits,J48_binarySplits,SimpleCart_useOneSE,JRip_checkErrorRate,PART_pruning,J48_useMDLcorrection,JRip_usePruning,DecisionTable_useIBk,PART_confidenceFactorValue,J48_minNumObj,J48_pruning,J48_doNotMakeSplitPointActualValue,JRip_optimizations,DecisionTable_crossVal,DecisionTable_evaluationMeasure,J48_collapseTree,JRip_folds,J48_subtreeRaising,DecisionTable_search,PART_numFolds,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,J48_numFolds,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,BestFirst_direction"
2,90,0.78066362,0.90993516,0.92608696,0.92559970,0.92359932,0033,0034,0035,0.00000000,"Aggregator,SimpleCart,SimpleCart_minNumObj,SimpleCart_heuristic,SimpleCart_usePrune,JRip,SimpleCart_useOneSE,PART,J48,JRip_usePruning,J48_pruning,SimpleCart_numFoldsPruning,J48_useLaplace,J48_useMDLcorrection,J48_numFolds,PART_binarySplits,DecisionTable,PART_pruning,DecisionTable_crossVal,DecisionTable_evaluationMeasure,J48_binarySplits,DecisionTable_useIBk,J48_collapseTree,JRip_optimizations,PART_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_minNo,J48_confidenceFactorValue,J48_minNumObj,PART_confidenceFactorValue,JRip_folds,DecisionTable_search,J48_subtreeRaising,JRip_checkErrorRate,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,BestFirst_searchTermination,GreedyStepwise_searchBackwards,PART_numFolds,GreedyStepwise_conservativeForwardSelection,BestFirst_direction"
3,90,0.76048818,0.90997330,0.92608696,0.92559970,0.92359932,0029,0034,0035,0.00000000,"JRip,J48,J48_useMDLcorrection,J48_pruning,JRip_usePruning,Aggregator,JRip_checkErrorRate,DecisionTable,JRip_folds,DecisionTable_evaluationMeasure,J48_useLaplace,DecisionTable_crossVal,J48_collapseTree,J48_subtreeRaising,DecisionTable_useIBk,JRip_minNo,PART,J48_minNumObj,J48_numFolds,SimpleCart,JRip_optimizations,J48_doNotMakeSplitPointActualValue,J48_binarySplits,J48_confidenceFactorValue,DecisionTable_search,SimpleCart_minNumObj,BestFirst_direction,BestFirst_searchTermination,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_binarySplits,GreedyStepwise_searchBackwards,PART_pruning,SimpleCart_usePrune,PART_useMDLcorrection,SimpleCart_heuristic,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,PART_numFolds,SimpleCart_useOneSE"
4,90,0.75491991,0.91117468,0.92623951,0.91210645,0.96010187,0031,0034,0074,0.57042337,"PART,DecisionTable,PART_pruning,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,JRip,JRip_minNo,JRip_checkErrorRate,BestFirst_searchTermination,PART_useMDLcorrection,JRip_usePruning,JRip_optimizations,Aggregator,DecisionTable_useIBk,PART_numFolds,SimpleCart,SimpleCart_usePrune,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,PART_minNumObj,DecisionTable_evaluationMeasure,JRip_folds,PART_binarySplits,DecisionTable_crossVal,J48,J48_collapseTree,J48_pruning,J48_useMDLcorrection,J48_minNumObj,J48_useLaplace,J48_numFolds,SimpleCart_heuristic,GreedyStepwise_searchBackwards,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,J48_confidenceFactorValue,J48_binarySplits,SimpleCart_useOneSE,BestFirst_direction"
5,90,0.80514874,0.91184211,0.92623951,0.91210645,0.96010187,0033,0034,0074,0.57042337,"PART,DecisionTable,PART_pruning,DecisionTable_crossVal,PART_numFolds,SimpleCart,SimpleCart_usePrune,SimpleCart_heuristic,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,DecisionTable_useIBk,PART_binarySplits,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,JRip,JRip_usePruning,JRip_optimizations,Aggregator,JRip_minNo,JRip_checkErrorRate,JRip_folds,SimpleCart_useOneSE,BestFirst_direction,PART_doNotMakeSplitPointActualValue,PART_minNumObj,SimpleCart_numFoldsPruning,PART_useMDLcorrection,J48,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_pruning,SimpleCart_minNumObj,J48_useLaplace,J48_collapseTree,J48_numFolds,J48_confidenceFactorValue,J48_binarySplits,J48_subtreeRaising,J48_minNumObj,BestFirst_searchTermination"
6,90,0.78127384,0.91325324,0.92623951,0.91210645,0.96010187,0030,0034,0074,0.57042337,"PART,DecisionTable,DecisionTable_search,PART_doNotMakeSplitPointActualValue,PART_pruning,GreedyStepwise_conservativeForwardSelection,JRip,DecisionTable_evaluationMeasure,PART_binarySplits,PART_confidenceFactorValue,DecisionTable_crossVal,JRip_usePruning,PART_numFolds,JRip_optimizations,SimpleCart,Aggregator,SimpleCart_usePrune,DecisionTable_useIBk,JRip_folds,JRip_checkErrorRate,BestFirst_direction,SimpleCart_useOneSE,PART_useMDLcorrection,SimpleCart_numFoldsPruning,PART_minNumObj,JRip_minNo,SimpleCart_minNumObj,J48,J48_useLaplace,J48_useMDLcorrection,J48_pruning,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_numFolds,J48_binarySplits,J48_minNumObj,BestFirst_searchTermination,SimpleCart_heuristic,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,J48_subtreeRaising"
7,90,0.76117468,0.91107933,0.92623951,0.91210645,0.96010187,0031,0034,0052,0.62928653,"SimpleCart,JRip,JRip_usePruning,PART,SimpleCart_heuristic,SimpleCart_usePrune,J48,J48_useMDLcorrection,JRip_checkErrorRate,JRip_optimizations,JRip_folds,DecisionTable,Aggregator,SimpleCart_numFoldsPruning,J48_pruning,J48_doNotMakeSplitPointActualValue,DecisionTable_search,SimpleCart_useOneSE,DecisionTable_useIBk,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,J48_minNumObj,JRip_minNo,BestFirst_searchTermination,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_binarySplits,J48_useLaplace,DecisionTable_evaluationMeasure,J48_collapseTree,PART_pruning,PART_minNumObj,BestFirst_direction,J48_numFolds,DecisionTable_crossVal,J48_binarySplits,SimpleCart_minNumObj,PART_confidenceFactorValue,PART_numFolds"
8,90,0.80945843,0.91239512,0.92620137,0.91960270,0.93887946,0032,0034,0052,0.62928653,"Aggregator,JRip,PART,DecisionTable,JRip_usePruning,SimpleCart,JRip_checkErrorRate,J48,JRip_folds,SimpleCart_heuristic,DecisionTable_search,JRip_optimizations,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,J48_pruning,J48_confidenceFactorValue,DecisionTable_crossVal,J48_subtreeRaising,DecisionTable_evaluationMeasure,J48_useLaplace,PART_doNotMakeSplitPointActualValue,J48_minNumObj,BestFirst_direction,SimpleCart_minNumObj,J48_binarySplits,JRip_minNo,PART_binarySplits,J48_numFolds,PART_pruning,PART_useMDLcorrection,J48_collapseTree,PART_minNumObj,PART_confidenceFactorValue,BestFirst_searchTermination,PART_numFolds"
9,90,0.79904653,0.90968726,0.92620137,0.91960270,0.93887946,0029,0034,0052,0.62928653,"SimpleCart,SimpleCart_usePrune,DecisionTable,SimpleCart_numFoldsPruning,DecisionTable_search,SimpleCart_useOneSE,DecisionTable_useIBk,GreedyStepwise_searchBackwards,PART,J48,Aggregator,SimpleCart_heuristic,JRip,JRip_usePruning,J48_pruning,JRip_folds,J48_confidenceFactorValue,J48_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,JRip_optimizations,JRip_checkErrorRate,J48_binarySplits,SimpleCart_minNumObj,PART_binarySplits,DecisionTable_crossVal,J48_subtreeRaising,PART_doNotMakeSplitPointActualValue,PART_pruning,J48_numFolds,J48_collapseTree,PART_minNumObj,J48_useLaplace,DecisionTable_evaluationMeasure,JRip_minNo,PART_numFolds,J48_minNumObj,PART_useMDLcorrection,BestFirst_searchTermination,BestFirst_direction,PART_confidenceFactorValue"
