gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.78046969,0.94795800,0.95687311,0.96328159,0.96242230,0105,0034,0035,0.00000000,"DecisionTable,Aggregator,SimpleCart,PART,SimpleCart_heuristic,DecisionTable_evaluationMeasure,PART_binarySplits,DecisionTable_useIBk,JRip,J48,SimpleCart_minNumObj,SimpleCart_usePrune,JRip_usePruning,J48_useMDLcorrection,DecisionTable_crossVal,J48_collapseTree,JRip_optimizations,PART_minNumObj,PART_useMDLcorrection,J48_useLaplace,SimpleCart_useOneSE,J48_doNotMakeSplitPointActualValue,PART_pruning,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,JRip_folds,JRip_minNo,DecisionTable_search,BestFirst_searchTermination,J48_binarySplits,JRip_checkErrorRate,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,J48_minNumObj,J48_pruning,J48_numFolds,BestFirst_direction,PART_numFolds,J48_subtreeRaising,GreedyStepwise_searchBackwards,J48_confidenceFactorValue"
1,90,0.75025623,0.94771660,0.95687311,0.96328159,0.96242230,0099,0034,0035,0.00000000,"Aggregator,JRip,J48,PART,PART_doNotMakeSplitPointActualValue,DecisionTable,J48_useMDLcorrection,SimpleCart,J48_binarySplits,PART_binarySplits,DecisionTable_useIBk,SimpleCart_usePrune,J48_useLaplace,J48_collapseTree,J48_pruning,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,JRip_minNo,JRip_checkErrorRate,PART_useMDLcorrection,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,J48_minNumObj,JRip_usePruning,DecisionTable_search,PART_minNumObj,PART_pruning,SimpleCart_heuristic,DecisionTable_crossVal,DecisionTable_evaluationMeasure,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,J48_numFolds,JRip_optimizations,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,PART_numFolds,JRip_folds,BestFirst_direction,BestFirst_searchTermination"
2,90,0.75464105,0.95004669,0.95687311,0.96328159,0.96242230,0084,0034,0035,0.00000000,"JRip,J48,JRip_usePruning,JRip_checkErrorRate,Aggregator,DecisionTable,J48_collapseTree,J48_binarySplits,J48_useLaplace,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,SimpleCart,JRip_folds,SimpleCart_usePrune,J48_minNumObj,J48_useMDLcorrection,JRip_optimizations,JRip_minNo,PART,DecisionTable_search,DecisionTable_useIBk,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,PART_pruning,BestFirst_searchTermination,J48_pruning,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,PART_numFolds,PART_binarySplits,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,SimpleCart_minNumObj,SimpleCart_heuristic,BestFirst_direction,PART_confidenceFactorValue,PART_minNumObj,PART_useMDLcorrection,J48_numFolds,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising"
3,90,0.72002402,0.94863197,0.95780325,0.96586023,0.96093300,0082,0034,0035,0.00000000,"J48,SimpleCart,JRip,DecisionTable,J48_minNumObj,DecisionTable_evaluationMeasure,J48_pruning,PART,SimpleCart_minNumObj,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,SimpleCart_heuristic,J48_binarySplits,PART_pruning,PART_minNumObj,J48_useLaplace,Aggregator,SimpleCart_usePrune,PART_numFolds,J48_collapseTree,JRip_usePruning,DecisionTable_crossVal,JRip_minNo,DecisionTable_useIBk,DecisionTable_search,JRip_checkErrorRate,PART_binarySplits,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,BestFirst_direction,PART_useMDLcorrection,J48_numFolds,SimpleCart_useOneSE,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,JRip_optimizations,JRip_folds,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards"
4,90,0.72961724,0.95012530,0.95780325,0.96586023,0.96093300,0093,0086,0071,0.52918800,"SimpleCart,J48,J48_collapseTree,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,J48_minNumObj,J48_binarySplits,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,J48_pruning,J48_numFolds,J48_confidenceFactorValue,J48_subtreeRaising,J48_useLaplace,J48_useMDLcorrection,BestFirst_searchTermination,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,JRip_folds,Aggregator,DecisionTable,DecisionTable_search,DecisionTable_crossVal,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip_minNo,GreedyStepwise_searchBackwards,PART_pruning,PART_numFolds,PART_useMDLcorrection,PART_binarySplits,JRip_usePruning,JRip_optimizations,DecisionTable_useIBk,PART,PART_confidenceFactorValue,DecisionTable_evaluationMeasure,PART_minNumObj,JRip"
5,90,0.79562893,0.95043933,0.95780325,0.96586023,0.96093300,0093,0054,0071,0.52918800,"SimpleCart,J48,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_collapseTree,J48_useLaplace,J48_pruning,J48_subtreeRaising,J48_numFolds,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_confidenceFactorValue,J48_minNumObj,SimpleCart_minNumObj,J48_binarySplits,JRip_optimizations,PART,PART_doNotMakeSplitPointActualValue,PART_binarySplits,PART_minNumObj,PART_pruning,PART_numFolds,PART_confidenceFactorValue,SimpleCart_heuristic,PART_useMDLcorrection,DecisionTable_search,BestFirst_searchTermination,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,JRip,JRip_minNo,JRip_checkErrorRate,JRip_usePruning,JRip_folds,Aggregator,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_useIBk,DecisionTable_crossVal"
6,90,0.73059513,0.95199968,0.95797617,0.96480766,0.95584638,0088,0056,0071,0.52918800,"J48,SimpleCart,J48_useMDLcorrection,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_pruning,J48_useLaplace,J48_collapseTree,J48_minNumObj,J48_binarySplits,SimpleCart_minNumObj,J48_numFolds,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,J48_subtreeRaising,J48_confidenceFactorValue,DecisionTable_search,BestFirst_searchTermination,GreedyStepwise_searchBackwards,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,PART_doNotMakeSplitPointActualValue,JRip_folds,Aggregator,DecisionTable,DecisionTable_crossVal,PART_binarySplits,JRip_checkErrorRate,JRip_optimizations,PART,DecisionTable_useIBk,PART_pruning,PART_useMDLcorrection,PART_numFolds,JRip_minNo,JRip_usePruning,DecisionTable_evaluationMeasure,PART_minNumObj,PART_confidenceFactorValue,JRip"
7,90,0.75002052,0.95003910,0.95927392,0.96511959,0.95831415,0084,0034,0060,0.44268089,"J48,J48_useLaplace,J48_binarySplits,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,JRip,Aggregator,JRip_checkErrorRate,JRip_usePruning,JRip_minNo,J48_collapseTree,J48_pruning,J48_subtreeRaising,J48_numFolds,SimpleCart,J48_confidenceFactorValue,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,JRip_optimizations,JRip_folds,DecisionTable,DecisionTable_search,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,PART,GreedyStepwise_searchBackwards,BestFirst_direction,PART_pruning,PART_doNotMakeSplitPointActualValue,PART_confidenceFactorValue,DecisionTable_crossVal,PART_minNumObj,DecisionTable_evaluationMeasure,PART_binarySplits,SimpleCart_heuristic,PART_numFolds,PART_useMDLcorrection"
8,90,0.71375235,0.95138877,0.95927392,0.96511959,0.95831415,0107,0112,0060,0.44268089,"J48,DecisionTable_search,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,J48_numFolds,J48_confidenceFactorValue,SimpleCart_usePrune,SimpleCart_numFoldsPruning,J48_subtreeRaising,PART_numFolds,DecisionTable_evaluationMeasure,DecisionTable_crossVal,DecisionTable_useIBk,J48_minNumObj,JRip,Aggregator,PART_pruning,PART_confidenceFactorValue,PART_useMDLcorrection,SimpleCart_minNumObj,PART_binarySplits,SimpleCart_heuristic,PART_minNumObj,J48_doNotMakeSplitPointActualValue,JRip_checkErrorRate,JRip_minNo,J48_pruning,JRip_usePruning,J48_collapseTree,J48_useMDLcorrection,SimpleCart,JRip_folds,JRip_optimizations,PART,DecisionTable,J48_useLaplace,J48_binarySplits,PART_doNotMakeSplitPointActualValue"
9,90,0.78556247,0.95136364,0.95927392,0.96511959,0.95831415,0100,0078,0060,0.44268089,"J48,J48_numFolds,DecisionTable_useIBk,SimpleCart_numFoldsPruning,DecisionTable_crossVal,DecisionTable_search,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,GreedyStepwise_searchBackwards,J48_pruning,J48_confidenceFactorValue,J48_subtreeRaising,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_useLaplace,J48_useMDLcorrection,J48_minNumObj,JRip,Aggregator,JRip_usePruning,JRip_minNo,SimpleCart,SimpleCart_usePrune,SimpleCart_minNumObj,SimpleCart_useOneSE,JRip_folds,JRip_optimizations,DecisionTable,PART,PART_doNotMakeSplitPointActualValue,PART_pruning,DecisionTable_evaluationMeasure,PART_minNumObj,PART_binarySplits,SimpleCart_heuristic,PART_numFolds,PART_confidenceFactorValue,PART_useMDLcorrection,JRip_checkErrorRate"
