individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,reducedErrorPruning,true,null,null,2,false,true,1,4,true,true,null,true,null,2,null,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,false,true,8,false,true,auc,CompetenceBasedAggregator,false,false,6,7,2,3,true,null,null,false,9,null,null,0.9987057808455565
overall,true,unpruned,null,null,null,1,true,true,2,5,true,true,null,true,1,10,null,unpruned,false,true,false,weka.attributeSelection.BestFirst,true,false,null,null,false,acc,CompetenceBasedAggregator,false,true,null,6,7,null,false,null,null,true,2,null,null,0.0
gen_000_ind_000,true,reducedErrorPruning,true,false,0.25,4,false,true,null,null,true,true,null,true,8,3,false,confidenceFactor,true,true,false,weka.attributeSelection.GreedyStepwise,true,true,5,true,false,auc,RuleExtractorAggregator,false,false,3,8,7,null,false,3,false,false,7,true,0.9885290148448043,null
gen_000_ind_001,true,unpruned,true,null,null,4,true,true,null,null,true,true,null,true,10,9,false,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,10,true,false,acc,CompetenceBasedAggregator,false,true,2,5,9,4,false,null,true,false,9,false,0.9944283786389049,null
gen_000_ind_002,true,confidenceFactor,false,false,0.25,2,true,true,1,8,true,true,0.15,true,null,5,null,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,null,true,true,mae,CompetenceBasedAggregator,false,true,3,10,null,null,true,null,null,false,3,null,0.9945054945054945,null
gen_000_ind_003,true,reducedErrorPruning,true,true,null,7,true,true,1,5,true,true,null,false,8,null,false,null,false,true,null,weka.attributeSelection.BestFirst,null,true,5,true,null,auc,CompetenceBasedAggregator,true,false,9,10,7,null,true,8,null,true,7,null,0.9950935029882398,null
gen_000_ind_004,true,reducedErrorPruning,true,false,null,5,false,true,0,9,true,true,null,true,null,8,true,unpruned,true,false,false,weka.attributeSelection.BestFirst,true,true,5,false,true,auc,MajorityVotingAggregator,false,true,7,8,null,null,true,5,null,false,2,null,0.996028532870638,null
gen_000_ind_005,true,confidenceFactor,true,false,0.15,8,true,true,null,null,true,true,0.35,true,5,2,true,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,9,false,true,rmse,MajorityVotingAggregator,false,true,2,7,4,null,true,null,false,false,9,true,0.9953055716213612,null
gen_000_ind_006,false,null,true,null,null,6,null,true,null,null,false,true,null,true,10,3,false,unpruned,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,9,false,true,acc,CompetenceBasedAggregator,null,null,7,4,3,null,null,null,false,null,null,false,0.9945922498554077,null
gen_000_ind_007,true,unpruned,null,null,null,1,true,true,0,4,true,true,null,true,9,4,null,unpruned,false,true,true,weka.attributeSelection.BestFirst,true,false,null,null,true,auc,RuleExtractorAggregator,true,true,null,9,3,null,false,null,null,false,9,null,0.9689705031810295,null
