gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.57078257,0.72193757,0.73938590,0.75773420,0.69785575,0015,0034,0035,0.00000000,"DecisionTable,DecisionTable_crossVal,J48,JRip,SimpleCart,SimpleCart_heuristic,J48_pruning,J48_useMDLcorrection,JRip_checkErrorRate,J48_binarySplits,DecisionTable_useIBk,DecisionTable_search,Aggregator,DecisionTable_evaluationMeasure,BestFirst_direction,J48_confidenceFactorValue,SimpleCart_usePrune,GreedyStepwise_searchBackwards,BestFirst_searchTermination,SimpleCart_numFoldsPruning,J48_numFolds,J48_subtreeRaising,PART,JRip_minNo,JRip_usePruning,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_minNumObj,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,PART_minNumObj,SimpleCart_minNumObj,J48_collapseTree,SimpleCart_useOneSE,JRip_optimizations,PART_doNotMakeSplitPointActualValue,PART_binarySplits,JRip_folds,PART_pruning,PART_confidenceFactorValue,PART_numFolds"
1,90,0.51283403,0.72019418,0.73938590,0.75773420,0.69785575,0013,0034,0035,0.00000000,"SimpleCart,DecisionTable,JRip,J48,SimpleCart_heuristic,DecisionTable_evaluationMeasure,Aggregator,DecisionTable_crossVal,J48_minNumObj,J48_collapseTree,J48_useMDLcorrection,JRip_usePruning,DecisionTable_useIBk,SimpleCart_usePrune,J48_useLaplace,JRip_optimizations,J48_doNotMakeSplitPointActualValue,JRip_minNo,SimpleCart_minNumObj,PART,JRip_folds,J48_pruning,JRip_checkErrorRate,PART_binarySplits,PART_pruning,J48_binarySplits,SimpleCart_useOneSE,PART_minNumObj,DecisionTable_search,BestFirst_direction,PART_useMDLcorrection,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,J48_subtreeRaising,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,J48_numFolds,PART_doNotMakeSplitPointActualValue,PART_numFolds,BestFirst_searchTermination"
2,90,0.54005273,0.72148645,0.74314952,0.69324619,0.66471735,0012,0034,0035,0.00000000,"JRip,Aggregator,JRip_usePruning,JRip_minNo,DecisionTable,PART,DecisionTable_useIBk,JRip_checkErrorRate,JRip_folds,DecisionTable_crossVal,SimpleCart,J48,SimpleCart_heuristic,DecisionTable_evaluationMeasure,J48_useMDLcorrection,SimpleCart_minNumObj,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,PART_pruning,J48_collapseTree,DecisionTable_search,J48_pruning,SimpleCart_useOneSE,J48_useLaplace,PART_minNumObj,JRip_optimizations,PART_useMDLcorrection,J48_numFolds,PART_confidenceFactorValue,J48_minNumObj,PART_binarySplits,PART_doNotMakeSplitPointActualValue,J48_binarySplits,J48_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,PART_numFolds,BestFirst_searchTermination,SimpleCart_numFoldsPruning,BestFirst_direction,J48_subtreeRaising,GreedyStepwise_searchBackwards"
3,90,0.55904609,0.72197774,0.74314952,0.69324619,0.66471735,0011,0034,0035,0.00000000,"DecisionTable,Aggregator,DecisionTable_search,DecisionTable_evaluationMeasure,SimpleCart,BestFirst_searchTermination,PART,GreedyStepwise_conservativeForwardSelection,SimpleCart_usePrune,SimpleCart_numFoldsPruning,PART_useMDLcorrection,PART_pruning,DecisionTable_crossVal,PART_confidenceFactorValue,JRip,JRip_minNo,J48,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,J48_useLaplace,J48_binarySplits,SimpleCart_heuristic,J48_minNumObj,DecisionTable_useIBk,JRip_checkErrorRate,SimpleCart_minNumObj,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,GreedyStepwise_searchBackwards,BestFirst_direction,PART_minNumObj,J48_pruning,PART_binarySplits,J48_collapseTree,PART_numFolds,JRip_usePruning,J48_subtreeRaising,JRip_optimizations,J48_confidenceFactorValue,J48_numFolds,JRip_folds"
4,90,0.51184550,0.72282270,0.74314952,0.69324619,0.66471735,0015,0056,0074,0.60874919,"J48,DecisionTable,J48_useMDLcorrection,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_useLaplace,DecisionTable_useIBk,J48_binarySplits,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,J48_minNumObj,Aggregator,J48_pruning,J48_numFolds,PART,PART_binarySplits,PART_minNumObj,DecisionTable_crossVal,J48_confidenceFactorValue,PART_numFolds,JRip,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_confidenceFactorValue,SimpleCart,SimpleCart_usePrune,PART_useMDLcorrection,SimpleCart_numFoldsPruning,JRip_minNo,JRip_usePruning,SimpleCart_heuristic,SimpleCart_minNumObj,JRip_optimizations,SimpleCart_useOneSE,J48_subtreeRaising,JRip_checkErrorRate,JRip_folds"
5,90,0.57245446,0.72508338,0.74314952,0.69324619,0.66471735,0015,0034,0074,0.60874919,"J48,DecisionTable,DecisionTable_search,J48_useMDLcorrection,DecisionTable_evaluationMeasure,BestFirst_searchTermination,J48_pruning,J48_numFolds,PART,PART_useMDLcorrection,J48_minNumObj,Aggregator,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,PART_minNumObj,DecisionTable_crossVal,J48_confidenceFactorValue,J48_useLaplace,J48_doNotMakeSplitPointActualValue,PART_binarySplits,BestFirst_direction,PART_pruning,PART_numFolds,PART_doNotMakeSplitPointActualValue,JRip,JRip_usePruning,PART_confidenceFactorValue,SimpleCart,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip_minNo,DecisionTable_useIBk,SimpleCart_heuristic,SimpleCart_minNumObj,JRip_optimizations,JRip_checkErrorRate,J48_subtreeRaising,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,JRip_folds,J48_collapseTree"
6,90,0.51470648,0.72179622,0.74627761,0.69564270,0.66471735,0015,0034,0074,0.60874919,"DecisionTable,J48,J48_pruning,J48_numFolds,PART,J48_useMDLcorrection,PART_doNotMakeSplitPointActualValue,DecisionTable_search,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,J48_useLaplace,PART_binarySplits,J48_binarySplits,DecisionTable_crossVal,PART_minNumObj,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,J48_collapseTree,DecisionTable_useIBk,PART_pruning,PART_confidenceFactorValue,SimpleCart,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_minNumObj,SimpleCart_heuristic,PART_numFolds,BestFirst_direction,JRip,JRip_checkErrorRate,JRip_minNo,SimpleCart_numFoldsPruning,J48_minNumObj,JRip_usePruning,Aggregator,JRip_optimizations,JRip_folds,PART_useMDLcorrection,BestFirst_searchTermination"
7,90,0.51002650,0.72237474,0.74627761,0.69498911,0.66471735,0013,0085,0067,0.44959572,"J48,PART,JRip,DecisionTable,SimpleCart,J48_confidenceFactorValue,PART_numFolds,BestFirst_searchTermination,BestFirst_direction,J48_binarySplits,DecisionTable_evaluationMeasure,PART_binarySplits,JRip_checkErrorRate,JRip_usePruning,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,JRip_optimizations,J48_useMDLcorrection,SimpleCart_usePrune,J48_collapseTree,SimpleCart_useOneSE,J48_useLaplace,SimpleCart_heuristic,PART_useMDLcorrection,DecisionTable_useIBk,SimpleCart_numFoldsPruning,J48_doNotMakeSplitPointActualValue,PART_pruning,JRip_folds,JRip_minNo,PART_confidenceFactorValue,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,Aggregator,J48_minNumObj,PART_minNumObj,SimpleCart_minNumObj,J48_pruning,J48_subtreeRaising,J48_numFolds"
8,90,0.56756331,0.72657737,0.74879555,0.69150327,0.65302144,0014,0034,0067,0.44959572,"SimpleCart,J48,PART,JRip,DecisionTable,J48_minNumObj,J48_pruning,SimpleCart_minNumObj,PART_minNumObj,J48_confidenceFactorValue,J48_collapseTree,DecisionTable_search,BestFirst_searchTermination,BestFirst_direction,JRip_minNo,PART_pruning,PART_numFolds,PART_useMDLcorrection,GreedyStepwise_searchBackwards,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,Aggregator,J48_numFolds,PART_confidenceFactorValue,J48_binarySplits,DecisionTable_evaluationMeasure,PART_binarySplits,J48_subtreeRaising,SimpleCart_heuristic,JRip_usePruning,DecisionTable_crossVal,JRip_optimizations,JRip_folds,J48_useMDLcorrection,J48_useLaplace,SimpleCart_usePrune,DecisionTable_useIBk,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
9,90,0.50404018,0.72307559,0.74879555,0.69150327,0.65302144,0013,0034,0067,0.44959572,"PART,J48,DecisionTable,SimpleCart,JRip,DecisionTable_useIBk,SimpleCart_heuristic,J48_useMDLcorrection,PART_useMDLcorrection,J48_binarySplits,DecisionTable_evaluationMeasure,PART_binarySplits,J48_minNumObj,J48_pruning,SimpleCart_minNumObj,PART_minNumObj,J48_subtreeRaising,J48_confidenceFactorValue,J48_numFolds,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,Aggregator,DecisionTable_crossVal,JRip_usePruning,JRip_folds,J48_collapseTree,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,JRip_minNo,PART_pruning,JRip_optimizations,PART_numFolds,PART_confidenceFactorValue,J48_useLaplace"
