individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,reducedErrorPruning,true,true,null,10,false,true,2,8,true,true,null,true,null,8,true,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,false,true,10,true,false,acc,CompetenceBasedAggregator,true,false,4,5,null,8,true,5,null,false,3,null,null,0.5472222222222223
overall,true,confidenceFactor,true,false,null,10,false,true,1,2,true,true,0.35,true,2,6,true,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,true,true,2,false,false,rmse,CompetenceBasedAggregator,false,true,4,2,4,2,false,null,null,false,5,null,null,0.5472222222222223
gen_000_ind_000,false,reducedErrorPruning,true,true,0.05,null,false,true,null,null,true,false,null,true,1,3,true,confidenceFactor,null,true,false,null,false,true,5,true,false,null,MajorityVotingAggregator,true,true,5,9,6,null,true,9,null,true,2,null,0.6143589743589744,null
gen_000_ind_001,true,confidenceFactor,false,true,0.35,2,false,true,null,null,true,true,0.05,true,5,2,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,mae,CompetenceBasedAggregator,true,true,2,2,6,null,true,null,true,false,4,false,0.6766880341880341,null
gen_000_ind_002,null,reducedErrorPruning,false,true,null,null,false,false,null,null,true,false,null,true,null,2,null,reducedErrorPruning,null,null,true,null,false,true,null,true,false,null,CompetenceBasedAggregator,false,false,2,null,null,5,true,4,null,false,3,null,0.6490598290598291,null
gen_000_ind_003,true,confidenceFactor,true,true,null,1,true,true,2,7,true,true,0.15,true,2,3,true,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,false,true,3,false,false,auc,CompetenceBasedAggregator,false,true,10,10,10,3,true,null,null,false,5,null,0.6658547008547009,null
gen_000_ind_004,false,confidenceFactor,false,false,null,8,false,true,2,4,true,true,0.05,true,9,2,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,null,false,true,auc,MajorityVotingAggregator,false,true,7,4,3,6,true,null,null,false,3,null,0.7011538461538461,null
gen_000_ind_005,true,null,true,null,0.45,9,null,true,0,10,false,true,null,true,null,8,false,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,7,true,false,rmse,RuleExtractorAggregator,null,null,3,8,null,null,null,null,null,null,null,null,0.6472435897435898,null
gen_000_ind_006,true,confidenceFactor,true,false,null,7,true,true,1,6,true,true,0.35,false,7,null,false,null,false,true,null,weka.attributeSelection.BestFirst,null,true,2,false,null,mae,CompetenceBasedAggregator,true,true,8,7,5,null,true,null,null,true,5,null,0.711025641025641,null
gen_000_ind_007,true,reducedErrorPruning,false,true,null,1,false,true,null,null,true,true,null,true,9,3,null,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,auc,RuleExtractorAggregator,false,true,5,5,7,6,true,10,false,false,4,false,0.6359401709401709,null
