gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.53183761,0.65787393,0.73660256,0.65512821,0.78888889,0016,0034,0035,0.00000000,"PART,PART_minNumObj,JRip,JRip_checkErrorRate,JRip_usePruning,PART_pruning,PART_doNotMakeSplitPointActualValue,PART_binarySplits,SimpleCart,JRip_optimizations,DecisionTable,SimpleCart_minNumObj,Aggregator,J48,PART_numFolds,J48_useMDLcorrection,DecisionTable_crossVal,SimpleCart_usePrune,PART_useMDLcorrection,JRip_minNo,JRip_folds,J48_binarySplits,SimpleCart_heuristic,DecisionTable_useIBk,PART_confidenceFactorValue,J48_minNumObj,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,DecisionTable_search,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,J48_pruning,BestFirst_direction,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,J48_confidenceFactorValue,BestFirst_searchTermination,GreedyStepwise_searchBackwards,J48_numFolds,J48_subtreeRaising"
1,90,0.52397436,0.67497863,0.73660256,0.65512821,0.78888889,0011,0034,0035,0.00000000,"Aggregator,J48,J48_useMDLcorrection,DecisionTable,PART,PART_binarySplits,JRip,DecisionTable_evaluationMeasure,J48_binarySplits,PART_pruning,J48_minNumObj,SimpleCart,PART_useMDLcorrection,DecisionTable_crossVal,DecisionTable_useIBk,JRip_usePruning,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,JRip_checkErrorRate,J48_pruning,PART_minNumObj,J48_subtreeRaising,DecisionTable_search,J48_useLaplace,PART_confidenceFactorValue,SimpleCart_usePrune,J48_collapseTree,JRip_minNo,SimpleCart_minNumObj,BestFirst_searchTermination,SimpleCart_useOneSE,J48_numFolds,PART_numFolds,GreedyStepwise_searchBackwards,BestFirst_direction,JRip_folds,JRip_optimizations,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,SimpleCart_numFoldsPruning"
2,90,0.49091880,0.66786325,0.73660256,0.65512821,0.78888889,0013,0034,0035,0.00000000,"Aggregator,DecisionTable,SimpleCart,DecisionTable_search,BestFirst_direction,PART,SimpleCart_usePrune,SimpleCart_minNumObj,PART_pruning,PART_confidenceFactorValue,J48,SimpleCart_numFoldsPruning,J48_pruning,J48_useLaplace,GreedyStepwise_searchBackwards,DecisionTable_useIBk,J48_useMDLcorrection,JRip,J48_binarySplits,J48_confidenceFactorValue,PART_useMDLcorrection,J48_numFolds,PART_minNumObj,BestFirst_searchTermination,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue,PART_numFolds,DecisionTable_crossVal,JRip_usePruning,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,SimpleCart_heuristic,PART_binarySplits,JRip_folds,JRip_checkErrorRate,JRip_minNo,J48_minNumObj,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,JRip_optimizations"
3,90,0.51217949,0.66836538,0.73660256,0.65512821,0.78888889,0013,0034,0035,0.00000000,"Aggregator,DecisionTable,DecisionTable_evaluationMeasure,J48,J48_minNumObj,J48_useMDLcorrection,J48_pruning,DecisionTable_useIBk,J48_collapseTree,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,J48_useLaplace,J48_binarySplits,PART,J48_subtreeRaising,PART_minNumObj,DecisionTable_search,SimpleCart,SimpleCart_heuristic,JRip,PART_doNotMakeSplitPointActualValue,BestFirst_searchTermination,PART_pruning,DecisionTable_crossVal,JRip_checkErrorRate,J48_numFolds,BestFirst_direction,PART_binarySplits,SimpleCart_usePrune,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,SimpleCart_minNumObj,JRip_minNo,PART_useMDLcorrection,SimpleCart_useOneSE,JRip_folds,PART_confidenceFactorValue,PART_numFolds,SimpleCart_numFoldsPruning,JRip_optimizations"
4,90,0.57019231,0.67205128,0.73660256,0.65512821,0.78888889,0014,0034,0073,0.58999436,"DecisionTable,SimpleCart,DecisionTable_useIBk,SimpleCart_heuristic,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,DecisionTable_evaluationMeasure,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip,JRip_minNo,PART,PART_minNumObj,JRip_usePruning,SimpleCart_useOneSE,Aggregator,PART_pruning,SimpleCart_minNumObj,JRip_folds,JRip_optimizations,PART_numFolds,PART_binarySplits,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,JRip_checkErrorRate,DecisionTable_crossVal,GreedyStepwise_conservativeForwardSelection,J48,J48_pruning,J48_minNumObj,J48_collapseTree,J48_subtreeRaising,J48_binarySplits,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,J48_useMDLcorrection,J48_numFolds"
5,90,0.52442308,0.67160256,0.73660256,0.65512821,0.78888889,0014,0034,0073,0.58999436,"SimpleCart,DecisionTable,DecisionTable_crossVal,J48,J48_binarySplits,J48_useLaplace,J48_collapseTree,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,J48_minNumObj,SimpleCart_numFoldsPruning,JRip,JRip_checkErrorRate,JRip_usePruning,JRip_folds,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,J48_pruning,SimpleCart_heuristic,J48_numFolds,BestFirst_direction,J48_subtreeRaising,J48_confidenceFactorValue,JRip_minNo,PART,PART_useMDLcorrection,PART_minNumObj,SimpleCart_minNumObj,SimpleCart_useOneSE,Aggregator,PART_binarySplits,PART_pruning,PART_confidenceFactorValue,JRip_optimizations,DecisionTable_useIBk,PART_numFolds,PART_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure"
6,90,0.58869658,0.66732906,0.75252137,0.62051282,0.67222222,0015,0034,0073,0.58999436,"DecisionTable,SimpleCart,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,SimpleCart_heuristic,DecisionTable_evaluationMeasure,DecisionTable_useIBk,SimpleCart_minNumObj,BestFirst_direction,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip,JRip_usePruning,JRip_optimizations,JRip_checkErrorRate,JRip_minNo,JRip_folds,PART,PART_minNumObj,Aggregator,PART_pruning,SimpleCart_useOneSE,PART_numFolds,J48_useLaplace,J48_binarySplits,J48_pruning,J48_confidenceFactorValue,PART_useMDLcorrection,PART_binarySplits,J48_subtreeRaising,J48_numFolds,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48,J48_minNumObj,J48_useMDLcorrection,J48_collapseTree,J48_doNotMakeSplitPointActualValue"
7,90,0.59756410,0.67230769,0.75252137,0.62051282,0.67222222,0013,0034,0068,0.52659074,"DecisionTable,J48,PART,SimpleCart,JRip,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,J48_minNumObj,PART_minNumObj,J48_collapseTree,DecisionTable_crossVal,DecisionTable_search,BestFirst_searchTermination,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,J48_pruning,SimpleCart_minNumObj,GreedyStepwise_conservativeForwardSelection,J48_numFolds,JRip_minNo,J48_useLaplace,JRip_usePruning,JRip_optimizations,JRip_folds,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,PART_useMDLcorrection,J48_subtreeRaising,BestFirst_direction,J48_binarySplits,J48_confidenceFactorValue,JRip_checkErrorRate,SimpleCart_heuristic,PART_binarySplits,Aggregator,J48_useMDLcorrection,PART_pruning,PART_confidenceFactorValue,PART_numFolds,DecisionTable_useIBk"
8,90,0.61512821,0.67987179,0.75252137,0.62051282,0.67222222,0013,0034,0068,0.52659074,"PART,SimpleCart,J48,JRip,DecisionTable,SimpleCart_usePrune,PART_useMDLcorrection,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,JRip_checkErrorRate,J48_useMDLcorrection,J48_useLaplace,JRip_usePruning,JRip_optimizations,SimpleCart_useOneSE,J48_binarySplits,SimpleCart_heuristic,J48_collapseTree,PART_pruning,PART_confidenceFactorValue,PART_numFolds,JRip_folds,DecisionTable_crossVal,JRip_minNo,SimpleCart_numFoldsPruning,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,PART_binarySplits,PART_minNumObj,DecisionTable_search,J48_minNumObj,BestFirst_searchTermination,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,PART_doNotMakeSplitPointActualValue,J48_pruning,J48_numFolds,J48_confidenceFactorValue,Aggregator,J48_subtreeRaising,BestFirst_direction"
9,90,0.56433761,0.67570513,0.75252137,0.62051282,0.67222222,0013,0034,0068,0.52659074,"PART,SimpleCart,SimpleCart_usePrune,J48,JRip,DecisionTable,PART_useMDLcorrection,PART_pruning,J48_binarySplits,PART_minNumObj,DecisionTable_crossVal,J48_collapseTree,JRip_minNo,J48_minNumObj,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,PART_numFolds,SimpleCart_minNumObj,DecisionTable_useIBk,SimpleCart_numFoldsPruning,J48_pruning,PART_doNotMakeSplitPointActualValue,J48_numFolds,J48_useLaplace,PART_confidenceFactorValue,SimpleCart_useOneSE,JRip_checkErrorRate,J48_confidenceFactorValue,PART_binarySplits,Aggregator,SimpleCart_heuristic,DecisionTable_evaluationMeasure,J48_useMDLcorrection,JRip_usePruning,JRip_optimizations,JRip_folds,J48_doNotMakeSplitPointActualValue,J48_subtreeRaising,BestFirst_direction"
