individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,unpruned,null,null,0.45,10,false,true,null,null,true,true,null,true,2,2,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,false,null,null,true,mae,MajorityVotingAggregator,false,false,4,2,9,null,true,null,false,true,6,true,null,0.565
overall,true,reducedErrorPruning,false,true,0.05,null,false,true,null,null,true,false,null,true,null,2,null,confidenceFactor,null,false,false,null,false,true,null,false,false,null,MajorityVotingAggregator,false,true,6,10,null,null,true,2,null,true,10,null,null,0.5683333333333334
gen_000_ind_000,true,confidenceFactor,true,false,null,3,true,true,null,null,true,true,0.35,true,5,9,false,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,4,false,false,auc,MajorityVotingAggregator,false,false,9,10,5,9,false,null,false,false,10,false,0.6507533623217717,null
gen_000_ind_001,true,unpruned,null,null,0.05,10,false,true,0,7,true,true,null,true,10,7,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,CompetenceBasedAggregator,false,false,null,4,2,null,false,null,null,true,9,null,0.6956385883304682,null
gen_000_ind_002,false,unpruned,true,null,null,7,true,true,null,null,true,true,null,true,10,2,true,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,3,false,false,auc,MajorityVotingAggregator,true,false,6,5,5,10,false,null,false,true,8,false,0.6486132740081573,null
gen_000_ind_003,true,confidenceFactor,null,false,null,5,false,true,2,5,true,true,0.45,true,8,5,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,false,null,null,true,mae,MajorityVotingAggregator,false,true,null,4,6,4,true,null,null,false,10,null,0.6122531769305963,null
gen_000_ind_004,false,unpruned,false,null,null,8,false,true,null,null,true,true,null,false,5,null,null,null,true,true,null,weka.attributeSelection.GreedyStepwise,null,true,null,true,null,rmse,MajorityVotingAggregator,true,false,2,9,9,null,true,null,true,true,2,false,0.6517809350456737,null
gen_000_ind_005,true,confidenceFactor,null,true,0.25,null,false,true,null,null,true,false,0.15,true,9,6,null,confidenceFactor,null,true,false,null,true,false,null,null,true,null,MajorityVotingAggregator,true,false,null,10,8,null,true,null,null,false,2,null,0.6716894192200088,null
gen_000_ind_006,true,reducedErrorPruning,true,false,null,1,true,true,null,null,true,true,null,true,5,2,true,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,3,true,false,acc,MajorityVotingAggregator,false,false,2,5,7,4,true,8,true,false,8,false,0.6586685542859069,null
gen_000_ind_007,true,null,true,null,null,9,null,true,2,10,false,true,null,true,null,2,true,unpruned,false,false,true,weka.attributeSelection.BestFirst,false,true,5,false,false,auc,RuleExtractorAggregator,null,null,5,8,null,null,null,null,null,null,null,null,0.6360486399029225,null
gen_000_ind_008,false,unpruned,false,null,null,3,true,true,2,1,true,true,null,true,3,9,null,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,true,true,null,true,true,mae,RuleExtractorAggregator,false,true,7,7,6,6,false,null,null,false,5,null,0.6221866046448917,null
