individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,unpruned,false,null,null,4,true,true,1,9,true,true,null,true,null,5,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,null,true,true,auc,MajorityVotingAggregator,true,true,2,6,null,null,false,null,null,true,2,null,null,0.9942349976125564
overall,false,unpruned,true,null,null,10,true,true,0,6,true,true,null,true,null,2,false,unpruned,true,false,true,weka.attributeSelection.BestFirst,false,true,9,true,true,mae,MajorityVotingAggregator,true,false,2,9,null,null,true,null,null,false,4,null,null,0.9942349976125564
gen_000_ind_000,false,null,true,null,null,3,null,true,0,6,false,true,null,true,2,6,true,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,false,true,4,true,false,mae,MajorityVotingAggregator,null,null,2,7,10,7,null,null,null,null,null,null,0.9891983505558579,null
gen_000_ind_001,true,null,true,null,0.35,1,null,true,1,5,false,true,null,true,null,9,false,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,5,true,false,mae,MajorityVotingAggregator,null,null,9,2,null,null,null,null,null,null,null,null,0.9884343004110612,null
gen_000_ind_002,true,unpruned,true,null,null,1,false,true,0,2,true,true,null,true,8,8,false,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,true,true,5,true,false,rmse,MajorityVotingAggregator,true,true,8,10,7,2,true,null,null,false,7,null,0.9886138428888994,null
gen_000_ind_003,true,confidenceFactor,null,true,0.05,null,true,true,null,null,true,false,0.15,true,null,10,null,confidenceFactor,null,false,true,null,true,false,null,null,false,null,CompetenceBasedAggregator,false,true,null,2,null,null,true,null,null,true,4,null,0.9892692415273189,null
gen_000_ind_004,true,confidenceFactor,true,true,null,3,false,true,2,5,true,true,0.35,true,1,4,false,unpruned,true,true,false,weka.attributeSelection.BestFirst,false,true,5,true,true,auc,RuleExtractorAggregator,false,false,5,6,5,null,true,null,null,false,3,null,0.7647961943331911,null
gen_000_ind_005,true,confidenceFactor,true,true,0.45,2,false,true,null,null,true,true,0.45,true,null,4,true,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,4,false,false,acc,RuleExtractorAggregator,false,true,4,7,null,null,true,null,false,false,4,true,0.8121396971166724,null
gen_000_ind_006,true,reducedErrorPruning,true,false,null,6,true,true,2,6,true,true,null,true,null,7,true,unpruned,false,false,false,weka.attributeSelection.BestFirst,false,true,3,true,true,acc,RuleExtractorAggregator,false,true,4,6,null,null,true,9,null,true,2,null,0.762949809719195,null
gen_000_ind_007,false,confidenceFactor,true,true,null,5,false,true,1,5,true,true,0.45,true,null,8,false,unpruned,true,false,true,weka.attributeSelection.BestFirst,false,true,4,false,false,acc,RuleExtractorAggregator,true,true,7,7,null,null,true,null,null,true,9,null,0.8493865714257378,null
gen_000_ind_008,false,confidenceFactor,true,true,0.35,null,true,true,null,null,true,false,0.45,true,null,2,false,confidenceFactor,null,false,false,null,false,true,4,true,false,null,RuleExtractorAggregator,false,false,10,3,null,null,false,null,null,true,7,null,0.8530693806449084,null
gen_000_ind_009,true,unpruned,true,null,0.45,1,false,true,null,null,true,true,null,true,5,8,false,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,10,true,false,acc,CompetenceBasedAggregator,true,true,7,3,3,null,false,null,false,false,7,true,0.9900752551250124,null
gen_000_ind_010,true,unpruned,false,null,null,null,true,true,null,null,true,false,null,true,null,2,null,unpruned,null,false,true,null,false,true,null,true,true,null,CompetenceBasedAggregator,false,false,8,5,null,null,false,null,null,true,6,null,0.9954806905700779,null
gen_000_ind_011,false,confidenceFactor,true,false,null,1,true,true,2,2,true,true,0.05,true,null,3,true,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,true,true,6,false,false,mae,CompetenceBasedAggregator,true,false,7,2,null,7,false,null,null,false,10,null,0.9895456420479268,null
gen_000_ind_012,true,confidenceFactor,true,false,null,9,false,true,0,9,true,true,0.35,false,7,null,true,null,true,true,null,weka.attributeSelection.BestFirst,null,true,2,false,null,mae,CompetenceBasedAggregator,false,true,2,3,7,null,true,null,null,true,8,null,0.9848700735877154,null
gen_000_ind_013,true,confidenceFactor,null,false,null,6,true,true,1,6,true,true,0.15,true,null,8,null,unpruned,false,false,false,weka.attributeSelection.BestFirst,true,false,null,null,false,rmse,CompetenceBasedAggregator,true,true,null,10,null,null,true,null,null,false,7,null,0.9874215907667608,null
gen_000_ind_014,null,confidenceFactor,true,false,null,null,false,false,null,null,true,false,0.25,true,null,4,true,reducedErrorPruning,null,null,true,null,false,true,3,false,true,null,MajorityVotingAggregator,true,false,6,null,null,5,true,null,null,true,7,null,0.9888924734558803,null
