gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.76294981,0.98882488,0.99548069,0.99606468,0.99981649,0055,0034,0035,0.00000000,"Aggregator,J48,J48_useMDLcorrection,DecisionTable,J48_minNumObj,J48_collapseTree,DecisionTable_search,PART,PART_binarySplits,JRip,SimpleCart,DecisionTable_crossVal,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,J48_pruning,SimpleCart_minNumObj,J48_useLaplace,PART_minNumObj,JRip_minNo,PART_pruning,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,J48_binarySplits,SimpleCart_heuristic,DecisionTable_useIBk,DecisionTable_evaluationMeasure,BestFirst_searchTermination,SimpleCart_usePrune,J48_numFolds,BestFirst_direction,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,JRip_usePruning,J48_subtreeRaising,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,PART_numFolds,JRip_optimizations,JRip_folds"
1,90,0.75733063,0.99053900,0.99557922,0.99565236,0.99884230,0035,0034,0035,0.00000000,"J48,J48_useMDLcorrection,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_binarySplits,PART,Aggregator,PART_pruning,J48_collapseTree,DecisionTable,PART_binarySplits,J48_useLaplace,JRip,J48_pruning,SimpleCart,DecisionTable_useIBk,DecisionTable_search,JRip_minNo,SimpleCart_usePrune,PART_useMDLcorrection,DecisionTable_evaluationMeasure,JRip_checkErrorRate,SimpleCart_useOneSE,PART_doNotMakeSplitPointActualValue,PART_minNumObj,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,J48_confidenceFactorValue,J48_numFolds,J48_subtreeRaising,PART_numFolds,DecisionTable_crossVal,SimpleCart_heuristic,SimpleCart_minNumObj,JRip_usePruning,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,BestFirst_direction,JRip_folds,BestFirst_searchTermination,JRip_optimizations"
2,90,0.72976612,0.99144407,0.99557922,0.99565236,0.99884230,0031,0034,0035,0.00000000,"SimpleCart,PART,SimpleCart_usePrune,PART_useMDLcorrection,DecisionTable,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,JRip,PART_minNumObj,SimpleCart_minNumObj,DecisionTable_useIBk,JRip_minNo,DecisionTable_evaluationMeasure,DecisionTable_search,PART_pruning,PART_binarySplits,Aggregator,PART_confidenceFactorValue,J48,JRip_checkErrorRate,PART_numFolds,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,GreedyStepwise_searchBackwards,J48_pruning,JRip_usePruning,BestFirst_direction,J48_binarySplits,BestFirst_searchTermination,J48_collapseTree,J48_useLaplace,JRip_optimizations,J48_numFolds,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_subtreeRaising,J48_minNumObj,JRip_folds,J48_confidenceFactorValue"
3,90,0.75089272,0.98999782,0.99570685,0.99523736,0.99894580,0035,0034,0035,0.00000000,"PART,JRip,JRip_usePruning,PART_useMDLcorrection,Aggregator,PART_minNumObj,JRip_minNo,DecisionTable,PART_pruning,JRip_folds,PART_confidenceFactorValue,DecisionTable_crossVal,PART_binarySplits,JRip_checkErrorRate,J48,SimpleCart,PART_doNotMakeSplitPointActualValue,J48_useMDLcorrection,DecisionTable_search,BestFirst_searchTermination,JRip_optimizations,SimpleCart_minNumObj,DecisionTable_useIBk,J48_minNumObj,J48_doNotMakeSplitPointActualValue,PART_numFolds,DecisionTable_evaluationMeasure,SimpleCart_usePrune,SimpleCart_numFoldsPruning,J48_collapseTree,BestFirst_direction,J48_useLaplace,SimpleCart_heuristic,J48_pruning,GreedyStepwise_conservativeForwardSelection,J48_binarySplits,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,J48_confidenceFactorValue,J48_subtreeRaising,J48_numFolds"
4,90,0.73282649,0.99089146,0.99616545,0.99808212,0.99995090,0038,0115,0073,0.49617298,"J48,SimpleCart,JRip,J48_minNumObj,SimpleCart_minNumObj,J48_useMDLcorrection,J48_confidenceFactorValue,PART_minNumObj,JRip_usePruning,J48_useLaplace,J48_subtreeRaising,DecisionTable_search,PART_pruning,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,JRip_checkErrorRate,BestFirst_searchTermination,PART,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,BestFirst_direction,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,JRip_minNo,JRip_folds,SimpleCart_usePrune,J48_pruning,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_collapseTree,JRip_optimizations,PART_numFolds,J48_binarySplits,PART_binarySplits,Aggregator,SimpleCart_numFoldsPruning,DecisionTable,DecisionTable_crossVal,DecisionTable_evaluationMeasure,DecisionTable_useIBk"
5,90,0.79475732,0.99239739,0.99616545,0.99808212,0.99995090,0039,0034,0073,0.49617298,"SimpleCart,J48,JRip,J48_pruning,J48_useMDLcorrection,JRip_checkErrorRate,J48_minNumObj,J48_confidenceFactorValue,SimpleCart_minNumObj,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_numFolds,J48_useLaplace,JRip_usePruning,JRip_folds,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,DecisionTable,DecisionTable_crossVal,JRip_optimizations,J48_binarySplits,Aggregator,DecisionTable_evaluationMeasure,DecisionTable_useIBk,J48_subtreeRaising,JRip_minNo,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,PART,PART_minNumObj,GreedyStepwise_searchBackwards,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_binarySplits,PART_numFolds,PART_confidenceFactorValue,BestFirst_direction,PART_useMDLcorrection"
6,90,0.74707078,0.99250706,0.99642489,0.99616733,0.99949755,0039,0034,0073,0.49617298,"JRip,J48,SimpleCart,J48_useMDLcorrection,J48_collapseTree,J48_binarySplits,SimpleCart_heuristic,J48_useLaplace,SimpleCart_usePrune,SimpleCart_useOneSE,JRip_usePruning,JRip_folds,J48_pruning,J48_subtreeRaising,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,DecisionTable,DecisionTable_useIBk,J48_minNumObj,SimpleCart_minNumObj,BestFirst_searchTermination,PART,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,PART_minNumObj,DecisionTable_search,PART_pruning,PART_confidenceFactorValue,BestFirst_direction,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_binarySplits,PART_numFolds,JRip_optimizations,JRip_minNo,DecisionTable_crossVal,DecisionTable_evaluationMeasure,Aggregator,J48_numFolds,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards"
7,90,0.77382613,0.99118203,0.99642489,0.99616733,0.99949755,0037,0095,0060,0.50604250,"DecisionTable,PART,JRip,SimpleCart,SimpleCart_minNumObj,JRip_folds,J48_subtreeRaising,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,GreedyStepwise_conservativeForwardSelection,J48_pruning,J48_numFolds,J48_confidenceFactorValue,PART_numFolds,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,JRip_checkErrorRate,PART_useMDLcorrection,SimpleCart_heuristic,JRip_usePruning,JRip_optimizations,PART_minNumObj,SimpleCart_usePrune,PART_pruning,PART_binarySplits,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,DecisionTable_evaluationMeasure,DecisionTable_search,BestFirst_searchTermination,DecisionTable_useIBk,J48,JRip_minNo,J48_useLaplace,J48_binarySplits,J48_minNumObj,Aggregator,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,BestFirst_direction"
8,90,0.72848491,0.99206366,0.99642489,0.99616733,0.99949755,0043,0034,0060,0.50604250,"PART,SimpleCart,SimpleCart_minNumObj,DecisionTable,JRip,PART_doNotMakeSplitPointActualValue,PART_binarySplits,DecisionTable_useIBk,DecisionTable_evaluationMeasure,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,DecisionTable_crossVal,PART_minNumObj,PART_pruning,PART_numFolds,PART_confidenceFactorValue,JRip_usePruning,SimpleCart_heuristic,JRip_folds,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,PART_useMDLcorrection,JRip_checkErrorRate,BestFirst_searchTermination,JRip_minNo,J48,J48_useMDLcorrection,J48_binarySplits,J48_minNumObj,J48_useLaplace,J48_pruning,J48_subtreeRaising,J48_numFolds,J48_confidenceFactorValue,JRip_optimizations,Aggregator,J48_doNotMakeSplitPointActualValue,J48_collapseTree"
9,90,0.80363189,0.99248318,0.99642489,0.99616733,0.99949755,0045,0034,0060,0.50604250,"JRip,PART,SimpleCart,DecisionTable,SimpleCart_minNumObj,SimpleCart_heuristic,JRip_usePruning,JRip_folds,JRip_optimizations,PART_minNumObj,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,JRip_checkErrorRate,PART_useMDLcorrection,DecisionTable_useIBk,DecisionTable_evaluationMeasure,PART_doNotMakeSplitPointActualValue,PART_binarySplits,PART_pruning,PART_numFolds,PART_confidenceFactorValue,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,JRip_minNo,DecisionTable_crossVal,J48,J48_pruning,J48_useMDLcorrection,J48_subtreeRaising,J48_minNumObj,J48_useLaplace,J48_numFolds,J48_binarySplits,J48_confidenceFactorValue,Aggregator,J48_collapseTree,J48_doNotMakeSplitPointActualValue"
