individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,confidenceFactor,false,true,null,null,false,true,null,null,true,false,0.05,true,null,6,null,unpruned,null,false,false,null,true,true,null,true,true,null,CompetenceBasedAggregator,true,false,2,7,null,null,false,null,null,true,7,null,null,0.9899025478454855
overall,false,confidenceFactor,false,true,null,5,false,true,null,null,true,true,0.35,true,null,3,null,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,mae,MajorityVotingAggregator,true,true,2,6,null,null,false,null,true,false,7,false,null,0.9899025478454855
gen_000_ind_000,null,confidenceFactor,true,false,null,6,false,false,2,2,true,true,0.15,true,null,4,true,reducedErrorPruning,false,null,true,weka.attributeSelection.BestFirst,false,true,6,true,true,auc,CompetenceBasedAggregator,false,true,10,null,null,5,false,null,null,false,7,null,0.9959947598253274,null
gen_000_ind_001,false,unpruned,null,null,0.15,2,true,true,null,null,true,true,null,true,2,5,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,true,false,null,null,true,auc,RuleExtractorAggregator,false,false,null,5,9,null,true,null,false,true,5,false,0.9578655021834059,null
gen_000_ind_002,false,confidenceFactor,true,false,0.25,2,false,true,null,null,true,true,0.35,true,null,9,false,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,5,true,false,auc,CompetenceBasedAggregator,false,false,10,7,null,null,false,null,false,false,5,false,0.9989694323144105,null
gen_000_ind_003,true,confidenceFactor,true,false,0.35,9,false,true,null,null,true,true,0.05,true,8,8,true,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,5,true,true,auc,RuleExtractorAggregator,false,true,4,4,4,null,false,null,false,false,4,true,0.9709240174672489,null
gen_000_ind_004,false,reducedErrorPruning,true,true,0.05,4,false,true,1,9,true,true,null,true,null,6,false,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,9,true,false,rmse,RuleExtractorAggregator,true,false,6,5,null,null,false,2,null,true,9,null,0.9585956331877729,null
gen_000_ind_005,false,confidenceFactor,true,true,null,7,false,true,1,6,true,true,0.45,true,null,5,true,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,false,true,6,true,false,acc,CompetenceBasedAggregator,true,false,10,2,null,3,false,null,null,false,5,null,0.9978794759825327,null
gen_000_ind_006,true,unpruned,true,null,0.45,null,true,true,null,null,true,false,null,true,null,8,false,confidenceFactor,null,false,false,null,false,true,8,false,true,null,RuleExtractorAggregator,false,true,2,5,null,null,true,null,null,false,2,null,0.9684681222707423,null
gen_000_ind_007,null,unpruned,false,null,null,3,false,false,null,null,true,true,null,true,null,2,null,reducedErrorPruning,true,null,false,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,mae,RuleExtractorAggregator,false,true,10,null,null,6,true,null,false,false,5,false,0.8948541484716156,null
