individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,reducedErrorPruning,true,true,null,3,true,true,1,8,true,true,null,true,4,8,false,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,8,true,false,mae,CompetenceBasedAggregator,false,false,7,9,3,null,true,10,null,false,10,null,null,0.6681374182524961
overall,null,reducedErrorPruning,false,true,null,9,true,false,null,null,true,true,null,true,null,2,null,reducedErrorPruning,false,null,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,false,mae,MajorityVotingAggregator,false,true,6,null,null,6,false,4,true,true,10,true,null,0.6802307106711434
gen_000_ind_000,true,confidenceFactor,true,true,null,2,true,true,2,5,true,true,0.05,true,9,9,false,reducedErrorPruning,false,true,false,weka.attributeSelection.BestFirst,false,true,10,false,true,mae,MajorityVotingAggregator,true,false,10,10,3,4,true,null,null,false,2,null,0.752807844932845,null
gen_000_ind_001,true,confidenceFactor,true,true,0.25,1,false,true,0,4,true,true,0.15,true,7,3,false,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,true,4,true,false,auc,RuleExtractorAggregator,false,false,7,2,7,null,false,null,null,true,2,null,0.7081814713064714,null
gen_000_ind_002,true,unpruned,false,null,0.15,6,true,true,0,2,true,true,null,true,null,6,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,true,null,false,true,auc,RuleExtractorAggregator,false,true,9,4,null,null,false,null,null,false,5,null,0.6121720085470086,null
gen_000_ind_003,true,null,false,null,null,5,null,true,1,5,false,true,null,false,2,null,null,null,true,true,null,weka.attributeSelection.BestFirst,null,true,null,true,null,acc,RuleExtractorAggregator,null,null,9,2,3,null,null,null,null,null,null,null,0.6142722832722832,null
gen_000_ind_004,true,unpruned,false,null,0.45,1,false,true,2,1,true,true,null,true,6,10,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,CompetenceBasedAggregator,false,true,2,7,3,null,false,null,null,true,2,null,0.7706211843711844,null
gen_000_ind_005,true,null,false,null,null,null,null,true,null,null,false,false,null,true,7,7,null,reducedErrorPruning,null,true,false,null,true,true,null,true,false,null,MajorityVotingAggregator,null,null,8,8,2,9,null,null,null,null,null,null,0.7158716422466422,null
gen_000_ind_006,false,null,false,null,0.25,2,null,true,null,null,false,true,null,true,null,2,null,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,false,mae,MajorityVotingAggregator,null,null,8,9,null,null,null,null,true,null,null,false,0.7333757631257631,null
gen_000_ind_007,true,confidenceFactor,true,true,0.25,null,true,true,null,null,true,false,0.15,true,2,8,false,confidenceFactor,null,true,false,null,false,true,6,false,false,null,RuleExtractorAggregator,true,false,8,8,6,null,true,null,null,true,4,null,0.6119343711843712,null
gen_000_ind_008,null,confidenceFactor,true,true,0.25,3,false,false,null,null,true,true,0.05,true,null,6,true,confidenceFactor,false,null,false,weka.attributeSelection.GreedyStepwise,true,true,5,false,true,auc,RuleExtractorAggregator,false,false,2,null,null,null,true,null,false,true,6,false,0.653292735042735,null
gen_000_ind_009,true,reducedErrorPruning,true,false,null,8,false,true,null,null,true,true,null,true,3,4,true,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,6,true,false,acc,RuleExtractorAggregator,false,true,2,5,3,null,true,4,false,false,7,false,0.5771558302808304,null
gen_000_ind_010,false,confidenceFactor,true,true,null,3,false,true,1,1,true,true,0.25,true,null,10,false,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,false,true,5,false,false,auc,MajorityVotingAggregator,false,false,5,2,null,6,false,null,null,false,2,null,0.7489790903540904,null
gen_000_ind_011,true,unpruned,true,null,0.05,1,true,true,null,null,true,true,null,true,9,10,true,confidenceFactor,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,7,true,true,mae,RuleExtractorAggregator,false,true,10,2,2,null,false,null,false,false,7,false,0.6549726800976801,null
