gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.56014377,0.73340652,0.77741835,0.77972753,0.74041554,0026,0034,0035,0.00000000,"J48,Aggregator,JRip,J48_minNumObj,SimpleCart,J48_pruning,JRip_minNo,SimpleCart_minNumObj,DecisionTable,DecisionTable_evaluationMeasure,J48_collapseTree,PART,SimpleCart_heuristic,DecisionTable_useIBk,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,JRip_usePruning,J48_useLaplace,SimpleCart_useOneSE,PART_minNumObj,PART_binarySplits,PART_useMDLcorrection,J48_binarySplits,DecisionTable_crossVal,SimpleCart_numFoldsPruning,JRip_checkErrorRate,J48_subtreeRaising,J48_numFolds,J48_confidenceFactorValue,JRip_optimizations,JRip_folds,DecisionTable_search,PART_pruning,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,PART_numFolds"
1,90,0.57976175,0.73640720,0.78699954,0.82702967,0.69735182,0011,0034,0035,0.00000000,"SimpleCart,PART,PART_useMDLcorrection,Aggregator,PART_minNumObj,J48,J48_minNumObj,J48_useLaplace,J48_binarySplits,JRip,DecisionTable,SimpleCart_heuristic,SimpleCart_minNumObj,JRip_checkErrorRate,J48_pruning,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,PART_binarySplits,J48_collapseTree,SimpleCart_usePrune,JRip_minNo,PART_pruning,SimpleCart_numFoldsPruning,DecisionTable_useIBk,J48_subtreeRaising,J48_useMDLcorrection,J48_numFolds,PART_numFolds,DecisionTable_crossVal,JRip_usePruning,DecisionTable_search,JRip_folds,DecisionTable_evaluationMeasure,SimpleCart_useOneSE,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,BestFirst_direction,PART_confidenceFactorValue,BestFirst_searchTermination,JRip_optimizations,GreedyStepwise_conservativeForwardSelection"
2,90,0.58595818,0.73992857,0.79116682,0.81367285,0.81135246,0010,0034,0035,0.00000000,"DecisionTable,Aggregator,DecisionTable_search,SimpleCart,BestFirst_direction,J48,SimpleCart_heuristic,J48_useMDLcorrection,J48_minNumObj,J48_pruning,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,J48_numFolds,PART,JRip,PART_pruning,DecisionTable_crossVal,SimpleCart_usePrune,PART_minNumObj,J48_collapseTree,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,J48_subtreeRaising,J48_binarySplits,GreedyStepwise_searchBackwards,PART_useMDLcorrection,SimpleCart_useOneSE,JRip_minNo,BestFirst_searchTermination,J48_useLaplace,SimpleCart_numFoldsPruning,JRip_checkErrorRate,PART_binarySplits,JRip_usePruning,PART_doNotMakeSplitPointActualValue,JRip_folds,PART_confidenceFactorValue,PART_numFolds,JRip_optimizations"
3,90,0.59659112,0.74844864,0.79116682,0.81367285,0.81135246,0011,0034,0035,0.00000000,"J48,JRip,J48_collapseTree,J48_useMDLcorrection,JRip_minNo,SimpleCart,J48_doNotMakeSplitPointActualValue,J48_pruning,DecisionTable,SimpleCart_usePrune,PART,J48_binarySplits,PART_doNotMakeSplitPointActualValue,PART_binarySplits,Aggregator,JRip_checkErrorRate,SimpleCart_minNumObj,J48_minNumObj,DecisionTable_useIBk,JRip_usePruning,JRip_folds,J48_useLaplace,PART_useMDLcorrection,DecisionTable_evaluationMeasure,DecisionTable_crossVal,SimpleCart_heuristic,J48_subtreeRaising,DecisionTable_search,J48_numFolds,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,PART_pruning,BestFirst_direction,SimpleCart_useOneSE,PART_minNumObj,JRip_optimizations,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,PART_numFolds,BestFirst_searchTermination"
4,90,0.57381853,0.74934875,0.79116682,0.81367285,0.81135246,0012,0034,0072,0.59881261,"SimpleCart,PART,DecisionTable,J48,PART_useMDLcorrection,PART_minNumObj,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,SimpleCart_usePrune,J48_minNumObj,J48_pruning,PART_binarySplits,SimpleCart_numFoldsPruning,J48_numFolds,DecisionTable_evaluationMeasure,DecisionTable_search,J48_binarySplits,DecisionTable_useIBk,JRip,Aggregator,J48_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,J48_collapseTree,SimpleCart_heuristic,JRip_usePruning,J48_useMDLcorrection,BestFirst_searchTermination,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,JRip_minNo,JRip_checkErrorRate,JRip_optimizations,J48_subtreeRaising,BestFirst_direction,J48_useLaplace,SimpleCart_minNumObj,PART_pruning,JRip_folds,PART_numFolds,PART_confidenceFactorValue"
5,90,0.56462973,0.74677244,0.79116682,0.81367285,0.81135246,0013,0034,0072,0.59881261,"J48,PART,SimpleCart,DecisionTable,PART_useMDLcorrection,DecisionTable_evaluationMeasure,J48_binarySplits,J48_minNumObj,PART_binarySplits,J48_pruning,J48_confidenceFactorValue,J48_useMDLcorrection,PART_minNumObj,SimpleCart_usePrune,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_numFolds,DecisionTable_useIBk,DecisionTable_search,JRip,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,J48_collapseTree,JRip_checkErrorRate,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,JRip_usePruning,Aggregator,JRip_optimizations,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,BestFirst_direction,JRip_minNo,BestFirst_searchTermination,J48_subtreeRaising,J48_useLaplace,PART_pruning,SimpleCart_minNumObj,PART_numFolds,JRip_folds,PART_confidenceFactorValue"
6,90,0.55275092,0.75238576,0.79116682,0.81367285,0.81135246,0013,0034,0072,0.59881261,"DecisionTable,J48,SimpleCart,PART,SimpleCart_heuristic,PART_useMDLcorrection,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,PART_pruning,SimpleCart_minNumObj,PART_confidenceFactorValue,DecisionTable_search,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_searchBackwards,J48_binarySplits,J48_minNumObj,J48_pruning,PART_binarySplits,J48_subtreeRaising,J48_useLaplace,J48_confidenceFactorValue,J48_numFolds,DecisionTable_useIBk,J48_useMDLcorrection,JRip,JRip_minNo,Aggregator,JRip_checkErrorRate,JRip_usePruning,JRip_folds,JRip_optimizations,PART_minNumObj,DecisionTable_crossVal,PART_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,PART_numFolds,J48_collapseTree"
7,90,0.51141026,0.74404983,0.79116682,0.81367285,0.81135246,0011,0034,0058,0.48964736,"SimpleCart,J48,SimpleCart_usePrune,J48_useLaplace,JRip,PART,DecisionTable,J48_collapseTree,PART_binarySplits,PART_useMDLcorrection,PART_pruning,PART_numFolds,PART_confidenceFactorValue,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,J48_doNotMakeSplitPointActualValue,J48_minNumObj,J48_binarySplits,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,JRip_usePruning,SimpleCart_heuristic,JRip_folds,PART_minNumObj,JRip_minNo,DecisionTable_evaluationMeasure,J48_pruning,J48_numFolds,J48_subtreeRaising,JRip_checkErrorRate,JRip_optimizations,J48_confidenceFactorValue,DecisionTable_crossVal,BestFirst_searchTermination,DecisionTable_useIBk,SimpleCart_useOneSE,BestFirst_direction,Aggregator,SimpleCart_minNumObj,J48_useMDLcorrection"
8,90,0.58213233,0.75017918,0.79116682,0.81367285,0.81135246,0011,0034,0058,0.48964736,"J48,DecisionTable,J48_useLaplace,JRip,SimpleCart,PART,PART_pruning,J48_collapseTree,PART_numFolds,PART_useMDLcorrection,SimpleCart_usePrune,PART_confidenceFactorValue,PART_binarySplits,JRip_checkErrorRate,DecisionTable_crossVal,J48_pruning,J48_minNumObj,SimpleCart_useOneSE,J48_numFolds,J48_confidenceFactorValue,J48_subtreeRaising,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,DecisionTable_evaluationMeasure,PART_minNumObj,JRip_minNo,JRip_folds,BestFirst_direction,JRip_optimizations,BestFirst_searchTermination,Aggregator,J48_useMDLcorrection,SimpleCart_minNumObj,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,J48_binarySplits,SimpleCart_heuristic,PART_doNotMakeSplitPointActualValue,JRip_usePruning,DecisionTable_search"
9,90,0.57316728,0.74925008,0.79116682,0.81367285,0.81135246,0012,0034,0058,0.48964736,"SimpleCart,J48,DecisionTable,PART,PART_pruning,JRip,J48_collapseTree,SimpleCart_usePrune,PART_confidenceFactorValue,J48_useLaplace,PART_numFolds,PART_binarySplits,PART_useMDLcorrection,SimpleCart_numFoldsPruning,J48_minNumObj,DecisionTable_crossVal,SimpleCart_useOneSE,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,SimpleCart_heuristic,J48_pruning,JRip_checkErrorRate,J48_confidenceFactorValue,J48_subtreeRaising,J48_numFolds,DecisionTable_useIBk,PART_doNotMakeSplitPointActualValue,PART_minNumObj,JRip_minNo,DecisionTable_evaluationMeasure,DecisionTable_search,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,Aggregator,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,JRip_usePruning,J48_binarySplits,JRip_folds,JRip_optimizations"
