individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,confidenceFactor,true,false,null,8,true,true,1,8,true,true,0.05,true,1,6,true,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,false,true,2,false,true,auc,CompetenceBasedAggregator,true,false,4,3,4,9,false,null,null,true,8,null,null,0.6803449217273299
overall,false,reducedErrorPruning,true,true,0.15,3,false,true,1,7,true,true,null,true,9,6,false,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,true,true,2,true,false,auc,MajorityVotingAggregator,false,true,9,9,2,null,false,3,null,false,2,null,null,0.6803449217273299
gen_000_ind_000,true,confidenceFactor,false,false,null,9,false,true,null,null,true,true,0.05,true,1,4,null,reducedErrorPruning,false,true,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,true,acc,RuleExtractorAggregator,false,true,8,3,3,9,false,null,true,false,8,false,0.6566491746500972,null
gen_000_ind_001,false,null,false,null,0.25,4,null,true,null,null,false,true,null,true,null,2,null,confidenceFactor,false,false,false,weka.attributeSelection.GreedyStepwise,false,true,null,true,false,acc,MajorityVotingAggregator,null,null,9,9,null,null,null,null,false,null,null,false,0.7116896704308753,null
gen_000_ind_002,true,null,true,null,null,10,null,true,null,null,false,true,null,true,2,2,true,unpruned,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,2,true,true,acc,RuleExtractorAggregator,null,null,6,10,8,null,null,null,false,null,null,true,0.606350537999045,null
gen_000_ind_003,true,confidenceFactor,true,false,null,1,true,true,null,null,true,true,0.15,true,null,8,false,unpruned,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,3,true,false,auc,CompetenceBasedAggregator,false,false,7,10,null,null,true,null,true,false,7,false,0.7180398102002072,null
gen_000_ind_004,true,reducedErrorPruning,true,true,null,3,false,true,0,8,true,true,null,true,7,10,true,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,false,true,8,false,true,auc,RuleExtractorAggregator,false,true,2,2,9,9,false,4,null,true,2,null,0.670247038820049,null
gen_000_ind_005,false,unpruned,true,null,0.15,2,true,true,1,10,true,true,null,true,null,9,true,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,2,true,true,acc,CompetenceBasedAggregator,true,true,6,2,null,null,true,null,null,true,9,null,0.714629630277076,null
gen_000_ind_006,false,confidenceFactor,true,true,0.15,7,true,true,null,null,true,true,0.15,true,4,4,false,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,8,true,true,auc,MajorityVotingAggregator,true,true,8,7,6,null,true,null,false,false,5,false,0.7112759078961107,null
gen_000_ind_007,true,confidenceFactor,false,true,null,6,true,true,null,null,true,true,0.05,true,null,4,null,unpruned,false,false,true,weka.attributeSelection.GreedyStepwise,true,true,null,false,false,acc,RuleExtractorAggregator,false,true,6,8,null,null,false,null,true,false,4,false,0.5993325924736901,null
