gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.77734554,0.90839054,0.92486651,0.92147676,0.93633277,0046,0034,0035,0.00000000,"SimpleCart,JRip,J48,JRip_checkErrorRate,SimpleCart_usePrune,Aggregator,PART,DecisionTable,JRip_minNo,J48_useLaplace,J48_binarySplits,J48_pruning,J48_minNumObj,J48_numFolds,SimpleCart_heuristic,PART_useMDLcorrection,J48_subtreeRaising,SimpleCart_useOneSE,SimpleCart_minNumObj,DecisionTable_search,J48_useMDLcorrection,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,PART_minNumObj,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,JRip_usePruning,JRip_folds,J48_collapseTree,DecisionTable_crossVal,DecisionTable_useIBk,PART_pruning,GreedyStepwise_searchBackwards,PART_binarySplits,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,BestFirst_direction,PART_numFolds,J48_confidenceFactorValue,PART_confidenceFactorValue,JRip_optimizations"
1,90,0.78665141,0.90785660,0.92486651,0.92147676,0.93633277,0036,0034,0035,0.00000000,"J48,J48_collapseTree,Aggregator,PART,J48_pruning,JRip,J48_binarySplits,J48_useMDLcorrection,SimpleCart,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,DecisionTable,J48_numFolds,DecisionTable_crossVal,PART_pruning,J48_minNumObj,JRip_usePruning,SimpleCart_minNumObj,JRip_checkErrorRate,SimpleCart_usePrune,J48_useLaplace,J48_confidenceFactorValue,SimpleCart_heuristic,JRip_optimizations,J48_subtreeRaising,PART_useMDLcorrection,PART_binarySplits,DecisionTable_evaluationMeasure,JRip_folds,JRip_minNo,PART_minNumObj,PART_confidenceFactorValue,PART_numFolds,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,BestFirst_searchTermination"
2,90,0.83848207,0.91117468,0.92520976,0.91323088,0.97368421,0044,0034,0035,0.00000000,"PART,JRip,PART_minNumObj,JRip_checkErrorRate,JRip_usePruning,PART_pruning,PART_numFolds,PART_confidenceFactorValue,J48,JRip_optimizations,J48_collapseTree,SimpleCart,DecisionTable,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,J48_binarySplits,J48_pruning,J48_subtreeRaising,PART_binarySplits,J48_confidenceFactorValue,Aggregator,JRip_minNo,DecisionTable_useIBk,SimpleCart_heuristic,SimpleCart_minNumObj,J48_minNumObj,JRip_folds,J48_doNotMakeSplitPointActualValue,J48_useLaplace,DecisionTable_crossVal,J48_useMDLcorrection,SimpleCart_usePrune,J48_numFolds,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,GreedyStepwise_searchBackwards,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,BestFirst_searchTermination"
3,90,0.79736842,0.91247140,0.92528604,0.91772864,0.91808149,0042,0034,0035,0.00000000,"PART,JRip,DecisionTable,PART_minNumObj,DecisionTable_crossVal,PART_pruning,PART_confidenceFactorValue,J48,Aggregator,PART_binarySplits,PART_useMDLcorrection,JRip_usePruning,SimpleCart,JRip_optimizations,J48_binarySplits,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,DecisionTable_useIBk,JRip_checkErrorRate,DecisionTable_evaluationMeasure,J48_minNumObj,J48_useLaplace,JRip_minNo,J48_useMDLcorrection,DecisionTable_search,SimpleCart_heuristic,PART_numFolds,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_pruning,GreedyStepwise_searchBackwards,J48_numFolds,JRip_folds,SimpleCart_usePrune,BestFirst_direction,BestFirst_searchTermination,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE"
4,90,0.82906178,0.90953471,0.92757437,0.91135682,0.93208829,0043,0034,0075,0.48974235,"DecisionTable,DecisionTable_useIBk,DecisionTable_search,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,BestFirst_searchTermination,J48,J48_doNotMakeSplitPointActualValue,J48_useLaplace,J48_pruning,J48_collapseTree,J48_minNumObj,J48_numFolds,J48_subtreeRaising,J48_confidenceFactorValue,Aggregator,JRip,JRip_checkErrorRate,JRip_minNo,JRip_usePruning,JRip_folds,JRip_optimizations,PART,J48_binarySplits,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_numFolds,PART_binarySplits,PART_minNumObj,GreedyStepwise_searchBackwards,PART_confidenceFactorValue,SimpleCart,SimpleCart_heuristic,SimpleCart_usePrune,SimpleCart_minNumObj,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_useMDLcorrection,DecisionTable_evaluationMeasure"
5,90,0.78733791,0.91095538,0.92787948,0.93515742,0.95925297,0041,0034,0075,0.48974235,"DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,GreedyStepwise_searchBackwards,BestFirst_searchTermination,DecisionTable_crossVal,J48,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_pruning,PART_useMDLcorrection,PART_minNumObj,J48_minNumObj,SimpleCart_heuristic,J48_confidenceFactorValue,JRip,JRip_minNo,Aggregator,J48_collapseTree,JRip_checkErrorRate,J48_subtreeRaising,JRip_usePruning,JRip_optimizations,JRip_folds,PART,PART_doNotMakeSplitPointActualValue,PART_binarySplits,PART_pruning,J48_binarySplits,PART_numFolds,SimpleCart,PART_confidenceFactorValue,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_numFoldsPruning,J48_useMDLcorrection,SimpleCart_useOneSE,J48_numFolds"
6,90,0.82738368,0.91180397,0.92791762,0.91979010,0.94736842,0044,0034,0075,0.48974235,"DecisionTable,DecisionTable_crossVal,DecisionTable_search,BestFirst_searchTermination,J48,J48_useLaplace,J48_pruning,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,SimpleCart_heuristic,J48_confidenceFactorValue,J48_collapseTree,Aggregator,JRip,JRip_checkErrorRate,JRip_minNo,J48_subtreeRaising,JRip_usePruning,JRip_optimizations,JRip_folds,J48_binarySplits,PART,PART_binarySplits,PART_useMDLcorrection,PART_pruning,GreedyStepwise_searchBackwards,PART_numFolds,SimpleCart,SimpleCart_minNumObj,PART_confidenceFactorValue,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,DecisionTable_evaluationMeasure,J48_useMDLcorrection,J48_numFolds,DecisionTable_useIBk,BestFirst_direction,PART_minNumObj,J48_minNumObj,GreedyStepwise_conservativeForwardSelection"
7,90,0.76372998,0.91418764,0.92791762,0.91979010,0.94736842,0042,0034,0068,0.55824256,"DecisionTable,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,BestFirst_direction,J48_minNumObj,J48_pruning,J48_numFolds,J48_confidenceFactorValue,JRip_minNo,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,DecisionTable_crossVal,J48_subtreeRaising,PART,PART_doNotMakeSplitPointActualValue,PART_binarySplits,DecisionTable_useIBk,PART_minNumObj,PART_useMDLcorrection,PART_pruning,PART_confidenceFactorValue,PART_numFolds,SimpleCart_minNumObj,J48,Aggregator,J48_useMDLcorrection,J48_collapseTree,J48_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_usePrune,SimpleCart_numFoldsPruning,J48_useLaplace,J48_binarySplits,JRip,JRip_checkErrorRate,JRip_usePruning,SimpleCart_heuristic,JRip_folds,JRip_optimizations"
8,90,0.76781083,0.90978261,0.92791762,0.91979010,0.94736842,0039,0034,0068,0.55824256,"DecisionTable,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,DecisionTable_evaluationMeasure,DecisionTable_useIBk,BestFirst_searchTermination,SimpleCart_useOneSE,JRip_checkErrorRate,PART_useMDLcorrection,SimpleCart_usePrune,J48_minNumObj,JRip_minNo,SimpleCart_heuristic,J48_useLaplace,PART_binarySplits,J48_pruning,J48_numFolds,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,J48_subtreeRaising,PART,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_confidenceFactorValue,PART_numFolds,PART_minNumObj,DecisionTable_crossVal,J48_collapseTree,JRip_folds,SimpleCart_minNumObj,J48,Aggregator,JRip_optimizations,J48_useMDLcorrection,J48_binarySplits,JRip,JRip_usePruning,J48_doNotMakeSplitPointActualValue,SimpleCart"
9,90,0.81174676,0.91214722,0.92791762,0.91979010,0.94736842,0042,0088,0068,0.55824256,"DecisionTable,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_direction,DecisionTable_evaluationMeasure,BestFirst_searchTermination,DecisionTable_crossVal,DecisionTable_useIBk,SimpleCart,SimpleCart_minNumObj,Aggregator,J48,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_numFolds,J48_confidenceFactorValue,J48_binarySplits,JRip,J48_subtreeRaising,PART,JRip_minNo,JRip_checkErrorRate,JRip_usePruning,PART_minNumObj,SimpleCart_heuristic,PART_binarySplits,PART_useMDLcorrection,J48_useLaplace,SimpleCart_usePrune,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_collapseTree,PART_doNotMakeSplitPointActualValue,JRip_optimizations,J48_useMDLcorrection,PART_numFolds,PART_confidenceFactorValue,PART_pruning,JRip_folds"
10,90,0.84893211,0.91195652,0.92791762,0.91979010,0.94736842,0036,0090,0045,0.34041526,"DecisionTable,DecisionTable_search,JRip,DecisionTable_useIBk,GreedyStepwise_searchBackwards,Aggregator,SimpleCart,GreedyStepwise_conservativeForwardSelection,DecisionTable_crossVal,SimpleCart_usePrune,JRip_checkErrorRate,J48,J48_useLaplace,DecisionTable_evaluationMeasure,SimpleCart_heuristic,JRip_usePruning,BestFirst_direction,J48_binarySplits,SimpleCart_useOneSE,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,J48_subtreeRaising,PART_pruning,PART_numFolds,PART_confidenceFactorValue,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_minNumObj,J48_numFolds,PART_binarySplits,J48_collapseTree,J48_useMDLcorrection,J48_minNumObj,JRip_minNo,J48_pruning,BestFirst_searchTermination,SimpleCart_numFoldsPruning,JRip_optimizations,JRip_folds,PART"
11,90,0.86346301,0.91365370,0.92791762,0.91979010,0.94736842,0039,0034,0045,0.34041526,"Aggregator,JRip,DecisionTable,SimpleCart,J48,J48_useLaplace,JRip_checkErrorRate,DecisionTable_evaluationMeasure,JRip_usePruning,SimpleCart_heuristic,J48_binarySplits,DecisionTable_useIBk,SimpleCart_usePrune,DecisionTable_crossVal,DecisionTable_search,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,SimpleCart_minNumObj,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,JRip_folds,J48_useMDLcorrection,JRip_minNo,SimpleCart_numFoldsPruning,J48_collapseTree,JRip_optimizations,J48_minNumObj,J48_pruning,PART,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,BestFirst_searchTermination,PART_minNumObj,PART_binarySplits,J48_subtreeRaising,PART_useMDLcorrection,J48_numFolds,PART_pruning,PART_numFolds,PART_confidenceFactorValue"
