individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,null,false,null,0.05,10,null,true,1,10,false,true,null,true,null,9,null,confidenceFactor,true,false,false,weka.attributeSelection.BestFirst,true,true,null,true,true,auc,MajorityVotingAggregator,null,null,2,7,null,null,null,null,null,null,null,null,null,0.8930390492359932
overall,true,null,true,null,0.25,10,null,true,null,null,false,true,null,true,null,10,true,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,3,false,true,auc,CompetenceBasedAggregator,null,null,10,5,null,null,null,null,false,null,null,false,null,0.8917657045840407
gen_000_ind_000,true,confidenceFactor,true,true,0.45,5,false,true,1,10,true,true,0.05,true,null,3,false,confidenceFactor,true,false,false,weka.attributeSelection.BestFirst,false,true,9,false,true,auc,MajorityVotingAggregator,false,true,5,5,null,null,true,null,null,true,7,null,0.923913043478261,null
gen_000_ind_001,true,confidenceFactor,true,true,null,9,false,true,2,7,true,true,0.45,true,null,4,false,unpruned,true,false,true,weka.attributeSelection.BestFirst,false,true,5,false,true,auc,RuleExtractorAggregator,false,false,2,9,null,null,true,null,null,true,5,null,0.8687643020594965,null
gen_000_ind_002,true,reducedErrorPruning,true,false,null,10,false,true,2,7,true,true,null,true,null,2,false,unpruned,true,false,false,weka.attributeSelection.BestFirst,false,true,8,true,false,mae,CompetenceBasedAggregator,true,true,2,7,null,null,false,8,null,false,9,null,0.9165141113653699,null
gen_000_ind_003,true,confidenceFactor,null,true,0.35,1,false,true,0,7,true,true,0.45,true,null,3,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,false,false,null,null,true,acc,RuleExtractorAggregator,true,true,null,8,null,null,true,null,null,false,8,null,0.8452326468344774,null
gen_000_ind_004,true,unpruned,null,null,null,10,true,true,null,null,true,true,null,false,6,null,null,null,false,true,null,weka.attributeSelection.GreedyStepwise,null,false,null,null,null,acc,RuleExtractorAggregator,true,false,null,6,9,null,true,null,true,false,10,false,0.9002669717772693,null
gen_000_ind_005,false,confidenceFactor,true,false,0.25,5,true,true,null,null,true,true,0.25,true,null,10,false,confidenceFactor,true,false,false,weka.attributeSelection.GreedyStepwise,true,true,10,true,false,acc,RuleExtractorAggregator,true,true,2,9,null,null,true,null,false,false,3,true,0.8979405034324943,null
gen_000_ind_006,false,unpruned,true,null,0.15,8,false,true,null,null,true,true,null,true,null,9,false,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,10,true,true,mae,RuleExtractorAggregator,false,false,6,3,null,null,false,null,true,true,10,true,0.8789092295957284,null
gen_000_ind_007,false,confidenceFactor,false,true,0.35,2,false,true,0,5,true,true,0.35,true,null,10,null,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,MajorityVotingAggregator,true,true,4,4,null,null,false,null,null,false,9,null,0.916094584286804,null
