gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.77374142,0.91020214,0.92620137,0.95820840,0.92741935,0043,0034,0035,0.00000000,"JRip,JRip_minNo,PART,J48,JRip_checkErrorRate,Aggregator,J48_binarySplits,J48_minNumObj,PART_useMDLcorrection,SimpleCart,DecisionTable,DecisionTable_search,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,PART_pruning,SimpleCart_heuristic,JRip_usePruning,J48_useMDLcorrection,BestFirst_searchTermination,J48_doNotMakeSplitPointActualValue,JRip_optimizations,J48_collapseTree,GreedyStepwise_searchBackwards,DecisionTable_useIBk,BestFirst_direction,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_binarySplits,SimpleCart_usePrune,SimpleCart_minNumObj,JRip_folds,J48_useLaplace,PART_confidenceFactorValue,DecisionTable_crossVal,PART_numFolds,J48_pruning,J48_numFolds,SimpleCart_numFoldsPruning,J48_subtreeRaising,SimpleCart_useOneSE,J48_confidenceFactorValue"
1,90,0.76239512,0.91390160,0.92810831,0.97057721,0.89813243,0020,0034,0035,0.00000000,"JRip,J48,PART,JRip_minNo,Aggregator,JRip_checkErrorRate,J48_useMDLcorrection,JRip_usePruning,J48_binarySplits,PART_binarySplits,JRip_folds,PART_minNumObj,J48_useLaplace,DecisionTable,J48_pruning,J48_doNotMakeSplitPointActualValue,J48_minNumObj,J48_collapseTree,PART_pruning,SimpleCart,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,DecisionTable_useIBk,J48_numFolds,J48_subtreeRaising,JRip_optimizations,SimpleCart_minNumObj,DecisionTable_crossVal,DecisionTable_evaluationMeasure,PART_numFolds,DecisionTable_search,BestFirst_direction,SimpleCart_usePrune,SimpleCart_heuristic,PART_confidenceFactorValue,SimpleCart_numFoldsPruning,GreedyStepwise_conservativeForwardSelection,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,BestFirst_searchTermination"
2,90,0.78196034,0.91330092,0.92810831,0.97057721,0.89813243,0018,0034,0035,0.00000000,"PART,PART_minNumObj,PART_doNotMakeSplitPointActualValue,Aggregator,PART_useMDLcorrection,PART_binarySplits,PART_pruning,SimpleCart,SimpleCart_heuristic,JRip,DecisionTable,JRip_usePruning,DecisionTable_useIBk,PART_numFolds,DecisionTable_search,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,J48,GreedyStepwise_conservativeForwardSelection,J48_useMDLcorrection,JRip_checkErrorRate,J48_useLaplace,JRip_minNo,J48_minNumObj,J48_collapseTree,J48_pruning,BestFirst_searchTermination,SimpleCart_usePrune,DecisionTable_crossVal,JRip_folds,BestFirst_direction,JRip_optimizations,J48_numFolds,SimpleCart_minNumObj,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,J48_binarySplits,J48_subtreeRaising,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,SimpleCart_numFoldsPruning"
3,90,0.79549962,0.91341533,0.92810831,0.97057721,0.89813243,0021,0034,0035,0.00000000,"J48,J48_doNotMakeSplitPointActualValue,JRip,JRip_usePruning,J48_binarySplits,J48_useMDLcorrection,DecisionTable,JRip_checkErrorRate,PART,DecisionTable_search,PART_doNotMakeSplitPointActualValue,PART_pruning,JRip_optimizations,DecisionTable_evaluationMeasure,SimpleCart,J48_pruning,Aggregator,BestFirst_direction,JRip_minNo,J48_minNumObj,GreedyStepwise_conservativeForwardSelection,PART_confidenceFactorValue,BestFirst_searchTermination,DecisionTable_crossVal,GreedyStepwise_searchBackwards,J48_collapseTree,J48_numFolds,PART_minNumObj,J48_useLaplace,PART_useMDLcorrection,PART_binarySplits,SimpleCart_usePrune,J48_confidenceFactorValue,JRip_folds,DecisionTable_useIBk,J48_subtreeRaising,SimpleCart_heuristic,SimpleCart_minNumObj,PART_numFolds,SimpleCart_numFoldsPruning,SimpleCart_useOneSE"
4,90,0.85080092,0.91466438,0.92810831,0.97057721,0.89813243,0021,0034,0071,0.52102165,"DecisionTable,DecisionTable_crossVal,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,DecisionTable_useIBk,PART,PART_binarySplits,PART_useMDLcorrection,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_pruning,PART_numFolds,PART_confidenceFactorValue,Aggregator,J48,J48_collapseTree,J48_pruning,J48_useMDLcorrection,J48_confidenceFactorValue,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,J48_binarySplits,J48_numFolds,SimpleCart,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_minNumObj,J48_minNumObj,J48_useLaplace,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,JRip,JRip_checkErrorRate,JRip_minNo,JRip_usePruning,JRip_folds,JRip_optimizations"
5,90,0.81056445,0.91483600,0.92810831,0.97057721,0.89813243,0027,0055,0071,0.52102165,"DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,DecisionTable_crossVal,PART_useMDLcorrection,J48_subtreeRaising,PART_binarySplits,J48_collapseTree,JRip_checkErrorRate,JRip_usePruning,JRip_folds,JRip_optimizations,J48_pruning,SimpleCart_usePrune,PART_numFolds,SimpleCart_numFoldsPruning,JRip,J48_confidenceFactorValue,J48_binarySplits,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,JRip_minNo,SimpleCart_useOneSE,J48_numFolds,SimpleCart,PART,PART_pruning,SimpleCart_heuristic,PART_minNumObj,SimpleCart_minNumObj,PART_confidenceFactorValue,J48,Aggregator,J48_useMDLcorrection,J48_minNumObj,J48_useLaplace"
6,90,0.84145690,0.91565599,0.92810831,0.97057721,0.89813243,0022,0034,0071,0.52102165,"DecisionTable,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,DecisionTable_evaluationMeasure,DecisionTable_crossVal,BestFirst_searchTermination,PART,PART_useMDLcorrection,PART_binarySplits,PART_minNumObj,PART_pruning,PART_numFolds,PART_confidenceFactorValue,Aggregator,PART_doNotMakeSplitPointActualValue,J48,J48_useMDLcorrection,J48_pruning,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_subtreeRaising,J48_binarySplits,J48_minNumObj,J48_numFolds,J48_useLaplace,SimpleCart,SimpleCart_usePrune,SimpleCart_heuristic,SimpleCart_minNumObj,SimpleCart_numFoldsPruning,JRip,SimpleCart_useOneSE,JRip_minNo,JRip_usePruning,JRip_optimizations,JRip_checkErrorRate,JRip_folds"
7,90,0.82433257,0.91454996,0.92810831,0.97057721,0.89813243,0023,0034,0035,0.00000000,"J48,Aggregator,J48_pruning,J48_confidenceFactorValue,J48_binarySplits,J48_useLaplace,SimpleCart,PART,JRip,JRip_minNo,J48_collapseTree,J48_doNotMakeSplitPointActualValue,DecisionTable,DecisionTable_evaluationMeasure,PART_minNumObj,PART_pruning,DecisionTable_search,PART_confidenceFactorValue,J48_minNumObj,SimpleCart_minNumObj,J48_useMDLcorrection,BestFirst_direction,DecisionTable_useIBk,PART_binarySplits,GreedyStepwise_conservativeForwardSelection,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,J48_subtreeRaising,BestFirst_searchTermination,J48_numFolds,SimpleCart_heuristic,DecisionTable_crossVal,GreedyStepwise_searchBackwards,JRip_usePruning,SimpleCart_usePrune,JRip_checkErrorRate,PART_numFolds,JRip_folds,SimpleCart_numFoldsPruning,JRip_optimizations,SimpleCart_useOneSE"
8,90,0.76254767,0.91437834,0.92810831,0.97057721,0.89813243,0023,0034,0035,0.00000000,"DecisionTable,SimpleCart,SimpleCart_minNumObj,Aggregator,DecisionTable_search,DecisionTable_evaluationMeasure,SimpleCart_usePrune,JRip,JRip_checkErrorRate,SimpleCart_useOneSE,JRip_minNo,PART,GreedyStepwise_searchBackwards,J48,J48_useLaplace,BestFirst_searchTermination,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,SimpleCart_heuristic,J48_collapseTree,J48_useMDLcorrection,DecisionTable_useIBk,PART_binarySplits,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,PART_useMDLcorrection,SimpleCart_numFoldsPruning,JRip_usePruning,J48_pruning,J48_doNotMakeSplitPointActualValue,JRip_folds,PART_minNumObj,J48_minNumObj,J48_binarySplits,J48_confidenceFactorValue,J48_subtreeRaising,PART_pruning,JRip_optimizations,J48_numFolds,PART_confidenceFactorValue,PART_numFolds"
9,90,0.77967201,0.91401602,0.92810831,0.97057721,0.89813243,0023,0034,0035,0.00000000,"J48,J48_pruning,Aggregator,DecisionTable,J48_subtreeRaising,PART,J48_minNumObj,J48_collapseTree,SimpleCart,J48_doNotMakeSplitPointActualValue,PART_pruning,SimpleCart_usePrune,J48_binarySplits,J48_numFolds,JRip,J48_useMDLcorrection,PART_binarySplits,SimpleCart_heuristic,DecisionTable_search,PART_minNumObj,J48_confidenceFactorValue,DecisionTable_crossVal,J48_useLaplace,JRip_checkErrorRate,DecisionTable_evaluationMeasure,PART_confidenceFactorValue,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,SimpleCart_numFoldsPruning,PART_numFolds,PART_doNotMakeSplitPointActualValue,SimpleCart_useOneSE,GreedyStepwise_searchBackwards,PART_useMDLcorrection,SimpleCart_minNumObj,JRip_usePruning,BestFirst_searchTermination,JRip_minNo,BestFirst_direction,JRip_folds,JRip_optimizations"
