individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,unpruned,true,null,null,null,true,true,null,null,true,true,null,true,6,4,true,unpruned,true,true,true,null,true,true,2,false,false,null,MajorityVotingAggregator,true,false,3,7,8,null,false,null,null,false,7,null,null,0.7153916211293261
overall,false,unpruned,true,null,null,null,true,true,null,null,true,true,null,true,6,4,true,unpruned,true,true,true,null,true,true,2,false,false,null,MajorityVotingAggregator,true,false,3,7,8,null,false,null,null,false,7,null,null,0.7153916211293261
gen_000_ind_000,false,confidenceFactor,false,true,0.15,4,false,true,2,10,true,true,0.25,true,10,10,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,null,true,true,rmse,CompetenceBasedAggregator,false,true,3,4,6,null,true,null,null,false,3,null,0.7094954964520183,null
gen_000_ind_001,true,confidenceFactor,false,true,null,null,true,true,null,null,true,false,0.15,true,null,6,null,unpruned,null,false,true,null,true,true,null,false,false,null,MajorityVotingAggregator,false,false,9,4,null,null,false,null,null,false,3,null,0.7257445453097626,null
gen_000_ind_002,true,confidenceFactor,null,false,null,3,false,true,null,null,true,true,0.25,false,4,null,null,null,false,true,null,weka.attributeSelection.GreedyStepwise,null,false,null,null,null,auc,RuleExtractorAggregator,false,false,null,5,7,null,false,null,false,false,3,true,0.7059084367055382,null
gen_000_ind_003,false,reducedErrorPruning,true,true,null,1,false,true,null,null,true,true,null,false,8,null,true,null,false,true,null,weka.attributeSelection.GreedyStepwise,null,true,5,true,null,auc,CompetenceBasedAggregator,true,false,5,2,8,null,true,4,true,true,9,false,0.7055540809163998,null
gen_000_ind_004,true,null,true,null,0.05,5,null,true,null,null,false,true,null,true,null,9,false,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,8,false,false,acc,CompetenceBasedAggregator,null,null,5,2,null,null,null,null,false,null,null,false,0.7123828399190717,null
gen_000_ind_005,true,null,true,null,0.45,3,null,true,null,null,false,true,null,true,8,8,true,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,5,false,false,acc,MajorityVotingAggregator,null,null,10,7,8,null,null,null,true,null,null,false,0.7154213338995948,null
gen_000_ind_006,true,confidenceFactor,true,true,0.35,4,true,true,2,3,true,true,0.25,true,4,10,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,8,false,false,auc,RuleExtractorAggregator,false,false,3,9,9,null,true,null,null,false,4,null,0.671591961447034,null
gen_000_ind_007,true,confidenceFactor,false,true,null,null,true,true,null,null,true,false,0.35,true,null,2,null,reducedErrorPruning,null,false,false,null,false,true,null,true,true,null,RuleExtractorAggregator,false,false,2,2,null,3,true,null,null,true,10,null,0.6560367303120926,null
gen_000_ind_008,false,reducedErrorPruning,true,true,null,6,true,true,0,9,true,true,null,true,null,3,false,reducedErrorPruning,false,false,true,weka.attributeSelection.BestFirst,true,true,5,true,false,mae,MajorityVotingAggregator,true,true,5,5,null,6,true,7,null,false,3,null,0.7273237363817074,null
gen_000_ind_009,true,reducedErrorPruning,false,true,null,1,true,true,2,6,true,true,null,true,null,2,null,reducedErrorPruning,false,false,false,weka.attributeSelection.BestFirst,true,true,null,true,false,auc,RuleExtractorAggregator,false,true,6,9,null,3,false,3,null,true,9,null,0.6331506255419299,null
gen_000_ind_010,false,null,false,null,0.35,4,null,true,null,null,false,true,null,true,null,2,null,confidenceFactor,false,false,false,weka.attributeSelection.GreedyStepwise,true,true,null,false,false,auc,RuleExtractorAggregator,null,null,6,10,null,null,null,null,true,null,null,false,0.6209034524251915,null
