individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,confidenceFactor,false,true,0.25,10,true,true,0,4,true,true,0.05,true,3,4,null,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,true,true,null,true,false,rmse,MajorityVotingAggregator,true,false,8,2,9,null,false,null,null,false,10,null,null,0.8926400048516028
overall,null,confidenceFactor,false,false,0.05,9,true,false,1,9,true,true,0.45,true,null,6,null,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,null,true,true,acc,MajorityVotingAggregator,true,false,7,3,null,null,true,null,null,true,7,null,null,0.8970963486574544
gen_000_ind_000,false,confidenceFactor,true,true,null,7,true,true,null,null,true,true,0.05,true,2,2,true,reducedErrorPruning,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,6,false,true,rmse,RuleExtractorAggregator,true,true,9,6,8,6,false,null,false,false,2,false,0.8303148756970611,null
gen_000_ind_001,true,reducedErrorPruning,true,true,0.35,2,true,true,1,9,true,true,null,true,5,3,false,confidenceFactor,true,true,false,weka.attributeSelection.BestFirst,false,true,5,true,true,auc,CompetenceBasedAggregator,false,true,8,9,3,null,false,3,null,true,5,null,0.9194553313040128,null
gen_000_ind_002,true,reducedErrorPruning,true,false,0.45,4,false,true,null,null,true,true,null,true,3,6,false,confidenceFactor,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,5,true,false,mae,CompetenceBasedAggregator,true,false,9,2,4,null,false,7,false,false,9,true,0.9220397429624139,null
gen_000_ind_003,false,null,false,null,0.45,1,null,true,0,2,false,true,null,true,9,3,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,false,rmse,CompetenceBasedAggregator,null,null,4,6,10,null,null,null,null,null,null,null,0.9215122409801213,null
gen_000_ind_004,true,unpruned,false,null,0.25,6,false,true,1,6,true,true,null,true,2,5,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,true,true,null,false,true,auc,MajorityVotingAggregator,false,false,5,6,5,null,false,null,null,false,9,null,0.9250061861309407,null
gen_000_ind_005,true,unpruned,null,null,null,1,true,true,0,8,true,true,null,true,null,9,null,unpruned,true,false,true,weka.attributeSelection.BestFirst,true,false,null,null,false,mae,MajorityVotingAggregator,true,true,null,9,null,null,true,null,null,true,7,null,0.9220103709079227,null
gen_000_ind_006,true,null,false,null,null,1,null,true,1,5,false,true,null,true,6,6,null,reducedErrorPruning,false,true,true,weka.attributeSelection.BestFirst,false,true,null,false,true,rmse,RuleExtractorAggregator,null,null,10,8,7,3,null,null,null,null,null,null,0.8113275283647081,null
gen_000_ind_007,false,confidenceFactor,true,false,null,8,false,true,1,2,true,true,0.45,true,2,9,false,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,true,true,7,false,false,auc,CompetenceBasedAggregator,false,true,7,8,2,3,true,null,null,false,2,null,0.9269508180081768,null
gen_000_ind_008,true,confidenceFactor,true,true,null,2,true,true,null,null,true,true,0.05,true,7,2,true,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,10,false,false,auc,MajorityVotingAggregator,false,true,10,5,5,null,true,null,false,true,2,false,0.9161222615854898,null
gen_000_ind_009,false,reducedErrorPruning,null,true,null,2,true,true,0,1,true,true,null,true,null,2,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,false,false,null,null,false,mae,RuleExtractorAggregator,false,true,null,3,null,null,false,2,null,false,10,null,0.8474618625048661,null
gen_000_ind_010,false,confidenceFactor,false,true,0.45,null,true,true,null,null,true,false,0.45,true,2,6,null,confidenceFactor,null,true,true,null,true,true,null,true,false,null,MajorityVotingAggregator,false,false,4,7,6,null,true,null,null,false,9,null,0.9259829679669933,null
gen_000_ind_011,true,confidenceFactor,true,true,null,10,false,true,0,7,true,true,0.15,true,10,3,false,unpruned,false,true,true,weka.attributeSelection.BestFirst,true,true,8,false,true,acc,CompetenceBasedAggregator,true,false,2,2,3,null,true,null,null,false,2,null,0.921718692564631,null
gen_000_ind_012,true,confidenceFactor,true,true,0.35,null,false,true,null,null,true,false,0.45,true,5,2,true,confidenceFactor,null,true,false,null,true,true,5,true,true,null,RuleExtractorAggregator,true,true,3,10,2,null,true,null,null,false,5,null,0.8329798347851909,null
gen_000_ind_013,true,confidenceFactor,true,false,null,5,false,true,2,1,true,true,0.35,true,null,6,false,unpruned,false,false,false,weka.attributeSelection.BestFirst,true,true,6,false,true,auc,CompetenceBasedAggregator,false,true,5,5,null,null,true,null,null,true,6,null,0.9213857854057338,null
gen_000_ind_014,true,confidenceFactor,true,true,null,4,false,true,2,7,true,true,0.25,true,null,10,true,unpruned,false,false,false,weka.attributeSelection.BestFirst,true,true,2,false,false,rmse,CompetenceBasedAggregator,true,true,2,2,null,null,false,null,null,true,2,null,0.9232154274795041,null
gen_000_ind_015,true,null,null,null,null,6,null,true,2,4,false,true,null,true,4,2,null,unpruned,false,true,false,weka.attributeSelection.BestFirst,false,false,null,null,false,auc,CompetenceBasedAggregator,null,null,null,4,7,null,null,null,null,null,null,null,0.9120591125178834,null
gen_000_ind_016,false,reducedErrorPruning,false,false,0.45,9,false,true,2,4,true,true,null,true,5,9,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,false,true,null,true,true,auc,CompetenceBasedAggregator,false,true,9,8,3,null,false,5,null,false,9,null,0.9272373786639039,null
gen_000_ind_017,true,confidenceFactor,false,false,null,5,false,true,0,10,true,true,0.15,false,null,null,null,null,false,false,null,weka.attributeSelection.BestFirst,null,true,null,false,null,mae,MajorityVotingAggregator,false,true,10,2,null,null,false,null,null,false,2,null,0.9207886476045397,null
gen_000_ind_018,true,reducedErrorPruning,false,true,null,1,false,true,2,3,true,true,null,true,2,7,null,reducedErrorPruning,true,true,false,weka.attributeSelection.BestFirst,true,true,null,true,false,mae,MajorityVotingAggregator,true,false,8,8,3,6,true,5,null,false,7,null,0.9249532887514288,null
gen_000_ind_019,true,confidenceFactor,true,false,0.15,1,true,true,null,null,true,true,0.15,true,null,5,true,confidenceFactor,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,3,false,true,auc,MajorityVotingAggregator,false,true,8,10,null,null,true,null,true,false,4,false,0.9321175730934025,null
gen_000_ind_020,true,confidenceFactor,false,true,0.25,4,false,true,0,1,true,true,0.45,true,9,8,null,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,true,true,null,false,true,acc,RuleExtractorAggregator,false,false,5,2,6,null,false,null,null,false,4,null,0.8192694237737799,null
gen_000_ind_021,false,confidenceFactor,false,true,null,3,false,true,0,8,true,true,0.15,true,null,2,null,reducedErrorPruning,true,false,true,weka.attributeSelection.BestFirst,false,true,null,true,false,auc,CompetenceBasedAggregator,false,true,2,2,null,8,true,null,null,false,4,null,0.923545649333916,null
gen_000_ind_022,null,null,true,null,0.05,9,null,false,2,5,false,true,null,true,null,7,true,confidenceFactor,true,null,true,weka.attributeSelection.BestFirst,false,true,10,false,false,auc,RuleExtractorAggregator,null,null,9,null,null,null,null,null,null,null,null,null,0.804013649272456,null
gen_000_ind_023,false,null,true,null,null,3,null,true,null,null,false,true,null,true,null,2,false,reducedErrorPruning,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,8,true,false,acc,CompetenceBasedAggregator,null,null,2,6,null,3,null,null,true,null,null,false,0.9249433120428623,null
gen_000_ind_024,false,unpruned,false,null,0.15,6,true,true,1,2,true,true,null,true,null,9,null,confidenceFactor,false,false,true,weka.attributeSelection.BestFirst,true,true,null,true,true,auc,MajorityVotingAggregator,true,true,6,6,null,null,true,null,null,false,2,null,0.9278541081168322,null
gen_000_ind_025,false,confidenceFactor,true,true,null,10,true,true,null,null,true,true,0.15,true,8,8,false,unpruned,false,true,false,weka.attributeSelection.GreedyStepwise,false,true,5,true,true,mae,MajorityVotingAggregator,true,true,2,3,7,null,true,null,false,false,8,false,0.9288057938941472,null
gen_000_ind_026,false,confidenceFactor,null,true,0.35,10,false,true,null,null,true,true,0.25,true,1,2,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,false,null,null,false,mae,MajorityVotingAggregator,true,true,null,2,9,null,false,null,false,true,10,false,0.9233612725572489,null
gen_000_ind_027,false,null,false,null,null,10,null,true,1,5,false,true,null,true,null,2,null,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,null,true,false,acc,CompetenceBasedAggregator,null,null,10,10,null,null,null,null,null,null,null,null,0.9221667757306966,null
gen_000_ind_028,true,reducedErrorPruning,null,true,null,4,false,true,null,null,true,true,null,true,null,4,null,unpruned,true,false,true,weka.attributeSelection.GreedyStepwise,true,false,null,null,false,acc,CompetenceBasedAggregator,true,true,null,6,null,null,true,2,false,true,3,true,0.9191467122512854,null
gen_000_ind_029,false,confidenceFactor,true,true,null,6,false,true,0,5,true,true,0.15,true,null,9,false,unpruned,false,false,true,weka.attributeSelection.BestFirst,true,true,5,true,true,auc,MajorityVotingAggregator,true,false,5,6,null,null,true,null,null,false,3,null,0.9271462411684517,null
gen_000_ind_030,false,null,true,null,null,2,null,true,0,5,false,true,null,true,5,6,false,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,false,true,10,false,true,acc,MajorityVotingAggregator,null,null,7,6,6,6,null,null,null,null,null,null,0.9267678076568089,null
gen_000_ind_031,true,confidenceFactor,true,false,null,5,true,true,null,null,true,true,0.25,true,2,3,false,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,9,true,false,auc,MajorityVotingAggregator,true,false,9,4,10,3,false,null,true,true,2,true,0.9221020564861778,null
gen_000_ind_032,true,unpruned,false,null,null,9,false,true,0,6,true,true,null,true,5,2,null,reducedErrorPruning,true,true,true,weka.attributeSelection.BestFirst,false,true,null,false,false,rmse,MajorityVotingAggregator,false,false,4,5,2,5,true,null,null,true,5,null,0.9238980546364731,null
gen_000_ind_033,false,unpruned,true,null,0.35,2,false,true,2,8,true,true,null,true,6,6,false,confidenceFactor,false,true,true,weka.attributeSelection.BestFirst,false,true,10,false,true,auc,MajorityVotingAggregator,false,false,8,3,6,null,true,null,null,true,9,null,0.9270166621605567,null
gen_000_ind_034,false,confidenceFactor,false,false,0.15,1,true,true,null,null,true,true,0.45,true,null,3,null,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,null,true,false,auc,MajorityVotingAggregator,true,true,6,10,null,null,false,null,false,false,8,false,0.9278018335886141,null
gen_000_ind_035,true,confidenceFactor,false,true,null,4,false,true,1,6,true,true,0.05,false,2,null,null,null,true,true,null,weka.attributeSelection.BestFirst,null,true,null,true,null,auc,MajorityVotingAggregator,false,false,9,2,7,null,false,null,null,false,3,null,0.9230523249860827,null
gen_000_ind_036,false,confidenceFactor,false,true,null,null,false,true,null,null,true,false,0.25,true,8,3,null,unpruned,null,true,true,null,false,true,null,true,true,null,MajorityVotingAggregator,true,true,3,2,2,null,false,null,null,true,2,null,0.9211156206811907,null
gen_000_ind_037,null,confidenceFactor,false,false,null,3,true,false,null,null,true,true,0.25,false,null,null,null,null,false,null,null,weka.attributeSelection.GreedyStepwise,null,true,null,true,null,rmse,MajorityVotingAggregator,false,true,5,null,null,null,false,null,false,true,5,false,0.9228872263911578,null
gen_000_ind_038,true,reducedErrorPruning,true,true,0.05,null,false,true,null,null,true,false,null,true,null,7,true,confidenceFactor,null,false,true,null,false,true,9,true,true,null,MajorityVotingAggregator,false,true,7,4,null,null,true,2,null,false,8,null,0.9261442302930533,null
gen_000_ind_039,true,reducedErrorPruning,false,true,null,10,true,true,null,null,true,true,null,true,null,9,null,unpruned,true,false,false,weka.attributeSelection.GreedyStepwise,false,true,null,false,true,acc,MajorityVotingAggregator,true,true,6,4,null,null,false,6,true,false,10,false,0.9286286026820114,null
gen_000_ind_040,false,confidenceFactor,false,true,0.15,5,false,true,1,3,true,true,0.35,true,null,2,null,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,false,true,null,false,false,rmse,CompetenceBasedAggregator,true,true,5,8,null,null,false,null,null,false,10,null,0.9279129463192035,null
gen_000_ind_041,true,confidenceFactor,true,true,null,7,true,true,null,null,true,true,0.05,true,9,7,true,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,true,true,5,false,true,rmse,MajorityVotingAggregator,false,true,3,6,4,3,false,null,true,true,6,true,0.9210960528703932,null
gen_000_ind_042,true,reducedErrorPruning,true,false,null,3,false,true,null,null,true,true,null,false,null,null,false,null,true,false,null,weka.attributeSelection.GreedyStepwise,null,true,5,true,null,auc,MajorityVotingAggregator,true,false,9,5,null,null,false,4,true,false,6,true,0.9234577886702784,null
gen_000_ind_043,false,null,true,null,null,9,null,true,1,8,false,true,null,false,3,null,false,null,true,true,null,weka.attributeSelection.BestFirst,null,true,7,true,null,rmse,CompetenceBasedAggregator,null,null,4,8,7,null,null,null,null,null,null,null,0.9179278381451542,null
gen_000_ind_044,true,confidenceFactor,true,false,null,1,false,true,2,5,true,true,0.05,true,null,6,false,unpruned,true,false,false,weka.attributeSelection.BestFirst,false,true,8,true,false,auc,RuleExtractorAggregator,true,false,3,2,null,null,true,null,null,false,4,null,0.8400637153370898,null
gen_000_ind_045,true,unpruned,false,null,0.05,10,false,true,null,null,true,true,null,true,null,10,null,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,auc,MajorityVotingAggregator,false,true,10,9,null,null,false,null,true,false,7,false,0.9254171665548453,null
