individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,true,reducedErrorPruning,null,true,0.45,1,true,true,2,8,true,true,null,true,9,9,null,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,true,false,null,null,false,acc,MajorityVotingAggregator,false,false,null,4,2,null,true,2,null,true,10,null,null,0.0
overall,true,unpruned,true,null,null,1,true,true,null,null,true,true,null,true,2,9,true,unpruned,true,true,false,weka.attributeSelection.GreedyStepwise,false,true,2,false,true,mae,CompetenceBasedAggregator,false,true,10,8,10,null,false,null,true,true,4,false,null,0.7852380952380953
gen_000_ind_000,true,reducedErrorPruning,true,false,null,2,false,true,2,6,true,true,null,true,2,8,false,unpruned,true,true,true,weka.attributeSelection.BestFirst,true,true,2,true,false,auc,RuleExtractorAggregator,true,false,3,6,5,null,true,4,null,true,9,null,0.6242751322751323,null
gen_000_ind_001,false,confidenceFactor,false,true,0.15,9,true,true,null,null,true,true,0.25,true,8,2,null,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,auc,RuleExtractorAggregator,true,true,2,6,6,null,true,null,true,false,9,true,0.5781798941798941,null
gen_000_ind_002,true,unpruned,false,null,0.45,1,false,true,null,null,true,true,null,true,null,2,null,confidenceFactor,true,false,true,weka.attributeSelection.GreedyStepwise,false,true,null,false,false,rmse,MajorityVotingAggregator,false,false,2,6,null,null,true,null,false,false,7,true,0.7149841269841269,null
gen_000_ind_003,true,confidenceFactor,true,true,0.15,null,true,true,null,null,true,false,0.25,true,6,4,false,confidenceFactor,null,true,true,null,false,true,7,true,true,null,MajorityVotingAggregator,false,false,2,4,7,null,false,null,null,true,2,null,0.7319153439153439,null
gen_000_ind_004,true,unpruned,null,null,null,10,false,true,0,3,true,true,null,false,9,null,null,null,false,true,null,weka.attributeSelection.BestFirst,null,false,null,null,null,acc,RuleExtractorAggregator,false,true,null,9,7,null,false,null,null,true,5,null,0.668063492063492,null
gen_000_ind_005,null,reducedErrorPruning,true,false,0.15,1,true,false,0,4,true,true,null,true,null,5,false,confidenceFactor,true,null,false,weka.attributeSelection.BestFirst,true,true,3,true,true,auc,MajorityVotingAggregator,false,true,8,null,null,null,true,4,null,true,7,null,0.7316190476190476,null
gen_000_ind_006,true,confidenceFactor,true,true,null,2,false,true,null,null,true,true,0.35,true,8,8,false,reducedErrorPruning,true,true,true,weka.attributeSelection.GreedyStepwise,true,true,5,false,false,auc,CompetenceBasedAggregator,true,true,8,2,10,5,false,null,true,true,6,true,0.7454391534391533,null
gen_000_ind_007,true,confidenceFactor,true,false,0.15,1,true,true,null,null,true,true,0.15,true,10,10,false,confidenceFactor,false,true,true,weka.attributeSelection.GreedyStepwise,false,true,6,true,false,auc,RuleExtractorAggregator,true,false,6,3,6,null,true,null,true,false,3,false,0.6997883597883598,null
