gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.57123810,0.72411640,0.75710053,0.72264550,0.79333333,0091,0034,0035,0.00000000,"SimpleCart,JRip,JRip_minNo,SimpleCart_heuristic,SimpleCart_minNumObj,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_crossVal,JRip_checkErrorRate,J48,Aggregator,JRip_usePruning,PART,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_binarySplits,PART_binarySplits,J48_minNumObj,DecisionTable_search,J48_numFolds,SimpleCart_usePrune,BestFirst_searchTermination,BestFirst_direction,DecisionTable_useIBk,PART_minNumObj,J48_useMDLcorrection,JRip_optimizations,JRip_folds,J48_collapseTree,PART_useMDLcorrection,J48_useLaplace,J48_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising,GreedyStepwise_conservativeForwardSelection,PART_pruning,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,GreedyStepwise_searchBackwards,PART_numFolds"
1,90,0.56778836,0.73024339,0.76129101,0.72380952,0.82976190,0079,0034,0035,0.00000000,"JRip,JRip_usePruning,J48,J48_minNumObj,Aggregator,J48_binarySplits,JRip_optimizations,DecisionTable,J48_doNotMakeSplitPointActualValue,DecisionTable_crossVal,DecisionTable_search,BestFirst_direction,JRip_minNo,J48_useMDLcorrection,GreedyStepwise_searchBackwards,J48_useLaplace,J48_collapseTree,J48_pruning,JRip_checkErrorRate,PART,SimpleCart,SimpleCart_usePrune,GreedyStepwise_conservativeForwardSelection,PART_pruning,JRip_folds,PART_numFolds,SimpleCart_useOneSE,J48_subtreeRaising,DecisionTable_evaluationMeasure,SimpleCart_numFoldsPruning,BestFirst_searchTermination,PART_binarySplits,DecisionTable_useIBk,J48_confidenceFactorValue,PART_confidenceFactorValue,SimpleCart_minNumObj,SimpleCart_heuristic,PART_minNumObj,PART_doNotMakeSplitPointActualValue,J48_numFolds,PART_useMDLcorrection"
2,90,0.54222222,0.73074603,0.76129101,0.72380952,0.82976190,0085,0034,0035,0.00000000,"Aggregator,PART,J48,PART_minNumObj,PART_doNotMakeSplitPointActualValue,J48_doNotMakeSplitPointActualValue,J48_collapseTree,J48_pruning,DecisionTable,J48_binarySplits,J48_minNumObj,J48_useMDLcorrection,JRip,PART_useMDLcorrection,J48_numFolds,PART_binarySplits,SimpleCart,SimpleCart_heuristic,J48_confidenceFactorValue,JRip_usePruning,PART_pruning,SimpleCart_minNumObj,J48_useLaplace,DecisionTable_useIBk,J48_subtreeRaising,JRip_optimizations,DecisionTable_evaluationMeasure,DecisionTable_crossVal,DecisionTable_search,GreedyStepwise_searchBackwards,JRip_minNo,BestFirst_direction,JRip_checkErrorRate,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,JRip_folds,PART_numFolds,SimpleCart_usePrune,SimpleCart_numFoldsPruning,PART_confidenceFactorValue,SimpleCart_useOneSE"
3,90,0.53612698,0.73140741,0.76774603,0.77619048,0.81333333,0082,0034,0035,0.00000000,"J48,J48_binarySplits,J48_useMDLcorrection,J48_collapseTree,J48_useLaplace,J48_minNumObj,J48_pruning,DecisionTable,SimpleCart,JRip,SimpleCart_minNumObj,JRip_minNo,PART,PART_doNotMakeSplitPointActualValue,DecisionTable_crossVal,J48_subtreeRaising,Aggregator,SimpleCart_usePrune,J48_doNotMakeSplitPointActualValue,DecisionTable_search,JRip_usePruning,SimpleCart_useOneSE,J48_confidenceFactorValue,DecisionTable_evaluationMeasure,BestFirst_searchTermination,J48_numFolds,GreedyStepwise_conservativeForwardSelection,SimpleCart_heuristic,PART_pruning,PART_minNumObj,DecisionTable_useIBk,JRip_checkErrorRate,PART_useMDLcorrection,PART_binarySplits,SimpleCart_numFoldsPruning,GreedyStepwise_searchBackwards,BestFirst_direction,JRip_optimizations,PART_numFolds,JRip_folds,PART_confidenceFactorValue"
4,90,0.55108995,0.73408466,0.76774603,0.77619048,0.81333333,0085,0046,0073,0.50458013,"PART,J48,J48_minNumObj,J48_pruning,J48_numFolds,J48_useMDLcorrection,J48_binarySplits,PART_doNotMakeSplitPointActualValue,J48_subtreeRaising,PART_binarySplits,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,PART_minNumObj,PART_useMDLcorrection,J48_useLaplace,J48_collapseTree,PART_pruning,SimpleCart_numFoldsPruning,JRip_optimizations,SimpleCart,SimpleCart_heuristic,PART_confidenceFactorValue,SimpleCart_usePrune,PART_numFolds,SimpleCart_minNumObj,SimpleCart_useOneSE,JRip_minNo,GreedyStepwise_searchBackwards,DecisionTable_crossVal,BestFirst_searchTermination,Aggregator,JRip_usePruning,JRip_folds,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_search,DecisionTable_useIBk,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,JRip,JRip_checkErrorRate"
5,90,0.54768254,0.73753968,0.76774603,0.77619048,0.81333333,0089,0042,0073,0.50458013,"PART,J48,J48_pruning,J48_numFolds,PART_minNumObj,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,PART_doNotMakeSplitPointActualValue,J48_minNumObj,PART_pruning,PART_confidenceFactorValue,J48_collapseTree,PART_binarySplits,J48_binarySplits,PART_useMDLcorrection,J48_subtreeRaising,PART_numFolds,J48_useMDLcorrection,DecisionTable_useIBk,DecisionTable_crossVal,JRip_folds,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,BestFirst_direction,Aggregator,JRip,JRip_usePruning,JRip_checkErrorRate,JRip_optimizations,SimpleCart,SimpleCart_minNumObj,JRip_minNo,SimpleCart_heuristic,GreedyStepwise_searchBackwards,SimpleCart_usePrune,SimpleCart_useOneSE"
6,90,0.59752381,0.73939683,0.76774603,0.77619048,0.81333333,0081,0045,0073,0.50458013,"PART,J48,PART_minNumObj,J48_collapseTree,J48_pruning,J48_numFolds,J48_confidenceFactorValue,J48_minNumObj,J48_doNotMakeSplitPointActualValue,PART_useMDLcorrection,PART_doNotMakeSplitPointActualValue,PART_binarySplits,J48_subtreeRaising,J48_useLaplace,J48_useMDLcorrection,J48_binarySplits,PART_pruning,DecisionTable_crossVal,PART_confidenceFactorValue,DecisionTable_useIBk,JRip_folds,DecisionTable,SimpleCart_usePrune,SimpleCart_numFoldsPruning,JRip_optimizations,SimpleCart,DecisionTable_search,SimpleCart_heuristic,GreedyStepwise_searchBackwards,BestFirst_searchTermination,SimpleCart_minNumObj,SimpleCart_useOneSE,BestFirst_direction,Aggregator,DecisionTable_evaluationMeasure,GreedyStepwise_conservativeForwardSelection,JRip,JRip_checkErrorRate,PART_numFolds,JRip_minNo,JRip_usePruning"
7,90,0.53936508,0.73681481,0.76774603,0.77619048,0.81333333,0082,0108,0060,0.32875243,"J48,JRip,DecisionTable,SimpleCart,PART,PART_doNotMakeSplitPointActualValue,PART_binarySplits,SimpleCart_usePrune,J48_useLaplace,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_searchTermination,BestFirst_direction,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,SimpleCart_numFoldsPruning,J48_minNumObj,JRip_minNo,DecisionTable_crossVal,PART_minNumObj,J48_binarySplits,JRip_usePruning,J48_pruning,J48_confidenceFactorValue,J48_numFolds,JRip_folds,J48_useMDLcorrection,Aggregator,J48_subtreeRaising,SimpleCart_useOneSE,PART_confidenceFactorValue,PART_numFolds,JRip_optimizations,SimpleCart_heuristic,J48_doNotMakeSplitPointActualValue,DecisionTable_useIBk,JRip_checkErrorRate,DecisionTable_evaluationMeasure,SimpleCart_minNumObj,PART_pruning,PART_useMDLcorrection"
8,90,0.53187302,0.73432804,0.76990476,0.76444444,0.80761905,0087,0034,0060,0.32875243,"J48,SimpleCart,JRip,DecisionTable,SimpleCart_usePrune,PART,PART_binarySplits,PART_doNotMakeSplitPointActualValue,J48_useLaplace,DecisionTable_search,BestFirst_direction,BestFirst_searchTermination,GreedyStepwise_searchBackwards,J48_collapseTree,GreedyStepwise_conservativeForwardSelection,JRip_minNo,J48_pruning,J48_confidenceFactorValue,J48_subtreeRaising,JRip_usePruning,J48_numFolds,JRip_optimizations,SimpleCart_heuristic,PART_useMDLcorrection,J48_useMDLcorrection,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,J48_binarySplits,PART_pruning,PART_numFolds,JRip_checkErrorRate,DecisionTable_useIBk,PART_confidenceFactorValue,DecisionTable_crossVal,PART_minNumObj,JRip_folds,SimpleCart_useOneSE,Aggregator,SimpleCart_numFoldsPruning,J48_minNumObj"
9,90,0.50433862,0.73422222,0.76990476,0.76444444,0.80761905,0080,0034,0060,0.32875243,"JRip,SimpleCart,SimpleCart_usePrune,DecisionTable,PART,J48,PART_doNotMakeSplitPointActualValue,PART_binarySplits,J48_useMDLcorrection,PART_minNumObj,DecisionTable_crossVal,JRip_minNo,SimpleCart_numFoldsPruning,J48_minNumObj,SimpleCart_heuristic,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,J48_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,J48_binarySplits,J48_collapseTree,PART_pruning,JRip_checkErrorRate,PART_useMDLcorrection,PART_confidenceFactorValue,PART_numFolds,DecisionTable_useIBk,DecisionTable_search,J48_useLaplace,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_direction,BestFirst_searchTermination,JRip_usePruning,J48_pruning,JRip_optimizations,J48_subtreeRaising,JRip_folds,J48_numFolds,Aggregator,J48_confidenceFactorValue"
