individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,reducedErrorPruning,true,false,0.05,3,null,true,1,3,true,true,null,true,6,4,false,confidenceFactor,false,true,false,weka.attributeSelection.BestFirst,false,true,3,false,false,auc,CompetenceBasedAggregator,null,false,4,2,4,null,null,null,null,null,3,null,null,1.0
overall,true,confidenceFactor,true,true,null,7,false,true,0,2,true,true,0.45,true,5,4,false,unpruned,true,true,true,weka.attributeSelection.BestFirst,true,true,3,false,true,mae,CompetenceBasedAggregator,true,true,2,3,9,null,true,null,null,false,3,null,null,1.0
gen_000_ind_000,true,confidenceFactor,true,true,null,5,false,true,null,null,true,true,0.35,true,null,7,true,unpruned,true,false,true,weka.attributeSelection.GreedyStepwise,true,true,8,true,false,auc,CompetenceBasedAggregator,true,true,5,4,null,null,true,null,false,false,7,false,0.9377865961199294,null
gen_000_ind_001,true,confidenceFactor,false,true,null,1,false,true,0,5,true,true,0.15,true,2,9,null,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,null,false,false,auc,RuleExtractorAggregator,false,true,4,5,3,null,true,null,null,false,3,null,0.8508037186984556,null
gen_000_ind_002,false,unpruned,null,null,null,1,true,true,0,3,true,true,null,true,null,8,null,unpruned,true,false,true,weka.attributeSelection.BestFirst,false,false,null,null,true,auc,CompetenceBasedAggregator,false,false,null,3,null,null,false,null,null,false,5,null,0.9546655813322481,null
gen_000_ind_003,null,null,false,null,0.45,5,null,false,null,null,false,true,null,true,null,7,null,confidenceFactor,false,null,true,weka.attributeSelection.GreedyStepwise,false,true,null,true,true,mae,MajorityVotingAggregator,null,null,2,null,null,null,null,null,false,null,null,true,0.9175335775335774,null
gen_000_ind_004,false,reducedErrorPruning,true,false,null,10,false,true,1,2,true,true,null,true,null,2,true,unpruned,true,false,true,weka.attributeSelection.BestFirst,true,true,5,true,true,auc,CompetenceBasedAggregator,false,true,10,2,null,null,false,3,null,false,3,null,0.9629663546330214,null
gen_000_ind_005,true,confidenceFactor,false,false,null,null,false,true,null,null,true,false,0.15,true,9,9,null,reducedErrorPruning,null,true,true,null,true,true,null,true,true,null,RuleExtractorAggregator,false,false,8,9,3,9,false,null,null,true,4,null,0.7975792758248899,null
gen_000_ind_006,true,confidenceFactor,true,true,0.05,1,true,true,0,10,true,true,0.45,true,null,7,true,confidenceFactor,false,false,false,weka.attributeSelection.BestFirst,false,true,10,true,false,rmse,RuleExtractorAggregator,true,true,5,3,null,null,true,null,null,true,4,null,0.8845855022170811,null
gen_000_ind_007,null,confidenceFactor,true,true,null,6,false,false,2,8,true,true,0.25,false,null,null,false,null,true,null,null,weka.attributeSelection.BestFirst,null,true,5,false,null,rmse,MajorityVotingAggregator,true,true,7,null,null,null,false,null,null,true,10,null,0.8118450685117352,null
