gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.68813555,0.90744370,0.96296635,0.95476190,1.00000000,0005,0034,0035,0.00000000,"Aggregator,SimpleCart,J48,J48_pruning,J48_subtreeRaising,PART,J48_confidenceFactorValue,J48_minNumObj,SimpleCart_usePrune,SimpleCart_useOneSE,J48_numFolds,JRip,PART_binarySplits,PART_doNotMakeSplitPointActualValue,J48_useLaplace,J48_binarySplits,DecisionTable,J48_doNotMakeSplitPointActualValue,PART_minNumObj,SimpleCart_numFoldsPruning,J48_collapseTree,DecisionTable_useIBk,SimpleCart_heuristic,J48_useMDLcorrection,SimpleCart_minNumObj,DecisionTable_crossVal,JRip_usePruning,PART_pruning,PART_useMDLcorrection,JRip_minNo,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_searchBackwards,JRip_checkErrorRate,JRip_folds,BestFirst_direction,BestFirst_searchTermination,PART_numFolds,GreedyStepwise_conservativeForwardSelection,JRip_optimizations,PART_confidenceFactorValue"
1,90,0.68078580,0.92311762,0.96296635,0.95476190,1.00000000,0005,0034,0035,0.00000000,"Aggregator,PART,SimpleCart,PART_pruning,SimpleCart_heuristic,DecisionTable,JRip,PART_useMDLcorrection,J48,J48_binarySplits,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,PART_doNotMakeSplitPointActualValue,PART_binarySplits,DecisionTable_search,J48_pruning,J48_minNumObj,J48_subtreeRaising,PART_minNumObj,J48_numFolds,PART_numFolds,SimpleCart_usePrune,GreedyStepwise_searchBackwards,SimpleCart_minNumObj,JRip_minNo,JRip_usePruning,PART_confidenceFactorValue,DecisionTable_crossVal,DecisionTable_evaluationMeasure,J48_useMDLcorrection,BestFirst_direction,BestFirst_searchTermination,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,JRip_checkErrorRate,J48_useLaplace,J48_collapseTree,J48_confidenceFactorValue,JRip_optimizations,GreedyStepwise_conservativeForwardSelection,JRip_folds"
2,90,0.72824826,0.91309795,0.96296635,0.95476190,1.00000000,0005,0034,0035,0.00000000,"Aggregator,J48,SimpleCart,PART,J48_useLaplace,J48_pruning,SimpleCart_heuristic,PART_minNumObj,PART_doNotMakeSplitPointActualValue,J48_binarySplits,JRip,JRip_checkErrorRate,J48_doNotMakeSplitPointActualValue,PART_pruning,JRip_usePruning,J48_minNumObj,SimpleCart_minNumObj,DecisionTable,PART_binarySplits,PART_numFolds,DecisionTable_crossVal,PART_useMDLcorrection,J48_useMDLcorrection,J48_collapseTree,PART_confidenceFactorValue,J48_subtreeRaising,JRip_optimizations,J48_numFolds,SimpleCart_usePrune,J48_confidenceFactorValue,JRip_folds,DecisionTable_useIBk,DecisionTable_evaluationMeasure,JRip_minNo,DecisionTable_search,GreedyStepwise_searchBackwards,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,BestFirst_searchTermination,GreedyStepwise_conservativeForwardSelection,BestFirst_direction"
3,90,0.73658270,0.92089574,0.96296635,0.95476190,1.00000000,0004,0034,0035,0.00000000,"J48,J48_useLaplace,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,DecisionTable,PART,SimpleCart,DecisionTable_evaluationMeasure,Aggregator,SimpleCart_heuristic,J48_collapseTree,JRip,DecisionTable_useIBk,J48_minNumObj,PART_doNotMakeSplitPointActualValue,JRip_usePruning,J48_binarySplits,PART_minNumObj,DecisionTable_crossVal,J48_pruning,PART_binarySplits,DecisionTable_search,PART_pruning,JRip_optimizations,SimpleCart_minNumObj,JRip_folds,J48_numFolds,PART_useMDLcorrection,BestFirst_searchTermination,SimpleCart_usePrune,PART_numFolds,J48_subtreeRaising,SimpleCart_numFoldsPruning,J48_confidenceFactorValue,GreedyStepwise_searchBackwards,JRip_minNo,JRip_checkErrorRate,PART_confidenceFactorValue,SimpleCart_useOneSE,BestFirst_direction,GreedyStepwise_conservativeForwardSelection"
4,90,0.66443834,0.94346832,0.96700651,0.95952381,1.00000000,0005,0034,0073,0.54510601,"PART,JRip,J48,JRip_usePruning,JRip_minNo,J48_collapseTree,J48_binarySplits,J48_useLaplace,J48_useMDLcorrection,J48_minNumObj,PART_minNumObj,PART_doNotMakeSplitPointActualValue,PART_binarySplits,JRip_folds,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_search,BestFirst_searchTermination,GreedyStepwise_searchBackwards,Aggregator,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,BestFirst_direction,DecisionTable_crossVal,JRip_optimizations,J48_pruning,J48_confidenceFactorValue,PART_useMDLcorrection,J48_subtreeRaising,J48_doNotMakeSplitPointActualValue,J48_numFolds,DecisionTable_useIBk,SimpleCart_minNumObj,PART_pruning,PART_numFolds,PART_confidenceFactorValue,SimpleCart,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,SimpleCart_heuristic"
5,90,0.81598823,0.93405847,0.96700651,0.95952381,1.00000000,0005,0034,0073,0.54510601,"J48,JRip,PART,J48_doNotMakeSplitPointActualValue,PART_binarySplits,J48_minNumObj,J48_useLaplace,J48_collapseTree,J48_useMDLcorrection,PART_minNumObj,JRip_usePruning,JRip_optimizations,J48_pruning,JRip_folds,J48_subtreeRaising,DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_searchTermination,J48_confidenceFactorValue,Aggregator,J48_binarySplits,PART_doNotMakeSplitPointActualValue,PART_useMDLcorrection,GreedyStepwise_conservativeForwardSelection,JRip_checkErrorRate,BestFirst_direction,DecisionTable_crossVal,J48_numFolds,DecisionTable_useIBk,PART_pruning,PART_confidenceFactorValue,SimpleCart,SimpleCart_minNumObj,PART_numFolds,JRip_minNo,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_useOneSE,SimpleCart_heuristic"
6,90,0.78713947,0.93621795,0.96700651,0.95952381,1.00000000,0006,0034,0073,0.54510601,"JRip,J48,PART,PART_useMDLcorrection,JRip_usePruning,PART_minNumObj,JRip_folds,DecisionTable,DecisionTable_evaluationMeasure,J48_pruning,JRip_optimizations,J48_subtreeRaising,J48_useMDLcorrection,J48_binarySplits,JRip_minNo,DecisionTable_crossVal,PART_binarySplits,J48_useLaplace,PART_doNotMakeSplitPointActualValue,J48_numFolds,DecisionTable_useIBk,J48_collapseTree,JRip_checkErrorRate,DecisionTable_search,GreedyStepwise_searchBackwards,BestFirst_searchTermination,Aggregator,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,J48_confidenceFactorValue,J48_minNumObj,J48_doNotMakeSplitPointActualValue,PART_pruning,PART_confidenceFactorValue,PART_numFolds,SimpleCart,SimpleCart_minNumObj,SimpleCart_usePrune,SimpleCart_numFoldsPruning,SimpleCart_heuristic,SimpleCart_useOneSE"
7,90,0.77157770,0.93911681,0.96700651,0.95952381,1.00000000,0005,0034,0063,0.60147059,"J48,JRip,SimpleCart,DecisionTable,DecisionTable_search,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,SimpleCart_minNumObj,J48_useLaplace,SimpleCart_usePrune,SimpleCart_heuristic,J48_binarySplits,DecisionTable_useIBk,SimpleCart_numFoldsPruning,PART,PART_pruning,PART_numFolds,PART_binarySplits,PART_useMDLcorrection,PART_confidenceFactorValue,PART_doNotMakeSplitPointActualValue,J48_collapseTree,BestFirst_searchTermination,DecisionTable_crossVal,BestFirst_direction,J48_pruning,JRip_minNo,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,Aggregator,J48_minNumObj,J48_numFolds,SimpleCart_useOneSE,J48_useMDLcorrection,JRip_checkErrorRate,DecisionTable_evaluationMeasure,PART_minNumObj,J48_subtreeRaising,JRip_usePruning,JRip_optimizations,JRip_folds"
8,90,0.78422359,0.93483245,0.96700651,0.95952381,1.00000000,0005,0110,0063,0.60147059,"DecisionTable,J48,JRip,DecisionTable_search,SimpleCart,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,JRip_folds,J48_numFolds,PART_confidenceFactorValue,PART_useMDLcorrection,JRip_optimizations,PART_numFolds,J48_useLaplace,SimpleCart_minNumObj,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_subtreeRaising,JRip_usePruning,DecisionTable_evaluationMeasure,SimpleCart_usePrune,J48_confidenceFactorValue,Aggregator,J48_collapseTree,SimpleCart_heuristic,J48_minNumObj,J48_binarySplits,SimpleCart_numFoldsPruning,PART,PART_binarySplits,PART_minNumObj,SimpleCart_useOneSE,JRip_checkErrorRate,PART_doNotMakeSplitPointActualValue,PART_pruning,DecisionTable_useIBk,DecisionTable_crossVal,BestFirst_searchTermination,JRip_minNo,BestFirst_direction"
9,90,0.77540932,0.94550739,0.96700651,0.95952381,1.00000000,0005,0034,0063,0.60147059,"SimpleCart,JRip,J48,DecisionTable,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,DecisionTable_evaluationMeasure,JRip_minNo,J48_useLaplace,J48_useMDLcorrection,JRip_checkErrorRate,SimpleCart_heuristic,SimpleCart_minNumObj,J48_collapseTree,J48_binarySplits,SimpleCart_usePrune,SimpleCart_useOneSE,DecisionTable_crossVal,J48_pruning,BestFirst_direction,BestFirst_searchTermination,J48_confidenceFactorValue,SimpleCart_numFoldsPruning,PART,J48_minNumObj,PART_binarySplits,J48_numFolds,DecisionTable_useIBk,J48_doNotMakeSplitPointActualValue,PART_pruning,PART_useMDLcorrection,Aggregator,PART_doNotMakeSplitPointActualValue,PART_minNumObj,PART_confidenceFactorValue,PART_numFolds,J48_subtreeRaising,JRip_usePruning,JRip_folds,JRip_optimizations"
