individual_name,JRip_checkErrorRate,J48_pruning,SimpleCart_usePrune,J48_subtreeRaising,PART_confidenceFactorValue,DecisionTable_crossVal,J48_binarySplits,JRip,BestFirst_direction,BestFirst_searchTermination,J48,DecisionTable,J48_confidenceFactorValue,PART,JRip_optimizations,PART_minNumObj,SimpleCart_useOneSE,PART_pruning,DecisionTable_useIBk,JRip_usePruning,PART_useMDLcorrection,DecisionTable_search,PART_doNotMakeSplitPointActualValue,SimpleCart,SimpleCart_numFoldsPruning,SimpleCart_heuristic,PART_binarySplits,DecisionTable_evaluationMeasure,Aggregator,J48_useLaplace,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo,JRip_folds,PART_numFolds,J48_useMDLcorrection,J48_numFolds,GreedyStepwise_conservativeForwardSelection,J48_doNotMakeSplitPointActualValue,J48_minNumObj,GreedyStepwise_searchBackwards,fitness,test_auc
last,false,confidenceFactor,null,false,null,null,true,true,2,2,true,false,0.45,true,null,10,null,unpruned,false,null,true,weka.attributeSelection.BestFirst,true,false,null,null,true,null,CompetenceBasedAggregator,true,true,null,null,null,null,true,null,null,false,7,null,null,0.0
overall,true,reducedErrorPruning,true,true,null,1,true,true,0,10,true,true,null,true,10,10,false,unpruned,true,true,true,weka.attributeSelection.BestFirst,false,true,7,false,false,rmse,CompetenceBasedAggregator,true,true,10,6,10,null,true,10,null,false,2,null,null,0.6972222222222222
gen_000_ind_000,true,unpruned,true,null,0.35,1,false,true,1,3,true,true,null,true,6,9,false,confidenceFactor,true,true,true,weka.attributeSelection.BestFirst,true,true,6,true,true,rmse,RuleExtractorAggregator,false,true,3,8,3,null,true,null,null,false,2,null,0.8926767676767678,null
gen_000_ind_001,true,unpruned,true,null,null,null,true,true,null,null,true,false,null,true,1,7,false,unpruned,null,true,false,null,false,true,5,false,false,null,CompetenceBasedAggregator,false,true,4,3,3,null,false,null,null,false,10,null,0.9055555555555553,null
gen_000_ind_002,true,confidenceFactor,true,false,null,3,false,true,null,null,true,true,0.25,true,null,3,true,reducedErrorPruning,false,false,true,weka.attributeSelection.GreedyStepwise,false,true,7,false,true,auc,MajorityVotingAggregator,false,true,3,10,null,4,false,null,false,true,10,false,0.904040404040404,null
gen_000_ind_003,false,unpruned,true,null,0.05,9,false,true,null,null,true,true,null,true,5,8,true,confidenceFactor,true,true,true,weka.attributeSelection.GreedyStepwise,false,true,5,false,true,rmse,MajorityVotingAggregator,true,false,9,5,6,null,false,null,false,true,8,true,0.9151515151515153,null
gen_000_ind_004,true,null,true,null,null,1,null,true,null,null,false,true,null,true,null,6,false,unpruned,false,false,false,weka.attributeSelection.GreedyStepwise,false,true,6,false,false,auc,MajorityVotingAggregator,null,null,9,4,null,null,null,null,true,null,null,true,0.884090909090909,null
gen_000_ind_005,true,unpruned,null,null,null,5,false,true,null,null,true,true,null,true,1,10,null,reducedErrorPruning,false,true,false,weka.attributeSelection.GreedyStepwise,false,false,null,null,true,auc,CompetenceBasedAggregator,true,false,null,3,3,4,true,null,true,true,5,false,0.913888888888889,null
gen_000_ind_006,true,null,true,null,null,9,null,true,1,7,false,true,null,true,2,8,true,unpruned,false,true,true,weka.attributeSelection.BestFirst,true,true,8,true,true,auc,MajorityVotingAggregator,null,null,6,2,8,null,null,null,null,null,null,null,0.9181818181818182,null
gen_000_ind_007,true,unpruned,null,null,0.15,8,false,true,0,1,true,true,null,true,null,9,null,confidenceFactor,true,false,true,weka.attributeSelection.BestFirst,true,false,null,null,true,auc,CompetenceBasedAggregator,false,true,null,10,null,null,false,null,null,true,6,null,0.9108585858585858,null
