gen,nevals,min,median,max,currentGenBestValFitness,currentGenBestTestFitness,lap time (seconds),discarded individuals (including burn-in),GM connections,GM mean heuristic,sampling order
0,100,0.79747475,0.89898990,0.93611111,0.88285024,0.78611111,0022,0034,0035,0.00000000,"PART,PART_useMDLcorrection,DecisionTable,DecisionTable_useIBk,PART_pruning,DecisionTable_search,BestFirst_direction,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,J48,J48_useLaplace,GreedyStepwise_conservativeForwardSelection,SimpleCart,PART_doNotMakeSplitPointActualValue,PART_minNumObj,PART_binarySplits,J48_useMDLcorrection,J48_binarySplits,JRip,SimpleCart_heuristic,PART_numFolds,SimpleCart_minNumObj,J48_minNumObj,JRip_checkErrorRate,Aggregator,DecisionTable_crossVal,J48_collapseTree,J48_pruning,BestFirst_searchTermination,PART_confidenceFactorValue,J48_confidenceFactorValue,J48_doNotMakeSplitPointActualValue,SimpleCart_usePrune,JRip_usePruning,JRip_minNo,J48_numFolds,J48_subtreeRaising,JRip_optimizations,SimpleCart_useOneSE,JRip_folds,SimpleCart_numFoldsPruning"
1,90,0.83106061,0.90366162,0.93611111,0.88285024,0.78611111,0008,0034,0035,0.00000000,"Aggregator,DecisionTable,SimpleCart,DecisionTable_useIBk,SimpleCart_usePrune,SimpleCart_heuristic,DecisionTable_crossVal,JRip,JRip_minNo,DecisionTable_evaluationMeasure,J48,SimpleCart_minNumObj,DecisionTable_search,PART,J48_pruning,SimpleCart_useOneSE,J48_collapseTree,J48_doNotMakeSplitPointActualValue,GreedyStepwise_conservativeForwardSelection,J48_useLaplace,PART_minNumObj,J48_numFolds,PART_useMDLcorrection,J48_useMDLcorrection,BestFirst_direction,PART_doNotMakeSplitPointActualValue,J48_binarySplits,GreedyStepwise_searchBackwards,J48_confidenceFactorValue,J48_minNumObj,SimpleCart_numFoldsPruning,JRip_usePruning,JRip_optimizations,PART_binarySplits,BestFirst_searchTermination,JRip_checkErrorRate,PART_pruning,J48_subtreeRaising,PART_confidenceFactorValue,JRip_folds,PART_numFolds"
2,90,0.80934343,0.90101010,0.93611111,0.88285024,0.78611111,0008,0034,0035,0.00000000,"DecisionTable,DecisionTable_search,J48,PART,J48_doNotMakeSplitPointActualValue,PART_pruning,GreedyStepwise_searchBackwards,GreedyStepwise_conservativeForwardSelection,SimpleCart,BestFirst_searchTermination,J48_useLaplace,SimpleCart_heuristic,J48_collapseTree,DecisionTable_evaluationMeasure,J48_minNumObj,PART_doNotMakeSplitPointActualValue,BestFirst_direction,PART_minNumObj,DecisionTable_useIBk,J48_binarySplits,JRip,Aggregator,DecisionTable_crossVal,J48_pruning,PART_binarySplits,J48_useMDLcorrection,J48_subtreeRaising,PART_confidenceFactorValue,PART_useMDLcorrection,PART_numFolds,JRip_checkErrorRate,SimpleCart_minNumObj,SimpleCart_usePrune,JRip_minNo,J48_numFolds,JRip_usePruning,J48_confidenceFactorValue,JRip_folds,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,JRip_optimizations"
3,90,0.81590909,0.90018939,0.93611111,0.88285024,0.78611111,0008,0034,0035,0.00000000,"PART,PART_binarySplits,PART_doNotMakeSplitPointActualValue,Aggregator,JRip,PART_minNumObj,DecisionTable,DecisionTable_crossVal,PART_pruning,DecisionTable_evaluationMeasure,SimpleCart,PART_useMDLcorrection,JRip_usePruning,JRip_optimizations,J48,PART_confidenceFactorValue,J48_useLaplace,PART_numFolds,J48_useMDLcorrection,J48_collapseTree,JRip_checkErrorRate,J48_pruning,J48_minNumObj,JRip_minNo,DecisionTable_useIBk,J48_subtreeRaising,SimpleCart_minNumObj,SimpleCart_heuristic,J48_binarySplits,J48_doNotMakeSplitPointActualValue,J48_confidenceFactorValue,DecisionTable_search,SimpleCart_usePrune,JRip_folds,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,BestFirst_searchTermination,SimpleCart_useOneSE,BestFirst_direction,SimpleCart_numFoldsPruning,J48_numFolds"
4,90,0.82525253,0.90757576,0.93611111,0.88285024,0.78611111,0009,0034,0074,0.45506537,"DecisionTable,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_searchTermination,J48,J48_pruning,J48_confidenceFactorValue,SimpleCart,SimpleCart_usePrune,JRip,JRip_checkErrorRate,BestFirst_direction,JRip_minNo,SimpleCart_minNumObj,DecisionTable_crossVal,J48_subtreeRaising,SimpleCart_numFoldsPruning,SimpleCart_heuristic,SimpleCart_useOneSE,DecisionTable_evaluationMeasure,J48_collapseTree,J48_binarySplits,GreedyStepwise_searchBackwards,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_useLaplace,J48_useMDLcorrection,J48_numFolds,JRip_usePruning,Aggregator,PART,PART_minNumObj,JRip_optimizations,PART_binarySplits,PART_doNotMakeSplitPointActualValue,JRip_folds,PART_useMDLcorrection,PART_pruning,DecisionTable_useIBk,PART_confidenceFactorValue,PART_numFolds"
5,90,0.79949495,0.90606061,0.93611111,0.88285024,0.78611111,0008,0044,0074,0.45506537,"DecisionTable,DecisionTable_evaluationMeasure,DecisionTable_search,BestFirst_direction,GreedyStepwise_conservativeForwardSelection,GreedyStepwise_searchBackwards,DecisionTable_crossVal,PART_binarySplits,SimpleCart_useOneSE,J48_subtreeRaising,DecisionTable_useIBk,BestFirst_searchTermination,J48,J48_minNumObj,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_confidenceFactorValue,SimpleCart,SimpleCart_usePrune,JRip,JRip_checkErrorRate,JRip_usePruning,J48_numFolds,Aggregator,PART,PART_minNumObj,J48_useLaplace,PART_doNotMakeSplitPointActualValue,JRip_folds,PART_useMDLcorrection,J48_binarySplits,PART_pruning,PART_confidenceFactorValue,PART_numFolds,JRip_optimizations,J48_useMDLcorrection,SimpleCart_numFoldsPruning,SimpleCart_heuristic,J48_collapseTree,SimpleCart_minNumObj,JRip_minNo"
6,90,0.80909091,0.90782828,0.93611111,0.88285024,0.78611111,0009,0034,0074,0.45506537,"DecisionTable,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,DecisionTable_evaluationMeasure,GreedyStepwise_searchBackwards,BestFirst_direction,DecisionTable_crossVal,BestFirst_searchTermination,J48,J48_pruning,J48_subtreeRaising,J48_numFolds,Aggregator,PART,PART_binarySplits,PART_pruning,PART_numFolds,PART_confidenceFactorValue,J48_collapseTree,J48_doNotMakeSplitPointActualValue,J48_useMDLcorrection,J48_binarySplits,PART_useMDLcorrection,J48_minNumObj,PART_minNumObj,J48_confidenceFactorValue,J48_useLaplace,SimpleCart,SimpleCart_usePrune,SimpleCart_useOneSE,JRip,JRip_usePruning,JRip_checkErrorRate,JRip_folds,PART_doNotMakeSplitPointActualValue,SimpleCart_minNumObj,JRip_minNo,SimpleCart_numFoldsPruning,SimpleCart_heuristic,JRip_optimizations"
7,90,0.80530303,0.90808081,0.93611111,0.88285024,0.78611111,0009,0045,0067,0.53720598,"J48,Aggregator,PART,PART_pruning,PART_numFolds,PART_useMDLcorrection,PART_confidenceFactorValue,PART_binarySplits,J48_useLaplace,J48_binarySplits,J48_minNumObj,J48_pruning,J48_numFolds,PART_doNotMakeSplitPointActualValue,J48_collapseTree,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,PART_minNumObj,J48_confidenceFactorValue,SimpleCart,SimpleCart_minNumObj,JRip_minNo,JRip_usePruning,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,DecisionTable_useIBk,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,DecisionTable,DecisionTable_crossVal,J48_subtreeRaising,BestFirst_direction,DecisionTable_evaluationMeasure,BestFirst_searchTermination,JRip_folds,GreedyStepwise_searchBackwards,JRip,SimpleCart_usePrune,JRip_checkErrorRate,JRip_optimizations,SimpleCart_heuristic"
8,90,0.83484848,0.90517677,0.93611111,0.88285024,0.78611111,0009,0046,0067,0.53720598,"J48,Aggregator,PART,PART_useMDLcorrection,PART_pruning,PART_numFolds,PART_confidenceFactorValue,J48_binarySplits,PART_minNumObj,J48_collapseTree,J48_minNumObj,J48_useLaplace,PART_doNotMakeSplitPointActualValue,PART_binarySplits,J48_useMDLcorrection,J48_doNotMakeSplitPointActualValue,J48_pruning,J48_numFolds,J48_confidenceFactorValue,SimpleCart,SimpleCart_minNumObj,DecisionTable_crossVal,J48_subtreeRaising,SimpleCart_numFoldsPruning,DecisionTable,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,BestFirst_direction,DecisionTable_evaluationMeasure,BestFirst_searchTermination,SimpleCart_heuristic,GreedyStepwise_searchBackwards,JRip,JRip_minNo,JRip_usePruning,SimpleCart_usePrune,JRip_checkErrorRate,SimpleCart_useOneSE,JRip_folds,JRip_optimizations"
9,90,0.80530303,0.90202020,0.93838384,0.88164251,0.76388889,0008,0057,0067,0.53720598,"Aggregator,J48,PART,PART_pruning,PART_confidenceFactorValue,PART_numFolds,PART_useMDLcorrection,J48_minNumObj,J48_useMDLcorrection,PART_binarySplits,PART_minNumObj,J48_useLaplace,J48_doNotMakeSplitPointActualValue,J48_binarySplits,PART_doNotMakeSplitPointActualValue,J48_pruning,J48_confidenceFactorValue,SimpleCart,SimpleCart_minNumObj,J48_numFolds,JRip_usePruning,DecisionTable_useIBk,DecisionTable_search,GreedyStepwise_conservativeForwardSelection,JRip_minNo,SimpleCart_useOneSE,SimpleCart_numFoldsPruning,J48_collapseTree,DecisionTable,DecisionTable_crossVal,J48_subtreeRaising,BestFirst_direction,SimpleCart_usePrune,SimpleCart_heuristic,JRip_folds,DecisionTable_evaluationMeasure,BestFirst_searchTermination,JRip_optimizations,GreedyStepwise_searchBackwards,JRip,JRip_checkErrorRate"
